Participant ID,Final Dot Difference,Num Of Trials,Choice of Human,Choice of Algorithm,Human Trials Changed to Algor,Algor Trials Changed to Human,Algor Default Trials Not Changed,Human Default Trials Not Changed,Block 4 Human Acc,Block 4 Algor Acc,Human Choice After Block 4,Algor Choice After Block 4,Advisor Changed,Left Box Chosen,Preference Strength,Max Cj,Min Cj,Cj Range,Num of Unique Cj Values,Advice Ignored Trials,Mean Cj Change,Cj1 Mean Resolution,Cj2 Mean Resolution,Mean Cj1 Accuracy,Mean Cj2 Accuracy,Sway of Human Advice,Sway of Algor Advice,Mean RT1,Mean RT2,Mean CTC,AccQuant1,AccQuant2,AccQuant3,AccQuant4,AdvQuant1,AdvQuant2,AdvQuant3,AdvQuant4,CjQuant1,CjQuant2,CjQuant3,CjQuant4,Mean Cj1,Mean Cj2,St Dev Cj1,St Dev Cj2,Human Agreed %,Algor Agreed %,Algor Agreed % Diff,Human Agreed Conf Diff,Algor Agreed Conf Diff,Human Disagreed Conf Diff,Algor Disagreed Conf Diff,Algor Relative Influence,dd Block 1 End,dd Block 2 End,Block 1 Accuracy,Block 2 Accuracy
5f1ada2167c7af0009073176,15,240,0.562,0.438,0.0375,0.1625,0.8375,0.9625,0.774,0.552,0.575,0.425,0.1,0.3,0.062,36,1,35,26,9,4.475,0.336,0.193,0.529,0.529,0.969,1.438,4.613,4.178,6.189,0.632,0.375,0.512,0.574,0.526,0.375,0.372,0.489,0.237,0.2,0.179,0.196,9.383,11.756,4.89,7.208,0.425,0.575,0.15,0.933,0.889,1.0,2.143,-1.187,15,15,0.6,0.533
5f751b67f9a33b18498b9429,12,240,0.494,0.506,0.0875,0.075,0.925,0.9125,0.69,0.71,0.5,0.5,0.08125,0.617,0.006,31,10,21,22,7,7.888,10.954,3.053,0.9,0.892,0.95,2.684,1.447,1.597,3.602,0.904,0.809,0.941,0.982,0.385,0.532,0.667,0.473,0.217,0.196,0.212,0.229,21.85,16.477,4.292,8.331,0.775,0.675,-0.1,1.774,0.44,-1.889,7.0,-10.223,11,12,0.733,0.733
5f25f878b35a042f630d207f,2,240,0.319,0.681,0.4375,0.075,0.925,0.5625,0.412,0.651,0.375,0.625,0.25625,0.354,0.181,35,1,34,34,1,7.8,1.016,2.098,0.571,0.662,3.818,1.333,1.63,1.925,3.93,0.603,0.526,0.562,0.534,0.655,0.667,0.667,0.552,0.242,0.237,0.2,0.242,15.017,13.86,7.002,10.298,0.927,0.872,-0.055,-3.233,-0.452,-9.667,-6.8,-0.085,7,2,0.833,0.8
5c6aa1774b5bb30001b3d699,15,240,0.512,0.488,0.0,0.025,0.975,1.0,0.6,0.633,0.517,0.483,0.0125,0.583,0.012,50,4,46,46,68,3.15,0.665,1.241,0.733,0.75,1.189,1.275,3.294,2.985,4.997,0.825,0.644,0.684,0.776,0.491,0.475,0.439,0.552,0.237,0.246,0.237,0.242,34.483,36.519,11.934,11.371,0.7,0.575,-0.125,-1.88,2.13,0.25,0.118,4.143,15,15,0.667,0.567
5f63b3bdfcaaa10e5a8d7e5a,12,240,0.231,0.769,0.5375,0.0,1.0,0.4625,0.6,0.644,0.267,0.733,0.26875,0.487,0.269,50,8,42,43,33,13.021,9.316,8.008,0.6,0.629,4.263,1.59,1.641,2.015,4.03,0.776,0.589,0.373,0.695,0.672,0.714,0.712,0.644,0.242,0.233,0.246,0.246,36.758,36.199,11.594,16.465,0.55,0.75,0.2,1.0,-0.966,-10.111,-3.4,-8.677,15,12,0.433,0.767
5fae41a57aae862a572dfde0,15,240,0.975,0.025,0.0,0.95,0.05,1.0,0.792,0.667,0.983,0.017,0.475,0.662,0.475,45,1,44,45,148,4.675,0.785,3.088,0.792,0.792,3.7,1.225,1.961,2.333,4.353,0.917,0.729,0.642,0.9,0.183,0.169,0.226,0.133,0.25,0.246,0.221,0.25,21.05,16.375,12.356,12.863,0.6,0.575,-0.025,0.0,0.0,9.25,2.882,6.368,15,15,0.4,0.667
5f68fc565258c10c30d48db8,4,240,0.719,0.281,0.1375,0.575,0.425,0.8625,0.743,0.64,0.758,0.242,0.35625,0.317,0.219,42,1,41,40,5,15.788,3.95,2.017,0.592,0.679,5.316,2.611,2.992,3.513,5.518,0.702,0.525,0.566,0.596,0.246,0.424,0.377,0.368,0.237,0.246,0.221,0.237,16.104,24.078,10.299,17.276,0.725,0.65,-0.075,9.185,8.864,-4.182,-7.214,2.711,13,4,0.733,0.867
5f8567ed916759000a735627,15,240,0.45,0.55,0.65,0.55,0.45,0.35,0.714,0.8,0.383,0.617,0.6,0.221,0.05,50,3,47,48,10,11.346,8.219,1.881,0.575,0.708,5.054,4.351,2.951,2.209,4.219,0.7,0.537,0.418,0.667,0.517,0.556,0.636,0.439,0.25,0.225,0.229,0.237,31.662,29.777,12.144,15.504,0.925,0.825,-0.1,-5.235,-4.5,-3.0,-3.714,1.45,13,15,0.6,0.433
5d5a7d896c04b2001a1edff8,13,240,0.969,0.031,0.0125,0.95,0.05,0.9875,0.689,0.733,1.0,0.0,0.48125,0.625,0.469,42,1,41,29,0,10.938,1.267,2.412,0.662,0.704,4.75,4.324,1.427,1.409,3.427,0.807,0.581,0.5,0.771,0.193,0.209,0.179,0.167,0.237,0.179,0.233,0.2,9.979,18.705,6.08,12.223,0.825,0.8,-0.025,-6.414,-6.103,2.143,2.125,0.328,13,13,0.567,0.633
5e8dddaf3d1b57068b77b2f2,15,240,0.606,0.394,0.35,0.5625,0.4375,0.65,0.667,0.633,0.642,0.358,0.45625,0.621,0.106,49,1,48,47,0,10.204,2.025,0.478,0.838,0.829,1.425,1.026,2.694,2.934,4.954,0.86,0.824,0.768,0.898,0.404,0.333,0.554,0.356,0.237,0.212,0.233,0.246,22.808,25.085,12.068,17.136,0.675,0.675,0.0,-1.37,-2.769,-1.538,8.615,-11.553,14,15,0.7,0.7
5f936c5531a30e1459f2d51b,15,240,0.494,0.506,0.0125,0.0,1.0,0.9875,0.724,0.645,0.492,0.508,0.00625,0.404,0.006,50,2,48,47,9,11.262,2.125,0.218,0.5,0.712,2.033,2.71,1.129,1.256,3.26,0.475,0.5,0.508,0.55,0.475,0.593,0.458,0.517,0.246,0.225,0.246,0.25,27.554,32.143,11.046,14.559,0.9,0.95,0.05,3.111,2.3,-7.667,15.0,-23.478,14,15,0.533,0.5
5f2339c2b41ba40eafd36953,15,240,0.369,0.631,0.3375,0.075,0.925,0.6625,0.846,0.723,0.467,0.533,0.20625,0.483,0.131,50,3,47,38,67,4.783,6.126,10.351,0.812,0.825,1.923,0.703,1.833,3.131,5.135,0.927,0.768,0.763,0.833,0.545,0.589,0.661,0.6,0.229,0.233,0.246,0.25,23.533,27.693,9.662,10.764,0.8,0.675,-0.125,-2.774,0.292,1.375,1.462,2.979,11,15,0.667,0.567
5d8794b64a462d001a65469d,8,240,0.4,0.6,0.6375,0.4375,0.5625,0.3625,0.739,0.649,0.433,0.567,0.5375,0.275,0.1,46,1,45,35,30,8.792,0.641,0.474,0.642,0.658,2.244,5.5,4.031,3.66,5.671,0.805,0.5,0.564,0.685,0.488,0.556,0.615,0.519,0.171,0.15,0.163,0.225,8.075,13.955,8.915,14.299,0.78,0.795,0.014,-0.938,6.792,-6.889,1.625,-0.785,12,8,0.633,0.767
5eab0df319a24d0af1de72dd,13,240,0.419,0.581,0.5,0.3375,0.6625,0.5,0.679,0.844,0.4,0.6,0.41875,0.567,0.081,50,1,49,47,2,11.921,2.182,6.584,0.729,0.767,3.361,2.432,2.11,1.968,3.988,0.828,0.678,0.627,0.745,0.517,0.542,0.678,0.527,0.242,0.246,0.246,0.229,18.704,27.491,13.137,14.156,0.949,0.756,-0.193,-3.441,-2.778,-2.0,-1.5,0.163,13,13,0.7,0.5
5cb8bade96f5cc00170f04b2,15,240,0.963,0.037,0.025,0.95,0.05,0.975,0.717,0.714,0.983,0.017,0.4875,0.517,0.463,40,3,37,37,0,6.417,7.49,8.51,0.846,0.862,1.333,1.878,1.427,1.537,3.544,0.926,0.912,0.732,0.86,0.222,0.175,0.161,0.105,0.225,0.237,0.233,0.237,19.35,22.159,7.657,9.745,0.744,0.732,-0.012,-2.379,-3.1,1.7,1.455,-0.475,14,15,0.633,0.6
5c474d6ca8703f0001b6cf26,15,240,0.381,0.619,0.425,0.1875,0.8125,0.575,0.565,0.676,0.408,0.592,0.30625,0.458,0.119,50,3,47,34,99,8.046,14.72,20.682,0.788,0.742,0.359,0.447,1.582,1.344,3.354,0.933,0.729,0.636,0.847,0.517,0.627,0.564,0.593,0.25,0.246,0.229,0.246,42.208,44.735,9.895,9.751,0.829,0.795,-0.034,-0.031,-1.067,-1.857,1.875,-4.768,15,15,0.667,0.667
