trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,25.35,,
2,1,True,1,15,1,1,1,,,,catch,0,,1,,0,0,7.56,,
3,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,3.13,,
4,1,True,0,14,1,3,0,,,,catch,0,,1,,0,0,1.76,,
5,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,1.98,,
6,1,True,0,15,0,4,1,,,,catch,0,,1,,0,0,1.92,,
7,1,True,1,14,1,4,1,,,,catch,0,,1,,0,0,1.55,,
8,1,True,1,14,1,5,1,,,,catch,0,,1,,0,0,1.72,,
9,1,True,0,13,1,2,0,,,,catch,0,,1,,0,0,1.84,,
10,1,True,0,14,0,3,1,,,,catch,0,,1,,0,0,1.69,,
11,1,True,1,14,1,4,1,,,,catch,0,,1,,0,0,1.78,,
12,1,True,1,13,0,3,0,,,,catch,0,,1,,0,0,1.43,,
13,1,True,0,14,0,1,1,,,,catch,0,,1,,0,0,1.32,,
14,1,True,0,14,0,3,1,,,,catch,0,,1,,0,0,1.34,,
15,1,True,1,13,1,3,1,,,,catch,0,,1,,0,0,1.36,,
16,1,True,0,13,0,1,1,,,,catch,0,,1,,0,0,1.41,,
17,1,True,1,12,1,4,1,,,,catch,0,,1,,0,0,1.28,,
18,1,True,0,12,0,3,1,,,,catch,0,,1,,0,0,1.4,,
19,1,True,0,11,1,3,0,,,,catch,0,,1,,0,0,1.37,,
20,1,True,1,12,0,2,0,,,,catch,0,,1,,0,0,1.28,,
21,1,True,0,13,0,3,1,,,,catch,0,,1,,0,0,1.24,,
22,1,True,0,13,0,2,1,,,,catch,0,,1,,0,0,1.22,,
23,1,True,1,12,1,2,1,,,,catch,0,,1,,0,0,1.2,,
24,1,True,0,12,1,2,0,,,,catch,0,,1,,0,0,1.97,,
25,1,True,0,13,1,5,0,,,,catch,0,,1,,0,0,1.45,,
26,1,True,0,14,0,4,1,,,,catch,0,,1,,0,0,2.66,,
27,1,True,0,14,0,1,1,,,,catch,0,,1,,0,0,1.81,,
28,1,True,0,13,1,2,0,,,,catch,0,,1,,0,0,5.0,,
29,1,True,0,14,0,3,1,,,,catch,0,,1,,0,0,1.82,,
30,1,True,1,14,1,3,1,,,,catch,0,,1,,0,0,7.67,,
31,2,True,1,13,1,3,1,,,,catch,0,,1,,0,0,3.91,,
32,2,True,0,13,1,2,0,,,,catch,0,,1,,0,0,1.21,,
33,2,True,0,14,1,3,0,,,,catch,0,,1,,0,0,1.2,,
34,2,True,0,15,1,6,0,,,,catch,0,,1,,0,0,1.19,,
35,2,True,1,15,1,2,1,,,,catch,0,,1,,0,0,1.51,,
36,2,True,1,15,1,2,1,,,,catch,0,,1,,0,0,1.78,,
37,2,True,0,14,0,3,1,,,,catch,0,,1,,0,0,1.73,,
38,2,True,0,14,0,1,1,,,,catch,0,,1,,0,0,1.13,,
39,2,True,0,13,0,2,1,,,,catch,0,,1,,0,0,1.4,,
40,2,True,1,13,1,2,1,,,,catch,0,,1,,0,0,1.34,,
41,2,True,1,12,1,2,1,,,,catch,0,,1,,0,0,1.22,,
42,2,True,1,12,1,2,1,,,,catch,0,,1,,0,0,2.1,,
43,2,True,1,11,1,3,1,,,,catch,0,,1,,0,0,1.22,,
44,2,True,0,11,1,2,0,,,,catch,0,,1,,0,0,1.24,,
45,2,True,1,12,0,1,0,,,,catch,0,,1,,0,0,1.67,,
46,2,True,1,13,1,4,1,,,,catch,0,,1,,0,0,1.14,,
47,2,True,0,13,1,3,0,,,,catch,0,,1,,0,0,1.26,,
48,2,True,0,14,1,2,0,,,,catch,0,,1,,0,0,2.98,,
49,2,True,0,15,0,2,1,,,,catch,0,,1,,0,0,1.82,,
50,2,True,0,15,0,2,1,,,,catch,0,,1,,0,0,1.76,,
51,2,True,1,14,0,3,0,,,,catch,0,,1,,0,0,1.26,,
52,2,True,1,15,1,3,1,,,,catch,0,,1,,0,0,1.28,,
