trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,4.58,,
2,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,3.06,,
3,1,True,1,15,1,20,1,,,,catch,0,,1,,0,0,2.32,,
4,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,2.67,,
5,1,True,0,15,0,13,1,,,,catch,0,,1,,0,0,1.98,,
6,1,True,0,15,1,5,0,,,,catch,0,,1,,0,0,2.14,,
7,1,True,1,15,1,24,1,,,,catch,0,,1,,0,0,1.8,,
8,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,1.85,,
9,1,True,0,14,1,7,0,,,,catch,0,,1,,0,0,1.93,,
10,1,True,1,15,1,27,1,,,,catch,0,,1,,0,0,1.76,,
11,1,True,1,15,1,29,1,,,,catch,0,,1,,0,0,1.86,,
12,1,True,0,14,0,2,1,,,,catch,0,,1,,0,0,2.03,,
13,1,True,1,14,1,9,1,,,,catch,0,,1,,0,0,1.5,,
14,1,True,0,13,1,12,0,,,,catch,0,,1,,0,0,2.13,,
15,1,True,1,14,1,22,1,,,,catch,0,,1,,0,0,1.61,,
16,1,True,0,14,1,5,0,,,,catch,0,,1,,0,0,1.72,,
17,1,True,1,15,1,16,1,,,,catch,0,,1,,0,0,1.79,,
18,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,1.92,,
19,1,True,0,14,1,20,0,,,,catch,0,,1,,0,0,1.65,,
20,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,1.7,,
21,1,True,0,15,0,15,1,,,,catch,0,,1,,0,0,1.84,,
22,1,True,0,14,0,22,1,,,,catch,0,,1,,0,0,1.53,,
23,1,True,0,14,0,19,1,,,,catch,0,,1,,0,0,2.11,,
24,1,True,1,13,0,9,0,,,,catch,0,,1,,0,0,1.74,,
25,1,True,0,14,1,2,0,,,,catch,0,,1,,0,0,2.06,,
26,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,2.93,,
27,1,True,1,15,0,13,0,,,,catch,0,,1,,0,0,2.88,,
28,1,True,1,15,1,13,1,,,,catch,0,,1,,0,0,1.55,,
29,1,True,0,15,0,15,1,,,,catch,0,,1,,0,0,1.71,,
30,1,True,0,14,0,9,1,,,,catch,0,,1,,0,0,1.92,,
