trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,13.48,,
2,1,True,0,15,1,11,0,,,,catch,0,,1,,0,0,4.96,,
3,1,True,1,15,1,30,1,,,,catch,0,,1,,0,0,2.6,,
4,1,True,0,15,1,30,0,,,,catch,0,,1,,0,0,2.19,,
5,1,True,0,15,1,9,0,,,,catch,0,,1,,0,0,3.45,,
6,1,True,1,15,1,35,1,,,,catch,0,,1,,0,0,4.66,,
7,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,3.1,,
8,1,True,1,14,0,13,0,,,,catch,0,,1,,0,0,3.18,,
9,1,True,1,15,1,17,1,,,,catch,0,,1,,0,0,3.69,,
10,1,True,1,15,1,30,1,,,,catch,0,,1,,0,0,3.53,,
11,1,True,1,14,1,31,1,,,,catch,0,,1,,0,0,2.27,,
12,1,True,1,14,1,23,1,,,,catch,0,,1,,0,0,2.5,,
13,1,True,0,13,0,8,1,,,,catch,0,,1,,0,0,2.87,,
14,1,True,0,13,1,28,0,,,,catch,0,,1,,0,0,2.58,,
15,1,True,0,14,1,8,0,,,,catch,0,,1,,0,0,2.22,,
16,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,1.88,,
17,1,True,0,15,1,15,0,,,,catch,0,,1,,0,0,1.96,,
18,1,True,0,15,1,1,0,,,,catch,0,,1,,0,0,4.03,,
19,1,True,1,15,1,33,1,,,,catch,0,,1,,0,0,3.54,,
20,1,True,0,15,0,18,1,,,,catch,0,,1,,0,0,2.12,,
21,1,True,1,14,1,43,1,,,,catch,0,,1,,0,0,2.41,,
22,1,True,0,14,1,36,0,,,,catch,0,,1,,0,0,2.82,,
23,1,True,0,15,0,17,1,,,,catch,0,,1,,0,0,5.29,,
24,1,True,0,15,0,3,1,,,,catch,0,,1,,0,0,5.96,,
25,1,True,0,14,1,10,0,,,,catch,0,,1,,0,0,2.04,,
26,1,True,1,15,1,26,1,,,,catch,0,,1,,0,0,4.04,,
27,1,True,0,15,0,12,1,,,,catch,0,,1,,0,0,2.02,,
28,1,True,0,14,0,35,1,,,,catch,0,,1,,0,0,2.09,,
29,1,True,1,14,1,19,1,,,,catch,0,,1,,0,0,2.25,,
30,1,True,0,13,1,23,0,,,,catch,0,,1,,0,0,2.81,,
31,2,True,0,14,1,18,0,,,,catch,0,,1,,0,0,1.43,,
32,2,True,0,15,1,7,0,,,,catch,0,,1,,0,0,1.58,,
33,2,True,1,15,1,37,1,,,,catch,0,,1,,0,0,1.4,,
34,2,True,1,15,0,15,0,,,,catch,0,,1,,0,0,1.65,,
35,2,True,0,15,0,15,1,,,,catch,0,,1,,0,0,1.88,,
36,2,True,1,15,1,15,1,,,,catch,0,,1,,0,0,3.71,,
37,2,True,0,14,0,38,1,,,,catch,0,,1,,0,0,3.93,,
