trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,30.16,,
2,1,True,1,15,1,1,1,,,,catch,0,,1,,0,0,5.91,,
3,1,True,1,15,1,1,1,,,,catch,0,,1,,0,0,4.26,,
4,1,True,0,14,1,2,0,,,,catch,0,,1,,0,0,2.47,,
5,1,True,1,15,0,7,0,,,,catch,0,,1,,0,0,2.24,,
6,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,2.76,,
7,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,7.44,,
8,1,True,0,14,1,1,0,,,,catch,0,,1,,0,0,2.41,,
9,1,True,0,15,1,1,0,,,,catch,0,,1,,0,0,2.43,,
10,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,1.61,,
11,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,2.24,,
12,1,True,1,14,0,4,0,,,,catch,0,,1,,0,0,1.68,,
13,1,True,1,15,0,2,0,,,,catch,0,,1,,0,0,1.92,,
14,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,1.32,,
15,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,2.18,,
16,1,True,1,14,0,2,0,,,,catch,0,,1,,0,0,2.35,,
17,1,True,1,15,0,3,0,,,,catch,0,,1,,0,0,1.36,,
18,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,1.56,,
19,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,1.59,,
20,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,1.24,,
21,1,True,0,15,1,4,0,,,,catch,0,,1,,0,0,1.31,,
22,1,True,0,15,1,4,0,,,,catch,0,,1,,0,0,1.1,,
23,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,1.38,,
24,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,1.24,,
25,1,True,0,15,0,3,1,,,,catch,0,,1,,0,0,1.28,,
26,1,True,0,14,0,1,1,,,,catch,0,,1,,0,0,1.92,,
27,1,True,0,14,0,1,1,,,,catch,0,,1,,0,0,2.08,,
28,1,True,0,13,0,1,1,,,,catch,0,,1,,0,0,1.36,,
29,1,True,0,13,1,2,0,,,,catch,0,,1,,0,0,2.01,,
30,1,True,1,14,1,3,1,,,,catch,0,,1,,0,0,1.19,,
31,2,True,0,14,0,7,1,,,,catch,0,,1,,0,0,1.29,,
32,2,True,0,13,0,1,1,,,,catch,0,,1,,0,0,2.0,,
