trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,12,0,,,,catch,0,,1,,0,0,15.91,,
2,1,True,1,15,0,24,0,,,,catch,0,,1,,0,0,3.0,,
3,1,True,0,15,0,41,1,,,,catch,0,,1,,0,0,2.06,,
4,1,True,0,15,0,42,1,,,,catch,0,,1,,0,0,1.93,,
5,1,True,0,14,1,27,0,,,,catch,0,,1,,0,0,1.45,,
6,1,True,0,15,0,41,1,,,,catch,0,,1,,0,0,1.48,,
7,1,True,0,15,0,44,1,,,,catch,0,,1,,0,0,1.45,,
8,1,True,1,14,0,19,0,,,,catch,0,,1,,0,0,1.73,,
9,1,True,1,15,1,24,1,,,,catch,0,,1,,0,0,1.3,,
10,1,True,1,15,0,23,0,,,,catch,0,,1,,0,0,1.15,,
11,1,True,0,15,0,42,1,,,,catch,0,,1,,0,0,2.02,,
12,1,True,0,15,1,35,0,,,,catch,0,,1,,0,0,1.43,,
13,1,True,0,15,0,41,1,,,,catch,0,,1,,0,0,1.34,,
14,1,True,1,15,0,41,0,,,,catch,0,,1,,0,0,1.42,,
15,1,True,1,15,1,38,1,,,,catch,0,,1,,0,0,1.29,,
16,1,True,0,15,0,37,1,,,,catch,0,,1,,0,0,1.15,,
17,1,True,1,14,0,36,0,,,,catch,0,,1,,0,0,1.47,,
18,1,True,0,15,1,34,0,,,,catch,0,,1,,0,0,1.13,,
19,1,True,0,15,0,20,1,,,,catch,0,,1,,0,0,1.34,,
20,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,2.04,,
21,1,True,1,15,0,41,0,,,,catch,0,,1,,0,0,1.38,,
22,1,True,0,15,0,50,1,,,,catch,0,,1,,0,0,1.69,,
23,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,2.64,,
24,1,True,1,15,0,28,0,,,,catch,0,,1,,0,0,1.25,,
25,1,True,0,15,0,17,1,,,,catch,0,,1,,0,0,1.25,,
26,1,True,0,15,0,14,1,,,,catch,0,,1,,0,0,1.38,,
27,1,True,1,14,0,6,0,,,,catch,0,,1,,0,0,1.41,,
28,1,True,0,15,0,34,1,,,,catch,0,,1,,0,0,1.44,,
29,1,True,0,15,1,20,0,,,,catch,0,,1,,0,0,1.24,,
30,1,True,1,15,0,30,0,,,,catch,0,,1,,0,0,1.42,,
31,2,True,0,15,0,40,1,,,,catch,0,,1,,0,0,1.71,,
32,2,True,1,15,0,20,0,,,,catch,0,,1,,0,0,1.62,,
33,2,True,0,15,1,27,0,,,,catch,0,,1,,0,0,1.36,,
34,2,True,0,15,0,6,1,,,,catch,0,,1,,0,0,1.96,,
35,2,True,1,15,0,38,0,,,,catch,0,,1,,0,0,1.6,,
36,2,True,0,15,1,39,0,,,,catch,0,,1,,0,0,1.41,,
37,2,True,1,15,0,44,0,,,,catch,0,,1,,0,0,1.36,,
38,2,True,0,15,0,6,1,,,,catch,0,,1,,0,0,1.3,,
39,2,True,1,15,0,16,0,,,,catch,0,,1,,0,0,1.01,,
40,2,True,0,15,1,28,0,,,,catch,0,,1,,0,0,1.44,,
41,2,True,1,15,0,15,0,,,,catch,0,,1,,0,0,1.31,,
42,2,True,0,15,0,40,1,,,,catch,0,,1,,0,0,1.85,,
43,2,True,1,15,0,42,0,,,,catch,0,,1,,0,0,1.43,,
44,2,True,0,15,1,32,0,,,,catch,0,,1,,0,0,1.58,,
45,2,True,1,15,0,21,0,,,,catch,0,,1,,0,0,1.04,,
46,2,True,0,15,0,31,1,,,,catch,0,,1,,0,0,1.27,,
47,2,True,0,15,0,41,1,,,,catch,0,,1,,0,0,1.5,,
48,2,True,0,14,1,37,0,,,,catch,0,,1,,0,0,1.77,,
49,2,True,0,15,0,25,1,,,,catch,0,,1,,0,0,1.23,,
50,2,True,1,15,0,11,0,,,,catch,0,,1,,0,0,1.9,,
51,2,True,0,15,0,42,1,,,,catch,0,,1,,0,0,1.64,,
52,2,True,0,15,0,45,1,,,,catch,0,,1,,0,0,1.56,,
53,2,True,1,14,1,38,1,,,,catch,0,,1,,0,0,1.36,,
54,2,True,1,14,0,44,0,,,,catch,0,,1,,0,0,1.3,,
55,2,True,0,15,0,29,1,,,,catch,0,,1,,0,0,1.12,,
56,2,True,0,15,0,36,1,,,,catch,0,,1,,0,0,1.77,,
57,2,True,0,14,0,17,1,,,,catch,0,,1,,0,0,1.52,,
58,2,True,1,14,1,26,1,,,,catch,0,,1,,0,0,1.42,,
59,2,True,1,13,1,27,1,,,,catch,0,,1,,0,0,1.18,,
60,2,True,1,13,0,25,0,,,,catch,0,,1,,0,0,1.25,,
61,3,False,1,14,0,18,0,1,20,1,forceblk4,1,1,0,1,1,0,2.06,2.31,3.33
62,3,False,0,14,0,23,1,1,22,0,forceblk4,2,2,0,1,0,0,2.23,1.85,2.86
63,3,False,0,14,0,37,1,0,26,1,forceblk4,2,2,0,0,1,0,1.53,1.59,2.61
64,3,False,0,14,0,33,1,0,37,1,forceblk4,1,1,0,0,1,0,2.34,1.51,2.53
65,3,False,1,14,0,38,0,1,29,1,forceblk4,2,2,0,1,1,0,1.41,2.88,3.89
66,3,False,0,14,0,25,1,1,12,0,forceblk4,1,1,0,1,0,0,1.27,1.16,2.17
67,3,False,0,14,0,30,1,0,36,1,forceblk4,1,1,0,0,1,0,1.31,1.28,2.28
68,3,False,0,14,0,21,1,1,15,0,forceblk4,2,2,0,1,0,0,2.21,0.75,1.76
69,3,False,0,14,0,15,1,0,36,1,forceblk4,1,1,0,0,1,0,1.63,1.28,2.29
70,3,False,0,14,0,33,1,0,24,1,forceblk4,2,2,0,0,1,0,2.59,1.64,2.65
71,3,False,1,14,1,34,1,1,39,1,forceblk4,1,1,0,1,1,0,1.4,1.36,2.37
72,3,False,0,14,1,39,0,0,27,1,forceblk4,2,2,0,0,1,0,1.58,1.67,2.67
73,3,False,0,14,0,35,1,1,29,0,forceblk4,1,1,0,1,0,0,1.56,1.62,2.62
74,3,False,0,14,0,43,1,0,36,1,forceblk4,2,2,0,0,1,0,1.99,1.26,2.27
75,3,False,0,14,0,31,1,0,50,1,forceblk4,2,2,0,0,1,0,2.33,1.86,2.87
76,3,False,0,14,0,20,1,1,31,0,forceblk4,2,2,0,1,0,0,2.59,1.61,2.63
77,3,False,0,14,0,18,1,0,23,1,forceblk4,1,1,0,0,1,0,1.99,0.97,1.98
78,3,False,1,14,1,19,1,0,35,0,forceblk4,2,2,0,0,0,0,1.53,1.87,2.88
79,3,False,1,14,1,31,1,1,38,1,forceblk4,1,1,0,1,1,0,1.49,1.16,2.17
80,3,False,1,14,1,30,1,1,38,1,forceblk4,2,2,0,1,1,0,1.83,1.39,2.41
81,3,False,0,14,0,24,1,0,35,1,forceblk4,1,1,0,0,1,0,1.37,2.44,3.45
82,3,False,1,14,0,19,0,1,24,1,forceblk4,2,2,0,1,1,0,1.21,1.29,2.31
83,3,False,0,14,0,35,1,0,43,1,forceblk4,1,1,0,0,1,0,2.12,1.03,2.04
84,3,False,1,14,0,27,0,1,27,1,forceblk4,1,1,0,1,1,0,2.19,1.05,2.05
85,3,False,1,14,0,32,0,1,41,1,forceblk4,2,2,0,1,1,0,3.02,30.68,31.7
86,3,False,0,14,0,38,1,0,26,1,forceblk4,1,1,0,0,1,0,1.74,1.56,2.58
87,3,False,0,14,0,20,1,0,27,1,forceblk4,2,2,0,0,1,0,1.6,1.08,2.09
88,3,False,0,14,0,23,1,0,32,1,forceblk4,1,1,0,0,1,0,1.35,0.79,1.8
89,3,False,1,14,0,37,0,0,40,0,forceblk4,2,2,0,0,0,0,2.09,1.31,2.33
90,3,False,0,14,0,15,1,1,29,0,forceblk4,2,2,0,1,0,0,1.88,1.19,2.2
91,3,False,0,14,1,19,0,0,27,1,forceblk4,1,1,0,0,1,0,1.77,1.6,2.61
92,3,False,1,14,0,20,0,1,35,1,forceblk4,2,2,0,1,1,0,2.56,1.48,2.49
93,3,False,0,14,0,17,1,1,36,0,forceblk4,1,1,0,1,0,0,1.51,1.44,2.45
94,3,False,1,14,0,16,0,0,30,0,forceblk4,2,2,0,0,0,0,3.8,1.16,2.17
95,3,False,1,14,1,25,1,1,36,1,forceblk4,1,1,0,1,1,0,1.55,1.29,2.29
96,3,False,1,14,1,24,1,1,15,1,forceblk4,2,2,0,1,1,0,1.38,1.76,2.78
97,3,False,1,14,0,17,0,1,19,1,forceblk4,1,1,0,1,1,0,1.67,1.49,2.5
98,3,False,1,14,1,28,1,1,33,1,forceblk4,1,1,0,1,1,0,1.3,0.99,2.0
99,3,False,1,14,1,35,1,1,31,1,forceblk4,2,2,0,1,1,0,1.66,1.73,2.74
100,3,False,0,14,1,14,0,0,21,1,forceblk4,2,2,0,0,1,0,1.28,1.25,2.26
101,3,False,1,14,0,13,0,0,27,0,forceblk4,1,1,0,0,0,0,1.58,1.08,2.1
102,3,False,0,14,0,37,1,0,40,1,forceblk4,1,1,0,0,1,0,2.26,1.2,2.21
103,3,False,1,14,0,31,0,1,35,1,forceblk4,2,2,0,1,1,0,1.38,1.15,2.16
104,3,False,0,14,1,33,0,0,23,1,forceblk4,1,1,0,0,1,0,1.28,1.54,2.55
105,3,False,1,14,0,23,0,1,35,1,forceblk4,2,2,0,1,1,0,1.31,1.27,2.28
106,3,False,0,14,0,21,1,0,37,1,forceblk4,1,1,0,0,1,0,1.56,1.64,2.65
107,3,False,0,14,0,16,1,0,28,1,forceblk4,2,2,0,0,1,0,1.46,0.77,1.77
108,3,False,0,14,0,20,1,1,41,0,forceblk4,1,1,0,1,0,0,1.26,1.9,2.91
109,3,False,1,14,1,7,1,1,9,1,forceblk4,2,2,0,1,1,0,3.7,1.06,2.07
110,3,False,1,14,1,15,1,1,42,1,forceblk4,1,1,0,1,1,0,1.36,1.53,2.54
111,3,False,0,14,1,8,0,0,35,1,forceblk4,2,2,0,0,1,0,3.72,1.14,2.16
112,3,False,1,14,0,25,0,1,41,1,forceblk4,2,2,0,1,1,0,1.1,1.48,2.5
113,3,False,0,14,0,24,1,0,31,1,forceblk4,1,1,0,0,1,0,1.78,1.1,2.12
114,3,False,0,14,0,32,1,1,26,0,forceblk4,1,1,0,1,0,0,1.2,1.59,2.61
115,3,False,0,14,1,28,0,0,27,1,forceblk4,2,2,0,0,1,0,1.3,1.37,2.38
116,3,False,1,14,0,1,0,0,9,0,forceblk4,2,2,0,0,0,0,2.19,1.22,2.24
117,3,False,0,14,0,14,1,0,24,1,forceblk4,1,1,0,0,1,0,1.66,1.08,2.1
118,3,False,0,14,0,20,1,0,32,1,forceblk4,2,2,0,0,1,0,1.11,1.03,2.04
119,3,False,0,14,0,22,1,0,36,1,forceblk4,1,1,0,0,1,0,1.12,0.98,1.99
120,3,False,0,14,0,23,1,1,35,0,forceblk4,2,2,0,1,0,0,1.17,1.76,2.77
121,4,False,0,14,0,22,1,1,31,0,change,2,2,0,1,0,0,1.38,1.47,4.0
122,4,False,0,14,0,21,1,0,26,1,change,1,2,1,0,1,0,1.16,1.03,3.55
123,4,False,0,14,0,27,1,1,29,0,force,1,1,0,1,0,0,1.1,1.24,2.26
124,4,False,1,14,0,26,0,0,33,0,force,2,2,0,0,0,0,1.28,1.33,2.35
125,4,False,1,14,0,13,0,1,26,1,force,1,1,0,1,1,0,1.26,1.44,2.45
126,4,False,1,14,1,21,1,1,28,1,change,1,1,0,1,1,0,1.18,1.66,4.19
127,4,False,0,14,0,27,1,0,32,1,change,1,1,0,0,1,0,1.22,1.22,3.74
128,4,False,1,14,0,25,0,1,33,1,force,1,1,0,1,1,0,1.17,1.44,2.44
129,4,False,0,14,0,24,1,0,32,1,change,1,2,1,0,1,0,1.39,1.14,3.65
130,4,False,0,14,0,31,1,0,36,1,change,1,1,0,0,1,0,1.1,1.36,3.88
131,4,False,0,14,0,30,1,0,36,1,change,1,1,0,0,1,0,1.59,1.05,3.56
132,4,False,1,14,0,27,0,0,37,0,force,2,2,0,0,0,0,1.09,1.52,2.52
133,4,False,0,14,0,27,1,0,35,1,change,1,1,0,0,1,0,1.48,1.09,3.6
134,4,False,0,14,0,23,1,0,32,1,change,1,2,1,0,1,0,1.56,0.83,3.35
135,4,False,1,14,0,28,0,0,38,0,force,1,1,0,0,0,0,1.18,0.99,1.99
136,4,False,0,14,0,24,1,0,34,1,force,2,2,0,0,1,0,1.3,1.17,2.18
137,4,False,1,14,0,30,0,1,33,1,force,1,1,0,1,1,0,1.23,1.76,2.77
138,4,False,0,14,0,38,1,1,43,0,change,1,2,1,1,0,0,1.55,1.42,3.94
139,4,False,1,14,1,29,1,0,37,0,change,2,2,0,0,0,0,1.61,1.45,3.96
140,4,False,1,14,0,28,0,0,32,0,change,1,1,0,0,0,0,1.14,1.15,3.67
141,4,False,0,14,0,25,1,0,37,1,change,1,2,1,0,1,0,1.2,1.19,3.71
142,4,False,0,14,1,35,0,0,34,1,force,1,1,0,0,1,0,3.81,1.16,2.17
143,4,False,1,14,0,33,0,1,38,1,change,1,1,0,1,1,0,1.2,1.62,4.12
144,4,False,1,14,1,34,1,1,34,1,force,2,2,0,1,1,0,2.11,2.13,3.15
145,4,False,0,14,0,27,1,0,34,1,change,1,1,0,0,1,0,1.5,1.04,3.56
146,4,False,0,14,0,39,1,0,42,1,change,1,1,0,0,1,0,1.17,1.13,3.65
147,4,False,0,14,0,30,1,0,38,1,change,1,1,0,0,1,0,1.66,1.14,3.65
148,4,False,0,14,0,31,1,1,38,0,force,1,1,0,1,0,0,1.53,1.23,2.24
149,4,False,1,14,1,31,1,1,34,1,change,1,1,0,1,1,0,1.42,1.18,3.69
150,4,False,1,14,0,23,0,1,37,1,force,2,2,0,1,1,0,1.31,1.36,2.37
151,4,False,1,14,1,36,1,0,41,0,change,1,2,1,0,0,0,1.1,1.31,3.83
152,4,False,0,14,0,22,1,0,34,1,change,1,1,0,0,1,0,0.95,1.06,3.57
153,4,False,1,14,0,28,0,1,23,1,change,1,1,0,1,1,0,1.09,1.64,4.15
154,4,False,1,14,0,28,0,1,38,1,force,2,2,0,1,1,0,1.19,1.25,2.26
155,4,False,1,14,1,31,1,1,36,1,change,1,1,0,1,1,0,1.43,1.33,3.86
156,4,False,1,14,1,32,1,1,32,1,force,1,1,0,1,1,0,1.22,1.14,2.14
157,4,False,1,14,1,30,1,0,30,0,change,1,1,0,0,0,0,1.06,1.05,3.56
158,4,False,1,14,1,31,1,1,31,1,change,1,2,1,1,1,0,1.43,1.56,4.09
159,4,False,0,14,0,26,1,1,31,0,change,1,1,0,1,0,0,1.37,1.52,4.04
160,4,False,0,14,0,25,1,1,37,0,change,1,2,1,1,0,0,1.36,1.76,4.28
161,4,False,1,14,0,26,0,1,34,1,force,2,2,0,1,1,0,1.65,1.15,2.16
162,4,False,0,14,0,24,1,1,37,0,change,2,2,0,1,0,0,1.83,1.27,3.79
163,4,False,0,14,0,19,1,0,30,1,change,1,2,1,0,1,0,1.26,1.17,3.68
164,4,False,0,14,0,22,1,1,27,0,change,1,2,1,1,0,0,1.25,1.54,4.06
165,4,False,0,14,0,40,1,0,40,1,change,1,1,0,0,1,0,1.58,1.94,4.45
166,4,False,1,14,1,30,1,0,29,0,change,1,1,0,0,0,0,1.78,1.83,4.36
167,4,False,0,14,0,31,1,0,37,1,force,1,1,0,0,1,0,1.69,1.02,2.03
168,4,False,1,14,1,33,1,1,35,1,force,2,2,0,1,1,0,1.45,1.16,2.17
169,4,False,0,14,0,29,1,0,38,1,change,1,2,1,0,1,0,1.48,1.2,3.73
170,4,False,0,14,0,31,1,0,39,1,change,1,2,1,0,1,0,1.08,1.21,3.75
