trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,5.62,,
2,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,2.51,,
3,1,True,0,15,0,18,1,,,,catch,0,,1,,0,0,2.15,,
4,1,True,0,14,0,15,1,,,,catch,0,,1,,0,0,1.91,,
5,1,True,1,14,1,15,1,,,,catch,0,,1,,0,0,1.67,,
6,1,True,0,13,0,30,1,,,,catch,0,,1,,0,0,1.61,,
7,1,True,0,13,0,29,1,,,,catch,0,,1,,0,0,1.83,,
8,1,True,1,12,0,11,0,,,,catch,0,,1,,0,0,1.34,,
9,1,True,0,13,0,14,1,,,,catch,0,,1,,0,0,1.26,,
10,1,True,0,13,0,1,1,,,,catch,0,,1,,0,0,1.44,,
11,1,True,0,12,0,20,1,,,,catch,0,,1,,0,0,1.43,,
12,1,True,0,12,1,7,0,,,,catch,0,,1,,0,0,1.32,,
13,1,True,1,13,0,7,0,,,,catch,0,,1,,0,0,1.2,,
14,1,True,1,14,1,5,1,,,,catch,0,,1,,0,0,1.22,,
15,1,True,0,14,0,7,1,,,,catch,0,,1,,0,0,1.1,,
16,1,True,1,13,1,7,1,,,,catch,0,,1,,0,0,1.46,,
17,1,True,0,13,1,17,0,,,,catch,0,,1,,0,0,1.58,,
18,1,True,1,14,0,14,0,,,,catch,0,,1,,0,0,0.95,,
19,1,True,1,15,0,18,0,,,,catch,0,,1,,0,0,1.25,,
20,1,True,0,15,1,14,0,,,,catch,0,,1,,0,0,1.5,,
21,1,True,0,15,1,16,0,,,,catch,0,,1,,0,0,1.2,,
22,1,True,1,15,1,20,1,,,,catch,0,,1,,0,0,4.38,,
23,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,12.87,,
24,1,True,0,14,0,18,1,,,,catch,0,,1,,0,0,1.2,,
25,1,True,0,14,1,15,0,,,,catch,0,,1,,0,0,1.3,,
26,1,True,0,15,0,11,1,,,,catch,0,,1,,0,0,1.26,,
27,1,True,1,15,0,19,0,,,,catch,0,,1,,0,0,1.71,,
28,1,True,0,15,1,23,0,,,,catch,0,,1,,0,0,1.48,,
29,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,1.21,,
30,1,True,0,15,0,13,1,,,,catch,0,,1,,0,0,1.2,,
31,2,True,1,14,1,18,1,,,,catch,0,,1,,0,0,1.42,,
32,2,True,0,14,0,13,1,,,,catch,0,,1,,0,0,1.49,,
33,2,True,1,13,1,12,1,,,,catch,0,,1,,0,0,1.38,,
34,2,True,1,13,1,15,1,,,,catch,0,,1,,0,0,1.48,,
35,2,True,0,12,0,13,1,,,,catch,0,,1,,0,0,1.31,,
36,2,True,1,12,1,8,1,,,,catch,0,,1,,0,0,1.45,,
37,2,True,0,11,0,14,1,,,,catch,0,,1,,0,0,1.16,,
38,2,True,0,11,0,14,1,,,,catch,0,,1,,0,0,1.33,,
39,2,True,0,10,1,9,0,,,,catch,0,,1,,0,0,1.44,,
40,2,True,1,11,1,9,1,,,,catch,0,,1,,0,0,1.19,,
41,2,True,0,11,0,14,1,,,,catch,0,,1,,0,0,1.58,,
42,2,True,0,10,0,22,1,,,,catch,0,,1,,0,0,1.85,,
43,2,True,0,10,1,15,0,,,,catch,0,,1,,0,0,1.58,,
44,2,True,1,11,0,14,0,,,,catch,0,,1,,0,0,1.11,,
45,2,True,1,12,0,25,0,,,,catch,0,,1,,0,0,1.19,,
46,2,True,1,13,1,21,1,,,,catch,0,,1,,0,0,1.4,,
47,2,True,0,13,1,22,0,,,,catch,0,,1,,0,0,1.3,,
48,2,True,1,14,1,27,1,,,,catch,0,,1,,0,0,1.18,,
49,2,True,0,14,0,29,1,,,,catch,0,,1,,0,0,1.53,,
50,2,True,1,13,1,18,1,,,,catch,0,,1,,0,0,1.18,,
51,2,True,0,13,1,17,0,,,,catch,0,,1,,0,0,1.44,,
52,2,True,0,14,0,12,1,,,,catch,0,,1,,0,0,1.25,,
53,2,True,1,14,0,15,0,,,,catch,0,,1,,0,0,1.31,,
54,2,True,1,15,0,12,0,,,,catch,0,,1,,0,0,1.51,,
55,2,True,1,15,1,20,1,,,,catch,0,,1,,0,0,1.36,,
56,2,True,1,15,0,18,0,,,,catch,0,,1,,0,0,1.42,,
57,2,True,1,15,1,20,1,,,,catch,0,,1,,0,0,1.26,,
58,2,True,1,15,1,15,1,,,,catch,0,,1,,0,0,1.04,,
59,2,True,1,14,1,15,1,,,,catch,0,,1,,0,0,1.21,,
60,2,True,0,14,0,12,1,,,,catch,0,,1,,0,0,1.42,,
61,3,False,0,13,0,10,1,0,12,1,forceblk4,1,1,0,0,1,0,1.7,2.62,3.63
62,3,False,0,13,0,15,1,0,21,1,forceblk4,2,2,0,0,1,0,1.46,1.15,2.15
63,3,False,0,13,0,15,1,0,14,1,forceblk4,2,2,0,0,1,0,1.31,1.29,2.29
64,3,False,1,13,0,20,0,0,20,0,forceblk4,1,1,0,1,1,0,1.34,1.31,2.31
65,3,False,0,13,0,11,1,0,13,1,forceblk4,1,1,0,0,1,0,1.6,1.04,2.05
66,3,False,0,13,0,17,1,0,25,1,forceblk4,2,2,0,1,0,0,1.1,1.67,2.67
67,3,False,0,13,0,20,1,0,27,1,forceblk4,1,1,0,0,1,0,1.29,1.15,2.15
68,3,False,0,13,0,21,1,0,30,1,forceblk4,2,2,0,0,1,0,1.16,1.42,2.42
69,3,False,1,13,0,17,0,0,28,0,forceblk4,2,2,0,1,1,0,1.21,1.47,2.47
70,3,False,0,13,0,14,1,0,27,1,forceblk4,2,2,0,0,1,0,1.26,1.35,2.35
71,3,False,0,13,0,12,1,0,21,1,forceblk4,1,1,0,1,0,0,1.28,1.88,2.89
72,3,False,0,13,0,19,1,0,24,1,forceblk4,1,1,0,0,1,0,1.08,1.27,2.28
73,3,False,1,13,0,17,0,0,24,0,forceblk4,2,2,0,0,0,0,1.36,1.16,2.16
74,3,False,1,13,0,18,0,0,26,0,forceblk4,1,1,0,1,1,0,1.16,0.96,1.96
75,3,False,0,13,0,16,1,0,18,1,forceblk4,2,2,0,0,1,0,8.95,1.07,2.07
76,3,False,0,13,0,19,1,0,24,1,forceblk4,1,1,0,0,1,0,1.35,1.27,2.27
