trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,7.26,,
2,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,6.53,,
3,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,1.45,,
4,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,1.21,,
5,1,True,1,15,1,21,1,,,,catch,0,,1,,0,0,1.34,,
6,1,True,1,14,0,43,0,,,,catch,0,,1,,0,0,2.16,,
7,1,True,1,15,1,20,1,,,,catch,0,,1,,0,0,1.09,,
8,1,True,0,15,1,11,0,,,,catch,0,,1,,0,0,1.31,,
9,1,True,0,15,1,4,0,,,,catch,0,,1,,0,0,1.37,,
10,1,True,1,15,1,13,1,,,,catch,0,,1,,0,0,1.81,,
11,1,True,1,15,1,22,1,,,,catch,0,,1,,0,0,1.93,,
12,1,True,1,14,0,33,0,,,,catch,0,,1,,0,0,2.08,,
13,1,True,1,15,1,44,1,,,,catch,0,,1,,0,0,1.35,,
14,1,True,1,15,1,41,1,,,,catch,0,,1,,0,0,1.4,,
15,1,True,0,14,0,37,1,,,,catch,0,,1,,0,0,1.26,,
16,1,True,0,14,0,12,1,,,,catch,0,,1,,0,0,1.96,,
17,1,True,1,13,0,15,0,,,,catch,0,,1,,0,0,1.71,,
18,1,True,1,14,1,7,1,,,,catch,0,,1,,0,0,1.34,,
19,1,True,0,14,0,22,1,,,,catch,0,,1,,0,0,1.21,,
20,1,True,0,13,1,29,0,,,,catch,0,,1,,0,0,1.28,,
21,1,True,0,14,1,17,0,,,,catch,0,,1,,0,0,1.36,,
22,1,True,1,15,1,11,1,,,,catch,0,,1,,0,0,1.41,,
23,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,2.64,,
24,1,True,0,14,0,25,1,,,,catch,0,,1,,0,0,1.5,,
25,1,True,1,14,0,37,0,,,,catch,0,,1,,0,0,2.42,,
26,1,True,0,15,0,31,1,,,,catch,0,,1,,0,0,1.22,,
27,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,2.31,,
