trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,43,1,,,,catch,0,,1,,0,0,4.95,,
2,1,True,1,15,0,26,0,,,,catch,0,,1,,0,0,4.46,,
3,1,True,0,15,1,37,0,,,,catch,0,,1,,0,0,3.64,,
4,1,True,1,15,1,19,1,,,,catch,0,,1,,0,0,2.42,,
5,1,True,1,15,1,21,1,,,,catch,0,,1,,0,0,2.38,,
6,1,True,1,14,1,12,1,,,,catch,0,,1,,0,0,5.02,,
7,1,True,1,14,0,35,0,,,,catch,0,,1,,0,0,4.73,,
8,1,True,0,15,0,6,1,,,,catch,0,,1,,0,0,2.61,,
9,1,True,0,15,1,23,0,,,,catch,0,,1,,0,0,3.61,,
10,1,True,0,15,0,26,1,,,,catch,0,,1,,0,0,3.5,,
11,1,True,1,15,1,6,1,,,,catch,0,,1,,0,0,3.34,,
12,1,True,0,14,0,9,1,,,,catch,0,,1,,0,0,4.87,,
13,1,True,0,14,0,37,1,,,,catch,0,,1,,0,0,2.05,,
14,1,True,0,13,1,11,0,,,,catch,0,,1,,0,0,2.45,,
15,1,True,1,14,1,17,1,,,,catch,0,,1,,0,0,2.2,,
16,1,True,1,14,0,31,0,,,,catch,0,,1,,0,0,2.17,,
17,1,True,0,15,0,48,1,,,,catch,0,,1,,0,0,2.5,,
18,1,True,1,15,1,27,1,,,,catch,0,,1,,0,0,2.08,,
19,1,True,0,14,0,44,1,,,,catch,0,,1,,0,0,1.79,,
20,1,True,1,14,1,13,1,,,,catch,0,,1,,0,0,1.95,,
21,1,True,0,13,0,40,1,,,,catch,0,,1,,0,0,1.71,,
22,1,True,0,13,1,4,0,,,,catch,0,,1,,0,0,2.97,,
23,1,True,1,14,1,11,1,,,,catch,0,,1,,0,0,2.42,,
24,1,True,1,14,0,26,0,,,,catch,0,,1,,0,0,1.91,,
25,1,True,0,15,0,31,1,,,,catch,0,,1,,0,0,1.94,,
26,1,True,0,15,1,20,0,,,,catch,0,,1,,0,0,1.71,,
27,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,2.22,,
28,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,2.04,,
29,1,True,1,15,1,22,1,,,,catch,0,,1,,0,0,1.53,,
30,1,True,1,14,0,30,0,,,,catch,0,,1,,0,0,1.95,,
31,2,True,0,15,0,31,1,,,,catch,0,,1,,0,0,1.74,,
32,2,True,1,15,1,23,1,,,,catch,0,,1,,0,0,1.46,,
33,2,True,0,14,0,12,1,,,,catch,0,,1,,0,0,1.96,,
34,2,True,1,14,1,2,1,,,,catch,0,,1,,0,0,2.61,,
35,2,True,1,13,0,22,0,,,,catch,0,,1,,0,0,1.45,,
36,2,True,1,14,0,3,0,,,,catch,0,,1,,0,0,1.87,,
37,2,True,1,15,1,22,1,,,,catch,0,,1,,0,0,2.24,,
38,2,True,1,15,1,18,1,,,,catch,0,,1,,0,0,1.4,,
39,2,True,0,14,0,31,1,,,,catch,0,,1,,0,0,1.67,,
40,2,True,1,14,0,39,0,,,,catch,0,,1,,0,0,2.1,,
41,2,True,1,15,1,21,1,,,,catch,0,,1,,0,0,1.63,,
42,2,True,1,15,0,1,0,,,,catch,0,,1,,0,0,2.13,,
43,2,True,0,15,0,27,1,,,,catch,0,,1,,0,0,1.51,,
44,2,True,1,15,1,19,1,,,,catch,0,,1,,0,0,1.37,,
45,2,True,1,14,0,19,0,,,,catch,0,,1,,0,0,2.0,,
46,2,True,1,15,0,34,0,,,,catch,0,,1,,0,0,1.89,,
47,2,True,0,15,0,4,1,,,,catch,0,,1,,0,0,2.23,,
48,2,True,1,15,0,1,0,,,,catch,0,,1,,0,0,3.08,,
49,2,True,1,15,1,26,1,,,,catch,0,,1,,0,0,1.64,,
50,2,True,1,15,0,28,0,,,,catch,0,,1,,0,0,2.0,,
51,2,True,1,15,1,16,1,,,,catch,0,,1,,0,0,1.56,,
52,2,True,0,15,1,9,0,,,,catch,0,,1,,0,0,2.55,,
53,2,True,1,15,0,1,0,,,,catch,0,,1,,0,0,1.76,,
54,2,True,1,15,1,21,1,,,,catch,0,,1,,0,0,1.51,,
55,2,True,1,15,0,28,0,,,,catch,0,,1,,0,0,1.99,,
56,2,True,0,15,0,25,1,,,,catch,0,,1,,0,0,1.49,,
57,2,True,0,15,0,34,1,,,,catch,0,,1,,0,0,2.43,,
58,2,True,0,14,0,3,1,,,,catch,0,,1,,0,0,1.84,,
59,2,True,0,14,0,49,1,,,,catch,0,,1,,0,0,2.24,,
60,2,True,1,13,0,29,0,,,,catch,0,,1,,0,0,2.54,,
61,3,False,0,14,0,28,1,0,28,1,forceblk4,2,2,0,0,1,0,3.02,10.68,11.7
62,3,False,0,14,1,12,0,0,23,1,forceblk4,2,2,0,0,1,0,1.85,4.07,5.08
63,3,False,1,14,0,13,0,0,5,0,forceblk4,1,1,0,1,1,0,2.32,3.71,4.73
64,3,False,0,14,0,26,1,0,26,1,forceblk4,1,1,0,1,0,0,2.26,3.22,4.22
65,3,False,0,14,1,4,0,1,24,0,forceblk4,2,2,0,1,0,0,2.44,2.13,3.15
66,3,False,1,14,0,20,0,1,9,1,forceblk4,1,1,0,1,1,0,2.34,3.71,4.74
67,3,False,1,14,0,17,0,1,8,1,forceblk4,2,2,0,1,1,0,1.9,2.55,3.55
68,3,False,0,14,0,26,1,0,27,1,forceblk4,2,2,0,0,1,0,3.88,1.84,2.86
69,3,False,0,14,1,3,0,0,15,1,forceblk4,1,1,0,0,1,0,1.82,2.31,3.32
70,3,False,0,14,0,44,1,0,46,1,forceblk4,2,2,0,0,1,0,1.91,2.0,3.01
71,3,False,0,14,0,23,1,0,23,1,forceblk4,1,1,0,0,1,0,1.7,1.65,2.65
72,3,False,1,14,1,13,1,1,19,1,forceblk4,2,2,0,1,1,0,1.7,1.62,2.64
73,3,False,0,14,0,32,1,0,33,1,forceblk4,1,1,0,0,1,0,1.6,1.59,2.61
74,3,False,0,14,0,34,1,0,33,1,forceblk4,2,2,0,1,0,0,2.07,3.05,4.06
75,3,False,0,14,0,36,1,0,35,1,forceblk4,1,1,0,0,1,0,1.73,1.5,2.52
76,3,False,0,14,0,28,1,0,30,1,forceblk4,2,2,0,0,1,0,1.7,1.7,2.71
77,3,False,1,14,1,29,1,1,29,1,forceblk4,1,1,0,0,0,0,1.64,1.51,2.53
78,3,False,0,14,0,9,1,0,9,1,forceblk4,1,1,0,0,1,0,2.51,1.55,2.56
79,3,False,1,14,1,17,1,1,36,1,forceblk4,2,2,0,1,1,0,1.58,1.23,2.25
