trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,19,1,,,,catch,0,,1,,0,0,37.76,,
2,1,True,1,15,1,38,1,,,,catch,0,,1,,0,0,4.84,,
3,1,True,1,15,1,40,1,,,,catch,0,,1,,0,0,4.97,,
4,1,True,0,14,0,40,1,,,,catch,0,,1,,0,0,4.21,,
5,1,True,0,14,0,42,1,,,,catch,0,,1,,0,0,3.24,,
6,1,True,0,13,1,21,0,,,,catch,0,,1,,0,0,4.77,,
7,1,True,0,14,0,33,1,,,,catch,0,,1,,0,0,4.21,,
8,1,True,1,14,0,38,0,,,,catch,0,,1,,0,0,2.75,,
9,1,True,1,15,0,40,0,,,,catch,0,,1,,0,0,3.22,,
10,1,True,1,15,1,33,1,,,,catch,0,,1,,0,0,2.66,,
11,1,True,0,15,0,41,1,,,,catch,0,,1,,0,0,3.03,,
12,1,True,0,14,0,42,1,,,,catch,0,,1,,0,0,2.21,,
13,1,True,0,14,0,47,1,,,,catch,0,,1,,0,0,2.48,,
14,1,True,0,13,0,49,1,,,,catch,0,,1,,0,0,2.39,,
15,1,True,0,13,0,50,1,,,,catch,0,,1,,0,0,2.33,,
16,1,True,1,12,0,50,0,,,,catch,0,,1,,0,0,2.11,,
17,1,True,0,13,0,41,1,,,,catch,0,,1,,0,0,3.51,,
18,1,True,0,13,1,43,0,,,,catch,0,,1,,0,0,2.37,,
19,1,True,1,14,1,34,1,,,,catch,0,,1,,0,0,2.76,,
20,1,True,0,14,0,42,1,,,,catch,0,,1,,0,0,2.83,,
21,1,True,1,13,0,36,0,,,,catch,0,,1,,0,0,2.2,,
22,1,True,0,14,0,36,1,,,,catch,0,,1,,0,0,2.82,,
23,1,True,0,14,0,40,1,,,,catch,0,,1,,0,0,2.35,,
24,1,True,0,13,1,35,0,,,,catch,0,,1,,0,0,1.87,,
25,1,True,0,14,0,43,1,,,,catch,0,,1,,0,0,2.1,,
26,1,True,1,14,0,39,0,,,,catch,0,,1,,0,0,1.73,,
27,1,True,1,15,1,14,1,,,,catch,0,,1,,0,0,2.76,,
28,1,True,1,15,1,23,1,,,,catch,0,,1,,0,0,1.9,,
29,1,True,1,14,0,24,0,,,,catch,0,,1,,0,0,2.5,,
30,1,True,0,15,1,15,0,,,,catch,0,,1,,0,0,2.04,,
31,2,True,1,15,0,36,0,,,,catch,0,,1,,0,0,2.08,,
32,2,True,1,15,0,20,0,,,,catch,0,,1,,0,0,2.45,,
33,2,True,0,15,1,23,0,,,,catch,0,,1,,0,0,1.65,,
34,2,True,1,15,0,25,0,,,,catch,0,,1,,0,0,1.6,,
35,2,True,1,15,0,20,0,,,,catch,0,,1,,0,0,1.71,,
36,2,True,1,15,1,10,1,,,,catch,0,,1,,0,0,2.07,,
37,2,True,0,15,0,32,1,,,,catch,0,,1,,0,0,2.51,,
38,2,True,0,14,0,44,1,,,,catch,0,,1,,0,0,1.81,,
39,2,True,0,14,0,48,1,,,,catch,0,,1,,0,0,2.27,,
40,2,True,1,13,0,50,0,,,,catch,0,,1,,0,0,1.87,,
41,2,True,0,14,0,21,1,,,,catch,0,,1,,0,0,1.75,,
42,2,True,0,14,0,24,1,,,,catch,0,,1,,0,0,3.23,,
43,2,True,1,13,0,22,0,,,,catch,0,,1,,0,0,1.59,,
44,2,True,0,14,0,21,1,,,,catch,0,,1,,0,0,1.67,,
45,2,True,0,14,0,17,1,,,,catch,0,,1,,0,0,1.62,,
46,2,True,0,13,0,15,1,,,,catch,0,,1,,0,0,1.49,,
47,2,True,1,13,1,16,1,,,,catch,0,,1,,0,0,1.87,,
48,2,True,0,12,0,13,1,,,,catch,0,,1,,0,0,2.26,,
49,2,True,1,12,0,13,0,,,,catch,0,,1,,0,0,1.49,,
50,2,True,1,13,1,11,1,,,,catch,0,,1,,0,0,1.9,,
51,2,True,1,13,0,10,0,,,,catch,0,,1,,0,0,2.87,,
52,2,True,1,14,0,12,0,,,,catch,0,,1,,0,0,2.09,,
53,2,True,1,15,0,7,0,,,,catch,0,,1,,0,0,2.51,,
54,2,True,0,15,0,3,1,,,,catch,0,,1,,0,0,3.3,,
55,2,True,1,15,1,9,1,,,,catch,0,,1,,0,0,2.33,,
56,2,True,0,14,0,6,1,,,,catch,0,,1,,0,0,2.36,,
57,2,True,1,14,0,42,0,,,,catch,0,,1,,0,0,2.38,,
58,2,True,0,15,0,28,1,,,,catch,0,,1,,0,0,4.83,,
59,2,True,0,15,0,23,1,,,,catch,0,,1,,0,0,2.04,,
60,2,True,1,14,0,14,0,,,,catch,0,,1,,0,0,2.04,,
61,3,False,0,15,0,23,1,0,31,1,forceblk4,2,2,0,0,1,0,3.54,6.67,7.69
62,3,False,1,15,0,17,0,0,19,0,forceblk4,1,1,0,1,1,0,4.04,3.86,4.87
63,3,False,1,15,0,35,0,0,35,0,forceblk4,2,2,0,0,0,0,3.74,2.18,3.19
64,3,False,1,15,1,29,1,1,29,1,forceblk4,1,1,0,1,1,0,2.31,2.51,3.52
65,3,False,1,15,1,25,1,1,26,1,forceblk4,2,2,0,1,1,0,1.99,2.0,3.01
66,3,False,0,15,0,36,1,0,37,1,forceblk4,1,1,0,0,1,0,2.34,2.22,3.22
67,3,False,0,15,0,35,1,0,35,1,forceblk4,2,2,0,0,1,0,2.31,2.53,3.54
68,3,False,1,15,0,38,0,0,38,0,forceblk4,1,1,0,1,1,0,2.33,6.2,7.21
69,3,False,1,15,1,32,1,1,33,1,forceblk4,2,2,0,1,1,0,2.45,2.0,3.01
70,3,False,1,15,1,25,1,1,26,1,forceblk4,2,2,0,1,1,0,2.4,2.6,3.61
71,3,False,1,15,0,33,0,1,28,1,forceblk4,1,1,0,1,1,0,2.05,3.02,4.02
72,3,False,1,15,1,31,1,1,31,1,forceblk4,2,2,0,1,1,0,1.92,2.05,3.06
73,3,False,1,15,1,32,1,1,32,1,forceblk4,1,1,0,1,1,0,1.96,1.9,2.91
74,3,False,0,15,0,42,1,0,43,1,forceblk4,1,1,0,0,1,0,1.87,1.68,2.69
75,3,False,1,15,0,48,0,1,42,1,forceblk4,2,2,0,1,1,0,3.03,3.77,4.78
76,3,False,1,15,0,31,0,1,37,1,forceblk4,2,2,0,1,1,0,2.03,2.71,3.71
77,3,False,1,15,0,37,0,0,42,0,forceblk4,1,1,0,0,0,0,1.75,1.73,2.74
78,3,False,0,15,0,38,1,0,41,1,forceblk4,2,2,0,0,1,0,2.1,1.76,2.76
79,3,False,1,15,0,34,0,1,39,1,forceblk4,1,1,0,1,1,0,2.13,2.13,3.14
80,3,False,1,15,0,32,0,0,33,0,forceblk4,2,2,0,0,0,0,1.62,2.14,3.15
81,3,False,1,15,1,26,1,0,27,0,forceblk4,1,1,0,0,0,0,2.32,1.9,2.91
82,3,False,0,15,0,37,1,0,38,1,forceblk4,1,1,0,0,1,0,2.62,1.64,2.66
83,3,False,0,15,0,43,1,1,40,0,forceblk4,1,1,0,1,0,0,1.77,2.1,3.11
84,3,False,0,15,0,46,1,0,47,1,forceblk4,2,2,0,0,1,0,1.82,2.98,3.99
85,3,False,0,15,0,40,1,0,40,1,forceblk4,2,2,0,0,1,0,1.46,1.56,2.57
86,3,False,0,15,0,49,1,0,50,1,forceblk4,1,1,0,0,1,0,2.26,3.35,4.36
87,3,False,1,15,0,50,0,1,42,1,forceblk4,2,2,0,1,1,0,2.4,2.64,3.65
88,3,False,1,15,0,27,0,1,34,1,forceblk4,2,2,0,1,1,0,2.15,3.31,4.32
89,3,False,0,15,0,48,1,0,50,1,forceblk4,1,1,0,0,1,0,2.64,1.99,2.99
90,3,False,1,15,1,10,1,1,16,1,forceblk4,1,1,0,1,1,0,2.73,2.07,3.08
91,3,False,0,15,0,28,1,0,28,1,forceblk4,2,2,0,0,1,0,2.13,1.8,2.81
92,3,False,1,15,0,45,0,1,38,1,forceblk4,2,2,0,1,1,0,1.7,2.35,3.36
93,3,False,0,15,0,43,1,0,50,1,forceblk4,1,1,0,0,1,0,1.98,2.2,3.21
94,3,False,1,15,0,48,0,1,39,1,forceblk4,2,2,0,1,1,0,1.91,2.14,3.15
95,3,False,1,15,0,42,0,1,42,1,forceblk4,1,1,0,1,1,0,2.12,1.74,2.75
96,3,False,0,15,0,46,1,0,46,1,forceblk4,2,2,0,1,0,0,1.79,2.52,3.53
97,3,False,1,15,0,50,0,0,50,0,forceblk4,1,1,0,0,0,0,3.6,2.59,3.6
98,3,False,0,15,0,28,1,0,50,1,forceblk4,1,1,0,0,1,0,2.69,2.09,3.1
99,3,False,1,15,1,22,1,0,38,0,forceblk4,2,2,0,0,0,0,1.79,1.55,2.56
100,3,False,0,15,0,34,1,0,36,1,forceblk4,1,1,0,0,1,0,1.75,2.45,3.46
101,3,False,1,15,0,27,0,1,35,1,forceblk4,1,1,0,1,1,0,1.81,1.65,2.66
102,3,False,0,15,0,36,1,0,38,1,forceblk4,2,2,0,0,1,0,2.66,2.01,3.02
103,3,False,0,15,0,35,1,1,30,0,forceblk4,1,1,0,1,0,0,3.88,1.32,2.33
104,3,False,0,15,0,43,1,1,30,0,forceblk4,2,2,0,1,0,0,5.56,1.61,2.61
105,3,False,0,15,1,18,0,0,32,1,forceblk4,2,2,0,0,1,0,5.08,1.95,2.97
106,3,False,0,15,0,22,1,0,39,1,forceblk4,1,1,0,0,1,0,3.49,1.55,2.56
107,3,False,0,15,0,43,1,0,47,1,forceblk4,1,1,0,0,1,0,2.64,1.58,2.59
108,3,False,1,15,1,20,1,0,34,0,forceblk4,2,2,0,0,0,0,3.11,1.62,2.63
109,3,False,1,15,0,32,0,1,16,1,forceblk4,2,2,0,1,1,0,3.96,1.31,2.32
110,3,False,0,15,0,10,1,0,29,1,forceblk4,1,1,0,0,1,0,3.1,2.83,3.84
111,3,False,0,15,1,13,0,1,19,0,forceblk4,2,2,0,1,0,0,3.17,1.53,2.53
112,3,False,1,15,0,17,0,1,12,1,forceblk4,1,1,0,1,1,0,3.45,1.33,2.34
113,3,False,0,15,0,7,1,1,5,0,forceblk4,2,2,0,1,0,0,2.76,2.36,3.36
114,3,False,0,15,0,43,1,0,44,1,forceblk4,2,2,0,0,1,0,3.76,1.72,2.73
115,3,False,1,15,0,15,0,1,15,1,forceblk4,1,1,0,1,1,0,3.53,1.48,2.49
116,3,False,1,15,1,13,1,1,13,1,forceblk4,2,2,0,1,1,0,2.43,1.14,2.15
117,3,False,0,15,0,10,1,0,35,1,forceblk4,1,1,0,0,1,0,2.89,1.53,2.53
