trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,18,0,,,,catch,0,,1,,0,0,21.53,,
2,1,True,0,15,0,29,1,,,,catch,0,,1,,0,0,11.17,,
3,1,True,1,15,1,23,1,,,,catch,0,,1,,0,0,4.89,,
4,1,True,1,14,1,32,1,,,,catch,0,,1,,0,0,10.94,,
5,1,True,0,14,0,24,1,,,,catch,0,,1,,0,0,7.25,,
6,1,True,0,13,1,22,0,,,,catch,0,,1,,0,0,5.84,,
7,1,True,0,14,1,31,0,,,,catch,0,,1,,0,0,2.96,,
8,1,True,0,15,0,18,1,,,,catch,0,,1,,0,0,19.85,,
9,1,True,0,15,0,31,1,,,,catch,0,,1,,0,0,3.28,,
10,1,True,1,14,1,28,1,,,,catch,0,,1,,0,0,3.21,,
11,1,True,0,14,1,11,0,,,,catch,0,,1,,0,0,4.48,,
12,1,True,0,15,1,20,0,,,,catch,0,,1,,0,0,2.9,,
13,1,True,1,15,1,26,1,,,,catch,0,,1,,0,0,2.99,,
14,1,True,1,15,1,22,1,,,,catch,0,,1,,0,0,3.05,,
15,1,True,0,14,0,19,1,,,,catch,0,,1,,0,0,2.51,,
16,1,True,0,14,1,22,0,,,,catch,0,,1,,0,0,2.79,,
17,1,True,0,15,0,23,1,,,,catch,0,,1,,0,0,10.8,,
18,1,True,1,15,1,20,1,,,,catch,0,,1,,0,0,3.58,,
19,1,True,0,14,1,15,0,,,,catch,0,,1,,0,0,2.47,,
20,1,True,1,15,1,16,1,,,,catch,0,,1,,0,0,2.4,,
21,1,True,1,15,1,13,1,,,,catch,0,,1,,0,0,5.01,,
22,1,True,1,14,1,13,1,,,,catch,0,,1,,0,0,2.61,,
23,1,True,1,14,1,10,1,,,,catch,0,,1,,0,0,2.55,,
