trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,4,0,,,,catch,0,,1,,0,0,8.02,,
2,1,True,0,15,0,4,1,,,,catch,0,,1,,0,0,1.89,,
3,1,True,1,15,0,6,0,,,,catch,0,,1,,0,0,3.98,,
4,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,1.32,,
5,1,True,0,15,1,12,0,,,,catch,0,,1,,0,0,1.29,,
6,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,1.6,,
7,1,True,1,15,1,31,1,,,,catch,0,,1,,0,0,1.55,,
8,1,True,1,14,1,36,1,,,,catch,0,,1,,0,0,1.54,,
9,1,True,1,14,1,36,1,,,,catch,0,,1,,0,0,1.32,,
10,1,True,1,13,1,24,1,,,,catch,0,,1,,0,0,1.42,,
11,1,True,1,13,1,21,1,,,,catch,0,,1,,0,0,1.07,,
12,1,True,0,12,1,15,0,,,,catch,0,,1,,0,0,1.34,,
13,1,True,1,13,1,22,1,,,,catch,0,,1,,0,0,1.2,,
14,1,True,0,13,1,20,0,,,,catch,0,,1,,0,0,1.1,,
15,1,True,1,14,1,17,1,,,,catch,0,,1,,0,0,1.31,,
16,1,True,0,14,0,19,1,,,,catch,0,,1,,0,0,1.18,,
17,1,True,0,13,0,20,1,,,,catch,0,,1,,0,0,1.44,,
18,1,True,1,13,1,16,1,,,,catch,0,,1,,0,0,1.15,,
19,1,True,0,12,0,10,1,,,,catch,0,,1,,0,0,1.19,,
20,1,True,0,12,0,12,1,,,,catch,0,,1,,0,0,1.52,,
21,1,True,0,11,0,15,1,,,,catch,0,,1,,0,0,1.58,,
22,1,True,0,11,1,13,0,,,,catch,0,,1,,0,0,1.25,,
23,1,True,0,12,1,15,0,,,,catch,0,,1,,0,0,1.2,,
