trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,1,1,,,,catch,0,,1,,0,0,22.73,,
2,1,True,1,15,0,40,0,,,,catch,0,,1,,0,0,6.54,,
3,1,True,1,15,0,26,0,,,,catch,0,,1,,0,0,1.82,,
4,1,True,0,15,0,26,1,,,,catch,0,,1,,0,0,2.43,,
5,1,True,1,15,0,27,0,,,,catch,0,,1,,0,0,1.92,,
6,1,True,0,15,0,33,1,,,,catch,0,,1,,0,0,1.82,,
7,1,True,1,15,1,18,1,,,,catch,0,,1,,0,0,1.99,,
8,1,True,1,14,0,19,0,,,,catch,0,,1,,0,0,1.66,,
9,1,True,0,15,0,31,1,,,,catch,0,,1,,0,0,1.81,,
10,1,True,0,15,0,34,1,,,,catch,0,,1,,0,0,1.49,,
11,1,True,0,14,0,15,1,,,,catch,0,,1,,0,0,2.31,,
12,1,True,1,14,1,22,1,,,,catch,0,,1,,0,0,2.31,,
13,1,True,0,13,1,8,0,,,,catch,0,,1,,0,0,2.54,,
14,1,True,0,14,0,25,1,,,,catch,0,,1,,0,0,1.86,,
15,1,True,0,14,0,19,1,,,,catch,0,,1,,0,0,1.2,,
16,1,True,1,13,0,21,0,,,,catch,0,,1,,0,0,1.36,,
17,1,True,1,14,0,12,0,,,,catch,0,,1,,0,0,1.35,,
18,1,True,1,15,0,9,0,,,,catch,0,,1,,0,0,1.91,,
19,1,True,0,15,0,10,1,,,,catch,0,,1,,0,0,1.53,,
20,1,True,1,15,1,21,1,,,,catch,0,,1,,0,0,2.31,,
21,1,True,0,14,0,30,1,,,,catch,0,,1,,0,0,2.32,,
22,1,True,0,14,0,26,1,,,,catch,0,,1,,0,0,2.0,,
23,1,True,1,13,1,35,1,,,,catch,0,,1,,0,0,1.63,,
24,1,True,0,13,1,5,0,,,,catch,0,,1,,0,0,1.88,,
25,1,True,1,14,1,18,1,,,,catch,0,,1,,0,0,1.85,,
26,1,True,0,14,0,12,1,,,,catch,0,,1,,0,0,2.01,,
27,1,True,1,13,0,30,0,,,,catch,0,,1,,0,0,1.38,,
28,1,True,0,14,0,35,1,,,,catch,0,,1,,0,0,1.38,,
29,1,True,1,14,1,15,1,,,,catch,0,,1,,0,0,1.98,,
30,1,True,1,13,0,4,0,,,,catch,0,,1,,0,0,2.42,,
31,2,True,1,14,1,14,1,,,,catch,0,,1,,0,0,1.59,,
32,2,True,0,14,0,30,1,,,,catch,0,,1,,0,0,2.24,,
33,2,True,1,13,0,25,0,,,,catch,0,,1,,0,0,1.39,,
34,2,True,0,14,0,6,1,,,,catch,0,,1,,0,0,1.45,,
35,2,True,1,14,1,12,1,,,,catch,0,,1,,0,0,1.29,,
36,2,True,1,13,1,19,1,,,,catch,0,,1,,0,0,1.72,,
37,2,True,0,13,0,31,1,,,,catch,0,,1,,0,0,1.8,,
38,2,True,1,12,1,32,1,,,,catch,0,,1,,0,0,1.28,,
39,2,True,0,12,1,6,0,,,,catch,0,,1,,0,0,1.3,,
40,2,True,1,13,0,22,0,,,,catch,0,,1,,0,0,1.79,,
41,2,True,0,14,1,8,0,,,,catch,0,,1,,0,0,1.93,,
42,2,True,0,15,0,9,1,,,,catch,0,,1,,0,0,1.1,,
43,2,True,1,15,0,22,0,,,,catch,0,,1,,0,0,1.14,,
44,2,True,1,15,0,25,0,,,,catch,0,,1,,0,0,1.3,,
