trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,25.9,,
2,1,True,1,15,1,26,1,,,,catch,0,,1,,0,0,4.74,,
3,1,True,1,15,1,20,1,,,,catch,0,,1,,0,0,1.62,,
4,1,True,0,14,1,35,0,,,,catch,0,,1,,0,0,2.48,,
5,1,True,1,15,1,19,1,,,,catch,0,,1,,0,0,1.61,,
6,1,True,0,15,0,33,1,,,,catch,0,,1,,0,0,2.05,,
7,1,True,1,14,1,25,1,,,,catch,0,,1,,0,0,1.56,,
8,1,True,1,14,1,29,1,,,,catch,0,,1,,0,0,2.23,,
9,1,True,1,13,0,26,0,,,,catch,0,,1,,0,0,1.64,,
10,1,True,0,14,0,30,1,,,,catch,0,,1,,0,0,1.27,,
11,1,True,1,14,1,23,1,,,,catch,0,,1,,0,0,1.47,,
12,1,True,0,13,0,19,1,,,,catch,0,,1,,0,0,1.78,,
13,1,True,0,13,1,23,0,,,,catch,0,,1,,0,0,1.64,,
14,1,True,0,14,0,20,1,,,,catch,0,,1,,0,0,3.11,,
15,1,True,0,14,1,27,0,,,,catch,0,,1,,0,0,1.76,,
16,1,True,0,15,0,13,1,,,,catch,0,,1,,0,0,1.79,,
17,1,True,0,15,1,19,0,,,,catch,0,,1,,0,0,1.35,,
18,1,True,0,15,0,26,1,,,,catch,0,,1,,0,0,1.34,,
19,1,True,1,15,1,18,1,,,,catch,0,,1,,0,0,1.14,,
20,1,True,0,14,1,25,0,,,,catch,0,,1,,0,0,1.13,,
21,1,True,1,15,1,23,1,,,,catch,0,,1,,0,0,1.67,,
22,1,True,0,15,1,16,0,,,,catch,0,,1,,0,0,1.79,,
23,1,True,1,15,1,19,1,,,,catch,0,,1,,0,0,1.3,,
24,1,True,1,15,1,23,1,,,,catch,0,,1,,0,0,1.32,,
25,1,True,0,14,0,28,1,,,,catch,0,,1,,0,0,1.32,,
26,1,True,1,14,1,34,1,,,,catch,0,,1,,0,0,1.33,,
27,1,True,0,13,1,33,0,,,,catch,0,,1,,0,0,1.16,,
28,1,True,1,14,1,21,1,,,,catch,0,,1,,0,0,1.02,,
29,1,True,1,14,1,19,1,,,,catch,0,,1,,0,0,1.07,,
30,1,True,0,13,1,30,0,,,,catch,0,,1,,0,0,2.15,,
31,2,True,0,14,1,18,0,,,,catch,0,,1,,0,0,2.1,,
32,2,True,1,15,1,23,1,,,,catch,0,,1,,0,0,1.15,,
33,2,True,0,15,1,23,0,,,,catch,0,,1,,0,0,1.07,,
34,2,True,0,15,0,17,1,,,,catch,0,,1,,0,0,1.48,,
35,2,True,0,15,0,7,1,,,,catch,0,,1,,0,0,1.61,,
36,2,True,1,14,1,30,1,,,,catch,0,,1,,0,0,1.34,,
37,2,True,0,14,1,25,0,,,,catch,0,,1,,0,0,1.0,,
38,2,True,1,15,1,26,1,,,,catch,0,,1,,0,0,1.05,,
39,2,True,0,15,1,26,0,,,,catch,0,,1,,0,0,0.84,,
40,2,True,1,15,1,28,1,,,,catch,0,,1,,0,0,1.03,,
41,2,True,0,15,1,27,0,,,,catch,0,,1,,0,0,1.44,,
42,2,True,0,15,1,15,0,,,,catch,0,,1,,0,0,1.02,,
43,2,True,0,15,0,22,1,,,,catch,0,,1,,0,0,1.16,,
44,2,True,1,15,1,30,1,,,,catch,0,,1,,0,0,1.92,,
45,2,True,0,14,0,22,1,,,,catch,0,,1,,0,0,1.21,,
46,2,True,0,14,1,26,0,,,,catch,0,,1,,0,0,1.86,,
47,2,True,1,15,1,23,1,,,,catch,0,,1,,0,0,1.16,,
48,2,True,1,15,1,28,1,,,,catch,0,,1,,0,0,0.93,,
49,2,True,0,14,1,24,0,,,,catch,0,,1,,0,0,0.99,,
50,2,True,0,15,1,26,0,,,,catch,0,,1,,0,0,1.14,,
51,2,True,1,15,1,15,1,,,,catch,0,,1,,0,0,1.42,,
52,2,True,1,15,1,22,1,,,,catch,0,,1,,0,0,1.06,,
53,2,True,1,14,1,23,1,,,,catch,0,,1,,0,0,1.02,,
54,2,True,1,14,1,23,1,,,,catch,0,,1,,0,0,0.94,,
55,2,True,0,13,0,22,1,,,,catch,0,,1,,0,0,1.27,,
56,2,True,0,13,0,4,1,,,,catch,0,,1,,0,0,1.99,,
57,2,True,0,12,1,17,0,,,,catch,0,,1,,0,0,1.41,,
58,2,True,1,13,1,18,1,,,,catch,0,,1,,0,0,1.41,,
59,2,True,0,13,1,19,0,,,,catch,0,,1,,0,0,1.54,,
60,2,True,1,14,1,17,1,,,,catch,0,,1,,0,0,1.23,,
61,3,False,1,14,1,23,1,1,23,1,forceblk4,2,2,0,1,1,0,2.05,4.75,5.75
62,3,False,1,14,1,28,1,1,23,1,forceblk4,1,1,0,1,1,0,2.2,2.68,3.68
63,3,False,1,14,0,4,0,0,9,0,forceblk4,1,1,0,1,1,0,2.41,1.89,2.89
64,3,False,1,14,1,21,1,1,32,1,forceblk4,2,2,0,1,1,0,2.03,1.74,2.74
65,3,False,0,14,1,13,0,0,17,1,forceblk4,1,1,0,0,1,0,1.52,1.27,2.27
66,3,False,1,14,1,24,1,1,25,1,forceblk4,1,1,0,1,1,0,1.67,1.46,2.46
67,3,False,1,14,0,10,0,0,29,0,forceblk4,2,2,0,0,0,0,1.39,3.32,4.32
68,3,False,0,14,0,22,1,0,24,1,forceblk4,2,2,0,1,0,0,1.95,1.42,2.42
69,3,False,0,14,0,25,1,0,24,1,forceblk4,1,1,0,0,1,0,1.29,1.27,2.27
70,3,False,0,14,0,26,1,1,19,0,forceblk4,2,2,0,1,0,0,1.79,1.43,2.43
71,3,False,0,14,0,27,1,0,21,1,forceblk4,1,1,0,0,1,0,1.84,1.43,2.43
72,3,False,0,14,0,25,1,0,14,1,forceblk4,2,2,0,1,0,0,1.63,1.82,2.82
73,3,False,0,14,0,26,1,0,23,1,forceblk4,2,2,0,0,1,0,1.17,1.21,2.21
74,3,False,1,14,1,21,1,1,22,1,forceblk4,1,1,0,1,1,0,2.05,1.13,2.14
75,3,False,0,14,0,19,1,0,16,1,forceblk4,2,2,0,0,1,0,1.36,1.05,2.05
76,3,False,0,14,0,24,1,0,22,1,forceblk4,1,1,0,0,1,0,2.03,1.2,2.2
77,3,False,0,14,1,10,0,0,22,1,forceblk4,1,1,0,0,1,0,1.68,1.28,2.28
78,3,False,0,14,0,17,1,0,18,1,forceblk4,2,2,0,0,1,0,1.21,1.36,2.36
79,3,False,1,14,0,16,0,1,15,1,forceblk4,1,1,0,1,1,0,1.16,1.58,2.58
80,3,False,0,14,0,11,1,1,21,0,forceblk4,2,2,0,1,0,0,1.41,1.16,2.16
81,3,False,1,14,0,7,0,0,10,0,forceblk4,1,1,0,1,1,0,1.19,1.7,2.7
82,3,False,0,14,0,20,1,0,25,1,forceblk4,2,2,0,0,1,0,1.5,1.57,2.57
83,3,False,0,14,0,33,1,0,31,1,forceblk4,1,1,0,0,1,0,1.22,1.52,2.52
84,3,False,0,14,0,30,1,0,29,1,forceblk4,2,2,0,1,0,0,1.43,1.06,2.06
85,3,False,0,14,0,30,1,0,18,1,forceblk4,1,1,0,1,0,0,1.14,1.62,2.62
86,3,False,0,14,0,23,1,0,18,1,forceblk4,2,2,0,0,1,0,1.1,0.93,1.94
87,3,False,1,14,1,21,1,1,30,1,forceblk4,1,1,0,1,1,0,1.45,1.19,2.19
88,3,False,0,14,0,8,1,0,15,1,forceblk4,2,2,0,0,1,0,1.27,1.37,2.37
