trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,17,1,,,,catch,0,,1,,0,0,5.0,,
2,1,True,0,15,1,21,0,,,,catch,0,,1,,0,0,2.58,,
3,1,True,0,15,0,14,1,,,,catch,0,,1,,0,0,3.7,,
4,1,True,1,15,0,14,0,,,,catch,0,,1,,0,0,2.25,,
5,1,True,1,15,0,16,0,,,,catch,0,,1,,0,0,3.39,,
6,1,True,0,15,1,42,0,,,,catch,0,,1,,0,0,2.9,,
7,1,True,1,15,0,40,0,,,,catch,0,,1,,0,0,2.39,,
8,1,True,1,15,0,3,0,,,,catch,0,,1,,0,0,1.9,,
9,1,True,0,15,0,8,1,,,,catch,0,,1,,0,0,2.49,,
10,1,True,1,15,0,5,0,,,,catch,0,,1,,0,0,1.88,,
11,1,True,0,15,0,15,1,,,,catch,0,,1,,0,0,3.58,,
12,1,True,0,15,1,23,0,,,,catch,0,,1,,0,0,1.51,,
13,1,True,1,15,0,14,0,,,,catch,0,,1,,0,0,1.37,,
14,1,True,0,15,0,16,1,,,,catch,0,,1,,0,0,2.12,,
15,1,True,1,15,0,13,0,,,,catch,0,,1,,0,0,1.89,,
16,1,True,1,15,0,18,0,,,,catch,0,,1,,0,0,1.36,,
17,1,True,1,15,0,28,0,,,,catch,0,,1,,0,0,1.16,,
18,1,True,1,15,0,23,0,,,,catch,0,,1,,0,0,1.41,,
19,1,True,1,15,0,42,0,,,,catch,0,,1,,0,0,2.12,,
20,1,True,1,15,0,13,0,,,,catch,0,,1,,0,0,2.25,,
21,1,True,0,15,1,22,0,,,,catch,0,,1,,0,0,7.34,,
22,1,True,0,15,1,35,0,,,,catch,0,,1,,0,0,2.1,,
23,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,1.19,,
24,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,0.91,,
25,1,True,1,14,0,14,0,,,,catch,0,,1,,0,0,1.24,,
26,1,True,1,15,1,27,1,,,,catch,0,,1,,0,0,0.86,,
27,1,True,1,15,1,33,1,,,,catch,0,,1,,0,0,0.81,,
28,1,True,1,14,1,33,1,,,,catch,0,,1,,0,0,1.17,,
29,1,True,0,14,1,31,0,,,,catch,0,,1,,0,0,0.73,,
30,1,True,1,15,1,25,1,,,,catch,0,,1,,0,0,0.56,,
31,2,True,0,15,0,25,1,,,,catch,0,,1,,0,0,0.97,,
32,2,True,1,14,1,31,1,,,,catch,0,,1,,0,0,0.79,,
33,2,True,1,14,1,33,1,,,,catch,0,,1,,0,0,0.77,,
34,2,True,1,13,1,26,1,,,,catch,0,,1,,0,0,0.75,,
35,2,True,0,13,1,26,0,,,,catch,0,,1,,0,0,0.63,,
36,2,True,1,14,1,31,1,,,,catch,0,,1,,0,0,0.85,,
37,2,True,1,14,1,30,1,,,,catch,0,,1,,0,0,0.88,,
38,2,True,1,13,1,39,1,,,,catch,0,,1,,0,0,0.85,,
39,2,True,0,13,1,7,0,,,,catch,0,,1,,0,0,1.0,,
40,2,True,1,14,1,9,1,,,,catch,0,,1,,0,0,0.7,,
41,2,True,0,14,0,20,1,,,,catch,0,,1,,0,0,0.62,,
42,2,True,0,13,1,22,0,,,,catch,0,,1,,0,0,0.84,,
