trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,9.56,,
2,1,True,0,15,1,21,0,,,,catch,0,,1,,0,0,3.36,,
3,1,True,1,15,0,4,0,,,,catch,0,,1,,0,0,2.65,,
4,1,True,1,15,1,15,1,,,,catch,0,,1,,0,0,2.16,,
5,1,True,1,15,0,9,0,,,,catch,0,,1,,0,0,2.79,,
6,1,True,0,15,1,14,0,,,,catch,0,,1,,0,0,1.56,,
7,1,True,0,15,1,13,0,,,,catch,0,,1,,0,0,1.72,,
8,1,True,0,15,1,24,0,,,,catch,0,,1,,0,0,2.66,,
9,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,3.3,,
10,1,True,0,15,0,6,1,,,,catch,0,,1,,0,0,2.54,,
11,1,True,0,14,1,8,0,,,,catch,0,,1,,0,0,3.46,,
12,1,True,0,15,0,4,1,,,,catch,0,,1,,0,0,2.12,,
13,1,True,1,15,1,13,1,,,,catch,0,,1,,0,0,1.86,,
14,1,True,0,14,0,15,1,,,,catch,0,,1,,0,0,2.88,,
15,1,True,1,14,1,16,1,,,,catch,0,,1,,0,0,3.06,,
16,1,True,0,13,0,8,1,,,,catch,0,,1,,0,0,3.28,,
17,1,True,1,13,1,19,1,,,,catch,0,,1,,0,0,2.49,,
18,1,True,0,12,1,25,0,,,,catch,0,,1,,0,0,2.85,,
19,1,True,1,13,0,13,0,,,,catch,0,,1,,0,0,4.01,,
20,1,True,1,14,0,10,0,,,,catch,0,,1,,0,0,4.84,,
21,1,True,0,15,0,18,1,,,,catch,0,,1,,0,0,2.4,,
22,1,True,0,15,0,17,1,,,,catch,0,,1,,0,0,3.05,,
23,1,True,1,14,0,21,0,,,,catch,0,,1,,0,0,2.25,,
24,1,True,0,15,0,14,1,,,,catch,0,,1,,0,0,1.88,,
25,1,True,0,15,0,6,1,,,,catch,0,,1,,0,0,2.88,,
26,1,True,1,14,0,16,0,,,,catch,0,,1,,0,0,2.01,,
27,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,1.86,,
28,1,True,0,15,0,22,1,,,,catch,0,,1,,0,0,1.82,,
29,1,True,1,14,1,8,1,,,,catch,0,,1,,0,0,2.79,,
30,1,True,0,14,0,29,1,,,,catch,0,,1,,0,0,1.88,,
31,2,True,1,13,0,11,0,,,,catch,0,,1,,0,0,2.87,,
32,2,True,0,14,0,16,1,,,,catch,0,,1,,0,0,2.48,,
33,2,True,1,14,0,9,0,,,,catch,0,,1,,0,0,3.38,,
34,2,True,0,15,0,18,1,,,,catch,0,,1,,0,0,2.24,,
35,2,True,1,15,1,3,1,,,,catch,0,,1,,0,0,3.17,,
36,2,True,1,14,0,6,0,,,,catch,0,,1,,0,0,2.53,,
37,2,True,1,15,0,21,0,,,,catch,0,,1,,0,0,2.15,,
38,2,True,0,15,0,4,1,,,,catch,0,,1,,0,0,2.9,,
39,2,True,0,15,0,2,1,,,,catch,0,,1,,0,0,4.88,,
40,2,True,1,14,1,4,1,,,,catch,0,,1,,0,0,2.07,,
41,2,True,0,14,0,22,1,,,,catch,0,,1,,0,0,2.39,,
42,2,True,1,13,0,15,0,,,,catch,0,,1,,0,0,2.32,,
43,2,True,0,14,0,10,1,,,,catch,0,,1,,0,0,2.01,,
44,2,True,0,14,1,6,0,,,,catch,0,,1,,0,0,3.96,,
45,2,True,0,15,1,9,0,,,,catch,0,,1,,0,0,2.33,,
46,2,True,0,15,0,8,1,,,,catch,0,,1,,0,0,3.61,,
47,2,True,0,15,0,8,1,,,,catch,0,,1,,0,0,2.52,,
48,2,True,0,14,1,4,0,,,,catch,0,,1,,0,0,3.62,,
49,2,True,1,15,1,19,1,,,,catch,0,,1,,0,0,1.99,,
50,2,True,1,15,0,6,0,,,,catch,0,,1,,0,0,3.02,,
51,2,True,0,15,0,27,1,,,,catch,0,,1,,0,0,2.22,,
52,2,True,0,15,0,43,1,,,,catch,0,,1,,0,0,1.97,,
53,2,True,1,14,0,32,0,,,,catch,0,,1,,0,0,2.62,,
54,2,True,0,15,0,13,1,,,,catch,0,,1,,0,0,2.54,,
55,2,True,1,15,1,5,1,,,,catch,0,,1,,0,0,2.13,,
56,2,True,0,14,1,12,0,,,,catch,0,,1,,0,0,1.77,,
57,2,True,1,15,1,3,1,,,,catch,0,,1,,0,0,1.87,,
58,2,True,1,15,1,25,1,,,,catch,0,,1,,0,0,2.1,,
59,2,True,1,14,1,15,1,,,,catch,0,,1,,0,0,1.99,,
60,2,True,0,14,0,38,1,,,,catch,0,,1,,0,0,2.11,,
61,3,False,1,13,1,8,1,1,4,1,forceblk4,1,1,0,0,0,0,4.49,5.27,6.28
62,3,False,0,13,1,16,0,1,5,0,forceblk4,2,2,0,0,1,0,2.59,6.35,7.36
63,3,False,1,13,1,12,1,1,18,1,forceblk4,1,1,0,1,1,0,2.4,2.34,3.35
64,3,False,0,13,0,6,1,0,26,1,forceblk4,2,2,0,0,1,0,2.18,1.92,2.93
65,3,False,0,13,0,5,1,0,10,1,forceblk4,1,1,0,0,1,0,3.8,1.68,2.69
