trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,27,1,,,,catch,0,,1,,0,0,6.71,,
2,1,True,0,15,0,12,1,,,,catch,0,,1,,0,0,5.58,,
3,1,True,0,15,0,6,1,,,,catch,0,,1,,0,0,5.07,,
4,1,True,0,14,0,26,1,,,,catch,0,,1,,0,0,3.93,,
5,1,True,1,14,1,33,1,,,,catch,0,,1,,0,0,3.13,,
6,1,True,1,13,0,5,0,,,,catch,0,,1,,0,0,5.24,,
7,1,True,0,14,1,20,0,,,,catch,0,,1,,0,0,5.88,,
8,1,True,0,15,1,32,0,,,,catch,0,,1,,0,0,4.49,,
9,1,True,0,15,0,25,1,,,,catch,0,,1,,0,0,5.28,,
10,1,True,0,15,1,31,0,,,,catch,0,,1,,0,0,2.2,,
11,1,True,0,15,1,15,0,,,,catch,0,,1,,0,0,4.1,,
12,1,True,0,15,1,39,0,,,,catch,0,,1,,0,0,5.22,,
13,1,True,1,15,1,48,1,,,,catch,0,,1,,0,0,2.75,,
14,1,True,1,15,1,49,1,,,,catch,0,,1,,0,0,3.29,,
15,1,True,1,14,1,49,1,,,,catch,0,,1,,0,0,2.43,,
16,1,True,0,14,1,24,0,,,,catch,0,,1,,0,0,2.33,,
17,1,True,0,15,1,29,0,,,,catch,0,,1,,0,0,3.36,,
18,1,True,1,15,1,36,1,,,,catch,0,,1,,0,0,2.2,,
19,1,True,0,15,1,5,0,,,,catch,0,,1,,0,0,4.29,,
20,1,True,0,15,1,1,0,,,,catch,0,,1,,0,0,11.09,,
21,1,True,1,15,1,38,1,,,,catch,0,,1,,0,0,2.9,,
22,1,True,1,15,1,44,1,,,,catch,0,,1,,0,0,2.52,,
23,1,True,0,14,0,15,1,,,,catch,0,,1,,0,0,2.58,,
24,1,True,1,14,1,15,1,,,,catch,0,,1,,0,0,1.69,,
25,1,True,1,13,1,19,1,,,,catch,0,,1,,0,0,2.05,,
26,1,True,0,13,1,6,0,,,,catch,0,,1,,0,0,2.75,,
27,1,True,1,14,1,17,1,,,,catch,0,,1,,0,0,1.62,,
28,1,True,1,14,1,36,1,,,,catch,0,,1,,0,0,2.33,,
29,1,True,1,13,1,15,1,,,,catch,0,,1,,0,0,1.93,,
30,1,True,0,13,0,12,1,,,,catch,0,,1,,0,0,2.17,,
31,2,True,0,12,1,18,0,,,,catch,0,,1,,0,0,1.53,,
32,2,True,1,13,1,30,1,,,,catch,0,,1,,0,0,1.89,,
33,2,True,0,13,0,5,1,,,,catch,0,,1,,0,0,1.94,,
34,2,True,0,12,0,10,1,,,,catch,0,,1,,0,0,2.45,,
35,2,True,1,12,1,24,1,,,,catch,0,,1,,0,0,2.27,,
36,2,True,1,11,1,14,1,,,,catch,0,,1,,0,0,3.32,,
37,2,True,0,11,0,3,1,,,,catch,0,,1,,0,0,3.73,,
38,2,True,0,10,1,2,0,,,,catch,0,,1,,0,0,4.05,,
39,2,True,1,11,1,6,1,,,,catch,0,,1,,0,0,2.42,,
40,2,True,1,11,1,6,1,,,,catch,0,,1,,0,0,1.73,,
41,2,True,1,10,1,17,1,,,,catch,0,,1,,0,0,1.58,,
42,2,True,1,10,1,22,1,,,,catch,0,,1,,0,0,2.56,,
43,2,True,0,9,0,4,1,,,,catch,0,,1,,0,0,1.85,,
44,2,True,0,9,0,3,1,,,,catch,0,,1,,0,0,4.0,,
45,2,True,1,8,1,6,1,,,,catch,0,,1,,0,0,2.16,,
46,2,True,1,8,1,14,1,,,,catch,0,,1,,0,0,1.61,,
47,2,True,1,7,1,16,1,,,,catch,0,,1,,0,0,1.65,,
48,2,True,1,7,1,29,1,,,,catch,0,,1,,0,0,1.81,,
49,2,True,1,6,1,19,1,,,,catch,0,,1,,0,0,4.65,,
50,2,True,1,6,1,24,1,,,,catch,0,,1,,0,0,1.53,,
