trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,1,1,,,,catch,0,,1,,0,0,11.32,,
2,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,3.31,,
3,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,2.02,,
4,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,6.83,,
5,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,1.9,,
6,1,True,0,14,0,2,1,,,,catch,0,,1,,0,0,1.67,,
7,1,True,1,14,1,2,1,,,,catch,0,,1,,0,0,1.68,,
8,1,True,1,13,1,3,1,,,,catch,0,,1,,0,0,1.61,,
9,1,True,0,13,0,2,1,,,,catch,0,,1,,0,0,1.49,,
10,1,True,1,12,1,4,1,,,,catch,0,,1,,0,0,1.44,,
11,1,True,0,12,0,4,1,,,,catch,0,,1,,0,0,1.46,,
12,1,True,0,11,0,3,1,,,,catch,0,,1,,0,0,1.41,,
13,1,True,0,11,0,4,1,,,,catch,0,,1,,0,0,1.29,,
14,1,True,1,10,1,5,1,,,,catch,0,,1,,0,0,1.31,,
15,1,True,1,10,0,3,0,,,,catch,0,,1,,0,0,1.31,,
16,1,True,1,11,0,1,0,,,,catch,0,,1,,0,0,1.65,,
17,1,True,1,12,1,3,1,,,,catch,0,,1,,0,0,1.64,,
18,1,True,1,12,1,3,1,,,,catch,0,,1,,0,0,1.73,,
19,1,True,0,11,0,2,1,,,,catch,0,,1,,0,0,1.63,,
20,1,True,1,11,0,1,0,,,,catch,0,,1,,0,0,1.51,,
21,1,True,0,12,1,2,0,,,,catch,0,,1,,0,0,1.5,,
22,1,True,1,13,1,2,1,,,,catch,0,,1,,0,0,1.45,,
23,1,True,1,13,1,2,1,,,,catch,0,,1,,0,0,2.91,,
24,1,True,0,12,1,2,0,,,,catch,0,,1,,0,0,1.67,,
25,1,True,0,13,1,2,0,,,,catch,0,,1,,0,0,1.61,,
26,1,True,1,14,1,2,1,,,,catch,0,,1,,0,0,1.46,,
27,1,True,1,14,1,2,1,,,,catch,0,,1,,0,0,1.46,,
28,1,True,1,13,1,3,1,,,,catch,0,,1,,0,0,1.32,,
29,1,True,1,13,1,3,1,,,,catch,0,,1,,0,0,1.52,,
30,1,True,1,12,1,2,1,,,,catch,0,,1,,0,0,1.41,,
31,2,True,1,12,1,2,1,,,,catch,0,,1,,0,0,1.48,,
32,2,True,1,11,1,2,1,,,,catch,0,,1,,0,0,1.11,,
33,2,True,0,11,0,2,1,,,,catch,0,,1,,0,0,1.42,,
34,2,True,0,10,1,2,0,,,,catch,0,,1,,0,0,1.67,,
35,2,True,0,11,0,1,1,,,,catch,0,,1,,0,0,1.24,,
36,2,True,1,11,0,1,0,,,,catch,0,,1,,0,0,1.32,,
37,2,True,1,12,1,3,1,,,,catch,0,,1,,0,0,4.27,,
38,2,True,0,12,0,1,1,,,,catch,0,,1,,0,0,1.5,,
39,2,True,0,11,0,1,1,,,,catch,0,,1,,0,0,1.33,,
40,2,True,1,11,1,3,1,,,,catch,0,,1,,0,0,1.28,,
41,2,True,0,10,0,2,1,,,,catch,0,,1,,0,0,1.39,,
42,2,True,0,10,1,4,0,,,,catch,0,,1,,0,0,1.28,,
43,2,True,0,11,1,1,0,,,,catch,0,,1,,0,0,1.82,,
44,2,True,1,12,1,2,1,,,,catch,0,,1,,0,0,2.87,,
45,2,True,0,12,0,1,1,,,,catch,0,,1,,0,0,2.07,,
46,2,True,1,11,0,1,0,,,,catch,0,,1,,0,0,1.36,,
47,2,True,1,12,0,1,0,,,,catch,0,,1,,0,0,2.3,,
48,2,True,1,13,1,2,1,,,,catch,0,,1,,0,0,1.45,,
49,2,True,1,13,1,2,1,,,,catch,0,,1,,0,0,1.1,,
50,2,True,1,12,1,2,1,,,,catch,0,,1,,0,0,1.09,,
51,2,True,1,12,0,1,0,,,,catch,0,,1,,0,0,1.63,,
52,2,True,1,13,1,3,1,,,,catch,0,,1,,0,0,1.58,,
