trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,10.18,,
2,1,True,1,15,1,6,1,,,,catch,0,,1,,0,0,3.42,,
3,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,2.59,,
4,1,True,1,14,0,7,0,,,,catch,0,,1,,0,0,2.6,,
5,1,True,0,15,1,7,0,,,,catch,0,,1,,0,0,1.78,,
6,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,3.49,,
7,1,True,1,15,0,50,0,,,,catch,0,,1,,0,0,2.9,,
8,1,True,1,15,1,1,1,,,,catch,0,,1,,0,0,3.85,,
9,1,True,0,15,1,1,0,,,,catch,0,,1,,0,0,1.96,,
10,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,2.2,,
11,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,2.43,,
12,1,True,1,14,1,2,1,,,,catch,0,,1,,0,0,1.71,,
13,1,True,0,14,0,1,1,,,,catch,0,,1,,0,0,1.46,,
14,1,True,0,13,0,2,1,,,,catch,0,,1,,0,0,1.6,,
15,1,True,1,13,1,3,1,,,,catch,0,,1,,0,0,1.94,,
16,1,True,0,12,0,4,1,,,,catch,0,,1,,0,0,1.33,,
17,1,True,1,12,1,5,1,,,,catch,0,,1,,0,0,1.31,,
18,1,True,1,11,1,7,1,,,,catch,0,,1,,0,0,1.58,,
19,1,True,1,11,1,12,1,,,,catch,0,,1,,0,0,1.41,,
20,1,True,1,10,1,12,1,,,,catch,0,,1,,0,0,1.41,,
21,1,True,1,10,0,1,0,,,,catch,0,,1,,0,0,2.5,,
22,1,True,0,11,1,1,0,,,,catch,0,,1,,0,0,1.71,,
23,1,True,1,12,1,7,1,,,,catch,0,,1,,0,0,0.97,,
24,1,True,1,12,0,6,0,,,,catch,0,,1,,0,0,1.17,,
25,1,True,0,13,1,7,0,,,,catch,0,,1,,0,0,1.23,,
26,1,True,0,14,0,1,1,,,,catch,0,,1,,0,0,2.49,,
27,1,True,1,14,1,6,1,,,,catch,0,,1,,0,0,4.38,,
28,1,True,0,13,0,5,1,,,,catch,0,,1,,0,0,1.22,,
29,1,True,1,13,0,8,0,,,,catch,0,,1,,0,0,1.28,,
30,1,True,1,14,1,5,1,,,,catch,0,,1,,0,0,1.24,,
31,2,True,1,14,1,10,1,,,,catch,0,,1,,0,0,1.37,,
32,2,True,1,13,0,6,0,,,,catch,0,,1,,0,0,1.42,,
33,2,True,1,14,1,8,1,,,,catch,0,,1,,0,0,1.17,,
34,2,True,0,14,1,8,0,,,,catch,0,,1,,0,0,1.65,,
35,2,True,1,15,0,6,0,,,,catch,0,,1,,0,0,1.08,,
36,2,True,1,15,0,1,0,,,,catch,0,,1,,0,0,1.94,,
37,2,True,0,15,1,2,0,,,,catch,0,,1,,0,0,1.55,,
38,2,True,1,15,1,14,1,,,,catch,0,,1,,0,0,0.97,,
39,2,True,0,15,0,25,1,,,,catch,0,,1,,0,0,1.67,,
40,2,True,1,14,1,26,1,,,,catch,0,,1,,0,0,1.72,,
41,2,True,0,14,0,10,1,,,,catch,0,,1,,0,0,2.03,,
42,2,True,0,13,0,2,1,,,,catch,0,,1,,0,0,2.09,,
43,2,True,0,13,0,11,1,,,,catch,0,,1,,0,0,1.73,,
44,2,True,0,12,0,12,1,,,,catch,0,,1,,0,0,1.51,,
45,2,True,0,12,0,15,1,,,,catch,0,,1,,0,0,1.3,,
46,2,True,0,11,0,8,1,,,,catch,0,,1,,0,0,1.39,,
47,2,True,1,11,1,12,1,,,,catch,0,,1,,0,0,1.39,,
48,2,True,1,10,1,13,1,,,,catch,0,,1,,0,0,1.15,,
49,2,True,1,10,1,12,1,,,,catch,0,,1,,0,0,1.7,,
50,2,True,0,9,0,4,1,,,,catch,0,,1,,0,0,1.08,,
51,2,True,1,9,1,10,1,,,,catch,0,,1,,0,0,0.93,,
52,2,True,1,8,0,8,0,,,,catch,0,,1,,0,0,1.42,,
53,2,True,0,9,1,12,0,,,,catch,0,,1,,0,0,3.57,,
54,2,True,1,10,1,2,1,,,,catch,0,,1,,0,0,4.39,,
55,2,True,0,10,0,2,1,,,,catch,0,,1,,0,0,2.14,,
56,2,True,0,9,1,9,0,,,,catch,0,,1,,0,0,1.09,,
57,2,True,0,10,1,2,0,,,,catch,0,,1,,0,0,1.69,,
58,2,True,0,11,0,1,1,,,,catch,0,,1,,0,0,1.27,,
59,2,True,0,11,1,2,0,,,,catch,0,,1,,0,0,1.79,,
60,2,True,0,12,1,15,0,,,,catch,0,,1,,0,0,0.93,,
61,3,False,0,13,0,2,1,0,5,1,forceblk4,2,2,0,0,1,0,3.24,11.5,12.51
62,3,False,0,13,1,4,0,0,3,1,forceblk4,1,1,0,0,1,0,2.19,4.02,5.03
63,3,False,0,13,1,5,0,1,5,0,forceblk4,2,2,0,0,1,0,1.53,4.94,5.96
64,3,False,1,13,0,8,0,1,6,1,forceblk4,1,1,0,1,1,0,28.97,2.74,3.74
65,3,False,0,13,1,11,0,0,9,1,forceblk4,2,2,0,0,1,0,11.65,3.16,4.17
66,3,False,1,13,1,13,1,1,11,1,forceblk4,2,2,0,1,1,0,2.39,7.68,8.69
67,3,False,0,13,0,7,1,0,8,1,forceblk4,1,1,0,0,1,0,1.65,1.66,2.67
68,3,False,1,13,1,11,1,1,9,1,forceblk4,2,2,0,1,1,0,1.35,2.26,3.27
69,3,False,0,13,0,6,1,0,7,1,forceblk4,1,1,0,0,1,0,1.57,1.41,2.41
70,3,False,0,13,1,7,0,1,6,0,forceblk4,2,2,0,1,0,0,1.47,1.69,2.7
71,3,False,0,13,1,7,0,1,9,0,forceblk4,1,1,0,1,0,0,2.21,1.65,2.67
72,3,False,0,13,0,6,1,0,8,1,forceblk4,2,2,0,0,1,0,2.1,3.05,4.06
73,3,False,1,13,1,14,1,1,12,1,forceblk4,1,1,0,1,1,0,2.41,3.89,4.9
74,3,False,0,13,1,12,0,1,14,0,forceblk4,1,1,0,1,0,0,1.6,1.53,2.54
75,3,False,1,13,0,8,0,1,7,1,forceblk4,2,2,0,1,1,0,3.55,1.56,2.57
76,3,False,1,13,1,9,1,1,7,1,forceblk4,1,1,0,1,1,0,1.37,2.2,3.21
77,3,False,1,13,1,10,1,1,8,1,forceblk4,2,2,0,1,1,0,1.51,1.58,2.59
78,3,False,1,13,0,10,0,1,8,1,forceblk4,1,1,0,1,1,0,2.34,1.61,2.62
79,3,False,0,13,1,9,0,0,11,1,forceblk4,2,2,0,0,1,0,1.43,1.68,2.69
80,3,False,0,13,1,10,0,0,9,1,forceblk4,1,1,0,0,1,0,1.66,1.25,2.26
81,3,False,0,13,1,12,0,0,11,1,forceblk4,2,2,0,0,1,0,1.23,1.38,2.4
82,3,False,0,13,1,10,0,0,9,1,forceblk4,1,1,0,0,1,0,1.37,1.21,2.22
83,3,False,0,13,1,11,0,0,11,1,forceblk4,2,2,0,0,1,0,1.28,1.24,2.25
84,3,False,0,13,1,11,0,0,12,1,forceblk4,1,1,0,0,1,0,1.27,1.23,2.25
85,3,False,0,13,1,12,0,1,10,0,forceblk4,2,2,0,1,0,0,1.32,1.31,2.33
86,3,False,1,13,1,10,1,0,10,0,forceblk4,1,1,0,0,0,0,2.41,1.63,2.63
87,3,False,0,13,0,8,1,1,8,0,forceblk4,2,2,0,1,0,0,1.33,1.24,2.25
88,3,False,1,13,1,10,1,1,9,1,forceblk4,1,1,0,1,1,0,1.68,1.46,2.47
89,3,False,0,13,1,8,0,0,6,1,forceblk4,2,2,0,0,1,0,1.15,1.56,2.56
90,3,False,1,13,1,8,1,1,10,1,forceblk4,1,1,0,1,1,0,1.46,1.87,2.89
91,3,False,1,13,1,12,1,1,10,1,forceblk4,2,2,0,1,1,0,1.17,1.11,2.13
92,3,False,1,13,1,13,1,1,12,1,forceblk4,2,2,0,1,1,0,1.61,1.13,2.15
