trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,10,0,,,,catch,0,,1,,0,0,11.02,,
2,1,True,1,15,0,32,0,,,,catch,0,,1,,0,0,2.92,,
3,1,True,1,15,0,22,0,,,,catch,0,,1,,0,0,2.67,,
4,1,True,0,15,0,6,1,,,,catch,0,,1,,0,0,5.28,,
5,1,True,1,15,1,26,1,,,,catch,0,,1,,0,0,3.06,,
6,1,True,0,14,0,37,1,,,,catch,0,,1,,0,0,2.49,,
7,1,True,1,14,1,4,1,,,,catch,0,,1,,0,0,4.45,,
8,1,True,0,13,0,23,1,,,,catch,0,,1,,0,0,1.93,,
9,1,True,1,13,0,9,0,,,,catch,0,,1,,0,0,2.89,,
10,1,True,0,14,0,23,1,,,,catch,0,,1,,0,0,2.32,,
11,1,True,0,14,0,6,1,,,,catch,0,,1,,0,0,3.49,,
12,1,True,1,13,1,14,1,,,,catch,0,,1,,0,0,2.52,,
13,1,True,1,13,1,26,1,,,,catch,0,,1,,0,0,2.4,,
14,1,True,1,12,1,31,1,,,,catch,0,,1,,0,0,1.84,,
15,1,True,1,12,1,40,1,,,,catch,0,,1,,0,0,1.71,,
16,1,True,0,11,1,50,0,,,,catch,0,,1,,0,0,2.13,,
17,1,True,0,12,0,25,1,,,,catch,0,,1,,0,0,2.7,,
18,1,True,0,12,0,49,1,,,,catch,0,,1,,0,0,1.54,,
19,1,True,0,11,0,50,1,,,,catch,0,,1,,0,0,1.6,,
20,1,True,0,11,0,27,1,,,,catch,0,,1,,0,0,2.0,,
21,1,True,1,10,1,21,1,,,,catch,0,,1,,0,0,3.18,,
22,1,True,0,10,0,29,1,,,,catch,0,,1,,0,0,1.6,,
23,1,True,1,9,0,27,0,,,,catch,0,,1,,0,0,1.48,,
24,1,True,0,10,0,14,1,,,,catch,0,,1,,0,0,3.18,,
25,1,True,1,10,1,50,1,,,,catch,0,,1,,0,0,1.5,,
26,1,True,1,9,1,41,1,,,,catch,0,,1,,0,0,1.24,,
27,1,True,1,9,1,50,1,,,,catch,0,,1,,0,0,1.26,,
28,1,True,1,8,1,50,1,,,,catch,0,,1,,0,0,1.16,,
29,1,True,0,8,0,14,1,,,,catch,0,,1,,0,0,3.22,,
30,1,True,1,7,1,50,1,,,,catch,0,,1,,0,0,2.25,,
31,2,True,1,7,1,32,1,,,,catch,0,,1,,0,0,1.91,,
