trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,13,1,,,,catch,0,,1,,0,0,19.94,,
2,1,True,0,15,1,10,0,,,,catch,0,,1,,0,0,3.53,,
3,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,3.56,,
4,1,True,1,15,0,14,0,,,,catch,0,,1,,0,0,3.27,,
5,1,True,0,15,1,12,0,,,,catch,0,,1,,0,0,2.33,,
6,1,True,1,15,1,8,1,,,,catch,0,,1,,0,0,2.04,,
7,1,True,0,15,1,10,0,,,,catch,0,,1,,0,0,2.41,,
8,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,4.36,,
9,1,True,1,15,1,18,1,,,,catch,0,,1,,0,0,3.63,,
10,1,True,1,14,1,18,1,,,,catch,0,,1,,0,0,3.45,,
11,1,True,0,14,1,7,0,,,,catch,0,,1,,0,0,4.36,,
12,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,4.51,,
13,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,2.47,,
14,1,True,1,15,1,4,1,,,,catch,0,,1,,0,0,3.34,,
15,1,True,0,14,1,5,0,,,,catch,0,,1,,0,0,2.42,,
16,1,True,0,15,1,14,0,,,,catch,0,,1,,0,0,3.04,,
17,1,True,0,15,1,32,0,,,,catch,0,,1,,0,0,3.47,,
18,1,True,0,15,1,23,0,,,,catch,0,,1,,0,0,2.17,,
19,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,3.27,,
20,1,True,1,15,1,27,1,,,,catch,0,,1,,0,0,3.58,,
21,1,True,0,14,1,24,0,,,,catch,0,,1,,0,0,2.35,,
22,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,2.25,,
23,1,True,1,15,1,20,1,,,,catch,0,,1,,0,0,2.05,,
24,1,True,1,14,1,18,1,,,,catch,0,,1,,0,0,2.67,,
25,1,True,1,14,1,24,1,,,,catch,0,,1,,0,0,2.85,,
26,1,True,0,13,1,20,0,,,,catch,0,,1,,0,0,3.59,,
27,1,True,1,14,0,5,0,,,,catch,0,,1,,0,0,2.59,,
28,1,True,0,15,1,8,0,,,,catch,0,,1,,0,0,2.17,,
29,1,True,0,15,0,6,1,,,,catch,0,,1,,0,0,2.1,,
30,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,2.23,,
31,2,True,0,14,0,7,1,,,,catch,0,,1,,0,0,2.58,,
32,2,True,1,14,1,9,1,,,,catch,0,,1,,0,0,1.84,,
33,2,True,0,13,1,6,0,,,,catch,0,,1,,0,0,2.42,,
34,2,True,1,14,1,3,1,,,,catch,0,,1,,0,0,2.27,,
35,2,True,1,14,0,8,0,,,,catch,0,,1,,0,0,2.61,,
36,2,True,1,15,1,5,1,,,,catch,0,,1,,0,0,2.89,,
37,2,True,0,15,1,4,0,,,,catch,0,,1,,0,0,2.63,,
38,2,True,0,15,0,11,1,,,,catch,0,,1,,0,0,2.45,,
39,2,True,0,15,0,11,1,,,,catch,0,,1,,0,0,2.13,,
40,2,True,1,14,1,27,1,,,,catch,0,,1,,0,0,3.12,,
41,2,True,1,14,1,2,1,,,,catch,0,,1,,0,0,9.45,,
42,2,True,1,13,0,19,0,,,,catch,0,,1,,0,0,3.22,,
43,2,True,0,14,0,8,1,,,,catch,0,,1,,0,0,3.98,,
44,2,True,0,14,1,12,0,,,,catch,0,,1,,0,0,3.24,,
45,2,True,1,15,0,1,0,,,,catch,0,,1,,0,0,6.61,,
46,2,True,1,15,1,2,1,,,,catch,0,,1,,0,0,2.71,,
47,2,True,1,15,1,2,1,,,,catch,0,,1,,0,0,5.67,,
48,2,True,0,14,0,1,1,,,,catch,0,,1,,0,0,4.23,,
49,2,True,0,14,0,15,1,,,,catch,0,,1,,0,0,2.96,,
50,2,True,1,13,1,6,1,,,,catch,0,,1,,0,0,2.92,,
51,2,True,0,13,1,13,0,,,,catch,0,,1,,0,0,2.72,,
52,2,True,1,14,0,4,0,,,,catch,0,,1,,0,0,3.14,,
53,2,True,1,15,1,2,1,,,,catch,0,,1,,0,0,5.18,,
54,2,True,1,15,1,7,1,,,,catch,0,,1,,0,0,2.92,,
55,2,True,1,14,1,12,1,,,,catch,0,,1,,0,0,2.92,,
56,2,True,1,14,1,3,1,,,,catch,0,,1,,0,0,4.69,,
57,2,True,0,13,0,1,1,,,,catch,0,,1,,0,0,2.78,,
58,2,True,0,13,0,15,1,,,,catch,0,,1,,0,0,3.07,,
59,2,True,1,12,0,13,0,,,,catch,0,,1,,0,0,2.36,,
60,2,True,1,13,1,12,1,,,,catch,0,,1,,0,0,2.63,,
61,3,False,1,13,1,10,1,0,13,0,forceblk4,1,1,0,0,0,0,3.07,11.46,12.47
62,3,False,0,13,0,5,1,0,4,1,forceblk4,2,2,0,1,0,0,2.49,5.4,6.42
63,3,False,1,13,1,2,1,1,2,1,forceblk4,1,1,0,1,1,0,6.4,5.34,6.35
64,3,False,0,13,0,1,1,0,1,1,forceblk4,2,2,0,0,1,0,4.62,3.85,4.86
65,3,False,0,13,0,1,1,0,1,1,forceblk4,1,1,0,0,1,0,4.77,2.52,3.53
66,3,False,1,13,1,5,1,1,5,1,forceblk4,2,2,0,1,1,0,2.21,2.86,3.88
