trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,24.54,,
2,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,7.48,,
3,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,3.5,,
4,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,2.88,,
5,1,True,1,15,0,2,0,,,,catch,0,,1,,0,0,2.63,,
6,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,2.9,,
7,1,True,0,15,1,13,0,,,,catch,0,,1,,0,0,3.09,,
8,1,True,1,15,1,4,1,,,,catch,0,,1,,0,0,2.23,,
9,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,2.29,,
10,1,True,1,14,1,4,1,,,,catch,0,,1,,0,0,2.52,,
11,1,True,0,14,1,5,0,,,,catch,0,,1,,0,0,1.64,,
12,1,True,0,15,1,5,0,,,,catch,0,,1,,0,0,1.2,,
13,1,True,0,15,1,6,0,,,,catch,0,,1,,0,0,1.52,,
14,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,1.54,,
15,1,True,0,15,1,4,0,,,,catch,0,,1,,0,0,1.22,,
16,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,1.45,,
17,1,True,0,15,1,4,0,,,,catch,0,,1,,0,0,1.43,,
18,1,True,1,15,1,4,1,,,,catch,0,,1,,0,0,1.26,,
19,1,True,0,15,1,4,0,,,,catch,0,,1,,0,0,1.32,,
20,1,True,0,15,1,4,0,,,,catch,0,,1,,0,0,2.43,,
21,1,True,1,15,1,4,1,,,,catch,0,,1,,0,0,2.15,,
22,1,True,1,15,0,2,0,,,,catch,0,,1,,0,0,1.98,,
23,1,True,0,15,1,4,0,,,,catch,0,,1,,0,0,1.49,,
24,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,1.39,,
25,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,1.63,,
26,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,1.15,,
27,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,1.88,,
28,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,1.36,,
29,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,1.34,,
30,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,1.53,,
31,2,True,1,14,1,2,1,,,,catch,0,,1,,0,0,1.76,,
32,2,True,0,14,1,2,0,,,,catch,0,,1,,0,0,1.32,,
33,2,True,0,15,1,3,0,,,,catch,0,,1,,0,0,1.78,,
34,2,True,1,15,0,2,0,,,,catch,0,,1,,0,0,1.44,,
35,2,True,1,15,1,2,1,,,,catch,0,,1,,0,0,1.38,,
36,2,True,1,15,1,3,1,,,,catch,0,,1,,0,0,1.18,,
37,2,True,1,14,1,2,1,,,,catch,0,,1,,0,0,0.91,,
38,2,True,0,14,0,3,1,,,,catch,0,,1,,0,0,1.28,,
39,2,True,1,13,0,2,0,,,,catch,0,,1,,0,0,1.35,,
40,2,True,0,14,0,5,1,,,,catch,0,,1,,0,0,1.29,,
41,2,True,0,14,0,5,1,,,,catch,0,,1,,0,0,1.29,,
42,2,True,0,13,0,5,1,,,,catch,0,,1,,0,0,1.4,,
43,2,True,0,13,0,6,1,,,,catch,0,,1,,0,0,1.38,,
44,2,True,1,12,0,4,0,,,,catch,0,,1,,0,0,1.42,,
45,2,True,0,13,0,38,1,,,,catch,0,,1,,0,0,1.83,,
46,2,True,0,13,0,34,1,,,,catch,0,,1,,0,0,1.71,,
47,2,True,1,12,0,36,0,,,,catch,0,,1,,0,0,1.76,,
48,2,True,0,13,0,34,1,,,,catch,0,,1,,0,0,1.68,,
49,2,True,1,13,1,2,1,,,,catch,0,,1,,0,0,2.33,,
50,2,True,0,12,1,3,0,,,,catch,0,,1,,0,0,1.92,,
51,2,True,0,13,0,28,1,,,,catch,0,,1,,0,0,1.37,,
52,2,True,0,13,0,30,1,,,,catch,0,,1,,0,0,1.37,,
53,2,True,1,12,0,23,0,,,,catch,0,,1,,0,0,1.96,,
54,2,True,1,13,1,5,1,,,,catch,0,,1,,0,0,2.32,,
55,2,True,0,13,1,3,0,,,,catch,0,,1,,0,0,2.05,,
56,2,True,1,14,0,6,0,,,,catch,0,,1,,0,0,2.38,,
57,2,True,1,15,0,36,0,,,,catch,0,,1,,0,0,1.62,,
58,2,True,0,15,0,33,1,,,,catch,0,,1,,0,0,1.82,,
59,2,True,0,15,0,4,1,,,,catch,0,,1,,0,0,1.63,,
60,2,True,0,14,0,28,1,,,,catch,0,,1,,0,0,1.87,,
61,3,False,0,14,1,3,0,1,3,0,forceblk4,1,1,0,1,0,0,2.19,8.6,9.61
62,3,False,1,14,1,3,1,1,3,1,forceblk4,2,2,0,1,1,0,2.04,4.19,5.19
63,3,False,0,14,0,3,1,0,3,1,forceblk4,1,1,0,0,1,0,1.81,5.42,6.42
64,3,False,1,14,0,5,0,0,4,0,forceblk4,1,1,0,0,0,0,1.56,2.88,3.88
65,3,False,1,14,0,3,0,0,27,0,forceblk4,2,2,0,0,0,0,2.19,4.77,5.78
66,3,False,0,14,0,3,1,0,3,1,forceblk4,1,1,0,1,0,0,1.81,2.4,3.4
67,3,False,0,14,0,17,1,0,40,1,forceblk4,2,2,0,0,1,0,2.18,1.81,2.81
68,3,False,1,14,1,4,1,1,4,1,forceblk4,1,1,0,1,1,0,3.66,1.56,2.57
69,3,False,0,14,0,32,1,0,49,1,forceblk4,2,2,0,0,1,0,1.77,2.59,3.59
70,3,False,1,14,1,5,1,1,5,1,forceblk4,1,1,0,0,0,0,1.67,1.93,2.94
71,3,False,0,14,0,32,1,0,49,1,forceblk4,2,2,0,0,1,0,1.56,2.18,3.18
