trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,6,1,,,,catch,0,,1,,0,0,2.49,,
2,1,True,0,15,0,14,1,,,,catch,0,,1,,0,0,0.74,,
3,1,True,0,15,0,15,1,,,,catch,0,,1,,0,0,0.58,,
4,1,True,1,14,1,3,1,,,,catch,0,,1,,0,0,1.22,,
5,1,True,0,14,0,4,1,,,,catch,0,,1,,0,0,0.85,,
6,1,True,0,13,0,16,1,,,,catch,0,,1,,0,0,0.64,,
7,1,True,1,13,1,3,1,,,,catch,0,,1,,0,0,1.3,,
8,1,True,0,12,0,18,1,,,,catch,0,,1,,0,0,0.71,,
9,1,True,0,12,0,20,1,,,,catch,0,,1,,0,0,1.09,,
10,1,True,1,11,0,2,0,,,,catch,0,,1,,0,0,1.37,,
11,1,True,0,12,0,19,1,,,,catch,0,,1,,0,0,1.06,,
12,1,True,0,12,0,19,1,,,,catch,0,,1,,0,0,0.7,,
13,1,True,0,11,0,10,1,,,,catch,0,,1,,0,0,1.15,,
14,1,True,1,11,1,6,1,,,,catch,0,,1,,0,0,0.82,,
15,1,True,1,10,1,4,1,,,,catch,0,,1,,0,0,1.26,,
16,1,True,1,10,0,10,0,,,,catch,0,,1,,0,0,1.03,,
17,1,True,1,11,1,5,1,,,,catch,0,,1,,0,0,1.06,,
18,1,True,1,11,1,10,1,,,,catch,0,,1,,0,0,0.69,,
19,1,True,1,10,1,5,1,,,,catch,0,,1,,0,0,0.87,,
20,1,True,1,10,1,5,1,,,,catch,0,,1,,0,0,0.92,,
21,1,True,1,9,1,10,1,,,,catch,0,,1,,0,0,0.76,,
22,1,True,0,9,0,17,1,,,,catch,0,,1,,0,0,0.74,,
23,1,True,1,8,0,17,0,,,,catch,0,,1,,0,0,1.13,,
24,1,True,0,9,0,9,1,,,,catch,0,,1,,0,0,0.98,,
25,1,True,1,9,1,6,1,,,,catch,0,,1,,0,0,0.76,,
26,1,True,0,8,0,7,1,,,,catch,0,,1,,0,0,1.21,,
27,1,True,0,8,0,22,1,,,,catch,0,,1,,0,0,1.05,,
28,1,True,1,7,0,15,0,,,,catch,0,,1,,0,0,0.97,,
29,1,True,0,8,0,28,1,,,,catch,0,,1,,0,0,1.11,,
30,1,True,0,8,0,12,1,,,,catch,0,,1,,0,0,0.7,,
31,2,True,0,7,0,13,1,,,,catch,0,,1,,0,0,1.17,,
32,2,True,1,7,1,7,1,,,,catch,0,,1,,0,0,0.67,,
33,2,True,0,6,0,10,1,,,,catch,0,,1,,0,0,0.6,,
34,2,True,0,6,0,14,1,,,,catch,0,,1,,0,0,0.61,,
