trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,38,1,,,,catch,0,,1,,0,0,1.75,,
2,1,True,1,15,1,40,1,,,,catch,0,,1,,0,0,1.58,,
3,1,True,0,15,1,35,0,,,,catch,0,,1,,0,0,1.16,,
4,1,True,0,15,0,43,1,,,,catch,0,,1,,0,0,1.58,,
5,1,True,0,15,0,39,1,,,,catch,0,,1,,0,0,1.54,,
6,1,True,1,14,1,42,1,,,,catch,0,,1,,0,0,1.24,,
7,1,True,1,14,1,38,1,,,,catch,0,,1,,0,0,1.18,,
8,1,True,1,13,1,39,1,,,,catch,0,,1,,0,0,1.34,,
9,1,True,1,13,0,46,0,,,,catch,0,,1,,0,0,1.36,,
10,1,True,1,14,0,41,0,,,,catch,0,,1,,0,0,1.45,,
11,1,True,0,15,0,30,1,,,,catch,0,,1,,0,0,1.47,,
12,1,True,1,15,1,44,1,,,,catch,0,,1,,0,0,1.36,,
13,1,True,1,14,1,39,1,,,,catch,0,,1,,0,0,1.5,,
14,1,True,0,14,0,46,1,,,,catch,0,,1,,0,0,1.33,,
15,1,True,1,13,0,50,0,,,,catch,0,,1,,0,0,1.28,,
16,1,True,1,14,0,33,0,,,,catch,0,,1,,0,0,1.59,,
17,1,True,0,15,0,29,1,,,,catch,0,,1,,0,0,1.4,,
18,1,True,0,15,0,20,1,,,,catch,0,,1,,0,0,1.01,,
19,1,True,0,14,0,41,1,,,,catch,0,,1,,0,0,1.17,,
20,1,True,0,14,0,31,1,,,,catch,0,,1,,0,0,1.57,,
21,1,True,0,13,0,38,1,,,,catch,0,,1,,0,0,1.44,,
22,1,True,0,13,1,37,0,,,,catch,0,,1,,0,0,1.14,,
23,1,True,1,14,1,33,1,,,,catch,0,,1,,0,0,1.42,,
24,1,True,1,14,1,26,1,,,,catch,0,,1,,0,0,1.1,,
25,1,True,0,13,0,39,1,,,,catch,0,,1,,0,0,1.04,,
26,1,True,1,13,1,30,1,,,,catch,0,,1,,0,0,1.11,,
27,1,True,0,12,0,39,1,,,,catch,0,,1,,0,0,1.63,,
28,1,True,0,12,1,29,0,,,,catch,0,,1,,0,0,1.07,,
29,1,True,0,13,0,36,1,,,,catch,0,,1,,0,0,1.06,,
30,1,True,0,13,0,40,1,,,,catch,0,,1,,0,0,1.16,,
31,2,True,1,12,1,40,1,,,,catch,0,,1,,0,0,1.36,,
32,2,True,1,12,1,36,1,,,,catch,0,,1,,0,0,1.1,,
33,2,True,0,11,1,32,0,,,,catch,0,,1,,0,0,1.13,,
34,2,True,0,12,0,43,1,,,,catch,0,,1,,0,0,1.9,,
35,2,True,1,12,1,44,1,,,,catch,0,,1,,0,0,3.65,,
36,2,True,1,11,1,34,1,,,,catch,0,,1,,0,0,1.13,,
37,2,True,1,11,1,33,1,,,,catch,0,,1,,0,0,1.92,,
38,2,True,0,10,0,43,1,,,,catch,0,,1,,0,0,1.42,,
39,2,True,1,10,1,37,1,,,,catch,0,,1,,0,0,1.64,,
40,2,True,1,9,0,41,0,,,,catch,0,,1,,0,0,1.6,,
41,2,True,1,10,1,33,1,,,,catch,0,,1,,0,0,0.97,,
42,2,True,0,10,1,42,0,,,,catch,0,,1,,0,0,1.06,,
43,2,True,0,11,1,35,0,,,,catch,0,,1,,0,0,1.42,,
44,2,True,0,12,0,44,1,,,,catch,0,,1,,0,0,1.1,,
45,2,True,0,12,1,30,0,,,,catch,0,,1,,0,0,0.98,,
46,2,True,1,13,1,29,1,,,,catch,0,,1,,0,0,1.0,,
47,2,True,1,13,1,31,1,,,,catch,0,,1,,0,0,1.19,,
48,2,True,1,12,1,35,1,,,,catch,0,,1,,0,0,1.14,,
49,2,True,1,12,1,36,1,,,,catch,0,,1,,0,0,0.99,,
50,2,True,1,11,1,35,1,,,,catch,0,,1,,0,0,0.9,,
51,2,True,0,11,1,35,0,,,,catch,0,,1,,0,0,0.91,,
52,2,True,0,12,1,12,0,,,,catch,0,,1,,0,0,1.44,,
53,2,True,0,13,1,10,0,,,,catch,0,,1,,0,0,1.34,,
54,2,True,0,14,0,28,1,,,,catch,0,,1,,0,0,1.5,,
55,2,True,0,14,0,26,1,,,,catch,0,,1,,0,0,1.25,,
56,2,True,1,13,1,2,1,,,,catch,0,,1,,0,0,1.59,,
57,2,True,1,13,1,19,1,,,,catch,0,,1,,0,0,1.02,,
58,2,True,1,12,1,26,1,,,,catch,0,,1,,0,0,1.11,,
59,2,True,1,12,1,42,1,,,,catch,0,,1,,0,0,1.08,,
60,2,True,1,11,1,48,1,,,,catch,0,,1,,0,0,1.08,,
61,3,False,0,11,1,41,0,0,24,1,forceblk4,2,2,0,0,1,0,2.05,9.85,10.86
62,3,False,1,11,1,20,1,1,9,1,forceblk4,2,2,0,0,0,0,1.03,4.44,5.44
63,3,False,1,11,1,19,1,1,12,1,forceblk4,1,1,0,1,1,0,0.95,5.23,6.24
64,3,False,1,11,1,32,1,1,37,1,forceblk4,2,2,0,1,1,0,1.79,1.12,2.13
65,3,False,1,11,1,34,1,1,34,1,forceblk4,1,1,0,1,1,0,1.08,2.36,3.36
66,3,False,1,11,1,25,1,1,23,1,forceblk4,2,2,0,1,1,0,1.04,1.4,2.41
67,3,False,1,11,1,41,1,1,41,1,forceblk4,1,1,0,1,1,0,1.17,2.76,3.76
68,3,False,0,11,1,24,0,0,10,1,forceblk4,1,1,0,0,1,0,1.06,6.4,7.4
69,3,False,1,11,1,18,1,1,50,1,forceblk4,2,2,0,1,1,0,1.52,2.27,3.27
70,3,False,0,11,0,47,1,0,47,1,forceblk4,2,2,0,0,1,0,1.9,2.74,3.74
71,3,False,0,11,0,50,1,1,2,0,forceblk4,1,1,0,1,0,0,1.78,2.99,4.0
72,3,False,0,11,0,50,1,1,47,0,forceblk4,2,2,0,1,0,0,1.39,2.59,3.59
73,3,False,0,11,0,40,1,0,39,1,forceblk4,1,1,0,0,1,0,1.18,1.79,2.79
74,3,False,1,11,1,29,1,1,31,1,forceblk4,1,1,0,0,0,0,1.24,3.24,4.25
75,3,False,1,11,1,35,1,1,48,1,forceblk4,2,2,0,1,1,0,1.08,1.9,2.9
76,3,False,1,11,1,42,1,1,42,1,forceblk4,2,2,0,0,0,0,1.04,1.49,2.5
77,3,False,0,11,0,43,1,0,44,1,forceblk4,1,1,0,1,0,0,1.71,1.7,2.7
78,3,False,0,11,1,30,0,1,48,0,forceblk4,2,2,0,1,0,0,1.84,2.33,3.34
79,3,False,0,11,1,23,0,1,50,0,forceblk4,1,1,0,1,0,0,1.11,1.48,2.49
80,3,False,1,11,1,11,1,1,9,1,forceblk4,2,2,0,1,1,0,1.63,2.08,3.09
81,3,False,1,11,1,22,1,1,26,1,forceblk4,1,1,0,1,1,0,0.94,1.3,2.3
82,3,False,1,11,0,29,0,0,27,0,forceblk4,2,2,0,1,1,0,1.43,1.99,2.99
83,3,False,0,11,1,26,0,1,29,0,forceblk4,1,1,0,0,1,0,1.4,1.21,2.22
84,3,False,1,11,0,29,0,0,29,0,forceblk4,2,2,0,1,1,0,1.84,1.79,2.79
85,3,False,1,11,1,26,1,1,28,1,forceblk4,1,1,0,1,1,0,2.12,1.2,2.2
86,3,False,0,11,0,27,1,0,27,1,forceblk4,2,2,0,0,1,0,1.35,1.66,2.67
87,3,False,1,11,1,25,1,1,31,1,forceblk4,1,1,0,1,1,0,1.75,1.0,2.01
88,3,False,1,11,1,37,1,1,41,1,forceblk4,1,1,0,1,1,0,1.05,1.0,2.01
89,3,False,0,11,0,43,1,0,43,1,forceblk4,2,2,0,0,1,0,1.84,2.0,3.0
90,3,False,0,11,1,39,0,1,39,0,forceblk4,2,2,0,0,1,0,1.43,1.8,2.81
91,3,False,0,11,0,47,1,0,46,1,forceblk4,1,1,0,1,0,0,1.64,2.0,3.0
92,3,False,0,11,1,40,0,1,40,0,forceblk4,2,2,0,0,1,0,1.41,1.42,2.42
93,3,False,1,11,0,40,0,1,21,1,forceblk4,1,1,0,1,1,0,1.23,2.91,3.91
94,3,False,0,11,0,43,1,0,42,1,forceblk4,2,2,0,1,0,0,1.41,1.01,2.01
95,3,False,1,11,1,31,1,0,2,0,forceblk4,2,2,0,0,0,0,1.13,2.85,3.86
96,3,False,0,11,1,33,0,1,32,0,forceblk4,1,1,0,0,1,0,0.96,1.61,2.62
97,3,False,1,11,1,30,1,1,50,1,forceblk4,1,1,0,0,0,0,1.25,0.88,1.88
98,3,False,1,11,1,48,1,1,50,1,forceblk4,1,1,0,1,1,0,1.48,1.65,2.66
99,3,False,1,11,1,40,1,1,41,1,forceblk4,2,2,0,0,0,0,1.01,1.88,2.89
100,3,False,1,11,0,47,0,0,43,0,forceblk4,1,1,0,1,1,0,1.62,1.37,2.38
101,3,False,0,11,0,35,1,0,42,1,forceblk4,2,2,0,0,1,0,1.48,1.18,2.18
102,3,False,1,11,0,43,0,1,36,1,forceblk4,2,2,0,1,1,0,1.39,2.69,3.7
103,3,False,1,11,1,28,1,1,50,1,forceblk4,2,2,0,1,1,0,1.03,2.04,3.05
104,3,False,0,11,0,48,1,0,45,1,forceblk4,1,1,0,0,1,0,1.71,1.23,2.23
105,3,False,0,11,0,40,1,0,46,1,forceblk4,2,2,0,1,0,0,1.42,1.58,2.58
106,3,False,1,11,1,40,1,1,45,1,forceblk4,1,1,0,1,1,0,1.32,1.04,2.04
107,3,False,0,11,0,37,1,0,48,1,forceblk4,1,1,0,0,1,0,1.08,1.47,2.47
108,3,False,1,11,1,45,1,1,44,1,forceblk4,2,2,0,1,1,0,1.65,1.29,2.3
109,3,False,1,11,0,48,0,0,50,0,forceblk4,1,1,0,1,1,0,1.43,1.63,2.63
110,3,False,0,11,0,41,1,0,50,1,forceblk4,2,2,0,0,1,0,1.32,1.99,2.99
111,3,False,0,11,0,48,1,0,50,1,forceblk4,1,1,0,0,1,0,1.78,1.65,2.66
112,3,False,1,11,1,43,1,1,45,1,forceblk4,2,2,0,0,0,0,1.23,1.46,2.46
113,3,False,0,11,0,43,1,0,50,1,forceblk4,1,1,0,0,1,0,1.37,2.01,3.01
114,3,False,1,11,1,48,1,1,50,1,forceblk4,2,2,0,1,1,0,1.34,1.16,2.16
