trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,10.18,,
2,1,True,0,15,0,6,1,,,,catch,0,,1,,0,0,10.1,,
3,1,True,0,15,1,6,0,,,,catch,0,,1,,0,0,4.5,,
4,1,True,1,15,0,9,0,,,,catch,0,,1,,0,0,2.53,,
5,1,True,0,15,1,8,0,,,,catch,0,,1,,0,0,1.48,,
6,1,True,0,15,0,10,1,,,,catch,0,,1,,0,0,4.89,,
7,1,True,1,15,1,8,1,,,,catch,0,,1,,0,0,1.7,,
8,1,True,1,14,1,16,1,,,,catch,0,,1,,0,0,1.34,,
9,1,True,0,14,1,17,0,,,,catch,0,,1,,0,0,1.3,,
10,1,True,1,15,0,15,0,,,,catch,0,,1,,0,0,1.4,,
11,1,True,0,15,1,7,0,,,,catch,0,,1,,0,0,1.4,,
12,1,True,1,15,1,17,1,,,,catch,0,,1,,0,0,2.74,,
13,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,1.88,,
14,1,True,0,14,0,18,1,,,,catch,0,,1,,0,0,60.48,,
15,1,True,0,14,1,4,0,,,,catch,0,,1,,0,0,1.54,,
16,1,True,1,15,0,11,0,,,,catch,0,,1,,0,0,15.16,,
17,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,1.31,,
18,1,True,1,15,1,8,1,,,,catch,0,,1,,0,0,20.68,,
19,1,True,0,14,0,11,1,,,,catch,0,,1,,0,0,5.11,,
20,1,True,0,14,1,9,0,,,,catch,0,,1,,0,0,1.54,,
21,1,True,0,15,0,10,1,,,,catch,0,,1,,0,0,1.35,,
22,1,True,0,15,1,8,0,,,,catch,0,,1,,0,0,1.29,,
23,1,True,1,15,1,8,1,,,,catch,0,,1,,0,0,1.12,,
24,1,True,1,15,1,6,1,,,,catch,0,,1,,0,0,1.12,,
25,1,True,1,14,1,14,1,,,,catch,0,,1,,0,0,1.18,,
26,1,True,0,14,1,12,0,,,,catch,0,,1,,0,0,1.39,,
27,1,True,1,15,0,11,0,,,,catch,0,,1,,0,0,6.67,,
28,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,0.98,,
29,1,True,0,15,0,6,1,,,,catch,0,,1,,0,0,1.38,,
30,1,True,1,14,1,12,1,,,,catch,0,,1,,0,0,1.06,,
31,2,True,0,14,0,14,1,,,,catch,0,,1,,0,0,1.13,,
32,2,True,0,13,1,22,0,,,,catch,0,,1,,0,0,1.25,,
33,2,True,0,14,0,10,1,,,,catch,0,,1,,0,0,1.52,,
34,2,True,1,14,0,15,0,,,,catch,0,,1,,0,0,1.29,,
35,2,True,1,15,1,19,1,,,,catch,0,,1,,0,0,1.26,,
36,2,True,1,15,1,16,1,,,,catch,0,,1,,0,0,1.41,,
37,2,True,0,14,0,18,1,,,,catch,0,,1,,0,0,1.36,,
38,2,True,1,14,1,31,1,,,,catch,0,,1,,0,0,1.63,,
39,2,True,0,13,1,26,0,,,,catch,0,,1,,0,0,1.12,,
40,2,True,1,14,1,17,1,,,,catch,0,,1,,0,0,1.15,,
41,2,True,1,14,1,10,1,,,,catch,0,,1,,0,0,1.12,,
42,2,True,1,13,1,28,1,,,,catch,0,,1,,0,0,1.32,,
43,2,True,0,13,0,20,1,,,,catch,0,,1,,0,0,1.54,,
44,2,True,1,12,0,10,0,,,,catch,0,,1,,0,0,1.43,,
45,2,True,0,13,1,12,0,,,,catch,0,,1,,0,0,1.11,,
46,2,True,0,14,1,14,0,,,,catch,0,,1,,0,0,1.51,,
47,2,True,0,15,1,14,0,,,,catch,0,,1,,0,0,1.38,,
48,2,True,0,15,0,15,1,,,,catch,0,,1,,0,0,1.56,,
49,2,True,1,15,1,17,1,,,,catch,0,,1,,0,0,1.27,,
