trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,16.21,,
2,1,True,0,15,1,10,0,,,,catch,0,,1,,0,0,5.63,,
3,1,True,1,15,1,25,1,,,,catch,0,,1,,0,0,1.93,,
4,1,True,1,15,1,34,1,,,,catch,0,,1,,0,0,1.65,,
5,1,True,0,14,0,12,1,,,,catch,0,,1,,0,0,1.72,,
6,1,True,1,14,1,27,1,,,,catch,0,,1,,0,0,1.57,,
7,1,True,1,13,1,39,1,,,,catch,0,,1,,0,0,1.98,,
8,1,True,1,13,1,42,1,,,,catch,0,,1,,0,0,1.59,,
9,1,True,1,12,1,43,1,,,,catch,0,,1,,0,0,1.56,,
10,1,True,1,12,1,38,1,,,,catch,0,,1,,0,0,1.36,,
11,1,True,1,11,1,43,1,,,,catch,0,,1,,0,0,2.22,,
12,1,True,1,11,1,20,1,,,,catch,0,,1,,0,0,1.86,,
13,1,True,0,10,0,9,1,,,,catch,0,,1,,0,0,3.23,,
14,1,True,1,10,1,19,1,,,,catch,0,,1,,0,0,2.51,,
15,1,True,1,9,1,24,1,,,,catch,0,,1,,0,0,1.88,,
16,1,True,0,9,1,27,0,,,,catch,0,,1,,0,0,1.2,,
17,1,True,1,10,1,7,1,,,,catch,0,,1,,0,0,2.16,,
18,1,True,0,10,1,15,0,,,,catch,0,,1,,0,0,2.66,,
19,1,True,1,11,1,29,1,,,,catch,0,,1,,0,0,1.27,,
20,1,True,0,11,1,26,0,,,,catch,0,,1,,0,0,2.49,,
21,1,True,0,12,0,7,1,,,,catch,0,,1,,0,0,2.54,,
22,1,True,0,12,1,7,0,,,,catch,0,,1,,0,0,2.08,,
23,1,True,0,13,1,38,0,,,,catch,0,,1,,0,0,1.45,,
24,1,True,0,14,0,5,1,,,,catch,0,,1,,0,0,2.78,,
25,1,True,1,14,1,5,1,,,,catch,0,,1,,0,0,2.82,,
26,1,True,0,13,1,12,0,,,,catch,0,,1,,0,0,2.64,,
27,1,True,1,14,1,11,1,,,,catch,0,,1,,0,0,2.46,,
28,1,True,0,14,0,6,1,,,,catch,0,,1,,0,0,1.99,,
29,1,True,0,13,1,34,0,,,,catch,0,,1,,0,0,1.59,,
30,1,True,0,14,0,12,1,,,,catch,0,,1,,0,0,1.91,,
31,2,True,1,14,1,9,1,,,,catch,0,,1,,0,0,1.56,,
32,2,True,0,13,0,9,1,,,,catch,0,,1,,0,0,1.4,,
33,2,True,0,13,0,14,1,,,,catch,0,,1,,0,0,2.58,,
34,2,True,0,12,0,9,1,,,,catch,0,,1,,0,0,2.08,,
35,2,True,0,12,1,7,0,,,,catch,0,,1,,0,0,2.25,,
36,2,True,0,13,0,9,1,,,,catch,0,,1,,0,0,1.92,,
37,2,True,1,13,0,17,0,,,,catch,0,,1,,0,0,1.43,,
38,2,True,1,14,1,22,1,,,,catch,0,,1,,0,0,1.33,,
39,2,True,0,14,0,7,1,,,,catch,0,,1,,0,0,4.04,,
40,2,True,0,13,0,10,1,,,,catch,0,,1,,0,0,3.23,,
41,2,True,1,13,1,28,1,,,,catch,0,,1,,0,0,2.62,,
42,2,True,0,12,0,7,1,,,,catch,0,,1,,0,0,1.77,,
43,2,True,1,12,1,24,1,,,,catch,0,,1,,0,0,2.04,,
44,2,True,1,11,0,32,0,,,,catch,0,,1,,0,0,2.1,,
45,2,True,0,12,0,7,1,,,,catch,0,,1,,0,0,2.53,,
46,2,True,1,12,1,47,1,,,,catch,0,,1,,0,0,1.46,,
47,2,True,0,11,0,32,1,,,,catch,0,,1,,0,0,1.93,,
48,2,True,0,11,1,35,0,,,,catch,0,,1,,0,0,1.7,,
49,2,True,0,12,0,12,1,,,,catch,0,,1,,0,0,2.44,,
50,2,True,1,12,1,14,1,,,,catch,0,,1,,0,0,1.86,,
51,2,True,1,11,0,24,0,,,,catch,0,,1,,0,0,1.46,,
52,2,True,0,12,0,7,1,,,,catch,0,,1,,0,0,1.75,,
53,2,True,1,12,1,7,1,,,,catch,0,,1,,0,0,2.09,,
54,2,True,1,11,1,21,1,,,,catch,0,,1,,0,0,1.2,,
55,2,True,1,11,1,38,1,,,,catch,0,,1,,0,0,1.37,,
56,2,True,1,10,1,40,1,,,,catch,0,,1,,0,0,1.32,,
57,2,True,1,10,1,49,1,,,,catch,0,,1,,0,0,1.4,,
58,2,True,0,9,0,10,1,,,,catch,0,,1,,0,0,1.86,,
59,2,True,0,9,1,13,0,,,,catch,0,,1,,0,0,2.85,,
60,2,True,1,10,0,9,0,,,,catch,0,,1,,0,0,1.44,,
61,3,False,0,11,0,11,1,0,17,1,forceblk4,1,1,0,0,1,0,2.22,3.96,4.97
62,3,False,0,11,0,17,1,0,41,1,forceblk4,2,2,0,0,1,0,2.83,2.45,3.46
63,3,False,1,11,1,33,1,1,50,1,forceblk4,2,2,0,1,1,0,1.7,2.47,3.47
64,3,False,1,11,1,17,1,1,26,1,forceblk4,1,1,0,1,1,0,1.84,1.74,2.74
65,3,False,1,11,1,32,1,1,50,1,forceblk4,1,1,0,1,1,0,2.36,2.54,3.54
66,3,False,1,11,1,42,1,1,50,1,forceblk4,2,2,0,1,1,0,1.84,1.62,2.62
67,3,False,0,11,1,4,0,1,26,0,forceblk4,2,2,0,1,0,0,3.39,3.41,4.42
68,3,False,0,11,0,18,1,0,31,1,forceblk4,1,1,0,0,1,0,1.86,2.1,3.1
69,3,False,0,11,1,21,0,1,12,0,forceblk4,2,2,0,0,1,0,3.17,5.73,6.74
70,3,False,1,11,1,18,1,1,29,1,forceblk4,1,1,0,1,1,0,1.78,1.48,2.49
71,3,False,1,11,1,34,1,1,43,1,forceblk4,2,2,0,1,1,0,1.73,1.97,2.98
72,3,False,1,11,1,13,1,1,37,1,forceblk4,2,2,0,1,1,0,1.97,1.58,2.58
73,3,False,1,11,1,50,1,1,28,1,forceblk4,1,1,0,0,0,0,2.42,9.03,10.04
74,3,False,0,11,0,8,1,0,20,1,forceblk4,1,1,0,0,1,0,3.29,3.92,4.92
75,3,False,1,11,1,18,1,1,34,1,forceblk4,2,2,0,1,1,0,2.14,1.46,2.46
76,3,False,0,11,0,7,1,0,23,1,forceblk4,1,1,0,0,1,0,1.86,2.05,3.06
77,3,False,1,11,1,29,1,1,50,1,forceblk4,2,2,0,1,1,0,1.48,1.78,2.78
78,3,False,0,11,1,42,0,1,39,0,forceblk4,1,1,0,0,1,0,1.28,4.34,5.34
79,3,False,1,11,1,24,1,1,34,1,forceblk4,2,2,0,1,1,0,1.97,1.65,2.65
