trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,33.1,,
2,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,7.71,,
3,1,True,0,15,0,4,1,,,,catch,0,,1,,0,0,8.5,,
4,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,4.97,,
5,1,True,1,14,0,7,0,,,,catch,0,,1,,0,0,4.02,,
6,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,4.9,,
7,1,True,0,15,0,7,1,,,,catch,0,,1,,0,0,3.48,,
8,1,True,1,14,1,12,1,,,,catch,0,,1,,0,0,1.77,,
9,1,True,1,14,0,13,0,,,,catch,0,,1,,0,0,3.17,,
10,1,True,0,15,0,12,1,,,,catch,0,,1,,0,0,1.89,,
11,1,True,0,15,1,5,0,,,,catch,0,,1,,0,0,3.7,,
12,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,1.71,,
13,1,True,1,15,0,22,0,,,,catch,0,,1,,0,0,1.88,,
14,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,2.65,,
15,1,True,0,15,0,6,1,,,,catch,0,,1,,0,0,1.68,,
16,1,True,0,14,0,12,1,,,,catch,0,,1,,0,0,1.94,,
17,1,True,0,14,0,12,1,,,,catch,0,,1,,0,0,1.61,,
18,1,True,1,13,0,20,0,,,,catch,0,,1,,0,0,1.38,,
19,1,True,1,14,0,10,0,,,,catch,0,,1,,0,0,1.58,,
20,1,True,0,15,1,7,0,,,,catch,0,,1,,0,0,1.63,,
21,1,True,1,15,0,8,0,,,,catch,0,,1,,0,0,3.29,,
22,1,True,1,15,1,8,1,,,,catch,0,,1,,0,0,1.96,,
23,1,True,0,15,0,16,1,,,,catch,0,,1,,0,0,2.51,,
24,1,True,1,14,1,20,1,,,,catch,0,,1,,0,0,1.84,,
25,1,True,1,14,0,22,0,,,,catch,0,,1,,0,0,1.85,,
26,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,1.51,,
27,1,True,1,15,1,18,1,,,,catch,0,,1,,0,0,1.47,,
28,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,32.93,,
29,1,True,0,14,0,13,1,,,,catch,0,,1,,0,0,1.9,,
30,1,True,0,14,0,22,1,,,,catch,0,,1,,0,0,1.51,,
31,2,True,1,13,0,14,0,,,,catch,0,,1,,0,0,1.26,,
32,2,True,0,14,0,15,1,,,,catch,0,,1,,0,0,2.87,,
33,2,True,0,14,1,17,0,,,,catch,0,,1,,0,0,1.92,,
34,2,True,0,15,0,25,1,,,,catch,0,,1,,0,0,1.24,,
35,2,True,0,15,0,29,1,,,,catch,0,,1,,0,0,1.2,,
36,2,True,0,14,0,31,1,,,,catch,0,,1,,0,0,1.45,,
37,2,True,1,14,0,33,0,,,,catch,0,,1,,0,0,1.41,,
38,2,True,1,15,0,27,0,,,,catch,0,,1,,0,0,1.15,,
39,2,True,0,15,0,17,1,,,,catch,0,,1,,0,0,1.6,,
40,2,True,0,15,0,13,1,,,,catch,0,,1,,0,0,1.1,,
41,2,True,0,14,0,13,1,,,,catch,0,,1,,0,0,1.24,,
42,2,True,0,14,0,19,1,,,,catch,0,,1,,0,0,1.37,,
43,2,True,0,13,0,17,1,,,,catch,0,,1,,0,0,1.53,,
44,2,True,0,13,0,21,1,,,,catch,0,,1,,0,0,1.59,,
45,2,True,0,12,0,25,1,,,,catch,0,,1,,0,0,1.13,,
46,2,True,0,12,0,31,1,,,,catch,0,,1,,0,0,1.05,,
47,2,True,0,11,0,33,1,,,,catch,0,,1,,0,0,1.39,,
48,2,True,1,11,0,27,0,,,,catch,0,,1,,0,0,1.24,,
49,2,True,0,12,0,29,1,,,,catch,0,,1,,0,0,1.66,,
50,2,True,0,12,0,20,1,,,,catch,0,,1,,0,0,1.35,,
51,2,True,1,11,1,11,1,,,,catch,0,,1,,0,0,2.04,,
52,2,True,0,11,0,9,1,,,,catch,0,,1,,0,0,1.56,,
53,2,True,0,10,1,3,0,,,,catch,0,,1,,0,0,1.56,,
54,2,True,1,11,0,10,0,,,,catch,0,,1,,0,0,1.38,,
55,2,True,1,12,1,5,1,,,,catch,0,,1,,0,0,2.14,,
56,2,True,1,12,0,3,0,,,,catch,0,,1,,0,0,2.83,,
57,2,True,1,13,1,9,1,,,,catch,0,,1,,0,0,1.98,,
58,2,True,0,13,1,16,0,,,,catch,0,,1,,0,0,1.81,,
59,2,True,1,14,1,5,1,,,,catch,0,,1,,0,0,2.4,,
60,2,True,1,14,0,8,0,,,,catch,0,,1,,0,0,2.27,,
61,3,False,0,15,0,8,1,1,8,0,forceblk4,1,1,0,1,0,0,3.09,6.05,7.06
62,3,False,1,15,1,6,1,1,10,1,forceblk4,2,2,0,1,1,0,2.34,3.24,4.25
63,3,False,0,15,0,11,1,0,11,1,forceblk4,1,1,0,0,1,0,2.45,6.04,7.04
64,3,False,1,15,0,8,0,1,13,1,forceblk4,2,2,0,1,1,0,1.69,3.04,4.05
65,3,False,1,15,0,14,0,0,14,0,forceblk4,1,1,0,1,1,0,1.44,3.79,4.8
66,3,False,1,15,0,9,0,1,11,1,forceblk4,2,2,0,1,1,0,2.98,1.61,2.62
67,3,False,0,15,0,4,1,0,6,1,forceblk4,1,1,0,0,1,0,2.71,3.06,4.07
68,3,False,1,15,1,10,1,1,11,1,forceblk4,2,2,0,1,1,0,1.85,2.05,3.06
69,3,False,0,15,0,14,1,0,14,1,forceblk4,1,1,0,0,1,0,1.7,3.06,4.06
70,3,False,0,15,0,33,1,0,31,1,forceblk4,1,1,0,1,0,0,1.86,3.4,4.4
71,3,False,1,15,1,9,1,1,10,1,forceblk4,2,2,0,0,0,0,1.97,2.97,3.97
72,3,False,0,15,0,16,1,0,15,1,forceblk4,1,1,0,0,1,0,1.86,2.11,3.11
73,3,False,0,15,0,7,1,0,8,1,forceblk4,2,2,0,0,1,0,2.6,1.59,2.59
74,3,False,0,15,1,4,0,0,4,1,forceblk4,1,1,0,0,1,0,1.82,1.25,2.26
75,3,False,1,15,1,3,1,0,4,0,forceblk4,2,2,0,0,0,0,2.35,1.62,2.62
76,3,False,1,15,1,5,1,1,7,1,forceblk4,1,1,0,1,1,0,1.55,2.34,3.34
77,3,False,0,15,0,4,1,0,6,1,forceblk4,2,2,0,0,1,0,2.03,1.15,2.15
78,3,False,0,15,0,7,1,0,6,1,forceblk4,1,1,0,1,0,0,1.42,2.62,3.62
79,3,False,1,15,0,5,0,0,6,0,forceblk4,2,2,0,0,0,0,1.69,1.7,2.7
80,3,False,1,15,1,13,1,1,13,1,forceblk4,1,1,0,1,1,0,2.26,1.77,2.78
81,3,False,1,15,0,4,0,0,4,0,forceblk4,2,2,0,1,1,0,2.01,1.42,2.42
82,3,False,0,15,0,1,1,0,6,1,forceblk4,1,1,0,0,1,0,10.95,1.43,2.43
83,3,False,0,15,1,7,0,0,10,1,forceblk4,2,2,0,0,1,0,1.55,1.19,2.19
84,3,False,0,15,0,3,1,0,5,1,forceblk4,1,1,0,0,1,0,1.58,1.07,2.07
85,3,False,1,15,0,3,0,0,8,0,forceblk4,2,2,0,0,0,0,1.78,1.13,2.14
86,3,False,0,15,1,5,0,0,10,1,forceblk4,1,1,0,0,1,0,3.02,1.84,2.84
87,3,False,0,15,0,4,1,1,7,0,forceblk4,2,2,0,1,0,0,1.58,1.62,2.62
88,3,False,1,15,0,5,0,1,12,1,forceblk4,1,1,0,1,1,0,1.45,1.8,2.81
89,3,False,1,15,1,6,1,1,7,1,forceblk4,2,2,0,0,0,0,1.37,1.42,2.42
90,3,False,0,15,0,22,1,0,29,1,forceblk4,2,2,0,0,1,0,1.86,2.04,3.05
91,3,False,1,15,1,7,1,1,9,1,forceblk4,1,1,0,1,1,0,2.29,1.28,2.28
92,3,False,1,15,1,7,1,1,9,1,forceblk4,2,2,0,1,1,0,1.68,1.49,2.5
93,3,False,1,15,1,6,1,1,10,1,forceblk4,1,1,0,1,1,0,1.82,1.92,2.93
94,3,False,0,15,0,29,1,0,40,1,forceblk4,1,1,0,0,1,0,1.35,1.72,2.73
95,3,False,0,15,0,29,1,0,27,1,forceblk4,2,2,0,1,0,0,1.25,1.95,2.95
96,3,False,1,15,1,12,1,1,14,1,forceblk4,2,2,0,1,1,0,1.78,1.17,2.18
97,3,False,1,15,0,15,0,0,12,0,forceblk4,1,1,0,1,1,0,1.26,1.68,2.68
98,3,False,0,15,0,8,1,0,9,1,forceblk4,2,2,0,0,1,0,1.18,1.21,2.22
99,3,False,1,15,1,4,1,0,6,0,forceblk4,1,1,0,0,0,0,1.86,1.76,2.77
100,3,False,1,15,1,28,1,1,37,1,forceblk4,1,1,0,1,1,0,1.57,1.32,2.33
101,3,False,0,15,0,13,1,0,24,1,forceblk4,2,2,0,0,1,0,1.79,1.12,2.12
102,3,False,0,15,0,8,1,0,14,1,forceblk4,1,1,0,0,1,0,1.87,1.73,2.74
103,3,False,0,15,0,33,1,0,44,1,forceblk4,2,2,0,0,1,0,1.3,1.38,2.38
104,3,False,1,15,1,12,1,1,15,1,forceblk4,2,2,0,1,1,0,1.59,1.47,2.47
105,3,False,1,15,1,11,1,1,19,1,forceblk4,1,1,0,1,1,0,1.34,1.5,2.5
106,3,False,0,15,0,16,1,0,24,1,forceblk4,2,2,0,0,1,0,1.52,1.15,2.15
107,3,False,1,15,1,16,1,1,6,1,forceblk4,1,1,0,0,0,0,1.97,1.09,2.1
108,3,False,1,15,1,32,1,1,45,1,forceblk4,1,1,0,1,1,0,2.39,1.32,2.32
109,3,False,1,15,1,41,1,1,50,1,forceblk4,2,2,0,1,1,0,1.91,1.75,2.75
110,3,False,1,15,0,27,0,0,17,0,forceblk4,1,1,0,1,1,0,1.82,2.05,3.06
111,3,False,0,15,0,11,1,0,7,1,forceblk4,2,2,0,0,1,0,1.49,2.28,3.29
112,3,False,1,15,1,4,1,1,12,1,forceblk4,1,1,0,1,1,0,2.36,1.92,2.92
113,3,False,1,15,1,26,1,1,36,1,forceblk4,2,2,0,1,1,0,2.76,1.21,2.22
114,3,False,1,15,1,17,1,1,47,1,forceblk4,2,2,0,1,1,0,1.57,2.26,3.27
115,3,False,1,15,1,18,1,1,22,1,forceblk4,1,1,0,1,1,0,1.51,1.26,2.27
116,3,False,1,15,1,6,1,1,17,1,forceblk4,1,1,0,1,1,0,2.42,1.63,2.63
117,3,False,0,15,0,31,1,0,26,1,forceblk4,2,2,0,1,0,0,1.37,1.72,2.72
118,3,False,0,15,0,32,1,0,50,1,forceblk4,1,1,0,0,1,0,2.41,2.06,3.06
119,3,False,0,15,0,38,1,0,50,1,forceblk4,2,2,0,0,1,0,1.67,1.6,2.61
120,3,False,1,15,1,23,1,1,35,1,forceblk4,1,1,0,1,1,0,2.71,1.52,2.53
121,4,False,0,15,1,12,0,1,23,0,force,2,2,0,1,0,0,1.89,1.59,2.59
122,4,False,1,15,1,8,1,0,21,0,change,1,1,0,0,0,0,1.5,2.03,4.54
