trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,21.12,,
2,1,True,0,15,0,10,1,,,,catch,0,,1,,0,0,4.81,,
3,1,True,1,15,1,11,1,,,,catch,0,,1,,0,0,5.28,,
4,1,True,1,14,1,13,1,,,,catch,0,,1,,0,0,3.19,,
5,1,True,0,14,1,17,0,,,,catch,0,,1,,0,0,5.38,,
6,1,True,0,15,1,8,0,,,,catch,0,,1,,0,0,3.11,,
7,1,True,1,15,1,8,1,,,,catch,0,,1,,0,0,3.07,,
8,1,True,1,15,1,30,1,,,,catch,0,,1,,0,0,2.42,,
9,1,True,1,14,1,39,1,,,,catch,0,,1,,0,0,2.02,,
10,1,True,0,14,1,13,0,,,,catch,0,,1,,0,0,2.92,,
11,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,2.14,,
12,1,True,0,15,0,12,1,,,,catch,0,,1,,0,0,2.29,,
13,1,True,1,15,1,15,1,,,,catch,0,,1,,0,0,1.88,,
14,1,True,0,14,0,27,1,,,,catch,0,,1,,0,0,2.18,,
15,1,True,1,14,1,22,1,,,,catch,0,,1,,0,0,1.84,,
16,1,True,0,13,0,23,1,,,,catch,0,,1,,0,0,1.59,,
17,1,True,1,13,1,21,1,,,,catch,0,,1,,0,0,1.25,,
18,1,True,1,12,1,36,1,,,,catch,0,,1,,0,0,1.53,,
19,1,True,0,12,0,33,1,,,,catch,0,,1,,0,0,1.65,,
20,1,True,0,11,0,25,1,,,,catch,0,,1,,0,0,2.13,,
21,1,True,0,11,1,27,0,,,,catch,0,,1,,0,0,1.45,,
22,1,True,1,12,1,12,1,,,,catch,0,,1,,0,0,1.48,,
23,1,True,1,12,1,28,1,,,,catch,0,,1,,0,0,1.98,,
24,1,True,1,11,1,41,1,,,,catch,0,,1,,0,0,1.72,,
25,1,True,1,11,0,5,0,,,,catch,0,,1,,0,0,2.03,,
26,1,True,0,12,1,7,0,,,,catch,0,,1,,0,0,1.84,,
27,1,True,0,13,0,24,1,,,,catch,0,,1,,0,0,1.97,,
28,1,True,0,13,1,19,0,,,,catch,0,,1,,0,0,1.26,,
29,1,True,1,14,1,15,1,,,,catch,0,,1,,0,0,1.42,,
30,1,True,1,14,0,22,0,,,,catch,0,,1,,0,0,1.55,,
31,2,True,0,15,0,11,1,,,,catch,0,,1,,0,0,1.61,,
32,2,True,0,15,1,15,0,,,,catch,0,,1,,0,0,1.42,,
33,2,True,1,15,1,16,1,,,,catch,0,,1,,0,0,1.42,,
34,2,True,0,15,0,19,1,,,,catch,0,,1,,0,0,1.33,,
35,2,True,1,14,1,14,1,,,,catch,0,,1,,0,0,1.35,,
36,2,True,1,14,1,13,1,,,,catch,0,,1,,0,0,1.28,,
37,2,True,1,13,1,16,1,,,,catch,0,,1,,0,0,1.23,,
38,2,True,1,13,1,8,1,,,,catch,0,,1,,0,0,1.61,,
39,2,True,0,12,0,27,1,,,,catch,0,,1,,0,0,1.46,,
40,2,True,1,12,1,36,1,,,,catch,0,,1,,0,0,1.39,,
41,2,True,1,11,1,43,1,,,,catch,0,,1,,0,0,1.52,,
42,2,True,1,11,0,17,0,,,,catch,0,,1,,0,0,1.41,,
43,2,True,1,12,1,41,1,,,,catch,0,,1,,0,0,1.38,,
44,2,True,0,12,0,11,1,,,,catch,0,,1,,0,0,1.92,,
45,2,True,1,11,1,37,1,,,,catch,0,,1,,0,0,1.34,,
46,2,True,1,11,0,21,0,,,,catch,0,,1,,0,0,1.39,,
47,2,True,0,12,0,15,1,,,,catch,0,,1,,0,0,1.21,,
48,2,True,0,12,0,50,1,,,,catch,0,,1,,0,0,2.67,,
49,2,True,1,11,1,39,1,,,,catch,0,,1,,0,0,1.47,,
50,2,True,0,11,0,13,1,,,,catch,0,,1,,0,0,1.62,,
51,2,True,1,10,1,46,1,,,,catch,0,,1,,0,0,1.44,,
52,2,True,1,10,1,50,1,,,,catch,0,,1,,0,0,1.64,,
53,2,True,0,9,0,7,1,,,,catch,0,,1,,0,0,1.59,,
54,2,True,0,9,1,42,0,,,,catch,0,,1,,0,0,2.23,,
55,2,True,1,10,1,50,1,,,,catch,0,,1,,0,0,1.81,,
56,2,True,1,10,1,8,1,,,,catch,0,,1,,0,0,1.43,,
57,2,True,0,9,0,30,1,,,,catch,0,,1,,0,0,1.73,,
58,2,True,0,9,0,12,1,,,,catch,0,,1,,0,0,2.68,,
59,2,True,1,8,1,9,1,,,,catch,0,,1,,0,0,1.28,,
60,2,True,0,8,1,32,0,,,,catch,0,,1,,0,0,1.39,,
61,3,False,0,9,0,1,1,1,3,0,forceblk4,1,1,0,1,0,0,4.94,23.31,24.32
62,3,False,0,9,0,4,1,0,4,1,forceblk4,2,2,0,1,0,0,5.41,5.77,6.77
63,3,False,0,9,0,7,1,0,16,1,forceblk4,1,1,0,0,1,0,4.74,5.91,6.91
64,3,False,0,9,1,18,0,1,19,0,forceblk4,2,2,0,0,1,0,3.03,3.43,4.43
65,3,False,0,9,0,12,1,1,4,0,forceblk4,2,2,0,1,0,0,11.32,3.82,4.82
66,3,False,1,9,0,8,0,0,8,0,forceblk4,1,1,0,1,1,0,5.1,3.44,4.44
67,3,False,1,9,0,29,0,0,29,0,forceblk4,1,1,0,0,0,0,2.64,1.65,2.65
68,3,False,1,9,0,10,0,0,11,0,forceblk4,2,2,0,1,1,0,2.06,1.39,2.4
69,3,False,1,9,1,12,1,1,14,1,forceblk4,1,1,0,1,1,0,1.85,1.61,2.61
70,3,False,0,9,0,15,1,0,16,1,forceblk4,2,2,0,1,0,0,1.7,1.31,2.32
71,3,False,1,9,1,16,1,1,17,1,forceblk4,2,2,0,1,1,0,1.54,3.06,4.06
72,3,False,0,9,1,17,0,1,17,0,forceblk4,1,1,0,0,1,0,1.34,1.23,2.23
73,3,False,1,9,1,10,1,1,12,1,forceblk4,1,1,0,0,0,0,1.53,3.87,4.88
74,3,False,1,9,1,15,1,1,18,1,forceblk4,2,2,0,0,0,0,1.42,1.39,2.4
75,3,False,1,9,1,50,1,1,50,1,forceblk4,2,2,0,0,0,0,2.2,1.75,2.75
76,3,False,0,9,0,21,1,0,22,1,forceblk4,2,2,0,1,0,0,1.51,4.05,5.06
77,3,False,0,9,0,23,1,0,25,1,forceblk4,1,1,0,0,1,0,1.57,1.46,2.47
78,3,False,1,9,1,35,1,1,37,1,forceblk4,2,2,0,0,0,0,1.35,2.02,3.03
79,3,False,0,9,0,32,1,0,30,1,forceblk4,1,1,0,1,0,0,1.53,1.7,2.7
80,3,False,1,9,0,39,0,0,39,0,forceblk4,1,1,0,1,1,0,1.51,1.96,2.97
81,3,False,0,9,1,28,0,1,28,0,forceblk4,2,2,0,0,1,0,1.23,1.44,2.44
82,3,False,0,9,0,31,1,0,29,1,forceblk4,1,1,0,0,1,0,1.22,1.2,2.21
83,3,False,1,9,1,16,1,1,15,1,forceblk4,2,2,0,1,1,0,2.26,1.57,2.57
84,3,False,1,9,0,41,0,0,40,0,forceblk4,2,2,0,1,1,0,1.64,1.47,2.47
85,3,False,1,9,1,50,1,1,50,1,forceblk4,1,1,0,1,1,0,1.63,2.11,3.11
86,3,False,0,9,0,50,1,0,50,1,forceblk4,2,2,0,0,1,0,1.73,2.39,3.4
87,3,False,0,9,0,50,1,0,50,1,forceblk4,1,1,0,1,0,0,2.04,1.83,2.84
88,3,False,0,9,0,29,1,0,29,1,forceblk4,1,1,0,0,1,0,1.45,1.77,2.78
89,3,False,1,9,1,32,1,1,33,1,forceblk4,2,2,0,1,1,0,1.36,1.45,2.45
90,3,False,1,9,1,31,1,1,30,1,forceblk4,1,1,0,0,0,0,1.55,1.39,2.4
91,3,False,1,9,1,31,1,1,31,1,forceblk4,2,2,0,1,1,0,1.29,1.86,2.87
92,3,False,0,9,0,27,1,0,27,1,forceblk4,1,1,0,0,1,0,1.49,1.38,2.38
93,3,False,0,9,0,27,1,0,26,1,forceblk4,2,2,0,1,0,0,1.24,2.11,3.12
94,3,False,0,9,0,1,1,1,2,0,forceblk4,1,1,0,1,0,0,2.29,1.98,2.99
95,3,False,0,9,0,31,1,0,31,1,forceblk4,1,1,0,0,1,0,1.35,1.5,2.5
96,3,False,0,9,0,11,1,0,13,1,forceblk4,2,2,0,1,0,0,3.84,1.18,2.19
97,3,False,0,9,1,16,0,1,16,0,forceblk4,1,1,0,1,0,0,1.41,7.72,8.72
98,3,False,1,9,1,22,1,1,22,1,forceblk4,2,2,0,1,1,0,1.06,1.66,2.66
