trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,33,0,,,,catch,0,,1,,0,0,5.94,,
2,1,True,0,15,1,41,0,,,,catch,0,,1,,0,0,2.7,,
3,1,True,1,15,1,43,1,,,,catch,0,,1,,0,0,3.25,,
4,1,True,0,15,0,29,1,,,,catch,0,,1,,0,0,2.68,,
5,1,True,1,14,1,24,1,,,,catch,0,,1,,0,0,1.97,,
6,1,True,1,14,0,19,0,,,,catch,0,,1,,0,0,2.21,,
7,1,True,0,15,1,20,0,,,,catch,0,,1,,0,0,1.49,,
8,1,True,0,15,1,28,0,,,,catch,0,,1,,0,0,1.74,,
9,1,True,1,15,1,42,1,,,,catch,0,,1,,0,0,1.57,,
10,1,True,1,15,1,42,1,,,,catch,0,,1,,0,0,1.64,,
11,1,True,1,14,1,42,1,,,,catch,0,,1,,0,0,1.43,,
12,1,True,0,14,1,39,0,,,,catch,0,,1,,0,0,1.61,,
13,1,True,1,15,1,35,1,,,,catch,0,,1,,0,0,1.62,,
14,1,True,1,15,0,26,0,,,,catch,0,,1,,0,0,2.17,,
15,1,True,0,15,0,6,1,,,,catch,0,,1,,0,0,1.31,,
16,1,True,1,15,1,20,1,,,,catch,0,,1,,0,0,1.67,,
17,1,True,1,14,0,22,0,,,,catch,0,,1,,0,0,1.56,,
18,1,True,1,15,1,25,1,,,,catch,0,,1,,0,0,1.37,,
19,1,True,0,15,1,31,0,,,,catch,0,,1,,0,0,1.33,,
20,1,True,1,15,1,20,1,,,,catch,0,,1,,0,0,1.98,,
21,1,True,1,15,1,30,1,,,,catch,0,,1,,0,0,1.06,,
22,1,True,0,14,0,18,1,,,,catch,0,,1,,0,0,1.74,,
23,1,True,0,14,0,24,1,,,,catch,0,,1,,0,0,1.23,,
24,1,True,1,13,1,38,1,,,,catch,0,,1,,0,0,1.45,,
25,1,True,1,13,1,33,1,,,,catch,0,,1,,0,0,1.58,,
26,1,True,0,12,1,16,0,,,,catch,0,,1,,0,0,1.24,,
27,1,True,0,13,0,12,1,,,,catch,0,,1,,0,0,1.31,,
28,1,True,1,13,1,36,1,,,,catch,0,,1,,0,0,1.31,,
29,1,True,1,12,1,24,1,,,,catch,0,,1,,0,0,1.48,,
30,1,True,1,12,0,14,0,,,,catch,0,,1,,0,0,1.32,,
31,2,True,1,13,1,26,1,,,,catch,0,,1,,0,0,1.72,,
32,2,True,1,13,1,37,1,,,,catch,0,,1,,0,0,1.33,,
33,2,True,0,12,0,19,1,,,,catch,0,,1,,0,0,1.73,,
34,2,True,0,12,0,7,1,,,,catch,0,,1,,0,0,1.37,,
35,2,True,0,11,0,20,1,,,,catch,0,,1,,0,0,1.32,,
36,2,True,0,11,1,36,0,,,,catch,0,,1,,0,0,1.54,,
37,2,True,1,12,1,23,1,,,,catch,0,,1,,0,0,1.05,,
38,2,True,0,12,0,27,1,,,,catch,0,,1,,0,0,1.3,,
39,2,True,1,11,0,26,0,,,,catch,0,,1,,0,0,1.73,,
40,2,True,0,12,1,31,0,,,,catch,0,,1,,0,0,1.22,,
41,2,True,1,13,1,35,1,,,,catch,0,,1,,0,0,1.15,,
42,2,True,0,13,1,31,0,,,,catch,0,,1,,0,0,1.67,,
43,2,True,0,14,0,19,1,,,,catch,0,,1,,0,0,1.23,,
44,2,True,1,14,0,10,0,,,,catch,0,,1,,0,0,0.94,,
45,2,True,0,15,0,29,1,,,,catch,0,,1,,0,0,1.64,,
46,2,True,0,15,1,35,0,,,,catch,0,,1,,0,0,1.44,,
47,2,True,0,15,1,19,0,,,,catch,0,,1,,0,0,1.43,,
48,2,True,1,15,1,34,1,,,,catch,0,,1,,0,0,1.61,,
49,2,True,1,15,1,37,1,,,,catch,0,,1,,0,0,1.42,,
50,2,True,0,14,0,30,1,,,,catch,0,,1,,0,0,1.95,,
51,2,True,1,14,0,9,0,,,,catch,0,,1,,0,0,2.63,,
52,2,True,1,15,1,26,1,,,,catch,0,,1,,0,0,1.63,,
53,2,True,0,15,0,25,1,,,,catch,0,,1,,0,0,1.84,,
54,2,True,0,14,0,37,1,,,,catch,0,,1,,0,0,2.89,,
55,2,True,0,14,0,25,1,,,,catch,0,,1,,0,0,1.48,,
56,2,True,0,13,0,14,1,,,,catch,0,,1,,0,0,1.44,,
57,2,True,0,13,0,9,1,,,,catch,0,,1,,0,0,1.62,,
58,2,True,1,12,0,8,0,,,,catch,0,,1,,0,0,1.52,,
59,2,True,1,13,0,17,0,,,,catch,0,,1,,0,0,2.38,,
60,2,True,1,14,1,31,1,,,,catch,0,,1,,0,0,1.5,,
61,3,False,1,14,1,35,1,0,32,0,forceblk4,1,1,0,1,1,0,1.95,3.66,4.67
62,3,False,1,14,1,21,1,1,20,1,forceblk4,2,2,0,0,0,0,1.83,3.85,4.85
63,3,False,0,14,0,27,1,0,26,1,forceblk4,2,2,0,0,1,0,1.3,1.31,2.31
64,3,False,0,14,0,23,1,0,22,1,forceblk4,1,1,0,1,0,0,1.3,2.45,3.46
65,3,False,1,14,0,25,0,0,24,0,forceblk4,1,1,0,0,0,0,2.16,1.17,2.18
66,3,False,1,14,1,35,1,1,34,1,forceblk4,1,1,0,1,1,0,1.93,1.76,2.76
67,3,False,0,14,1,27,0,0,23,1,forceblk4,2,2,0,0,1,0,2.33,1.47,2.47
68,3,False,0,14,0,25,1,0,24,1,forceblk4,2,2,0,0,1,0,1.33,0.88,1.88
69,3,False,0,14,1,31,0,1,29,0,forceblk4,1,1,0,0,1,0,2.21,3.75,4.76
70,3,False,0,14,0,34,1,0,32,1,forceblk4,2,2,0,0,1,0,2.3,1.69,2.69
71,3,False,1,14,0,31,0,0,28,0,forceblk4,1,1,0,1,1,0,2.23,1.59,2.59
72,3,False,0,14,0,15,1,1,28,0,forceblk4,1,1,0,1,0,0,1.85,1.46,2.47
