trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,12,1,,,,catch,0,,1,,0,0,13.97,,
2,1,True,1,15,1,38,1,,,,catch,0,,1,,0,0,7.2,,
3,1,True,0,15,1,20,0,,,,catch,0,,1,,0,0,7.38,,
4,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,9.07,,
5,1,True,1,15,0,25,0,,,,catch,0,,1,,0,0,3.25,,
6,1,True,0,15,0,40,1,,,,catch,0,,1,,0,0,3.5,,
7,1,True,0,15,0,25,1,,,,catch,0,,1,,0,0,7.75,,
8,1,True,1,14,1,21,1,,,,catch,0,,1,,0,0,12.65,,
9,1,True,1,14,0,33,0,,,,catch,0,,1,,0,0,3.15,,
10,1,True,1,15,0,32,0,,,,catch,0,,1,,0,0,4.52,,
11,1,True,0,15,0,30,1,,,,catch,0,,1,,0,0,2.4,,
12,1,True,1,15,0,12,0,,,,catch,0,,1,,0,0,3.61,,
13,1,True,0,15,0,26,1,,,,catch,0,,1,,0,0,2.42,,
14,1,True,0,15,0,29,1,,,,catch,0,,1,,0,0,2.03,,
15,1,True,1,14,1,35,1,,,,catch,0,,1,,0,0,3.27,,
16,1,True,0,14,0,21,1,,,,catch,0,,1,,0,0,5.79,,
17,1,True,1,13,1,32,1,,,,catch,0,,1,,0,0,2.91,,
18,1,True,1,13,0,18,0,,,,catch,0,,1,,0,0,28.61,,
19,1,True,0,14,0,25,1,,,,catch,0,,1,,0,0,3.64,,
20,1,True,0,14,0,1,1,,,,catch,0,,1,,0,0,4.57,,
21,1,True,0,13,1,35,0,,,,catch,0,,1,,0,0,3.06,,
22,1,True,0,14,0,13,1,,,,catch,0,,1,,0,0,3.7,,
23,1,True,0,14,0,42,1,,,,catch,0,,1,,0,0,2.57,,
24,1,True,1,13,1,30,1,,,,catch,0,,1,,0,0,2.64,,
25,1,True,0,13,0,21,1,,,,catch,0,,1,,0,0,3.97,,
26,1,True,0,12,1,34,0,,,,catch,0,,1,,0,0,4.78,,
27,1,True,0,13,0,35,1,,,,catch,0,,1,,0,0,2.64,,
28,1,True,1,13,1,42,1,,,,catch,0,,1,,0,0,2.66,,
29,1,True,0,12,0,35,1,,,,catch,0,,1,,0,0,2.06,,
30,1,True,0,12,1,43,0,,,,catch,0,,1,,0,0,2.64,,
31,2,True,1,13,1,32,1,,,,catch,0,,1,,0,0,2.14,,
32,2,True,1,13,1,34,1,,,,catch,0,,1,,0,0,1.69,,
33,2,True,0,12,0,38,1,,,,catch,0,,1,,0,0,2.15,,
34,2,True,1,12,1,19,1,,,,catch,0,,1,,0,0,2.53,,
35,2,True,1,11,1,12,1,,,,catch,0,,1,,0,0,2.96,,
36,2,True,1,11,0,27,0,,,,catch,0,,1,,0,0,1.64,,
37,2,True,1,12,0,18,0,,,,catch,0,,1,,0,0,2.97,,
38,2,True,1,13,1,3,1,,,,catch,0,,1,,0,0,4.96,,
39,2,True,0,13,0,29,1,,,,catch,0,,1,,0,0,1.62,,
40,2,True,1,12,1,18,1,,,,catch,0,,1,,0,0,2.43,,
41,2,True,1,12,1,39,1,,,,catch,0,,1,,0,0,1.59,,
42,2,True,0,11,0,50,1,,,,catch,0,,1,,0,0,2.46,,
43,2,True,0,11,0,13,1,,,,catch,0,,1,,0,0,2.23,,
44,2,True,1,10,1,25,1,,,,catch,0,,1,,0,0,3.17,,
45,2,True,1,10,1,29,1,,,,catch,0,,1,,0,0,1.71,,
46,2,True,0,9,0,44,1,,,,catch,0,,1,,0,0,2.01,,
47,2,True,1,9,1,17,1,,,,catch,0,,1,,0,0,2.82,,
48,2,True,1,8,1,12,1,,,,catch,0,,1,,0,0,3.08,,
49,2,True,0,8,0,35,1,,,,catch,0,,1,,0,0,1.86,,
50,2,True,1,7,1,36,1,,,,catch,0,,1,,0,0,1.98,,
51,2,True,1,7,0,13,0,,,,catch,0,,1,,0,0,2.35,,
52,2,True,0,8,0,27,1,,,,catch,0,,1,,0,0,1.56,,
53,2,True,0,8,1,7,0,,,,catch,0,,1,,0,0,3.0,,
54,2,True,0,9,0,20,1,,,,catch,0,,1,,0,0,4.11,,
55,2,True,1,9,1,32,1,,,,catch,0,,1,,0,0,1.58,,
56,2,True,0,8,0,22,1,,,,catch,0,,1,,0,0,3.48,,
57,2,True,0,8,0,5,1,,,,catch,0,,1,,0,0,2.86,,
58,2,True,1,7,0,22,0,,,,catch,0,,1,,0,0,1.6,,
59,2,True,1,8,0,11,0,,,,catch,0,,1,,0,0,2.06,,
60,2,True,1,9,1,14,1,,,,catch,0,,1,,0,0,2.5,,
61,3,False,0,9,0,20,1,0,30,1,forceblk4,1,1,0,0,1,0,6.76,9.72,10.73
62,3,False,0,9,1,19,0,0,17,1,forceblk4,2,2,0,0,1,0,25.0,10.32,11.33
63,3,False,1,9,1,25,1,1,34,1,forceblk4,2,2,0,1,1,0,2.68,2.95,3.96
64,3,False,1,9,0,9,0,0,9,0,forceblk4,1,1,0,1,1,0,2.25,8.59,9.59
65,3,False,1,9,1,17,1,1,25,1,forceblk4,2,2,0,1,1,0,4.74,2.57,3.58
66,3,False,0,9,0,18,1,0,24,1,forceblk4,1,1,0,0,1,0,1.89,2.06,3.06
67,3,False,0,9,0,12,1,0,21,1,forceblk4,2,2,0,0,1,0,3.13,1.75,2.75
68,3,False,0,9,0,31,1,0,17,1,forceblk4,1,1,0,1,0,0,2.59,6.46,7.46
69,3,False,0,9,1,31,0,0,12,1,forceblk4,2,2,0,0,1,0,2.18,4.2,5.21
70,3,False,0,9,0,29,1,0,16,1,forceblk4,1,1,0,1,0,0,3.24,2.84,3.85
71,3,False,1,9,1,20,1,1,11,1,forceblk4,1,1,0,1,1,0,1.59,5.36,6.37
72,3,False,0,9,1,25,0,0,4,1,forceblk4,2,2,0,0,1,0,1.92,7.92,8.92
73,3,False,1,9,1,22,1,1,13,1,forceblk4,1,1,0,1,1,0,2.05,2.76,3.76
74,3,False,1,9,0,15,0,0,24,0,forceblk4,2,2,0,0,0,0,3.71,1.84,2.85
75,3,False,0,9,0,19,1,0,13,1,forceblk4,1,1,0,1,0,0,4.61,2.66,3.66
