trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,12,1,,,,catch,0,,1,,0,0,13.89,,
2,1,True,1,15,0,7,0,,,,catch,0,,1,,0,0,5.38,,
3,1,True,0,15,1,9,0,,,,catch,0,,1,,0,0,3.07,,
4,1,True,0,15,0,7,1,,,,catch,0,,1,,0,0,2.88,,
5,1,True,1,15,1,8,1,,,,catch,0,,1,,0,0,2.04,,
6,1,True,1,14,1,12,1,,,,catch,0,,1,,0,0,2.14,,
7,1,True,1,14,1,8,1,,,,catch,0,,1,,0,0,1.95,,
8,1,True,0,13,0,2,1,,,,catch,0,,1,,0,0,2.64,,
9,1,True,0,13,1,9,0,,,,catch,0,,1,,0,0,2.04,,
10,1,True,0,14,1,8,0,,,,catch,0,,1,,0,0,2.08,,
11,1,True,1,15,1,8,1,,,,catch,0,,1,,0,0,1.84,,
12,1,True,1,15,0,6,0,,,,catch,0,,1,,0,0,2.17,,
13,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,2.02,,
14,1,True,1,15,0,6,0,,,,catch,0,,1,,0,0,2.43,,
15,1,True,0,15,1,8,0,,,,catch,0,,1,,0,0,2.42,,
16,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,3.35,,
17,1,True,0,15,1,10,0,,,,catch,0,,1,,0,0,3.59,,
18,1,True,1,15,1,16,1,,,,catch,0,,1,,0,0,1.93,,
19,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,2.19,,
20,1,True,1,14,1,5,1,,,,catch,0,,1,,0,0,2.35,,
21,1,True,0,14,1,3,0,,,,catch,0,,1,,0,0,2.14,,
22,1,True,0,15,0,4,1,,,,catch,0,,1,,0,0,2.37,,
23,1,True,0,15,1,7,0,,,,catch,0,,1,,0,0,1.9,,
24,1,True,1,15,0,4,0,,,,catch,0,,1,,0,0,2.15,,
25,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,1.96,,
26,1,True,0,15,1,10,0,,,,catch,0,,1,,0,0,2.03,,
27,1,True,1,15,1,8,1,,,,catch,0,,1,,0,0,2.57,,
28,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,3.37,,
29,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,2.12,,
30,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,2.21,,
31,2,True,0,15,1,4,0,,,,catch,0,,1,,0,0,2.09,,
32,2,True,0,15,1,9,0,,,,catch,0,,1,,0,0,2.29,,
33,2,True,0,15,1,17,0,,,,catch,0,,1,,0,0,1.84,,
34,2,True,0,15,0,3,1,,,,catch,0,,1,,0,0,2.23,,
35,2,True,0,15,1,10,0,,,,catch,0,,1,,0,0,2.04,,
36,2,True,0,15,1,14,0,,,,catch,0,,1,,0,0,1.93,,
37,2,True,1,15,0,4,0,,,,catch,0,,1,,0,0,2.07,,
38,2,True,0,15,1,12,0,,,,catch,0,,1,,0,0,1.96,,
39,2,True,1,15,0,7,0,,,,catch,0,,1,,0,0,2.76,,
40,2,True,1,15,1,16,1,,,,catch,0,,1,,0,0,1.69,,
41,2,True,1,15,1,14,1,,,,catch,0,,1,,0,0,1.83,,
42,2,True,0,14,1,13,0,,,,catch,0,,1,,0,0,1.63,,
43,2,True,1,15,1,8,1,,,,catch,0,,1,,0,0,1.9,,
44,2,True,1,15,1,14,1,,,,catch,0,,1,,0,0,1.8,,
45,2,True,1,14,1,11,1,,,,catch,0,,1,,0,0,1.92,,
46,2,True,0,14,1,11,0,,,,catch,0,,1,,0,0,1.87,,
47,2,True,0,15,1,8,0,,,,catch,0,,1,,0,0,1.72,,
48,2,True,0,15,0,2,1,,,,catch,0,,1,,0,0,2.21,,
49,2,True,0,15,0,18,1,,,,catch,0,,1,,0,0,2.32,,
50,2,True,0,14,1,6,0,,,,catch,0,,1,,0,0,1.75,,
51,2,True,1,15,0,10,0,,,,catch,0,,1,,0,0,2.0,,
52,2,True,0,15,1,10,0,,,,catch,0,,1,,0,0,1.8,,
53,2,True,0,15,0,8,1,,,,catch,0,,1,,0,0,1.9,,
54,2,True,1,15,1,6,1,,,,catch,0,,1,,0,0,1.63,,
55,2,True,0,14,1,11,0,,,,catch,0,,1,,0,0,1.64,,
56,2,True,0,15,0,15,1,,,,catch,0,,1,,0,0,2.19,,
57,2,True,0,15,1,3,0,,,,catch,0,,1,,0,0,2.97,,
58,2,True,1,15,1,12,1,,,,catch,0,,1,,0,0,1.66,,
59,2,True,0,15,0,1,1,,,,catch,0,,1,,0,0,2.68,,
60,2,True,1,14,1,4,1,,,,catch,0,,1,,0,0,2.93,,
61,3,False,0,14,1,6,0,1,5,0,forceblk4,1,1,0,0,1,0,4.57,6.95,7.97
62,3,False,1,14,1,4,1,0,6,0,forceblk4,2,2,0,0,0,0,3.15,2.4,3.41
63,3,False,0,14,1,12,0,1,10,0,forceblk4,1,1,0,0,1,0,2.61,3.24,4.25
64,3,False,0,14,1,9,0,1,10,0,forceblk4,2,2,0,1,0,0,2.58,3.91,4.92
65,3,False,0,14,1,3,0,0,4,1,forceblk4,1,1,0,0,1,0,3.32,3.8,4.82
66,3,False,0,14,0,5,1,1,6,0,forceblk4,2,2,0,0,1,0,2.1,2.04,3.05
67,3,False,0,14,1,7,0,0,6,1,forceblk4,1,1,0,0,1,0,2.11,3.99,5.0
68,3,False,0,14,1,4,0,1,4,0,forceblk4,2,2,0,0,1,0,1.85,2.26,3.27
69,3,False,1,14,0,5,0,1,4,1,forceblk4,1,1,0,1,1,0,2.8,4.03,5.05
70,3,False,1,14,1,5,1,0,7,0,forceblk4,2,2,0,1,1,0,1.82,3.37,4.38
71,3,False,1,14,1,7,1,1,18,1,forceblk4,1,1,0,1,1,0,2.26,2.73,3.75
72,3,False,1,14,1,19,1,1,21,1,forceblk4,2,2,0,0,0,0,1.84,2.41,3.43
73,3,False,0,14,1,7,0,0,1,1,forceblk4,2,2,0,0,1,0,1.9,2.55,3.56
74,3,False,0,14,1,18,0,0,3,1,forceblk4,1,1,0,0,1,0,1.76,3.78,4.8
75,3,False,0,14,0,8,1,0,5,1,forceblk4,2,2,0,0,1,0,4.55,3.68,4.7
76,3,False,0,14,1,8,0,1,25,0,forceblk4,1,1,0,1,0,0,5.73,2.26,3.28
77,3,False,0,14,0,5,1,0,2,1,forceblk4,2,2,0,0,1,0,26.36,3.46,4.47
78,3,False,0,14,1,17,0,1,26,0,forceblk4,1,1,0,1,0,0,2.06,1.87,2.88
79,3,False,1,14,1,9,1,1,6,1,forceblk4,2,2,0,1,1,0,2.07,3.31,4.32
80,3,False,0,14,1,17,0,1,9,0,forceblk4,1,1,0,0,1,0,1.77,2.42,3.43
81,3,False,0,14,1,23,0,1,29,0,forceblk4,2,2,0,1,0,0,1.77,2.02,3.04
