trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,19,1,,,,catch,0,,1,,0,0,11.49,,
2,1,True,0,15,0,15,1,,,,catch,0,,1,,0,0,6.1,,
3,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,7.62,,
4,1,True,1,14,0,25,0,,,,catch,0,,1,,0,0,3.49,,
5,1,True,0,15,0,23,1,,,,catch,0,,1,,0,0,4.82,,
6,1,True,0,15,0,24,1,,,,catch,0,,1,,0,0,3.95,,
7,1,True,1,14,1,19,1,,,,catch,0,,1,,0,0,4.11,,
8,1,True,0,14,0,24,1,,,,catch,0,,1,,0,0,2.95,,
9,1,True,1,13,0,25,0,,,,catch,0,,1,,0,0,3.65,,
10,1,True,0,14,0,10,1,,,,catch,0,,1,,0,0,4.56,,
11,1,True,1,14,0,29,0,,,,catch,0,,1,,0,0,3.09,,
12,1,True,0,15,1,27,0,,,,catch,0,,1,,0,0,3.65,,
13,1,True,0,15,0,8,1,,,,catch,0,,1,,0,0,2.93,,
14,1,True,0,15,0,25,1,,,,catch,0,,1,,0,0,3.07,,
15,1,True,0,14,0,18,1,,,,catch,0,,1,,0,0,2.54,,
16,1,True,1,14,0,18,0,,,,catch,0,,1,,0,0,7.52,,
17,1,True,1,15,0,11,0,,,,catch,0,,1,,0,0,2.94,,
18,1,True,1,15,0,3,0,,,,catch,0,,1,,0,0,7.17,,
19,1,True,1,15,1,14,1,,,,catch,0,,1,,0,0,2.07,,
20,1,True,0,15,0,11,1,,,,catch,0,,1,,0,0,4.28,,
21,1,True,1,14,0,19,0,,,,catch,0,,1,,0,0,5.42,,
22,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,4.66,,
23,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,6.24,,
24,1,True,1,15,1,30,1,,,,catch,0,,1,,0,0,2.62,,
25,1,True,0,15,1,22,0,,,,catch,0,,1,,0,0,3.46,,
26,1,True,0,15,0,30,1,,,,catch,0,,1,,0,0,2.57,,
27,1,True,0,15,0,33,1,,,,catch,0,,1,,0,0,3.04,,
28,1,True,0,14,0,26,1,,,,catch,0,,1,,0,0,2.29,,
29,1,True,0,14,0,21,1,,,,catch,0,,1,,0,0,3.18,,
30,1,True,1,13,1,28,1,,,,catch,0,,1,,0,0,2.45,,
