trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,18,0,,,,catch,0,,1,,0,0,10.9,,
2,1,True,0,15,0,29,1,,,,catch,0,,1,,0,0,2.18,,
3,1,True,0,15,0,39,1,,,,catch,0,,1,,0,0,2.46,,
4,1,True,0,14,0,7,1,,,,catch,0,,1,,0,0,2.92,,
5,1,True,1,14,1,30,1,,,,catch,0,,1,,0,0,1.66,,
6,1,True,1,13,1,41,1,,,,catch,0,,1,,0,0,1.64,,
7,1,True,1,13,0,27,0,,,,catch,0,,1,,0,0,1.69,,
8,1,True,0,14,0,24,1,,,,catch,0,,1,,0,0,1.34,,
9,1,True,1,14,0,8,0,,,,catch,0,,1,,0,0,3.24,,
10,1,True,0,15,0,42,1,,,,catch,0,,1,,0,0,1.97,,
11,1,True,0,15,0,50,1,,,,catch,0,,1,,0,0,1.36,,
12,1,True,1,14,1,50,1,,,,catch,0,,1,,0,0,1.88,,
13,1,True,1,14,1,39,1,,,,catch,0,,1,,0,0,1.48,,
14,1,True,0,13,0,50,1,,,,catch,0,,1,,0,0,2.09,,
15,1,True,0,13,1,39,0,,,,catch,0,,1,,0,0,1.65,,
16,1,True,1,14,1,50,1,,,,catch,0,,1,,0,0,1.44,,
17,1,True,1,14,1,50,1,,,,catch,0,,1,,0,0,1.36,,
18,1,True,0,13,0,14,1,,,,catch,0,,1,,0,0,2.35,,
19,1,True,0,13,0,26,1,,,,catch,0,,1,,0,0,1.88,,
20,1,True,1,12,0,1,0,,,,catch,0,,1,,0,0,2.33,,
21,1,True,1,13,0,17,0,,,,catch,0,,1,,0,0,1.82,,
22,1,True,1,14,1,30,1,,,,catch,0,,1,,0,0,2.72,,
23,1,True,1,14,0,36,0,,,,catch,0,,1,,0,0,1.69,,
24,1,True,1,15,0,25,0,,,,catch,0,,1,,0,0,1.31,,
25,1,True,1,15,1,38,1,,,,catch,0,,1,,0,0,1.33,,
26,1,True,0,15,0,23,1,,,,catch,0,,1,,0,0,1.97,,
27,1,True,0,14,0,29,1,,,,catch,0,,1,,0,0,1.87,,
28,1,True,0,14,0,48,1,,,,catch,0,,1,,0,0,1.72,,
29,1,True,1,13,0,41,0,,,,catch,0,,1,,0,0,1.59,,
30,1,True,0,14,0,22,1,,,,catch,0,,1,,0,0,1.29,,
31,2,True,1,14,1,10,1,,,,catch,0,,1,,0,0,2.08,,
32,2,True,1,13,1,40,1,,,,catch,0,,1,,0,0,1.59,,
33,2,True,0,13,0,12,1,,,,catch,0,,1,,0,0,2.21,,
34,2,True,1,12,0,32,0,,,,catch,0,,1,,0,0,1.27,,
35,2,True,0,13,0,50,1,,,,catch,0,,1,,0,0,1.56,,
36,2,True,1,13,1,23,1,,,,catch,0,,1,,0,0,2.5,,
37,2,True,1,12,0,47,0,,,,catch,0,,1,,0,0,1.6,,
38,2,True,0,13,0,42,1,,,,catch,0,,1,,0,0,1.91,,
39,2,True,0,13,0,26,1,,,,catch,0,,1,,0,0,1.3,,
40,2,True,1,12,0,36,0,,,,catch,0,,1,,0,0,1.43,,
41,2,True,0,13,0,42,1,,,,catch,0,,1,,0,0,2.0,,
42,2,True,0,13,0,14,1,,,,catch,0,,1,,0,0,1.42,,
43,2,True,1,12,1,6,1,,,,catch,0,,1,,0,0,2.67,,
44,2,True,1,12,1,2,1,,,,catch,0,,1,,0,0,4.23,,
45,2,True,0,11,0,17,1,,,,catch,0,,1,,0,0,1.38,,
46,2,True,0,11,1,29,0,,,,catch,0,,1,,0,0,1.81,,
47,2,True,1,12,1,40,1,,,,catch,0,,1,,0,0,1.73,,
48,2,True,1,12,0,1,0,,,,catch,0,,1,,0,0,3.2,,
49,2,True,1,13,1,32,1,,,,catch,0,,1,,0,0,2.45,,
50,2,True,1,13,1,40,1,,,,catch,0,,1,,0,0,1.72,,
