trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,9.35,,
2,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,9.81,,
3,1,True,0,15,0,15,1,,,,catch,0,,1,,0,0,5.08,,
4,1,True,1,14,1,18,1,,,,catch,0,,1,,0,0,5.55,,
5,1,True,0,14,1,16,0,,,,catch,0,,1,,0,0,4.76,,
6,1,True,0,15,0,18,1,,,,catch,0,,1,,0,0,2.69,,
7,1,True,0,15,1,28,0,,,,catch,0,,1,,0,0,3.07,,
8,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,3.53,,
9,1,True,1,15,0,27,0,,,,catch,0,,1,,0,0,3.69,,
10,1,True,0,15,0,28,1,,,,catch,0,,1,,0,0,2.89,,
11,1,True,0,15,0,21,1,,,,catch,0,,1,,0,0,3.49,,
12,1,True,1,14,1,13,1,,,,catch,0,,1,,0,0,3.98,,
13,1,True,0,14,1,16,0,,,,catch,0,,1,,0,0,3.08,,
14,1,True,0,15,0,28,1,,,,catch,0,,1,,0,0,3.0,,
15,1,True,0,15,0,7,1,,,,catch,0,,1,,0,0,3.78,,
16,1,True,1,14,1,11,1,,,,catch,0,,1,,0,0,3.14,,
17,1,True,1,14,0,10,0,,,,catch,0,,1,,0,0,4.03,,
18,1,True,0,15,0,33,1,,,,catch,0,,1,,0,0,2.68,,
19,1,True,1,15,1,27,1,,,,catch,0,,1,,0,0,2.75,,
20,1,True,1,14,1,25,1,,,,catch,0,,1,,0,0,2.62,,
21,1,True,1,14,1,42,1,,,,catch,0,,1,,0,0,2.85,,
22,1,True,1,13,0,1,0,,,,catch,0,,1,,0,0,13.72,,
23,1,True,0,14,1,5,0,,,,catch,0,,1,,0,0,3.06,,
24,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,2.75,,
25,1,True,0,15,1,8,0,,,,catch,0,,1,,0,0,2.57,,
26,1,True,0,15,0,7,1,,,,catch,0,,1,,0,0,3.48,,
27,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,2.43,,
28,1,True,0,14,1,12,0,,,,catch,0,,1,,0,0,2.5,,
29,1,True,0,15,0,29,1,,,,catch,0,,1,,0,0,2.59,,
30,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,2.4,,
31,2,True,1,14,0,2,0,,,,catch,0,,1,,0,0,4.07,,
32,2,True,1,15,1,13,1,,,,catch,0,,1,,0,0,2.15,,
33,2,True,1,15,1,23,1,,,,catch,0,,1,,0,0,2.17,,
34,2,True,1,14,1,19,1,,,,catch,0,,1,,0,0,2.17,,
35,2,True,0,14,0,36,1,,,,catch,0,,1,,0,0,2.86,,
36,2,True,0,13,0,21,1,,,,catch,0,,1,,0,0,3.08,,
37,2,True,0,13,1,24,0,,,,catch,0,,1,,0,0,2.08,,
38,2,True,0,14,0,22,1,,,,catch,0,,1,,0,0,2.1,,
39,2,True,0,14,0,41,1,,,,catch,0,,1,,0,0,2.92,,
40,2,True,1,13,0,10,0,,,,catch,0,,1,,0,0,3.96,,
41,2,True,1,14,1,7,1,,,,catch,0,,1,,0,0,2.63,,
42,2,True,0,14,0,2,1,,,,catch,0,,1,,0,0,4.99,,
43,2,True,1,13,0,9,0,,,,catch,0,,1,,0,0,3.39,,
44,2,True,0,14,0,30,1,,,,catch,0,,1,,0,0,2.45,,
45,2,True,0,14,0,1,1,,,,catch,0,,1,,0,0,2.81,,
46,2,True,1,13,1,2,1,,,,catch,0,,1,,0,0,3.9,,
47,2,True,0,13,1,13,0,,,,catch,0,,1,,0,0,2.95,,
48,2,True,0,14,0,1,1,,,,catch,0,,1,,0,0,3.0,,
49,2,True,1,14,0,6,0,,,,catch,0,,1,,0,0,3.39,,
50,2,True,1,15,1,11,1,,,,catch,0,,1,,0,0,2.39,,
51,2,True,1,15,1,18,1,,,,catch,0,,1,,0,0,2.91,,
52,2,True,1,14,1,2,1,,,,catch,0,,1,,0,0,3.77,,
53,2,True,0,14,0,12,1,,,,catch,0,,1,,0,0,2.56,,
54,2,True,1,13,1,2,1,,,,catch,0,,1,,0,0,4.25,,
55,2,True,1,13,1,17,1,,,,catch,0,,1,,0,0,2.23,,
56,2,True,0,12,0,44,1,,,,catch,0,,1,,0,0,3.37,,
57,2,True,0,12,1,29,0,,,,catch,0,,1,,0,0,2.23,,
58,2,True,1,13,0,41,0,,,,catch,0,,1,,0,0,3.47,,
59,2,True,0,14,1,20,0,,,,catch,0,,1,,0,0,2.8,,
60,2,True,0,15,0,40,1,,,,catch,0,,1,,0,0,3.12,,
61,3,False,0,15,0,9,1,0,21,1,forceblk4,2,2,0,0,1,0,8.56,6.85,7.86
62,3,False,1,15,1,21,1,1,28,1,forceblk4,2,2,0,1,1,0,5.0,3.86,4.9
63,3,False,1,15,1,19,1,1,16,1,forceblk4,1,1,0,0,0,0,4.51,17.13,18.15
64,3,False,1,15,1,27,1,1,39,1,forceblk4,2,2,0,1,1,0,3.94,4.19,5.21
65,3,False,0,15,0,3,1,0,5,1,forceblk4,1,1,0,0,1,0,5.93,6.65,7.66
66,3,False,1,15,1,8,1,1,36,1,forceblk4,2,2,0,1,1,0,3.37,3.39,4.4
67,3,False,0,15,0,2,1,0,12,1,forceblk4,1,1,0,0,1,0,3.3,4.43,5.44
68,3,False,1,15,0,13,0,1,12,1,forceblk4,2,2,0,1,1,0,2.64,4.57,5.58
69,3,False,1,15,1,9,1,1,16,1,forceblk4,1,1,0,1,1,0,2.65,3.01,4.03
70,3,False,1,15,1,11,1,1,43,1,forceblk4,2,2,0,1,1,0,2.79,5.28,6.29
71,3,False,1,15,1,29,1,1,34,1,forceblk4,1,1,0,1,1,0,3.21,4.81,5.83
72,3,False,0,15,0,30,1,0,23,1,forceblk4,1,1,0,1,0,0,2.94,9.43,10.44
73,3,False,0,15,0,1,1,0,3,1,forceblk4,1,1,0,0,1,0,4.03,3.46,4.47
74,3,False,1,15,0,10,0,1,11,1,forceblk4,2,2,0,1,1,0,2.72,3.83,4.84
75,3,False,0,15,0,18,1,0,26,1,forceblk4,1,1,0,0,1,0,2.1,4.15,5.16
76,3,False,0,15,0,27,1,1,7,0,forceblk4,2,2,0,1,0,0,3.52,3.59,4.61
77,3,False,1,15,0,1,0,1,2,1,forceblk4,2,2,0,1,1,0,5.45,3.2,4.21
78,3,False,0,15,0,26,1,0,20,1,forceblk4,1,1,0,1,0,0,4.05,4.71,5.72
79,3,False,0,15,0,23,1,1,5,0,forceblk4,2,2,0,1,0,0,2.2,4.02,5.04
80,3,False,1,15,0,29,0,0,28,0,forceblk4,1,1,0,1,1,0,2.45,4.09,5.11
81,3,False,0,15,0,2,1,0,5,1,forceblk4,1,1,0,0,1,0,3.76,2.93,3.95
82,3,False,0,15,0,8,1,0,11,1,forceblk4,2,2,0,0,1,0,2.97,4.64,5.65
83,3,False,0,15,0,18,1,0,20,1,forceblk4,1,1,0,0,1,0,3.29,2.6,3.61
84,3,False,1,15,0,23,0,0,1,0,forceblk4,2,2,0,1,1,0,2.59,4.81,5.81
85,3,False,0,15,0,22,1,0,19,1,forceblk4,1,1,0,1,0,0,2.51,3.79,4.8
86,3,False,1,15,1,9,1,1,11,1,forceblk4,2,2,0,1,1,0,3.21,3.47,4.49
87,3,False,0,15,0,10,1,0,20,1,forceblk4,1,1,0,0,1,0,2.86,2.77,3.8
88,3,False,0,15,0,21,1,0,42,1,forceblk4,2,2,0,0,1,0,2.06,3.34,4.35
89,3,False,1,15,0,30,0,0,35,0,forceblk4,1,1,0,0,0,0,1.99,3.06,4.08
90,3,False,1,15,1,36,1,1,48,1,forceblk4,2,2,0,1,1,0,3.16,2.59,3.6
91,3,False,0,15,0,1,1,0,5,1,forceblk4,2,2,0,0,1,0,3.09,2.69,3.7
92,3,False,1,15,1,13,1,1,18,1,forceblk4,1,1,0,1,1,0,2.33,2.17,3.19
93,3,False,1,15,1,15,1,1,23,1,forceblk4,2,2,0,1,1,0,2.9,2.06,3.08
94,3,False,1,15,1,9,1,1,11,1,forceblk4,1,1,0,1,1,0,2.93,2.59,3.6
95,3,False,1,15,1,14,1,1,32,1,forceblk4,2,2,0,1,1,0,2.43,4.01,5.03
96,3,False,1,15,1,30,1,1,7,1,forceblk4,1,1,0,0,0,0,3.47,3.99,5.01
97,3,False,1,15,0,2,0,1,2,1,forceblk4,1,1,0,1,1,0,5.21,2.34,3.35
98,3,False,0,15,0,3,1,0,7,1,forceblk4,2,2,0,0,1,0,2.8,2.28,3.29
99,3,False,1,15,1,22,1,1,2,1,forceblk4,2,2,0,0,0,0,3.64,3.91,4.94
100,3,False,0,15,0,41,1,0,49,1,forceblk4,1,1,0,0,1,0,2.57,2.91,3.92
101,3,False,0,15,0,1,1,0,6,1,forceblk4,1,1,0,0,1,0,3.05,2.09,3.1
102,3,False,0,15,0,12,1,0,19,1,forceblk4,2,2,0,0,1,0,2.75,2.04,3.05
103,3,False,0,15,0,14,1,0,30,1,forceblk4,1,1,0,0,1,0,3.21,3.22,4.25
104,3,False,0,15,1,8,0,1,2,0,forceblk4,2,2,0,0,1,0,2.43,4.25,5.26
105,3,False,1,15,0,16,0,0,6,0,forceblk4,1,1,0,1,1,0,2.17,4.37,5.38
106,3,False,1,15,0,2,0,1,3,1,forceblk4,2,2,0,1,1,0,2.5,3.04,4.06
107,3,False,0,15,0,5,1,0,11,1,forceblk4,1,1,0,0,1,0,2.53,2.48,3.5
108,3,False,0,15,0,11,1,1,2,0,forceblk4,2,2,0,1,0,0,2.69,2.74,3.74
109,3,False,0,15,0,25,1,0,33,1,forceblk4,2,2,0,0,1,0,4.87,3.06,4.07
110,3,False,1,15,0,33,0,0,46,0,forceblk4,1,1,0,0,0,0,2.37,2.77,3.78
111,3,False,1,15,0,1,0,0,2,0,forceblk4,1,1,0,1,1,0,3.17,3.95,4.97
112,3,False,1,15,1,3,1,0,4,0,forceblk4,2,2,0,0,0,0,5.29,2.4,3.41
113,3,False,0,15,1,6,0,1,4,0,forceblk4,1,1,0,0,1,0,3.23,5.3,6.31
114,3,False,1,15,0,9,0,0,2,0,forceblk4,2,2,0,1,1,0,3.32,3.19,4.21
115,3,False,1,15,0,19,0,0,2,0,forceblk4,2,2,0,1,1,0,3.59,3.54,4.55
116,3,False,1,15,1,8,1,1,13,1,forceblk4,1,1,0,1,1,0,2.69,3.22,4.24
117,3,False,0,15,0,16,1,0,35,1,forceblk4,2,2,0,0,1,0,2.19,2.21,3.23
118,3,False,1,15,1,17,1,1,13,1,forceblk4,1,1,0,0,0,0,2.63,3.61,4.62
