trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,10,0,,,,catch,0,,1,,0,0,7.34,,
2,1,True,0,15,1,15,0,,,,catch,0,,1,,0,0,7.48,,
3,1,True,0,15,1,14,0,,,,catch,0,,1,,0,0,5.57,,
4,1,True,0,15,1,7,0,,,,catch,0,,1,,0,0,6.46,,
5,1,True,1,15,1,8,1,,,,catch,0,,1,,0,0,4.13,,
6,1,True,0,15,0,7,1,,,,catch,0,,1,,0,0,3.78,,
7,1,True,1,14,1,31,1,,,,catch,0,,1,,0,0,3.67,,
8,1,True,1,14,1,39,1,,,,catch,0,,1,,0,0,2.4,,
9,1,True,0,13,1,26,0,,,,catch,0,,1,,0,0,3.48,,
10,1,True,0,14,1,7,0,,,,catch,0,,1,,0,0,2.34,,
11,1,True,0,15,1,9,0,,,,catch,0,,1,,0,0,2.68,,
12,1,True,0,15,0,6,1,,,,catch,0,,1,,0,0,3.52,,
13,1,True,1,15,1,40,1,,,,catch,0,,1,,0,0,1.79,,
14,1,True,0,14,1,21,0,,,,catch,0,,1,,0,0,4.33,,
15,1,True,1,15,1,20,1,,,,catch,0,,1,,0,0,3.26,,
16,1,True,0,15,1,18,0,,,,catch,0,,1,,0,0,2.54,,
17,1,True,1,15,0,33,0,,,,catch,0,,1,,0,0,2.39,,
18,1,True,0,15,0,42,1,,,,catch,0,,1,,0,0,2.19,,
19,1,True,0,15,1,12,0,,,,catch,0,,1,,0,0,2.94,,
20,1,True,0,15,0,38,1,,,,catch,0,,1,,0,0,1.85,,
21,1,True,1,15,0,33,0,,,,catch,0,,1,,0,0,2.74,,
22,1,True,0,15,0,39,1,,,,catch,0,,1,,0,0,6.22,,
23,1,True,0,15,1,9,0,,,,catch,0,,1,,0,0,2.1,,
24,1,True,0,15,0,28,1,,,,catch,0,,1,,0,0,2.09,,
25,1,True,1,15,0,31,0,,,,catch,0,,1,,0,0,6.23,,
26,1,True,0,15,1,14,0,,,,catch,0,,1,,0,0,2.09,,
27,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,2.11,,
28,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,2.24,,
29,1,True,0,14,1,24,0,,,,catch,0,,1,,0,0,1.91,,
30,1,True,0,15,0,33,1,,,,catch,0,,1,,0,0,2.14,,
