trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,21,0,,,,catch,0,,1,,0,0,13.01,,
2,1,True,0,15,0,35,1,,,,catch,0,,1,,0,0,5.16,,
3,1,True,1,15,0,21,0,,,,catch,0,,1,,0,0,3.02,,
4,1,True,1,15,1,14,1,,,,catch,0,,1,,0,0,5.7,,
5,1,True,0,15,0,35,1,,,,catch,0,,1,,0,0,3.03,,
6,1,True,1,14,0,17,0,,,,catch,0,,1,,0,0,3.64,,
7,1,True,1,15,1,41,1,,,,catch,0,,1,,0,0,5.58,,
8,1,True,1,15,0,41,0,,,,catch,0,,1,,0,0,3.1,,
9,1,True,0,15,0,49,1,,,,catch,0,,1,,0,0,3.95,,
10,1,True,0,15,0,46,1,,,,catch,0,,1,,0,0,3.11,,
11,1,True,0,14,0,50,1,,,,catch,0,,1,,0,0,3.41,,
12,1,True,0,14,0,50,1,,,,catch,0,,1,,0,0,3.86,,
13,1,True,0,13,0,50,1,,,,catch,0,,1,,0,0,3.72,,
14,1,True,0,13,0,50,1,,,,catch,0,,1,,0,0,3.29,,
15,1,True,0,12,0,20,1,,,,catch,0,,1,,0,0,4.3,,
16,1,True,1,12,0,42,0,,,,catch,0,,1,,0,0,2.92,,
17,1,True,0,13,0,11,1,,,,catch,0,,1,,0,0,7.65,,
18,1,True,1,13,0,25,0,,,,catch,0,,1,,0,0,3.96,,
19,1,True,0,14,0,38,1,,,,catch,0,,1,,0,0,2.92,,
20,1,True,1,14,0,39,0,,,,catch,0,,1,,0,0,2.37,,
21,1,True,0,15,0,33,1,,,,catch,0,,1,,0,0,1.9,,
22,1,True,1,15,1,24,1,,,,catch,0,,1,,0,0,2.4,,
23,1,True,0,14,0,38,1,,,,catch,0,,1,,0,0,2.79,,
24,1,True,0,14,0,30,1,,,,catch,0,,1,,0,0,2.69,,
25,1,True,0,13,0,7,1,,,,catch,0,,1,,0,0,4.22,,
26,1,True,0,13,0,26,1,,,,catch,0,,1,,0,0,2.3,,
27,1,True,0,12,1,19,0,,,,catch,0,,1,,0,0,4.37,,
28,1,True,1,13,0,39,0,,,,catch,0,,1,,0,0,2.02,,
29,1,True,0,14,0,33,1,,,,catch,0,,1,,0,0,2.41,,
30,1,True,1,14,1,33,1,,,,catch,0,,1,,0,0,2.15,,
31,2,True,0,13,0,45,1,,,,catch,0,,1,,0,0,8.07,,
32,2,True,0,13,1,15,0,,,,catch,0,,1,,0,0,2.59,,
33,2,True,1,14,1,16,1,,,,catch,0,,1,,0,0,3.09,,
34,2,True,1,14,1,32,1,,,,catch,0,,1,,0,0,2.71,,
35,2,True,1,13,1,39,1,,,,catch,0,,1,,0,0,3.36,,
36,2,True,0,13,0,41,1,,,,catch,0,,1,,0,0,3.19,,
37,2,True,1,12,0,1,0,,,,catch,0,,1,,0,0,4.89,,
38,2,True,1,13,1,22,1,,,,catch,0,,1,,0,0,2.56,,
39,2,True,1,13,1,21,1,,,,catch,0,,1,,0,0,3.24,,
40,2,True,1,12,0,20,0,,,,catch,0,,1,,0,0,3.97,,
41,2,True,0,13,1,33,0,,,,catch,0,,1,,0,0,3.08,,
42,2,True,1,14,0,32,0,,,,catch,0,,1,,0,0,2.33,,
43,2,True,1,15,0,5,0,,,,catch,0,,1,,0,0,12.29,,
44,2,True,1,15,1,41,1,,,,catch,0,,1,,0,0,2.17,,
45,2,True,0,15,0,40,1,,,,catch,0,,1,,0,0,4.54,,
46,2,True,1,14,1,35,1,,,,catch,0,,1,,0,0,2.49,,
47,2,True,0,14,1,50,0,,,,catch,0,,1,,0,0,2.21,,
48,2,True,0,15,0,40,1,,,,catch,0,,1,,0,0,3.83,,
49,2,True,0,15,0,36,1,,,,catch,0,,1,,0,0,2.56,,
50,2,True,1,14,1,28,1,,,,catch,0,,1,,0,0,1.96,,
51,2,True,1,14,0,26,0,,,,catch,0,,1,,0,0,2.76,,
52,2,True,1,15,0,3,0,,,,catch,0,,1,,0,0,4.38,,
53,2,True,0,15,1,27,0,,,,catch,0,,1,,0,0,3.03,,
54,2,True,0,15,0,50,1,,,,catch,0,,1,,0,0,2.96,,
55,2,True,0,15,0,28,1,,,,catch,0,,1,,0,0,2.83,,
56,2,True,1,14,1,22,1,,,,catch,0,,1,,0,0,4.17,,
57,2,True,0,14,0,50,1,,,,catch,0,,1,,0,0,4.13,,
58,2,True,0,13,0,50,1,,,,catch,0,,1,,0,0,2.48,,
59,2,True,1,13,1,17,1,,,,catch,0,,1,,0,0,3.04,,
60,2,True,1,12,0,50,0,,,,catch,0,,1,,0,0,3.52,,
61,3,False,0,13,0,42,1,0,42,1,forceblk4,2,2,0,0,1,0,3.69,8.08,9.08
62,3,False,1,13,0,44,0,0,44,0,forceblk4,1,1,0,1,1,0,2.73,6.64,7.67
63,3,False,0,13,0,33,1,0,41,1,forceblk4,2,2,0,0,1,0,1.8,2.29,3.29
64,3,False,1,13,1,29,1,1,45,1,forceblk4,2,2,0,1,1,0,2.07,2.38,3.38
65,3,False,0,13,1,13,0,1,2,0,forceblk4,1,1,0,0,1,0,2.57,2.62,3.62
66,3,False,1,13,0,29,0,0,14,0,forceblk4,2,2,0,1,1,0,3.92,3.77,4.78
67,3,False,1,13,1,20,1,1,20,1,forceblk4,1,1,0,1,1,0,2.14,2.57,3.58
68,3,False,0,13,0,50,1,0,50,1,forceblk4,2,2,0,0,1,0,2.9,4.34,5.34
69,3,False,0,13,0,50,1,0,50,1,forceblk4,1,1,0,0,1,0,4.27,2.09,3.09
70,3,False,1,13,0,22,0,0,6,0,forceblk4,2,2,0,1,1,0,2.53,1.99,2.99
71,3,False,0,13,0,39,1,0,39,1,forceblk4,1,1,0,1,0,0,2.59,2.67,3.67
72,3,False,0,13,0,43,1,0,42,1,forceblk4,2,2,0,0,1,0,1.95,1.51,2.51
73,3,False,0,13,0,44,1,0,44,1,forceblk4,1,1,0,1,0,0,2.21,3.66,4.66
74,3,False,0,13,0,29,1,0,29,1,forceblk4,1,1,0,0,1,0,2.39,2.07,3.07
75,3,False,1,13,1,3,1,1,9,1,forceblk4,2,2,0,1,1,0,3.8,2.08,3.08
76,3,False,0,13,0,27,1,0,29,1,forceblk4,1,1,0,0,1,0,2.39,1.66,2.67
77,3,False,1,13,1,44,1,1,19,1,forceblk4,2,2,0,0,0,0,4.71,4.57,5.58
78,3,False,1,13,1,17,1,1,26,1,forceblk4,2,2,0,1,1,0,2.4,1.95,2.96
79,3,False,0,13,0,43,1,0,46,1,forceblk4,1,1,0,0,1,0,3.4,2.33,3.33
80,3,False,0,13,0,45,1,0,47,1,forceblk4,2,2,0,0,1,0,3.16,1.74,2.75
81,3,False,1,13,1,11,1,1,1,1,forceblk4,1,1,0,0,0,0,2.79,2.58,3.61
82,3,False,0,13,0,32,1,0,38,1,forceblk4,2,2,0,0,1,0,3.67,2.14,3.14
83,3,False,0,13,0,30,1,0,18,1,forceblk4,1,1,0,1,0,0,3.07,2.92,3.92
84,3,False,0,13,0,42,1,0,42,1,forceblk4,2,2,0,0,1,0,1.77,2.29,3.3
85,3,False,1,13,1,14,1,1,20,1,forceblk4,1,1,0,1,1,0,2.43,4.3,5.3
86,3,False,1,13,1,18,1,1,7,1,forceblk4,2,2,0,0,0,0,2.04,2.0,3.0
87,3,False,1,13,0,20,0,0,29,0,forceblk4,2,2,0,0,0,0,2.74,2.84,3.86
88,3,False,0,13,0,21,1,0,8,1,forceblk4,1,1,0,1,0,0,2.32,2.02,3.02
89,3,False,1,13,1,25,1,1,36,1,forceblk4,2,2,0,1,1,0,2.43,1.55,2.55
90,3,False,0,13,0,19,1,0,28,1,forceblk4,1,1,0,0,1,0,2.1,2.89,3.89
91,3,False,0,13,0,30,1,0,34,1,forceblk4,1,1,0,0,1,0,3.01,2.4,3.41
92,3,False,1,13,1,19,1,1,27,1,forceblk4,2,2,0,1,1,0,2.37,3.12,4.12
93,3,False,1,13,0,40,0,0,17,0,forceblk4,2,2,0,1,1,0,2.07,2.81,3.82
94,3,False,0,13,0,41,1,0,36,1,forceblk4,1,1,0,1,0,0,2.46,2.67,3.67
95,3,False,0,13,0,23,1,0,20,1,forceblk4,1,1,0,1,0,0,2.78,2.9,3.91
96,3,False,0,13,0,37,1,0,42,1,forceblk4,1,1,0,0,1,0,2.37,2.67,3.67
97,3,False,0,13,0,16,1,0,24,1,forceblk4,2,2,0,0,1,0,2.76,1.99,2.99
98,3,False,1,13,1,2,1,1,2,1,forceblk4,1,1,0,1,1,0,3.08,2.64,3.64
99,3,False,0,13,0,25,1,0,32,1,forceblk4,2,2,0,0,1,0,1.45,1.77,2.78
100,3,False,0,13,0,33,1,0,33,1,forceblk4,2,2,0,0,1,0,2.42,2.17,3.17
101,3,False,1,13,0,38,0,0,33,0,forceblk4,1,1,0,1,1,0,35.57,2.41,3.41
102,3,False,1,13,1,9,1,1,4,1,forceblk4,1,1,0,0,0,0,2.44,5.89,6.89
103,3,False,0,13,0,26,1,0,28,1,forceblk4,2,2,0,0,1,0,2.49,1.57,2.59
104,3,False,1,13,1,8,1,1,15,1,forceblk4,1,1,0,1,1,0,1.6,1.7,2.71
105,3,False,0,13,0,11,1,0,22,1,forceblk4,2,2,0,0,1,0,1.51,1.7,2.71
106,3,False,1,13,1,33,1,1,39,1,forceblk4,2,2,0,1,1,0,1.61,1.15,2.15
107,3,False,1,13,1,6,1,1,16,1,forceblk4,1,1,0,1,1,0,1.43,1.52,2.52
108,3,False,1,13,1,2,1,1,12,1,forceblk4,2,2,0,1,1,0,2.13,1.61,2.62
109,3,False,0,13,0,31,1,0,41,1,forceblk4,1,1,0,0,1,0,1.35,1.28,2.29
110,3,False,0,13,0,25,1,0,33,1,forceblk4,1,1,0,0,1,0,2.38,2.43,3.43
111,3,False,0,13,0,48,1,0,50,1,forceblk4,2,2,0,0,1,0,2.9,1.38,2.38
112,3,False,0,13,1,18,0,0,16,1,forceblk4,2,2,0,0,1,0,1.51,1.54,2.54
113,3,False,1,13,0,29,0,0,12,0,forceblk4,2,2,0,1,1,0,1.6,3.79,4.79
114,3,False,0,13,0,20,1,0,27,1,forceblk4,1,1,0,0,1,0,2.0,1.6,2.6
115,3,False,1,13,0,34,0,0,31,0,forceblk4,1,1,0,1,1,0,2.89,2.99,3.99
116,3,False,0,13,0,33,1,0,37,1,forceblk4,2,2,0,0,1,0,2.12,1.32,2.32
117,3,False,1,13,0,34,0,0,22,0,forceblk4,1,1,0,1,1,0,2.04,1.39,2.39
118,3,False,1,13,0,17,0,0,25,0,forceblk4,2,2,0,0,0,0,3.33,1.75,2.76
119,3,False,0,13,0,35,1,0,39,1,forceblk4,2,2,0,1,0,0,1.57,1.78,2.79
120,3,False,0,13,0,40,1,0,47,1,forceblk4,1,1,0,0,1,0,2.02,1.75,2.76
121,4,False,0,13,0,34,1,0,18,1,change,2,1,1,1,0,0,2.88,2.38,4.89
122,4,False,1,13,0,26,0,0,18,0,force,1,1,0,1,1,0,2.21,2.68,3.68
123,4,False,0,13,0,31,1,0,37,1,force,2,2,0,0,1,0,2.87,2.75,3.75
124,4,False,0,13,0,25,1,0,32,1,change,2,2,0,0,1,0,1.68,2.04,4.55
125,4,False,0,13,0,28,1,0,35,1,force,1,1,0,0,1,0,2.06,3.31,4.31
126,4,False,0,13,0,32,1,0,25,1,change,1,2,1,1,0,0,2.08,2.42,4.93
127,4,False,1,13,0,32,0,0,29,0,force,2,2,0,1,1,0,1.99,2.77,3.77
128,4,False,0,13,0,30,1,0,44,1,change,2,2,0,0,1,0,2.47,2.29,4.81
129,4,False,1,13,0,12,0,0,7,0,change,1,1,0,1,1,0,5.0,2.3,4.8
130,4,False,1,13,0,21,0,0,9,0,change,1,1,0,1,1,0,2.04,1.87,4.39
131,4,False,1,13,1,20,1,1,22,1,change,2,1,1,1,1,0,1.43,1.92,4.43
132,4,False,0,13,0,24,1,0,18,1,change,2,1,1,0,1,0,6.9,6.92,9.43
133,4,False,1,13,0,19,0,0,8,0,change,1,1,0,1,1,0,16.95,1.87,4.37
134,4,False,0,13,0,24,1,0,24,1,force,2,2,0,1,0,0,2.24,2.27,3.27
135,4,False,0,13,0,23,1,0,26,1,change,1,1,0,0,1,0,2.58,1.66,4.17
