trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,1,1,,,,catch,0,,1,,0,0,6.89,,
2,1,True,0,15,0,5,1,,,,catch,0,,1,,0,0,2.51,,
3,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,2.54,,
4,1,True,0,14,0,3,1,,,,catch,0,,1,,0,0,2.07,,
5,1,True,1,14,0,1,0,,,,catch,0,,1,,0,0,3.56,,
6,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,1.94,,
7,1,True,0,15,0,3,1,,,,catch,0,,1,,0,0,1.83,,
8,1,True,0,14,0,4,1,,,,catch,0,,1,,0,0,2.24,,
9,1,True,0,14,0,5,1,,,,catch,0,,1,,0,0,1.87,,
10,1,True,0,13,0,5,1,,,,catch,0,,1,,0,0,1.63,,
11,1,True,0,13,0,2,1,,,,catch,0,,1,,0,0,1.93,,
12,1,True,1,12,0,2,0,,,,catch,0,,1,,0,0,1.97,,
13,1,True,1,13,0,1,0,,,,catch,0,,1,,0,0,2.05,,
14,1,True,1,14,0,1,0,,,,catch,0,,1,,0,0,1.96,,
15,1,True,0,15,0,3,1,,,,catch,0,,1,,0,0,2.21,,
16,1,True,0,15,0,3,1,,,,catch,0,,1,,0,0,1.86,,
17,1,True,0,14,0,2,1,,,,catch,0,,1,,0,0,2.43,,
18,1,True,0,14,0,2,1,,,,catch,0,,1,,0,0,1.87,,
19,1,True,0,13,0,3,1,,,,catch,0,,1,,0,0,1.75,,
20,1,True,1,13,0,3,0,,,,catch,0,,1,,0,0,1.64,,
21,1,True,1,14,0,1,0,,,,catch,0,,1,,0,0,1.5,,
22,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,2.42,,
23,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,2.27,,
24,1,True,0,14,0,1,1,,,,catch,0,,1,,0,0,2.5,,
25,1,True,1,14,1,2,1,,,,catch,0,,1,,0,0,2.21,,
26,1,True,0,13,0,2,1,,,,catch,0,,1,,0,0,1.6,,
27,1,True,1,13,0,1,0,,,,catch,0,,1,,0,0,2.69,,
28,1,True,1,14,1,2,1,,,,catch,0,,1,,0,0,1.72,,
29,1,True,0,14,0,2,1,,,,catch,0,,1,,0,0,2.44,,
30,1,True,0,13,0,2,1,,,,catch,0,,1,,0,0,1.5,,
31,2,True,1,13,1,2,1,,,,catch,0,,1,,0,0,1.62,,
32,2,True,0,12,1,2,0,,,,catch,0,,1,,0,0,1.65,,
33,2,True,1,13,0,1,0,,,,catch,0,,1,,0,0,2.33,,
34,2,True,0,14,0,1,1,,,,catch,0,,1,,0,0,2.53,,
35,2,True,1,14,1,2,1,,,,catch,0,,1,,0,0,1.51,,
36,2,True,1,13,1,1,1,,,,catch,0,,1,,0,0,3.8,,
37,2,True,1,13,0,1,0,,,,catch,0,,1,,0,0,2.3,,
38,2,True,0,14,1,2,0,,,,catch,0,,1,,0,0,1.95,,
39,2,True,0,15,0,1,1,,,,catch,0,,1,,0,0,1.65,,
40,2,True,0,15,1,1,0,,,,catch,0,,1,,0,0,2.72,,
41,2,True,1,15,1,1,1,,,,catch,0,,1,,0,0,3.13,,
42,2,True,0,15,0,1,1,,,,catch,0,,1,,0,0,3.01,,
43,2,True,1,14,1,1,1,,,,catch,0,,1,,0,0,3.32,,
44,2,True,1,14,1,3,1,,,,catch,0,,1,,0,0,3.06,,
45,2,True,1,13,1,2,1,,,,catch,0,,1,,0,0,2.02,,
46,2,True,1,13,1,3,1,,,,catch,0,,1,,0,0,1.93,,
47,2,True,1,12,0,1,0,,,,catch,0,,1,,0,0,7.39,,
48,2,True,1,13,1,1,1,,,,catch,0,,1,,0,0,1.98,,
49,2,True,0,13,0,1,1,,,,catch,0,,1,,0,0,1.95,,
50,2,True,1,12,1,1,1,,,,catch,0,,1,,0,0,3.84,,
51,2,True,0,12,0,1,1,,,,catch,0,,1,,0,0,1.96,,
52,2,True,1,11,0,1,0,,,,catch,0,,1,,0,0,7.36,,
53,2,True,1,12,1,1,1,,,,catch,0,,1,,0,0,1.64,,
54,2,True,0,12,0,1,1,,,,catch,0,,1,,0,0,1.89,,
55,2,True,1,11,1,1,1,,,,catch,0,,1,,0,0,4.63,,
56,2,True,1,11,0,1,0,,,,catch,0,,1,,0,0,2.07,,
57,2,True,0,12,0,1,1,,,,catch,0,,1,,0,0,3.08,,
58,2,True,0,12,0,2,1,,,,catch,0,,1,,0,0,1.71,,
59,2,True,0,11,1,4,0,,,,catch,0,,1,,0,0,1.98,,
60,2,True,0,12,0,3,1,,,,catch,0,,1,,0,0,1.77,,
61,3,False,0,12,0,3,1,0,4,1,forceblk4,1,1,0,0,1,0,7.18,4.06,5.07
62,3,False,1,12,1,3,1,1,9,1,forceblk4,2,2,0,1,1,0,2.04,3.61,4.61
63,3,False,0,12,0,3,1,0,5,1,forceblk4,1,1,0,0,1,0,2.1,2.76,3.76
64,3,False,1,12,0,3,0,0,12,0,forceblk4,2,2,0,0,0,0,2.71,2.59,3.59
65,3,False,0,12,0,4,1,0,6,1,forceblk4,1,1,0,0,1,0,1.8,1.94,2.95
66,3,False,1,12,0,3,0,0,2,0,forceblk4,2,2,0,1,1,0,2.09,6.85,7.85
67,3,False,1,12,0,2,0,0,5,0,forceblk4,2,2,0,0,0,0,2.11,1.59,2.6
68,3,False,1,12,0,2,0,0,3,0,forceblk4,1,1,0,0,0,0,2.45,2.06,3.06
69,3,False,0,12,0,3,1,0,4,1,forceblk4,1,1,0,0,1,0,1.57,1.38,2.38
70,3,False,0,12,0,3,1,0,7,1,forceblk4,2,2,0,0,1,0,1.87,1.59,2.6
71,3,False,1,12,0,4,0,0,8,0,forceblk4,1,1,0,0,0,0,1.57,1.79,2.8
72,3,False,1,12,0,3,0,1,1,1,forceblk4,2,2,0,1,1,0,1.77,4.24,5.25
73,3,False,1,12,0,4,0,0,8,0,forceblk4,1,1,0,0,0,0,1.46,1.57,2.58
74,3,False,1,12,0,3,0,1,2,1,forceblk4,2,2,0,1,1,0,1.45,2.91,3.92
75,3,False,0,12,0,4,1,0,1,1,forceblk4,1,1,0,1,0,0,1.79,4.52,5.52
76,3,False,1,12,1,3,1,1,1,1,forceblk4,2,2,0,0,0,0,2.05,2.92,3.92
