trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,4,0,,,,catch,0,,1,,0,0,11.3,,
2,1,True,0,15,1,5,0,,,,catch,0,,1,,0,0,4.5,,
3,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,3.71,,
4,1,True,0,15,0,4,1,,,,catch,0,,1,,0,0,4.26,,
5,1,True,1,14,1,9,1,,,,catch,0,,1,,0,0,4.34,,
6,1,True,1,14,0,8,0,,,,catch,0,,1,,0,0,4.58,,
7,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,5.07,,
8,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,4.45,,
9,1,True,0,14,1,15,0,,,,catch,0,,1,,0,0,3.14,,
10,1,True,1,15,1,16,1,,,,catch,0,,1,,0,0,2.65,,
11,1,True,1,15,1,25,1,,,,catch,0,,1,,0,0,12.34,,
12,1,True,1,14,1,15,1,,,,catch,0,,1,,0,0,2.39,,
13,1,True,0,14,0,6,1,,,,catch,0,,1,,0,0,2.86,,
14,1,True,1,13,1,22,1,,,,catch,0,,1,,0,0,2.69,,
15,1,True,1,13,1,28,1,,,,catch,0,,1,,0,0,2.71,,
16,1,True,0,12,1,20,0,,,,catch,0,,1,,0,0,2.39,,
17,1,True,0,13,0,11,1,,,,catch,0,,1,,0,0,3.27,,
18,1,True,1,13,1,17,1,,,,catch,0,,1,,0,0,2.75,,
19,1,True,1,12,0,3,0,,,,catch,0,,1,,0,0,3.26,,
20,1,True,1,13,1,6,1,,,,catch,0,,1,,0,0,2.77,,
21,1,True,1,13,1,16,1,,,,catch,0,,1,,0,0,2.45,,
22,1,True,0,12,1,16,0,,,,catch,0,,1,,0,0,2.2,,
23,1,True,1,13,1,10,1,,,,catch,0,,1,,0,0,2.52,,
24,1,True,1,13,1,15,1,,,,catch,0,,1,,0,0,2.8,,
25,1,True,1,12,1,12,1,,,,catch,0,,1,,0,0,2.27,,
26,1,True,1,12,1,29,1,,,,catch,0,,1,,0,0,2.38,,
27,1,True,1,11,1,15,1,,,,catch,0,,1,,0,0,2.44,,
28,1,True,0,11,1,20,0,,,,catch,0,,1,,0,0,2.48,,
29,1,True,1,12,1,23,1,,,,catch,0,,1,,0,0,2.67,,
30,1,True,0,12,1,16,0,,,,catch,0,,1,,0,0,2.3,,
31,2,True,0,13,1,3,0,,,,catch,0,,1,,0,0,8.71,,
32,2,True,1,14,1,20,1,,,,catch,0,,1,,0,0,1.97,,
33,2,True,1,14,1,28,1,,,,catch,0,,1,,0,0,2.15,,
34,2,True,1,13,1,12,1,,,,catch,0,,1,,0,0,1.61,,
35,2,True,0,13,1,7,0,,,,catch,0,,1,,0,0,1.74,,
36,2,True,0,14,0,2,1,,,,catch,0,,1,,0,0,2.27,,
37,2,True,1,14,1,20,1,,,,catch,0,,1,,0,0,2.04,,
38,2,True,0,13,1,12,0,,,,catch,0,,1,,0,0,1.98,,
39,2,True,0,14,0,4,1,,,,catch,0,,1,,0,0,2.32,,
40,2,True,1,14,1,17,1,,,,catch,0,,1,,0,0,2.06,,
41,2,True,0,13,1,12,0,,,,catch,0,,1,,0,0,1.38,,
42,2,True,1,14,1,16,1,,,,catch,0,,1,,0,0,1.76,,
43,2,True,0,14,1,19,0,,,,catch,0,,1,,0,0,1.91,,
44,2,True,0,15,1,11,0,,,,catch,0,,1,,0,0,2.09,,
45,2,True,0,15,1,16,0,,,,catch,0,,1,,0,0,2.34,,
46,2,True,1,15,1,5,1,,,,catch,0,,1,,0,0,1.76,,
47,2,True,1,15,1,11,1,,,,catch,0,,1,,0,0,1.65,,
48,2,True,0,14,1,7,0,,,,catch,0,,1,,0,0,1.69,,
49,2,True,1,15,1,8,1,,,,catch,0,,1,,0,0,1.98,,
50,2,True,1,15,1,4,1,,,,catch,0,,1,,0,0,2.24,,
51,2,True,1,14,1,12,1,,,,catch,0,,1,,0,0,1.68,,
52,2,True,1,14,1,10,1,,,,catch,0,,1,,0,0,1.8,,
53,2,True,0,13,1,11,0,,,,catch,0,,1,,0,0,1.62,,
54,2,True,1,14,1,12,1,,,,catch,0,,1,,0,0,2.04,,
55,2,True,0,14,1,15,0,,,,catch,0,,1,,0,0,1.82,,
56,2,True,1,15,1,16,1,,,,catch,0,,1,,0,0,5.84,,
57,2,True,1,15,1,5,1,,,,catch,0,,1,,0,0,1.69,,
58,2,True,0,14,1,7,0,,,,catch,0,,1,,0,0,2.02,,
59,2,True,1,15,1,13,1,,,,catch,0,,1,,0,0,152.87,,
60,2,True,0,15,1,7,0,,,,catch,0,,1,,0,0,3.25,,
61,3,False,0,15,1,3,0,1,7,0,forceblk4,1,1,0,1,0,0,5.69,12.31,13.32
62,3,False,1,15,1,4,1,1,4,1,forceblk4,2,2,0,1,1,0,3.22,3.73,4.74
63,3,False,1,15,1,11,1,1,11,1,forceblk4,1,1,0,1,1,0,2.58,3.71,4.72
64,3,False,0,15,1,14,0,1,7,0,forceblk4,2,2,0,0,1,0,4.28,3.54,4.54
65,3,False,1,15,1,1,1,1,2,1,forceblk4,1,1,0,1,1,0,3.61,3.17,4.18
66,3,False,0,15,0,3,1,0,3,1,forceblk4,2,2,0,1,0,0,3.07,6.0,7.01
67,3,False,1,15,1,11,1,1,12,1,forceblk4,1,1,0,1,1,0,1.94,2.11,3.12
68,3,False,1,15,1,15,1,1,15,1,forceblk4,2,2,0,1,1,0,1.89,2.28,3.29
69,3,False,1,15,1,11,1,1,11,1,forceblk4,1,1,0,1,1,0,2.08,2.15,3.15
70,3,False,0,15,1,17,0,1,11,0,forceblk4,1,1,0,0,1,0,2.2,2.62,3.62
71,3,False,0,15,1,11,0,1,8,0,forceblk4,2,2,0,0,1,0,2.0,2.78,3.78
72,3,False,0,15,1,15,0,1,10,0,forceblk4,1,1,0,0,1,0,2.16,3.39,4.4
73,3,False,0,15,1,18,0,1,3,0,forceblk4,2,2,0,0,1,0,1.78,3.63,4.64
