trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,49,1,,,,catch,0,,1,,0,0,16.44,,
2,1,True,0,15,0,31,1,,,,catch,0,,1,,0,0,9.32,,
3,1,True,0,15,0,15,1,,,,catch,0,,1,,0,0,5.41,,
4,1,True,0,14,1,13,0,,,,catch,0,,1,,0,0,6.23,,
5,1,True,1,15,0,10,0,,,,catch,0,,1,,0,0,2.67,,
6,1,True,1,15,0,11,0,,,,catch,0,,1,,0,0,2.26,,
7,1,True,1,15,0,10,0,,,,catch,0,,1,,0,0,2.34,,
8,1,True,0,15,1,16,0,,,,catch,0,,1,,0,0,2.22,,
9,1,True,0,15,1,13,0,,,,catch,0,,1,,0,0,1.7,,
10,1,True,0,15,0,8,1,,,,catch,0,,1,,0,0,1.82,,
11,1,True,0,15,0,4,1,,,,catch,0,,1,,0,0,2.05,,
12,1,True,1,14,0,5,0,,,,catch,0,,1,,0,0,1.81,,
13,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,1.69,,
14,1,True,1,15,1,13,1,,,,catch,0,,1,,0,0,2.19,,
15,1,True,0,15,1,12,0,,,,catch,0,,1,,0,0,1.98,,
16,1,True,0,15,0,10,1,,,,catch,0,,1,,0,0,1.35,,
17,1,True,0,15,0,10,1,,,,catch,0,,1,,0,0,1.16,,
18,1,True,0,14,1,10,0,,,,catch,0,,1,,0,0,1.37,,
19,1,True,0,15,1,10,0,,,,catch,0,,1,,0,0,1.92,,
20,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,2.04,,
21,1,True,1,15,0,9,0,,,,catch,0,,1,,0,0,1.61,,
22,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,2.06,,
23,1,True,0,15,0,5,1,,,,catch,0,,1,,0,0,1.94,,
24,1,True,0,14,1,16,0,,,,catch,0,,1,,0,0,2.96,,
25,1,True,0,15,1,12,0,,,,catch,0,,1,,0,0,2.72,,
26,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,1.57,,
27,1,True,0,15,0,7,1,,,,catch,0,,1,,0,0,1.72,,
28,1,True,1,14,0,13,0,,,,catch,0,,1,,0,0,2.16,,
29,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,2.75,,
30,1,True,0,15,0,14,1,,,,catch,0,,1,,0,0,2.23,,
31,2,True,0,14,1,24,0,,,,catch,0,,1,,0,0,2.29,,
32,2,True,0,15,1,28,0,,,,catch,0,,1,,0,0,2.38,,
33,2,True,0,15,0,13,1,,,,catch,0,,1,,0,0,2.33,,
34,2,True,0,15,0,12,1,,,,catch,0,,1,,0,0,2.21,,
35,2,True,1,14,0,15,0,,,,catch,0,,1,,0,0,2.13,,
36,2,True,1,15,1,30,1,,,,catch,0,,1,,0,0,2.38,,
37,2,True,0,15,1,28,0,,,,catch,0,,1,,0,0,2.75,,
38,2,True,1,15,1,26,1,,,,catch,0,,1,,0,0,2.17,,
39,2,True,0,15,1,15,0,,,,catch,0,,1,,0,0,2.47,,
40,2,True,0,15,0,31,1,,,,catch,0,,1,,0,0,2.31,,
41,2,True,1,15,0,37,0,,,,catch,0,,1,,0,0,2.3,,
42,2,True,0,15,0,27,1,,,,catch,0,,1,,0,0,3.19,,
43,2,True,1,15,1,28,1,,,,catch,0,,1,,0,0,2.23,,
44,2,True,1,14,0,42,0,,,,catch,0,,1,,0,0,2.75,,
45,2,True,0,15,1,29,0,,,,catch,0,,1,,0,0,2.28,,
46,2,True,0,15,0,36,1,,,,catch,0,,1,,0,0,2.02,,
47,2,True,1,15,0,37,0,,,,catch,0,,1,,0,0,1.75,,
48,2,True,1,15,0,36,0,,,,catch,0,,1,,0,0,1.34,,
49,2,True,1,15,1,29,1,,,,catch,0,,1,,0,0,1.79,,
50,2,True,1,15,1,31,1,,,,catch,0,,1,,0,0,1.49,,
51,2,True,0,14,0,38,1,,,,catch,0,,1,,0,0,1.89,,
52,2,True,0,14,0,40,1,,,,catch,0,,1,,0,0,1.95,,
53,2,True,0,13,0,42,1,,,,catch,0,,1,,0,0,1.71,,
54,2,True,0,13,0,40,1,,,,catch,0,,1,,0,0,1.59,,
55,2,True,1,12,1,8,1,,,,catch,0,,1,,0,0,3.05,,
56,2,True,0,12,0,40,1,,,,catch,0,,1,,0,0,1.65,,
57,2,True,1,11,0,40,0,,,,catch,0,,1,,0,0,1.98,,
58,2,True,0,12,0,40,1,,,,catch,0,,1,,0,0,2.11,,
59,2,True,1,12,1,39,1,,,,catch,0,,1,,0,0,1.89,,
60,2,True,0,11,0,40,1,,,,catch,0,,1,,0,0,1.78,,
61,3,False,0,11,0,41,1,1,40,0,forceblk4,2,2,0,1,0,0,2.72,11.42,12.44
62,3,False,0,11,0,43,1,0,43,1,forceblk4,1,1,0,0,1,0,2.14,3.33,4.34
63,3,False,0,11,1,13,0,0,14,1,forceblk4,2,2,0,0,1,0,3.04,5.89,6.91
64,3,False,0,11,0,39,1,0,38,1,forceblk4,2,2,0,0,1,0,1.93,2.14,3.15
65,3,False,1,11,1,36,1,1,36,1,forceblk4,1,1,0,1,1,0,1.83,2.24,3.26
66,3,False,1,11,0,30,0,0,30,0,forceblk4,1,1,0,1,1,0,2.66,1.91,2.93
67,3,False,0,11,0,31,1,0,37,1,forceblk4,2,2,0,0,1,0,2.71,2.5,3.52
68,3,False,0,11,1,36,0,1,23,0,forceblk4,1,1,0,0,1,0,1.79,2.51,3.52
69,3,False,1,11,1,22,1,1,36,1,forceblk4,2,2,0,1,1,0,2.91,1.89,2.9
70,3,False,0,11,1,31,0,1,37,0,forceblk4,2,2,0,1,0,0,1.44,1.44,2.45
71,3,False,1,11,0,37,0,0,18,0,forceblk4,1,1,0,1,1,0,1.79,3.13,4.14
72,3,False,1,11,1,27,1,1,31,1,forceblk4,1,1,0,1,1,0,1.91,1.61,2.62
73,3,False,0,11,0,37,1,0,13,1,forceblk4,2,2,0,1,0,0,1.76,2.67,3.68
74,3,False,0,11,1,30,0,1,18,0,forceblk4,1,1,0,0,1,0,2.1,2.67,3.68
75,3,False,0,11,0,46,1,0,50,1,forceblk4,2,2,0,0,1,0,2.33,2.43,3.45
76,3,False,1,11,1,38,1,1,7,1,forceblk4,2,2,0,0,0,0,1.87,2.73,3.75
77,3,False,1,11,0,38,0,0,35,0,forceblk4,1,1,0,1,1,0,1.88,2.14,3.15
78,3,False,1,11,1,33,1,1,30,1,forceblk4,2,2,0,0,0,0,2.01,2.77,3.78
79,3,False,1,11,0,16,0,1,12,1,forceblk4,2,2,0,1,1,0,3.19,1.76,2.77
80,3,False,1,11,0,24,0,0,23,0,forceblk4,1,1,0,1,1,0,1.43,2.19,3.21
