trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,26,0,,,,catch,0,,1,,0,0,5.09,,
2,1,True,1,15,1,31,1,,,,catch,0,,1,,0,0,2.15,,
3,1,True,1,15,0,28,0,,,,catch,0,,1,,0,0,2.14,,
4,1,True,1,15,0,31,0,,,,catch,0,,1,,0,0,1.98,,
5,1,True,1,15,0,29,0,,,,catch,0,,1,,0,0,2.67,,
6,1,True,0,15,0,18,1,,,,catch,0,,1,,0,0,4.6,,
7,1,True,1,15,1,19,1,,,,catch,0,,1,,0,0,2.24,,
8,1,True,1,14,0,25,0,,,,catch,0,,1,,0,0,2.98,,
9,1,True,0,15,0,32,1,,,,catch,0,,1,,0,0,1.93,,
10,1,True,1,15,0,35,0,,,,catch,0,,1,,0,0,2.05,,
11,1,True,0,15,0,36,1,,,,catch,0,,1,,0,0,2.03,,
12,1,True,0,15,0,31,1,,,,catch,0,,1,,0,0,2.7,,
13,1,True,1,14,1,31,1,,,,catch,0,,1,,0,0,1.53,,
14,1,True,0,14,0,36,1,,,,catch,0,,1,,0,0,1.62,,
15,1,True,1,13,0,17,0,,,,catch,0,,1,,0,0,2.38,,
16,1,True,0,14,0,35,1,,,,catch,0,,1,,0,0,1.57,,
17,1,True,1,14,1,31,1,,,,catch,0,,1,,0,0,1.56,,
18,1,True,0,13,0,30,1,,,,catch,0,,1,,0,0,1.82,,
19,1,True,1,13,0,40,0,,,,catch,0,,1,,0,0,1.63,,
20,1,True,0,14,0,40,1,,,,catch,0,,1,,0,0,2.45,,
21,1,True,0,14,0,42,1,,,,catch,0,,1,,0,0,1.67,,
22,1,True,1,13,1,18,1,,,,catch,0,,1,,0,0,3.99,,
23,1,True,1,13,0,42,0,,,,catch,0,,1,,0,0,1.62,,
24,1,True,0,14,0,42,1,,,,catch,0,,1,,0,0,1.74,,
25,1,True,1,14,1,17,1,,,,catch,0,,1,,0,0,2.79,,
26,1,True,1,13,0,19,0,,,,catch,0,,1,,0,0,2.55,,
27,1,True,0,14,0,38,1,,,,catch,0,,1,,0,0,1.93,,
28,1,True,0,14,0,35,1,,,,catch,0,,1,,0,0,2.21,,
29,1,True,1,13,0,34,0,,,,catch,0,,1,,0,0,1.86,,
30,1,True,1,14,1,27,1,,,,catch,0,,1,,0,0,2.13,,
31,2,True,0,14,0,37,1,,,,catch,0,,1,,0,0,1.86,,
32,2,True,1,13,1,25,1,,,,catch,0,,1,,0,0,1.33,,
33,2,True,0,13,0,32,1,,,,catch,0,,1,,0,0,1.11,,
34,2,True,0,12,1,23,0,,,,catch,0,,1,,0,0,1.31,,
35,2,True,1,13,1,29,1,,,,catch,0,,1,,0,0,1.35,,
36,2,True,1,13,0,36,0,,,,catch,0,,1,,0,0,1.61,,
37,2,True,1,14,1,23,1,,,,catch,0,,1,,0,0,1.32,,
38,2,True,1,14,1,34,1,,,,catch,0,,1,,0,0,1.28,,
39,2,True,0,13,0,32,1,,,,catch,0,,1,,0,0,1.46,,
40,2,True,1,13,1,28,1,,,,catch,0,,1,,0,0,1.75,,
41,2,True,1,12,0,43,0,,,,catch,0,,1,,0,0,1.92,,
42,2,True,1,13,0,37,0,,,,catch,0,,1,,0,0,1.56,,
43,2,True,0,14,0,41,1,,,,catch,0,,1,,0,0,1.25,,
44,2,True,0,14,0,23,1,,,,catch,0,,1,,0,0,2.9,,
45,2,True,0,13,1,25,0,,,,catch,0,,1,,0,0,1.65,,
46,2,True,0,14,0,26,1,,,,catch,0,,1,,0,0,1.35,,
47,2,True,1,14,1,25,1,,,,catch,0,,1,,0,0,1.33,,
48,2,True,0,13,0,34,1,,,,catch,0,,1,,0,0,1.53,,
49,2,True,0,13,0,36,1,,,,catch,0,,1,,0,0,1.71,,
50,2,True,1,12,1,30,1,,,,catch,0,,1,,0,0,1.17,,
51,2,True,1,12,0,42,0,,,,catch,0,,1,,0,0,1.76,,
52,2,True,1,13,0,21,0,,,,catch,0,,1,,0,0,2.43,,
53,2,True,1,14,1,27,1,,,,catch,0,,1,,0,0,1.18,,
54,2,True,1,14,0,23,0,,,,catch,0,,1,,0,0,2.11,,
55,2,True,0,15,0,28,1,,,,catch,0,,1,,0,0,1.93,,
56,2,True,0,15,0,34,1,,,,catch,0,,1,,0,0,1.87,,
57,2,True,0,14,0,44,1,,,,catch,0,,1,,0,0,1.58,,
58,2,True,1,14,0,35,0,,,,catch,0,,1,,0,0,2.12,,
59,2,True,1,15,1,33,1,,,,catch,0,,1,,0,0,1.19,,
60,2,True,1,15,0,34,0,,,,catch,0,,1,,0,0,1.53,,
61,3,False,0,15,0,33,1,0,34,1,forceblk4,2,2,0,0,1,0,4.35,6.94,7.95
62,3,False,0,15,1,20,0,0,20,1,forceblk4,1,1,0,0,1,0,3.17,8.0,9.01
63,3,False,1,15,0,30,0,0,28,0,forceblk4,1,1,0,1,1,0,2.54,7.37,8.38
64,3,False,0,15,0,31,1,1,34,0,forceblk4,2,2,0,1,0,0,3.32,2.11,3.13
65,3,False,0,15,0,21,1,0,21,1,forceblk4,2,2,0,0,1,0,2.95,2.09,3.11
66,3,False,1,15,1,20,1,1,21,1,forceblk4,1,1,0,1,1,0,1.76,1.76,2.76
67,3,False,0,15,0,37,1,0,38,1,forceblk4,1,1,0,0,1,0,1.91,1.88,2.9
68,3,False,1,15,0,17,0,0,16,0,forceblk4,2,2,0,1,1,0,4.79,1.57,2.58
69,3,False,1,15,0,36,0,0,18,0,forceblk4,2,2,0,1,1,0,1.52,3.34,4.35
70,3,False,1,15,0,32,0,1,29,1,forceblk4,1,1,0,1,1,0,4.05,2.5,3.5
71,3,False,0,15,0,10,1,0,21,1,forceblk4,1,1,0,0,1,0,5.59,2.16,3.17
72,3,False,1,15,1,25,1,1,34,1,forceblk4,2,2,0,1,1,0,1.45,2.34,3.34
