trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,29,0,,,,catch,0,,1,,0,0,9.73,,
2,1,True,0,15,1,39,0,,,,catch,0,,1,,0,0,5.43,,
3,1,True,1,15,0,28,0,,,,catch,0,,1,,0,0,3.25,,
4,1,True,0,15,0,48,1,,,,catch,0,,1,,0,0,2.66,,
5,1,True,1,15,0,24,0,,,,catch,0,,1,,0,0,1.91,,
6,1,True,0,15,1,25,0,,,,catch,0,,1,,0,0,3.08,,
7,1,True,1,15,0,41,0,,,,catch,0,,1,,0,0,1.68,,
8,1,True,1,15,0,44,0,,,,catch,0,,1,,0,0,1.41,,
9,1,True,1,15,0,42,0,,,,catch,0,,1,,0,0,1.26,,
10,1,True,1,15,0,28,0,,,,catch,0,,1,,0,0,1.31,,
11,1,True,0,15,0,43,1,,,,catch,0,,1,,0,0,1.55,,
12,1,True,0,15,0,12,1,,,,catch,0,,1,,0,0,2.46,,
13,1,True,0,14,1,26,0,,,,catch,0,,1,,0,0,1.71,,
14,1,True,0,15,0,32,1,,,,catch,0,,1,,0,0,1.43,,
15,1,True,0,15,1,29,0,,,,catch,0,,1,,0,0,2.12,,
16,1,True,1,15,1,33,1,,,,catch,0,,1,,0,0,1.25,,
17,1,True,1,15,1,42,1,,,,catch,0,,1,,0,0,1.41,,
18,1,True,0,14,0,39,1,,,,catch,0,,1,,0,0,1.4,,
19,1,True,0,14,0,39,1,,,,catch,0,,1,,0,0,1.24,,
20,1,True,1,13,1,48,1,,,,catch,0,,1,,0,0,1.39,,
21,1,True,0,13,0,25,1,,,,catch,0,,1,,0,0,1.73,,
22,1,True,0,12,1,34,0,,,,catch,0,,1,,0,0,1.36,,
23,1,True,1,13,1,34,1,,,,catch,0,,1,,0,0,1.38,,
24,1,True,0,13,0,40,1,,,,catch,0,,1,,0,0,1.51,,
25,1,True,0,12,0,43,1,,,,catch,0,,1,,0,0,1.62,,
26,1,True,0,12,0,20,1,,,,catch,0,,1,,0,0,2.13,,
27,1,True,1,11,1,25,1,,,,catch,0,,1,,0,0,1.65,,
28,1,True,0,11,1,14,0,,,,catch,0,,1,,0,0,1.99,,
29,1,True,1,12,0,34,0,,,,catch,0,,1,,0,0,1.25,,
30,1,True,0,13,0,41,1,,,,catch,0,,1,,0,0,1.54,,
31,2,True,0,13,0,40,1,,,,catch,0,,1,,0,0,1.93,,
32,2,True,0,12,1,17,0,,,,catch,0,,1,,0,0,1.95,,
33,2,True,1,13,1,14,1,,,,catch,0,,1,,0,0,1.4,,
34,2,True,1,13,1,27,1,,,,catch,0,,1,,0,0,1.48,,
35,2,True,1,12,0,33,0,,,,catch,0,,1,,0,0,1.2,,
36,2,True,1,13,0,22,0,,,,catch,0,,1,,0,0,1.98,,
