trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,14,1,,,,catch,0,,1,,0,0,9.95,,
2,1,True,0,15,1,11,0,,,,catch,0,,1,,0,0,4.35,,
3,1,True,1,15,1,15,1,,,,catch,0,,1,,0,0,2.46,,
4,1,True,0,15,1,11,0,,,,catch,0,,1,,0,0,2.43,,
5,1,True,0,15,0,12,1,,,,catch,0,,1,,0,0,3.25,,
6,1,True,1,15,0,9,0,,,,catch,0,,1,,0,0,2.25,,
7,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,2.36,,
8,1,True,0,15,0,16,1,,,,catch,0,,1,,0,0,1.77,,
9,1,True,0,14,0,11,1,,,,catch,0,,1,,0,0,2.37,,
10,1,True,0,14,1,13,0,,,,catch,0,,1,,0,0,2.23,,
11,1,True,1,15,1,19,1,,,,catch,0,,1,,0,0,2.37,,
12,1,True,1,15,1,18,1,,,,catch,0,,1,,0,0,1.69,,
13,1,True,1,14,1,21,1,,,,catch,0,,1,,0,0,1.73,,
14,1,True,0,14,0,18,1,,,,catch,0,,1,,0,0,2.34,,
15,1,True,1,13,1,18,1,,,,catch,0,,1,,0,0,2.1,,
16,1,True,1,13,1,19,1,,,,catch,0,,1,,0,0,1.94,,
17,1,True,1,12,1,28,1,,,,catch,0,,1,,0,0,1.82,,
18,1,True,0,12,1,22,0,,,,catch,0,,1,,0,0,1.72,,
19,1,True,1,13,1,19,1,,,,catch,0,,1,,0,0,1.83,,
20,1,True,1,13,1,19,1,,,,catch,0,,1,,0,0,1.63,,
21,1,True,1,12,1,25,1,,,,catch,0,,1,,0,0,1.7,,
22,1,True,0,12,1,22,0,,,,catch,0,,1,,0,0,1.76,,
23,1,True,1,13,1,25,1,,,,catch,0,,1,,0,0,1.78,,
24,1,True,1,13,1,18,1,,,,catch,0,,1,,0,0,1.99,,
25,1,True,0,12,1,20,0,,,,catch,0,,1,,0,0,2.02,,
26,1,True,1,13,1,28,1,,,,catch,0,,1,,0,0,1.85,,
27,1,True,0,13,1,25,0,,,,catch,0,,1,,0,0,1.61,,
28,1,True,0,14,1,19,0,,,,catch,0,,1,,0,0,1.86,,
29,1,True,0,15,0,16,1,,,,catch,0,,1,,0,0,2.56,,
30,1,True,0,15,0,26,1,,,,catch,0,,1,,0,0,2.21,,
31,2,True,0,14,1,17,0,,,,catch,0,,1,,0,0,2.31,,
32,2,True,1,15,1,22,1,,,,catch,0,,1,,0,0,1.76,,
33,2,True,0,15,0,21,1,,,,catch,0,,1,,0,0,1.9,,
34,2,True,1,14,1,23,1,,,,catch,0,,1,,0,0,1.84,,
35,2,True,1,14,1,26,1,,,,catch,0,,1,,0,0,1.86,,
36,2,True,1,13,1,21,1,,,,catch,0,,1,,0,0,1.57,,
37,2,True,1,13,1,25,1,,,,catch,0,,1,,0,0,2.06,,
38,2,True,1,12,0,20,0,,,,catch,0,,1,,0,0,2.08,,
39,2,True,1,13,1,20,1,,,,catch,0,,1,,0,0,1.67,,
40,2,True,0,13,0,27,1,,,,catch,0,,1,,0,0,2.12,,
41,2,True,0,12,0,23,1,,,,catch,0,,1,,0,0,1.84,,
42,2,True,1,12,1,28,1,,,,catch,0,,1,,0,0,1.72,,
43,2,True,1,11,0,20,0,,,,catch,0,,1,,0,0,1.97,,
44,2,True,0,12,0,27,1,,,,catch,0,,1,,0,0,1.81,,
45,2,True,1,12,1,21,1,,,,catch,0,,1,,0,0,2.07,,
46,2,True,1,11,1,25,1,,,,catch,0,,1,,0,0,1.84,,
47,2,True,1,11,1,33,1,,,,catch,0,,1,,0,0,1.96,,
48,2,True,1,10,1,32,1,,,,catch,0,,1,,0,0,1.7,,
49,2,True,0,10,1,30,0,,,,catch,0,,1,,0,0,1.5,,
50,2,True,1,11,1,18,1,,,,catch,0,,1,,0,0,1.87,,
51,2,True,0,11,0,30,1,,,,catch,0,,1,,0,0,1.78,,
52,2,True,1,10,1,25,1,,,,catch,0,,1,,0,0,1.6,,
53,2,True,0,10,0,26,1,,,,catch,0,,1,,0,0,1.83,,
54,2,True,1,9,1,32,1,,,,catch,0,,1,,0,0,2.05,,
55,2,True,0,9,0,20,1,,,,catch,0,,1,,0,0,1.79,,
56,2,True,1,8,1,28,1,,,,catch,0,,1,,0,0,1.65,,
57,2,True,0,8,1,26,0,,,,catch,0,,1,,0,0,1.64,,
58,2,True,1,9,0,25,0,,,,catch,0,,1,,0,0,1.85,,
59,2,True,0,10,0,16,1,,,,catch,0,,1,,0,0,2.17,,
60,2,True,1,10,0,16,0,,,,catch,0,,1,,0,0,1.93,,
61,3,False,1,11,1,17,1,1,28,1,forceblk4,2,2,0,1,1,0,2.32,3.39,4.41
62,3,False,1,11,1,20,1,1,23,1,forceblk4,2,2,0,1,1,0,2.08,2.04,3.06
63,3,False,1,11,0,18,0,0,24,0,forceblk4,1,1,0,1,1,0,2.24,3.16,4.18
64,3,False,0,11,1,23,0,1,23,0,forceblk4,1,1,0,0,1,0,2.29,2.56,3.59
65,3,False,1,11,1,25,1,1,32,1,forceblk4,2,2,0,1,1,0,1.93,1.81,2.83
66,3,False,0,11,1,24,0,0,12,1,forceblk4,1,1,0,0,1,0,1.71,2.72,3.73
67,3,False,1,11,1,25,1,1,31,1,forceblk4,2,2,0,1,1,0,1.92,1.68,2.7
68,3,False,0,11,0,19,1,0,25,1,forceblk4,2,2,0,0,1,0,2.25,1.91,2.94
69,3,False,1,11,1,25,1,1,23,1,forceblk4,1,1,0,1,1,0,1.7,1.98,3.0
70,3,False,1,11,1,27,1,1,31,1,forceblk4,2,2,0,1,1,0,1.79,2.23,3.26
71,3,False,1,11,1,22,1,1,19,1,forceblk4,1,1,0,1,1,0,1.79,2.01,3.02
72,3,False,0,11,1,19,0,1,18,0,forceblk4,1,1,0,1,0,0,1.73,1.78,2.79
73,3,False,1,11,1,29,1,1,28,1,forceblk4,1,1,0,1,1,0,1.64,1.55,2.57
74,3,False,1,11,1,26,1,1,32,1,forceblk4,2,2,0,1,1,0,1.66,1.54,2.56
75,3,False,1,11,1,28,1,1,25,1,forceblk4,1,1,0,1,1,0,1.7,1.71,2.73
76,3,False,0,11,0,26,1,0,32,1,forceblk4,2,2,0,1,0,0,2.48,2.07,3.09
77,3,False,0,11,1,17,0,1,20,0,forceblk4,2,2,0,0,1,0,1.57,1.58,2.6
78,3,False,1,11,1,21,1,1,27,1,forceblk4,2,2,0,0,0,0,2.0,1.71,2.73
79,3,False,1,11,1,30,1,1,26,1,forceblk4,1,1,0,1,1,0,1.56,1.99,3.0
80,3,False,1,11,1,26,1,1,33,1,forceblk4,2,2,0,0,0,0,1.66,1.83,2.86
81,3,False,1,11,1,25,1,1,17,1,forceblk4,1,1,0,1,1,0,1.49,1.89,2.9
82,3,False,0,11,1,20,0,1,18,0,forceblk4,1,1,0,1,0,0,1.64,1.54,2.55
83,3,False,1,11,1,22,1,1,21,1,forceblk4,2,2,0,1,1,0,1.66,1.71,2.73
84,3,False,0,11,1,16,0,1,23,0,forceblk4,2,2,0,0,1,0,1.84,1.41,2.43
85,3,False,0,11,1,21,0,1,13,0,forceblk4,1,1,0,1,0,0,1.52,1.4,2.41
86,3,False,1,11,1,22,1,1,18,1,forceblk4,2,2,0,1,1,0,1.99,2.03,3.04
87,3,False,0,11,1,16,0,1,8,0,forceblk4,1,1,0,0,1,0,1.53,1.55,2.57
88,3,False,1,11,1,27,1,1,22,1,forceblk4,1,1,0,0,0,0,1.62,1.82,2.83
89,3,False,0,11,1,26,0,1,35,0,forceblk4,2,2,0,0,1,0,1.52,1.38,2.41
90,3,False,1,11,1,21,1,1,12,1,forceblk4,1,1,0,1,1,0,1.76,1.31,2.33
91,3,False,1,11,1,25,1,1,20,1,forceblk4,2,2,0,0,0,0,1.51,1.26,2.27
