trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,51.02,,
2,1,True,1,15,0,2,0,,,,catch,0,,1,,0,0,17.18,,
3,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,4.88,,
4,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,4.27,,
5,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,13.18,,
6,1,True,1,15,0,5,0,,,,catch,0,,1,,0,0,6.46,,
7,1,True,1,15,0,6,0,,,,catch,0,,1,,0,0,3.33,,
8,1,True,0,15,0,7,1,,,,catch,0,,1,,0,0,3.14,,
9,1,True,0,15,0,5,1,,,,catch,0,,1,,0,0,7.81,,
10,1,True,0,14,1,5,0,,,,catch,0,,1,,0,0,2.8,,
11,1,True,1,15,0,5,0,,,,catch,0,,1,,0,0,2.52,,
12,1,True,1,15,0,2,0,,,,catch,0,,1,,0,0,2.79,,
13,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,2.6,,
14,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,2.52,,
15,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,144.17,,
16,1,True,1,14,1,3,1,,,,catch,0,,1,,0,0,1.9,,
17,1,True,0,14,1,2,0,,,,catch,0,,1,,0,0,1.73,,
18,1,True,1,15,0,2,0,,,,catch,0,,1,,0,0,2.06,,
19,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,2.24,,
20,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,2.11,,
21,1,True,1,15,1,11,1,,,,catch,0,,1,,0,0,2.23,,
22,1,True,1,15,1,13,1,,,,catch,0,,1,,0,0,2.27,,
23,1,True,0,14,1,4,0,,,,catch,0,,1,,0,0,4.29,,
24,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,2.36,,
25,1,True,1,15,1,25,1,,,,catch,0,,1,,0,0,2.7,,
26,1,True,1,14,1,20,1,,,,catch,0,,1,,0,0,2.15,,
27,1,True,0,14,1,11,0,,,,catch,0,,1,,0,0,1.76,,
28,1,True,1,15,1,20,1,,,,catch,0,,1,,0,0,2.18,,
29,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,3.42,,
30,1,True,0,15,1,2,0,,,,catch,0,,1,,0,0,2.06,,
31,2,True,1,15,0,1,0,,,,catch,0,,1,,0,0,3.97,,
32,2,True,0,15,1,2,0,,,,catch,0,,1,,0,0,2.6,,
33,2,True,1,15,1,6,1,,,,catch,0,,1,,0,0,2.91,,
34,2,True,0,15,0,9,1,,,,catch,0,,1,,0,0,2.05,,
35,2,True,0,14,1,10,0,,,,catch,0,,1,,0,0,2.97,,
