trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,6.33,,
2,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,4.28,,
3,1,True,0,15,0,12,1,,,,catch,0,,1,,0,0,5.87,,
4,1,True,0,14,0,25,1,,,,catch,0,,1,,0,0,2.36,,
5,1,True,0,14,0,2,1,,,,catch,0,,1,,0,0,4.07,,
6,1,True,0,13,0,13,1,,,,catch,0,,1,,0,0,4.84,,
7,1,True,1,13,1,9,1,,,,catch,0,,1,,0,0,6.08,,
8,1,True,1,12,0,5,0,,,,catch,0,,1,,0,0,4.35,,
9,1,True,0,13,0,6,1,,,,catch,0,,1,,0,0,2.43,,
10,1,True,0,13,0,6,1,,,,catch,0,,1,,0,0,3.84,,
11,1,True,0,12,0,20,1,,,,catch,0,,1,,0,0,1.83,,
12,1,True,0,12,0,23,1,,,,catch,0,,1,,0,0,2.39,,
13,1,True,1,11,1,12,1,,,,catch,0,,1,,0,0,4.16,,
14,1,True,1,11,0,14,0,,,,catch,0,,1,,0,0,2.64,,
15,1,True,0,12,0,19,1,,,,catch,0,,1,,0,0,2.86,,
16,1,True,0,12,0,28,1,,,,catch,0,,1,,0,0,2.89,,
17,1,True,0,11,0,29,1,,,,catch,0,,1,,0,0,2.64,,
18,1,True,0,11,0,32,1,,,,catch,0,,1,,0,0,1.89,,
19,1,True,0,10,1,12,0,,,,catch,0,,1,,0,0,2.59,,
20,1,True,1,11,0,10,0,,,,catch,0,,1,,0,0,2.22,,
21,1,True,0,12,0,20,1,,,,catch,0,,1,,0,0,3.45,,
22,1,True,0,12,0,17,1,,,,catch,0,,1,,0,0,2.06,,
23,1,True,1,11,0,24,0,,,,catch,0,,1,,0,0,2.89,,
24,1,True,1,12,1,15,1,,,,catch,0,,1,,0,0,1.79,,
25,1,True,0,12,1,12,0,,,,catch,0,,1,,0,0,2.18,,
26,1,True,1,13,1,24,1,,,,catch,0,,1,,0,0,2.19,,
27,1,True,1,13,1,20,1,,,,catch,0,,1,,0,0,2.07,,
28,1,True,0,12,0,16,1,,,,catch,0,,1,,0,0,1.88,,
29,1,True,1,12,1,21,1,,,,catch,0,,1,,0,0,1.54,,
30,1,True,1,11,1,15,1,,,,catch,0,,1,,0,0,1.38,,
31,2,True,0,11,1,15,0,,,,catch,0,,1,,0,0,1.72,,
32,2,True,1,12,1,13,1,,,,catch,0,,1,,0,0,1.86,,
33,2,True,1,12,1,27,1,,,,catch,0,,1,,0,0,1.47,,
34,2,True,1,11,0,23,0,,,,catch,0,,1,,0,0,2.19,,
35,2,True,0,12,1,17,0,,,,catch,0,,1,,0,0,3.23,,
36,2,True,1,13,0,18,0,,,,catch,0,,1,,0,0,2.46,,
37,2,True,0,14,0,25,1,,,,catch,0,,1,,0,0,2.82,,
38,2,True,1,14,1,31,1,,,,catch,0,,1,,0,0,2.11,,
39,2,True,1,13,0,9,0,,,,catch,0,,1,,0,0,3.79,,
40,2,True,0,14,0,31,1,,,,catch,0,,1,,0,0,2.32,,
41,2,True,0,14,0,22,1,,,,catch,0,,1,,0,0,1.88,,
42,2,True,1,13,0,25,0,,,,catch,0,,1,,0,0,1.7,,
43,2,True,1,14,1,29,1,,,,catch,0,,1,,0,0,2.19,,
44,2,True,1,14,0,7,0,,,,catch,0,,1,,0,0,3.15,,
45,2,True,1,15,0,30,0,,,,catch,0,,1,,0,0,1.53,,
46,2,True,1,15,1,23,1,,,,catch,0,,1,,0,0,2.94,,
47,2,True,1,15,1,20,1,,,,catch,0,,1,,0,0,3.0,,
48,2,True,1,14,0,23,0,,,,catch,0,,1,,0,0,3.08,,
49,2,True,0,15,0,42,1,,,,catch,0,,1,,0,0,1.67,,
50,2,True,1,15,0,30,0,,,,catch,0,,1,,0,0,1.86,,
