trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,50,1,,,,catch,0,,1,,0,0,18.39,,
2,1,True,1,15,1,18,1,,,,catch,0,,1,,0,0,2.54,,
3,1,True,1,15,1,14,1,,,,catch,0,,1,,0,0,4.07,,
4,1,True,1,14,0,15,0,,,,catch,0,,1,,0,0,3.61,,
5,1,True,1,15,1,16,1,,,,catch,0,,1,,0,0,1.25,,
6,1,True,1,15,1,16,1,,,,catch,0,,1,,0,0,1.73,,
7,1,True,1,14,0,15,0,,,,catch,0,,1,,0,0,1.3,,
8,1,True,1,15,1,15,1,,,,catch,0,,1,,0,0,2.22,,
9,1,True,1,15,1,26,1,,,,catch,0,,1,,0,0,1.96,,
10,1,True,1,14,0,21,0,,,,catch,0,,1,,0,0,1.73,,
11,1,True,1,15,1,26,1,,,,catch,0,,1,,0,0,1.07,,
12,1,True,0,15,1,31,0,,,,catch,0,,1,,0,0,1.88,,
13,1,True,1,15,1,11,1,,,,catch,0,,1,,0,0,1.17,,
14,1,True,0,15,0,17,1,,,,catch,0,,1,,0,0,0.91,,
15,1,True,1,14,1,17,1,,,,catch,0,,1,,0,0,0.98,,
16,1,True,0,14,0,20,1,,,,catch,0,,1,,0,0,2.8,,
17,1,True,0,13,0,17,1,,,,catch,0,,1,,0,0,0.89,,
18,1,True,1,13,1,16,1,,,,catch,0,,1,,0,0,0.85,,
19,1,True,1,12,0,18,0,,,,catch,0,,1,,0,0,1.05,,
20,1,True,0,13,1,17,0,,,,catch,0,,1,,0,0,1.24,,
21,1,True,0,14,0,24,1,,,,catch,0,,1,,0,0,2.17,,
22,1,True,1,14,0,11,0,,,,catch,0,,1,,0,0,1.75,,
23,1,True,0,15,1,26,0,,,,catch,0,,1,,0,0,1.39,,
24,1,True,1,15,0,32,0,,,,catch,0,,1,,0,0,1.51,,
25,1,True,0,15,0,33,1,,,,catch,0,,1,,0,0,1.35,,
26,1,True,0,15,0,49,1,,,,catch,0,,1,,0,0,1.63,,
27,1,True,1,14,0,50,0,,,,catch,0,,1,,0,0,1.37,,
28,1,True,0,15,0,50,1,,,,catch,0,,1,,0,0,1.49,,
29,1,True,0,15,0,40,1,,,,catch,0,,1,,0,0,1.84,,
30,1,True,0,14,0,38,1,,,,catch,0,,1,,0,0,1.17,,
31,2,True,0,14,0,20,1,,,,catch,0,,1,,0,0,2.2,,
32,2,True,1,13,1,28,1,,,,catch,0,,1,,0,0,1.25,,
33,2,True,0,13,0,24,1,,,,catch,0,,1,,0,0,1.16,,
34,2,True,1,12,1,27,1,,,,catch,0,,1,,0,0,1.16,,
35,2,True,1,12,1,41,1,,,,catch,0,,1,,0,0,1.34,,
36,2,True,0,11,0,38,1,,,,catch,0,,1,,0,0,1.28,,
37,2,True,0,11,0,48,1,,,,catch,0,,1,,0,0,1.35,,
38,2,True,1,10,0,50,0,,,,catch,0,,1,,0,0,1.24,,
39,2,True,0,11,0,50,1,,,,catch,0,,1,,0,0,1.86,,
40,2,True,0,11,0,50,1,,,,catch,0,,1,,0,0,1.47,,
41,2,True,0,10,0,50,1,,,,catch,0,,1,,0,0,1.34,,
42,2,True,1,10,1,14,1,,,,catch,0,,1,,0,0,1.81,,
43,2,True,0,9,0,4,1,,,,catch,0,,1,,0,0,1.9,,
44,2,True,1,9,1,16,1,,,,catch,0,,1,,0,0,1.77,,
45,2,True,1,8,1,41,1,,,,catch,0,,1,,0,0,1.2,,
46,2,True,0,8,0,43,1,,,,catch,0,,1,,0,0,1.17,,
47,2,True,1,7,1,38,1,,,,catch,0,,1,,0,0,1.42,,
48,2,True,0,7,0,39,1,,,,catch,0,,1,,0,0,1.14,,
49,2,True,1,6,1,32,1,,,,catch,0,,1,,0,0,1.03,,
50,2,True,0,6,1,30,0,,,,catch,0,,1,,0,0,1.28,,
51,2,True,1,7,1,26,1,,,,catch,0,,1,,0,0,1.31,,
52,2,True,1,7,1,17,1,,,,catch,0,,1,,0,0,4.57,,
53,2,True,0,6,0,19,1,,,,catch,0,,1,,0,0,1.03,,
54,2,True,0,6,1,28,0,,,,catch,0,,1,,0,0,1.03,,
55,2,True,0,7,1,50,0,,,,catch,0,,1,,0,0,1.47,,
56,2,True,0,8,1,50,0,,,,catch,0,,1,,0,0,1.34,,
57,2,True,1,9,1,50,1,,,,catch,0,,1,,0,0,1.18,,
58,2,True,0,9,1,21,0,,,,catch,0,,1,,0,0,1.5,,
59,2,True,1,10,1,40,1,,,,catch,0,,1,,0,0,1.97,,
60,2,True,1,10,1,35,1,,,,catch,0,,1,,0,0,1.43,,
61,3,False,0,9,0,20,1,0,32,1,forceblk4,2,2,0,0,1,0,1.91,7.54,8.55
62,3,False,0,9,1,19,0,1,26,0,forceblk4,2,2,0,1,0,0,2.05,2.0,3.0
63,3,False,1,9,1,20,1,1,24,1,forceblk4,1,1,0,1,1,0,1.24,1.22,2.23
64,3,False,0,9,1,30,0,1,38,0,forceblk4,1,1,0,1,0,0,1.96,2.42,3.43
65,3,False,0,9,1,41,0,1,50,0,forceblk4,1,1,0,0,1,0,2.3,1.42,2.44
66,3,False,0,9,1,34,0,1,43,0,forceblk4,2,2,0,1,0,0,1.44,1.33,2.33
67,3,False,0,9,1,38,0,1,43,0,forceblk4,1,1,0,0,1,0,1.05,1.35,2.35
68,3,False,0,9,1,38,0,1,50,0,forceblk4,2,2,0,0,1,0,1.15,1.35,2.35
69,3,False,1,9,1,32,1,1,32,1,forceblk4,1,1,0,0,0,0,1.29,4.41,5.41
70,3,False,1,9,1,9,1,0,10,0,forceblk4,2,2,0,0,0,0,2.67,1.93,2.93
71,3,False,0,9,1,15,0,1,18,0,forceblk4,1,1,0,0,1,0,1.05,2.11,3.11
72,3,False,0,9,1,19,0,1,24,0,forceblk4,2,2,0,0,1,0,1.4,0.72,1.72
73,3,False,0,9,1,16,0,1,30,0,forceblk4,1,1,0,1,0,0,1.01,1.27,2.27
74,3,False,0,9,1,36,0,1,26,0,forceblk4,2,2,0,0,1,0,1.2,1.46,2.46
75,3,False,1,9,1,39,1,1,50,1,forceblk4,2,2,0,0,0,0,1.17,1.77,2.78
76,3,False,0,9,1,12,0,1,14,0,forceblk4,2,2,0,1,0,0,2.87,1.75,2.76
77,3,False,1,9,1,38,1,1,44,1,forceblk4,1,1,0,0,0,0,1.06,1.12,2.12
78,3,False,1,9,1,20,1,1,24,1,forceblk4,1,1,0,0,0,0,1.24,1.42,2.42
79,3,False,0,9,0,13,1,1,15,0,forceblk4,2,2,0,1,0,0,3.11,1.18,2.18
80,3,False,1,9,1,26,1,1,18,1,forceblk4,2,2,0,1,1,0,1.14,1.52,2.52
81,3,False,0,9,1,33,0,1,29,0,forceblk4,1,1,0,1,0,0,1.01,0.8,1.8
82,3,False,0,9,1,42,0,1,43,0,forceblk4,1,1,0,1,0,0,1.09,2.65,3.66
83,3,False,0,9,1,28,0,0,23,1,forceblk4,2,2,0,0,1,0,1.04,3.14,4.15
84,3,False,0,9,1,29,0,1,31,0,forceblk4,1,1,0,1,0,0,1.31,7.17,8.17
85,3,False,1,9,1,39,1,1,50,1,forceblk4,2,2,0,0,0,0,1.05,1.31,2.31
86,3,False,0,9,1,17,0,1,29,0,forceblk4,1,1,0,1,0,0,1.3,1.48,2.49
87,3,False,0,9,1,21,0,1,25,0,forceblk4,2,2,0,0,1,0,1.25,1.1,2.11
88,3,False,0,9,1,32,0,1,25,0,forceblk4,1,1,0,0,1,0,1.0,1.38,2.38
89,3,False,0,9,1,22,0,1,27,0,forceblk4,2,2,0,1,0,0,0.87,0.82,1.82
90,3,False,1,9,1,29,1,1,40,1,forceblk4,1,1,0,1,1,0,0.96,1.01,2.01
91,3,False,1,9,1,33,1,1,27,1,forceblk4,2,2,0,0,0,0,0.71,0.93,1.93
92,3,False,0,9,1,41,0,1,25,0,forceblk4,1,1,0,0,1,0,0.92,1.0,2.01
93,3,False,1,9,1,39,1,1,50,1,forceblk4,2,2,0,1,1,0,0.82,1.2,2.22
94,3,False,1,9,1,39,1,1,33,1,forceblk4,1,1,0,1,1,0,1.3,1.3,2.3
95,3,False,1,9,1,41,1,1,44,1,forceblk4,2,2,0,1,1,0,1.01,1.01,2.01
96,3,False,0,9,1,34,0,0,4,1,forceblk4,1,1,0,0,1,0,1.01,4.27,5.28
97,3,False,1,9,1,31,1,1,44,1,forceblk4,2,2,0,1,1,0,1.07,1.18,2.18
98,3,False,0,9,1,41,0,1,50,0,forceblk4,1,1,0,1,0,0,1.26,1.4,2.41
99,3,False,0,9,1,31,0,1,44,0,forceblk4,1,1,0,0,1,0,0.94,1.42,2.42
100,3,False,0,9,1,30,0,1,32,0,forceblk4,2,2,0,0,1,0,1.01,1.41,2.42
101,3,False,0,9,1,28,0,1,37,0,forceblk4,1,1,0,0,1,0,1.29,1.04,2.05
102,3,False,0,9,1,50,0,1,50,0,forceblk4,2,2,0,1,0,0,1.46,1.08,2.08
103,3,False,0,9,1,10,0,1,17,0,forceblk4,2,2,0,1,0,0,1.28,1.53,2.54
104,3,False,0,9,0,9,1,1,13,0,forceblk4,1,1,0,0,1,0,3.54,2.73,3.74
105,3,False,1,9,1,19,1,1,30,1,forceblk4,2,2,0,1,1,0,1.59,1.77,2.78
106,3,False,0,9,1,10,0,0,16,1,forceblk4,1,1,0,0,1,0,0.94,1.45,2.45
107,3,False,1,9,1,23,1,1,38,1,forceblk4,2,2,0,1,1,0,0.98,0.86,1.86
108,3,False,1,9,1,20,1,1,35,1,forceblk4,2,2,0,1,1,0,0.91,1.05,2.05
109,3,False,0,9,1,16,0,0,22,1,forceblk4,1,1,0,0,1,0,1.01,1.29,2.3
110,3,False,0,9,1,32,0,0,3,1,forceblk4,1,1,0,0,1,0,1.0,3.9,4.92
111,3,False,0,9,1,24,0,1,7,0,forceblk4,2,2,0,0,1,0,1.27,4.22,5.22
112,3,False,0,9,0,22,1,0,30,1,forceblk4,1,1,0,0,1,0,1.7,0.97,1.98
113,3,False,1,9,1,31,1,1,36,1,forceblk4,2,2,0,1,1,0,1.34,1.17,2.17
114,3,False,1,9,1,39,1,1,50,1,forceblk4,1,1,0,1,1,0,0.97,0.95,1.96
115,3,False,0,9,0,31,1,0,30,1,forceblk4,1,1,0,0,1,0,1.49,1.89,2.89
116,3,False,1,9,1,32,1,1,37,1,forceblk4,2,2,0,1,1,0,1.5,1.08,2.09
117,3,False,1,9,1,40,1,1,50,1,forceblk4,2,2,0,1,1,0,0.98,0.77,1.78
118,3,False,0,9,0,31,1,0,34,1,forceblk4,1,1,0,0,1,0,1.65,1.23,2.23
119,3,False,1,9,1,31,1,1,43,1,forceblk4,2,2,0,1,1,0,1.33,0.71,1.72
120,3,False,1,9,1,27,1,1,40,1,forceblk4,1,1,0,1,1,0,1.2,1.46,2.48
121,4,False,1,9,1,15,1,1,24,1,force,2,2,0,1,1,0,1.82,1.21,2.23
122,4,False,0,9,1,31,0,1,13,0,force,2,2,0,0,1,0,1.06,2.43,3.44
123,4,False,0,9,1,28,0,1,32,0,force,1,1,0,0,1,0,1.82,1.42,2.43
124,4,False,1,9,1,40,1,1,31,1,change,2,2,0,0,0,0,1.0,2.3,4.81
125,4,False,0,9,0,24,1,0,18,1,change,2,2,0,1,0,0,1.29,1.55,4.07
126,4,False,1,9,1,23,1,1,29,1,change,1,2,1,1,1,0,0.96,1.16,3.67
127,4,False,1,9,1,36,1,1,30,1,change,1,1,0,1,1,0,1.0,1.18,3.69
128,4,False,1,9,1,43,1,1,37,1,force,1,1,0,1,1,0,1.01,0.87,1.88
129,4,False,1,9,1,13,1,1,22,1,force,1,1,0,1,1,0,1.08,1.16,2.16
130,4,False,0,9,1,38,0,1,50,0,change,1,2,1,1,0,0,1.15,1.34,3.86
131,4,False,0,9,1,32,0,1,6,0,change,1,1,0,0,1,0,1.22,5.93,8.46
132,4,False,0,9,1,27,0,1,10,0,change,2,1,1,0,1,0,1.58,1.29,3.8
133,4,False,1,9,1,32,1,1,36,1,change,2,1,1,1,1,0,1.35,5.05,7.55
134,4,False,0,9,1,24,0,1,30,0,force,2,2,0,1,0,0,1.68,1.13,2.13
135,4,False,0,9,1,37,0,1,28,0,force,1,1,0,1,0,0,1.28,1.48,2.48
136,4,False,0,9,1,15,0,0,4,1,force,2,2,0,0,1,0,1.15,2.69,3.69
137,4,False,1,9,1,22,1,1,38,1,change,1,1,0,1,1,0,1.17,1.17,3.69
138,4,False,1,9,1,45,1,1,13,1,change,2,2,0,1,1,0,2.11,1.19,3.69
139,4,False,1,9,1,26,1,1,36,1,force,2,2,0,1,1,0,1.11,1.1,2.11
140,4,False,0,9,1,32,0,1,4,0,force,1,1,0,0,1,0,0.93,2.43,3.44
141,4,False,0,9,0,17,1,0,36,1,change,2,2,0,1,0,0,1.37,1.05,3.56
142,4,False,0,9,0,6,1,0,47,1,force,1,1,0,0,1,0,2.08,2.73,3.74
143,4,False,0,9,0,38,1,0,29,1,force,2,2,0,1,0,0,2.88,1.68,2.69
144,4,False,1,9,1,26,1,1,17,1,change,2,2,0,1,1,0,1.22,1.0,3.51
145,4,False,1,9,1,37,1,1,50,1,change,1,1,0,1,1,0,0.99,1.17,3.7
146,4,False,1,9,1,28,1,1,38,1,change,2,2,0,1,1,0,1.36,2.06,4.57
147,4,False,0,9,1,8,0,1,16,0,change,1,1,0,0,1,0,1.4,1.97,4.48
148,4,False,1,9,1,27,1,1,30,1,force,1,1,0,1,1,0,0.99,1.17,2.18
149,4,False,1,9,1,9,1,1,32,1,change,1,1,0,0,0,0,1.39,1.08,3.6
150,4,False,0,9,1,2,0,0,2,1,force,2,2,0,0,1,0,3.9,2.08,3.08
151,4,False,1,9,1,24,1,1,36,1,change,1,2,1,1,1,0,1.21,1.97,4.49
152,4,False,1,9,1,44,1,1,50,1,change,2,2,0,1,1,0,1.05,1.39,3.89
153,4,False,1,9,1,29,1,1,4,1,change,1,1,0,0,0,0,1.29,3.61,6.12
154,4,False,1,9,1,25,1,1,31,1,change,1,1,0,0,0,0,1.0,1.21,3.72
155,4,False,0,9,0,9,1,1,18,0,change,2,2,0,1,0,0,1.37,2.71,5.21
156,4,False,1,9,1,32,1,1,39,1,force,2,2,0,1,1,0,1.12,1.19,2.21
157,4,False,0,9,1,46,0,1,50,0,force,2,2,0,0,1,0,2.11,1.74,2.75
158,4,False,1,9,1,25,1,1,36,1,change,2,2,0,1,1,0,0.95,0.68,3.18
159,4,False,1,9,1,50,1,1,50,1,change,2,2,0,1,1,0,1.86,1.24,3.74
160,4,False,0,9,1,11,0,1,13,0,change,2,2,0,1,0,0,1.38,0.78,3.3
161,4,False,0,9,1,25,0,1,25,0,change,1,1,0,1,0,0,1.88,2.76,5.27
162,4,False,1,9,1,12,1,1,24,1,change,1,1,0,1,1,0,1.26,0.65,3.15
163,4,False,1,9,1,31,1,0,9,0,force,1,1,0,0,0,0,4.56,2.11,3.12
164,4,False,0,9,1,6,0,0,9,1,change,2,2,0,0,1,0,1.76,1.5,4.01
165,4,False,0,9,0,31,1,0,32,1,change,2,2,0,1,0,0,1.38,1.7,4.22
166,4,False,0,9,0,38,1,0,45,1,change,1,1,0,0,1,0,1.07,2.15,4.65
167,4,False,0,9,1,26,0,1,41,0,change,2,1,1,1,0,0,1.38,1.51,4.03
168,4,False,0,9,0,21,1,0,24,1,change,1,1,0,0,1,0,1.23,0.9,3.41
169,4,False,1,9,1,26,1,1,28,1,change,1,1,0,1,1,0,1.02,1.18,3.7
170,4,False,1,9,1,21,1,1,22,1,force,1,1,0,0,0,0,1.04,2.08,3.1
171,4,False,1,9,0,18,0,1,21,1,change,2,1,1,1,1,0,1.45,1.44,3.95
172,4,False,1,9,1,30,1,1,30,1,change,2,2,0,0,0,0,1.26,2.35,4.85
173,4,False,0,9,1,26,0,1,31,0,change,2,2,0,1,0,0,1.02,1.15,3.67
174,4,False,0,9,0,20,1,0,21,1,force,2,2,0,0,1,0,1.34,0.98,1.99
175,4,False,1,9,0,27,0,0,29,0,change,1,1,0,1,1,0,0.96,1.83,4.33
176,4,False,0,9,0,21,1,0,38,1,change,2,2,0,0,1,0,1.36,3.0,5.51
177,4,False,1,9,1,26,1,1,19,1,change,1,1,0,0,0,0,1.69,2.31,4.83
178,4,False,1,9,0,19,0,0,26,0,change,1,1,0,0,0,0,1.38,1.2,3.72
179,4,False,0,9,0,45,1,0,50,1,change,2,2,0,0,1,0,1.33,1.4,3.91
