trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,14.5,,
2,1,True,1,15,0,9,0,,,,catch,0,,1,,0,0,5.49,,
3,1,True,1,15,1,4,1,,,,catch,0,,1,,0,0,4.17,,
4,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,4.83,,
5,1,True,1,14,1,13,1,,,,catch,0,,1,,0,0,2.98,,
6,1,True,0,14,0,6,1,,,,catch,0,,1,,0,0,1.92,,
7,1,True,0,13,0,7,1,,,,catch,0,,1,,0,0,1.87,,
8,1,True,1,13,1,10,1,,,,catch,0,,1,,0,0,1.93,,
9,1,True,1,12,0,7,0,,,,catch,0,,1,,0,0,1.76,,
10,1,True,1,13,0,6,0,,,,catch,0,,1,,0,0,1.96,,
11,1,True,0,14,0,8,1,,,,catch,0,,1,,0,0,1.97,,
12,1,True,1,14,0,7,0,,,,catch,0,,1,,0,0,1.79,,
13,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,2.17,,
14,1,True,0,15,0,5,1,,,,catch,0,,1,,0,0,1.68,,
15,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,1.72,,
16,1,True,1,14,0,6,0,,,,catch,0,,1,,0,0,1.85,,
17,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,2.02,,
18,1,True,1,15,0,7,0,,,,catch,0,,1,,0,0,1.47,,
19,1,True,0,15,0,5,1,,,,catch,0,,1,,0,0,1.56,,
20,1,True,1,15,0,6,0,,,,catch,0,,1,,0,0,1.36,,
21,1,True,0,15,0,5,1,,,,catch,0,,1,,0,0,1.68,,
22,1,True,0,15,0,6,1,,,,catch,0,,1,,0,0,1.3,,
23,1,True,1,14,1,6,1,,,,catch,0,,1,,0,0,1.36,,
24,1,True,1,14,0,9,0,,,,catch,0,,1,,0,0,1.78,,
25,1,True,1,15,0,5,0,,,,catch,0,,1,,0,0,1.48,,
26,1,True,0,15,0,5,1,,,,catch,0,,1,,0,0,1.41,,
27,1,True,1,15,0,7,0,,,,catch,0,,1,,0,0,1.31,,
28,1,True,1,15,0,6,0,,,,catch,0,,1,,0,0,1.71,,
29,1,True,1,15,0,5,0,,,,catch,0,,1,,0,0,1.45,,
30,1,True,1,15,1,3,1,,,,catch,0,,1,,0,0,1.54,,
31,2,True,0,15,1,5,0,,,,catch,0,,1,,0,0,2.46,,
32,2,True,1,15,0,4,0,,,,catch,0,,1,,0,0,1.23,,
33,2,True,0,15,0,3,1,,,,catch,0,,1,,0,0,1.54,,
34,2,True,0,15,0,4,1,,,,catch,0,,1,,0,0,1.36,,
35,2,True,1,14,1,3,1,,,,catch,0,,1,,0,0,1.59,,
36,2,True,1,14,0,3,0,,,,catch,0,,1,,0,0,1.42,,
37,2,True,1,15,0,2,0,,,,catch,0,,1,,0,0,1.44,,
38,2,True,0,15,0,4,1,,,,catch,0,,1,,0,0,1.41,,
39,2,True,1,15,1,4,1,,,,catch,0,,1,,0,0,1.23,,
40,2,True,1,14,0,7,0,,,,catch,0,,1,,0,0,1.63,,
41,2,True,0,15,0,3,1,,,,catch,0,,1,,0,0,1.41,,
42,2,True,1,15,0,4,0,,,,catch,0,,1,,0,0,1.38,,
43,2,True,0,15,0,3,1,,,,catch,0,,1,,0,0,1.2,,
44,2,True,1,15,0,4,0,,,,catch,0,,1,,0,0,1.3,,
45,2,True,0,15,0,3,1,,,,catch,0,,1,,0,0,1.24,,
46,2,True,1,15,0,11,0,,,,catch,0,,1,,0,0,2.0,,
47,2,True,0,15,0,9,1,,,,catch,0,,1,,0,0,1.35,,
48,2,True,1,15,0,11,0,,,,catch,0,,1,,0,0,1.29,,
49,2,True,0,15,0,8,1,,,,catch,0,,1,,0,0,1.21,,
50,2,True,1,15,0,10,0,,,,catch,0,,1,,0,0,1.51,,
51,2,True,0,15,0,10,1,,,,catch,0,,1,,0,0,1.27,,
52,2,True,1,15,1,8,1,,,,catch,0,,1,,0,0,1.59,,
53,2,True,1,14,0,8,0,,,,catch,0,,1,,0,0,1.21,,
54,2,True,0,15,0,5,1,,,,catch,0,,1,,0,0,1.23,,
55,2,True,1,15,0,7,0,,,,catch,0,,1,,0,0,1.19,,
56,2,True,1,15,0,7,0,,,,catch,0,,1,,0,0,1.39,,
57,2,True,1,15,1,4,1,,,,catch,0,,1,,0,0,1.22,,
58,2,True,1,15,0,7,0,,,,catch,0,,1,,0,0,1.51,,
59,2,True,0,15,0,6,1,,,,catch,0,,1,,0,0,1.7,,
60,2,True,1,15,0,13,0,,,,catch,0,,1,,0,0,1.35,,
61,3,False,1,15,0,7,0,1,6,1,forceblk4,2,2,0,1,1,0,4.02,3.54,4.55
