trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,2,1,,,,catch,0,,1,,0,0,4.21,,
2,1,True,1,15,1,20,1,,,,catch,0,,1,,0,0,2.28,,
3,1,True,0,15,1,32,0,,,,catch,0,,1,,0,0,1.91,,
4,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,1.76,,
5,1,True,1,15,1,40,1,,,,catch,0,,1,,0,0,1.67,,
6,1,True,1,14,0,7,0,,,,catch,0,,1,,0,0,2.1,,
7,1,True,0,15,1,19,0,,,,catch,0,,1,,0,0,1.12,,
8,1,True,1,15,1,22,1,,,,catch,0,,1,,0,0,1.21,,
9,1,True,1,15,0,7,0,,,,catch,0,,1,,0,0,1.72,,
10,1,True,0,15,0,29,1,,,,catch,0,,1,,0,0,1.8,,
11,1,True,1,15,1,18,1,,,,catch,0,,1,,0,0,1.37,,
12,1,True,0,14,0,23,1,,,,catch,0,,1,,0,0,1.95,,
13,1,True,1,14,1,24,1,,,,catch,0,,1,,0,0,1.2,,
14,1,True,1,13,1,37,1,,,,catch,0,,1,,0,0,1.33,,
15,1,True,0,13,1,39,0,,,,catch,0,,1,,0,0,1.58,,
16,1,True,1,14,1,27,1,,,,catch,0,,1,,0,0,1.2,,
17,1,True,1,14,1,11,1,,,,catch,0,,1,,0,0,1.63,,
18,1,True,0,13,0,25,1,,,,catch,0,,1,,0,0,1.58,,
19,1,True,1,13,0,16,0,,,,catch,0,,1,,0,0,1.3,,
20,1,True,0,14,0,29,1,,,,catch,0,,1,,0,0,1.49,,
21,1,True,0,14,1,24,0,,,,catch,0,,1,,0,0,1.18,,
22,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,1.36,,
23,1,True,0,15,0,30,1,,,,catch,0,,1,,0,0,1.57,,
24,1,True,0,14,0,42,1,,,,catch,0,,1,,0,0,1.81,,
25,1,True,1,14,1,41,1,,,,catch,0,,1,,0,0,1.65,,
26,1,True,1,13,1,22,1,,,,catch,0,,1,,0,0,1.75,,
27,1,True,1,13,1,23,1,,,,catch,0,,1,,0,0,1.13,,
28,1,True,0,12,0,48,1,,,,catch,0,,1,,0,0,1.57,,
29,1,True,1,12,1,36,1,,,,catch,0,,1,,0,0,1.6,,
30,1,True,1,11,1,20,1,,,,catch,0,,1,,0,0,1.54,,
31,2,True,0,11,0,49,1,,,,catch,0,,1,,0,0,1.31,,
32,2,True,1,10,1,31,1,,,,catch,0,,1,,0,0,1.11,,
33,2,True,0,10,1,31,0,,,,catch,0,,1,,0,0,2.18,,
34,2,True,1,11,1,19,1,,,,catch,0,,1,,0,0,1.09,,
35,2,True,1,11,0,39,0,,,,catch,0,,1,,0,0,1.72,,
36,2,True,1,12,1,38,1,,,,catch,0,,1,,0,0,1.44,,
37,2,True,0,12,0,31,1,,,,catch,0,,1,,0,0,1.19,,
38,2,True,0,11,0,34,1,,,,catch,0,,1,,0,0,1.3,,
39,2,True,1,11,1,45,1,,,,catch,0,,1,,0,0,1.35,,
40,2,True,1,10,0,33,0,,,,catch,0,,1,,0,0,1.36,,
41,2,True,0,11,0,42,1,,,,catch,0,,1,,0,0,1.44,,
42,2,True,1,11,1,45,1,,,,catch,0,,1,,0,0,1.63,,
43,2,True,1,10,0,9,0,,,,catch,0,,1,,0,0,2.28,,
44,2,True,1,11,0,23,0,,,,catch,0,,1,,0,0,2.06,,
45,2,True,0,12,0,24,1,,,,catch,0,,1,,0,0,1.16,,
46,2,True,1,12,1,23,1,,,,catch,0,,1,,0,0,1.11,,
47,2,True,1,11,0,28,0,,,,catch,0,,1,,0,0,1.53,,
48,2,True,0,12,0,39,1,,,,catch,0,,1,,0,0,1.39,,
49,2,True,0,12,1,42,0,,,,catch,0,,1,,0,0,1.31,,
50,2,True,0,13,0,47,1,,,,catch,0,,1,,0,0,1.66,,
51,2,True,0,13,0,43,1,,,,catch,0,,1,,0,0,1.14,,
52,2,True,0,12,0,48,1,,,,catch,0,,1,,0,0,1.92,,
53,2,True,0,12,0,26,1,,,,catch,0,,1,,0,0,1.43,,
54,2,True,1,11,1,37,1,,,,catch,0,,1,,0,0,1.19,,
55,2,True,1,11,0,2,0,,,,catch,0,,1,,0,0,2.43,,
56,2,True,1,12,0,26,0,,,,catch,0,,1,,0,0,1.22,,
57,2,True,1,13,0,34,0,,,,catch,0,,1,,0,0,1.26,,
58,2,True,0,14,0,20,1,,,,catch,0,,1,,0,0,1.2,,
