trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,50,0,,,,catch,0,,1,,0,0,11.59,,
2,1,True,1,15,1,28,1,,,,catch,0,,1,,0,0,9.84,,
3,1,True,0,15,1,31,0,,,,catch,0,,1,,0,0,6.62,,
4,1,True,0,15,1,31,0,,,,catch,0,,1,,0,0,2.55,,
5,1,True,1,15,1,22,1,,,,catch,0,,1,,0,0,2.42,,
6,1,True,1,15,1,13,1,,,,catch,0,,1,,0,0,3.88,,
7,1,True,0,14,0,17,1,,,,catch,0,,1,,0,0,4.35,,
8,1,True,1,14,1,23,1,,,,catch,0,,1,,0,0,2.88,,
9,1,True,0,13,0,21,1,,,,catch,0,,1,,0,0,4.49,,
10,1,True,1,13,1,28,1,,,,catch,0,,1,,0,0,8.68,,
11,1,True,0,12,1,13,0,,,,catch,0,,1,,0,0,3.67,,
12,1,True,0,13,0,20,1,,,,catch,0,,1,,0,0,2.64,,
13,1,True,1,13,1,25,1,,,,catch,0,,1,,0,0,2.81,,
14,1,True,1,12,1,20,1,,,,catch,0,,1,,0,0,2.84,,
15,1,True,0,12,0,19,1,,,,catch,0,,1,,0,0,2.25,,
16,1,True,1,11,0,11,0,,,,catch,0,,1,,0,0,207.13,,
17,1,True,0,12,1,23,0,,,,catch,0,,1,,0,0,1.84,,
18,1,True,0,13,0,16,1,,,,catch,0,,1,,0,0,2.77,,
19,1,True,1,13,1,22,1,,,,catch,0,,1,,0,0,3.28,,
20,1,True,0,12,0,19,1,,,,catch,0,,1,,0,0,1.88,,
21,1,True,0,12,0,19,1,,,,catch,0,,1,,0,0,2.02,,
22,1,True,1,11,1,20,1,,,,catch,0,,1,,0,0,14.94,,
23,1,True,0,11,0,27,1,,,,catch,0,,1,,0,0,2.38,,
24,1,True,0,10,1,32,0,,,,catch,0,,1,,0,0,4.96,,
25,1,True,1,11,0,17,0,,,,catch,0,,1,,0,0,3.52,,
26,1,True,0,12,1,30,0,,,,catch,0,,1,,0,0,2.0,,
27,1,True,1,13,0,19,0,,,,catch,0,,1,,0,0,4.38,,
28,1,True,1,14,0,15,0,,,,catch,0,,1,,0,0,2.61,,
29,1,True,0,15,1,20,0,,,,catch,0,,1,,0,0,1.94,,
30,1,True,1,15,1,18,1,,,,catch,0,,1,,0,0,1.93,,
31,2,True,1,15,1,20,1,,,,catch,0,,1,,0,0,1.65,,
32,2,True,1,14,1,21,1,,,,catch,0,,1,,0,0,1.8,,
33,2,True,1,14,1,19,1,,,,catch,0,,1,,0,0,1.83,,
34,2,True,1,13,1,21,1,,,,catch,0,,1,,0,0,1.5,,
35,2,True,0,13,0,15,1,,,,catch,0,,1,,0,0,2.23,,
36,2,True,1,12,1,22,1,,,,catch,0,,1,,0,0,1.7,,
37,2,True,0,12,0,19,1,,,,catch,0,,1,,0,0,2.29,,
