trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,15.6,,
2,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,4.7,,
3,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,10.74,,
4,1,True,1,14,0,1,0,,,,catch,0,,1,,0,0,12.57,,
5,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,2.14,,
6,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,2.21,,
7,1,True,1,14,1,1,1,,,,catch,0,,1,,0,0,8.97,,
8,1,True,0,14,0,1,1,,,,catch,0,,1,,0,0,2.89,,
9,1,True,1,13,0,1,0,,,,catch,0,,1,,0,0,2.22,,
10,1,True,0,14,1,1,0,,,,catch,0,,1,,0,0,2.12,,
11,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,3.15,,
12,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,1.8,,
13,1,True,0,14,0,1,1,,,,catch,0,,1,,0,0,2.05,,
14,1,True,0,14,1,1,0,,,,catch,0,,1,,0,0,2.09,,
15,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,1.86,,
16,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,1.35,,
17,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,1.96,,
18,1,True,0,14,0,1,1,,,,catch,0,,1,,0,0,1.57,,
19,1,True,0,14,0,1,1,,,,catch,0,,1,,0,0,2.93,,
20,1,True,1,13,1,1,1,,,,catch,0,,1,,0,0,1.67,,
21,1,True,0,13,1,1,0,,,,catch,0,,1,,0,0,2.43,,
22,1,True,1,14,1,1,1,,,,catch,0,,1,,0,0,1.64,,
23,1,True,0,14,0,1,1,,,,catch,0,,1,,0,0,1.72,,
24,1,True,0,13,1,1,0,,,,catch,0,,1,,0,0,1.71,,
25,1,True,0,14,0,1,1,,,,catch,0,,1,,0,0,1.56,,
26,1,True,0,14,1,2,0,,,,catch,0,,1,,0,0,2.68,,
27,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,1.63,,
28,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,1.59,,
29,1,True,1,14,1,1,1,,,,catch,0,,1,,0,0,1.47,,
30,1,True,0,14,1,2,0,,,,catch,0,,1,,0,0,1.52,,
31,2,True,0,15,0,1,1,,,,catch,0,,1,,0,0,1.88,,
32,2,True,1,15,1,6,1,,,,catch,0,,1,,0,0,1.43,,
33,2,True,1,14,1,12,1,,,,catch,0,,1,,0,0,1.63,,
34,2,True,1,14,0,1,0,,,,catch,0,,1,,0,0,2.35,,
35,2,True,1,15,1,10,1,,,,catch,0,,1,,0,0,1.64,,
36,2,True,1,15,1,16,1,,,,catch,0,,1,,0,0,1.41,,
37,2,True,0,14,0,1,1,,,,catch,0,,1,,0,0,1.7,,
38,2,True,1,14,0,1,0,,,,catch,0,,1,,0,0,1.86,,
39,2,True,0,15,1,2,0,,,,catch,0,,1,,0,0,1.79,,
40,2,True,1,15,0,2,0,,,,catch,0,,1,,0,0,1.76,,
41,2,True,0,15,0,7,1,,,,catch,0,,1,,0,0,1.69,,
42,2,True,0,15,0,1,1,,,,catch,0,,1,,0,0,1.81,,
43,2,True,0,14,0,5,1,,,,catch,0,,1,,0,0,1.32,,
44,2,True,0,14,0,16,1,,,,catch,0,,1,,0,0,1.37,,
45,2,True,1,13,0,10,0,,,,catch,0,,1,,0,0,1.52,,
46,2,True,0,14,0,9,1,,,,catch,0,,1,,0,0,1.5,,
47,2,True,0,14,0,1,1,,,,catch,0,,1,,0,0,1.72,,
48,2,True,1,13,0,1,0,,,,catch,0,,1,,0,0,2.07,,
49,2,True,1,14,1,12,1,,,,catch,0,,1,,0,0,1.48,,
50,2,True,0,14,1,2,0,,,,catch,0,,1,,0,0,1.9,,
51,2,True,1,15,1,14,1,,,,catch,0,,1,,0,0,1.37,,
52,2,True,0,15,0,2,1,,,,catch,0,,1,,0,0,2.34,,
53,2,True,1,14,1,4,1,,,,catch,0,,1,,0,0,1.98,,
54,2,True,0,14,1,4,0,,,,catch,0,,1,,0,0,1.81,,
55,2,True,1,15,0,1,0,,,,catch,0,,1,,0,0,1.14,,
56,2,True,0,15,0,10,1,,,,catch,0,,1,,0,0,1.72,,
57,2,True,0,15,0,1,1,,,,catch,0,,1,,0,0,1.5,,
58,2,True,0,14,0,5,1,,,,catch,0,,1,,0,0,1.17,,
59,2,True,1,14,0,11,0,,,,catch,0,,1,,0,0,1.21,,
60,2,True,1,15,1,2,1,,,,catch,0,,1,,0,0,1.31,,
61,3,False,1,15,1,3,1,1,4,1,forceblk4,2,2,0,1,1,0,2.8,8.06,9.07
62,3,False,1,15,0,3,0,1,3,1,forceblk4,1,1,0,1,1,0,2.43,3.71,4.72
63,3,False,1,15,1,4,1,1,5,1,forceblk4,2,2,0,1,1,0,1.84,1.64,2.64
64,3,False,1,15,1,2,1,0,2,0,forceblk4,1,1,0,0,0,0,2.74,2.72,3.73
65,3,False,0,15,0,1,1,0,16,1,forceblk4,2,2,0,0,1,0,2.94,2.26,3.27
66,3,False,0,15,1,2,0,0,9,1,forceblk4,2,2,0,0,1,0,2.82,2.38,3.38
67,3,False,1,15,0,2,0,0,10,0,forceblk4,1,1,0,0,0,0,4.23,2.51,3.51
68,3,False,0,15,0,3,1,0,26,1,forceblk4,2,2,0,0,1,0,1.6,2.11,3.12
69,3,False,1,15,1,2,1,1,4,1,forceblk4,1,1,0,1,1,0,1.93,1.87,2.87
70,3,False,0,15,0,1,1,0,2,1,forceblk4,1,1,0,1,0,0,2.44,2.45,3.46
71,3,False,0,15,0,4,1,0,38,1,forceblk4,2,2,0,0,1,0,3.5,2.83,3.84
72,3,False,1,15,1,2,1,1,16,1,forceblk4,1,1,0,1,1,0,2.22,1.53,2.54
73,3,False,0,15,1,2,0,0,44,1,forceblk4,2,2,0,0,1,0,3.4,2.19,3.2
74,3,False,1,15,1,2,1,1,12,1,forceblk4,1,1,0,1,1,0,2.78,1.26,2.26
75,3,False,1,15,0,9,0,1,32,1,forceblk4,2,2,0,1,1,0,1.56,2.68,3.68
76,3,False,0,15,1,4,0,1,4,0,forceblk4,1,1,0,0,1,0,2.44,2.15,3.15
77,3,False,1,15,0,9,0,1,49,1,forceblk4,2,2,0,1,1,0,1.45,1.53,2.53
78,3,False,0,15,0,11,1,0,1,1,forceblk4,1,1,0,1,0,0,1.49,3.0,4.01
79,3,False,1,15,1,12,1,1,49,1,forceblk4,2,2,0,1,1,0,1.97,2.47,3.48
80,3,False,1,15,1,5,1,1,25,1,forceblk4,1,1,0,1,1,0,1.42,1.27,2.28
81,3,False,0,15,0,11,1,0,46,1,forceblk4,2,2,0,0,1,0,1.53,1.59,2.6
82,3,False,0,15,0,4,1,0,23,1,forceblk4,1,1,0,0,1,0,1.33,1.15,2.15
83,3,False,0,15,0,5,1,0,49,1,forceblk4,2,2,0,0,1,0,1.35,1.58,2.58
84,3,False,0,15,0,22,1,0,10,1,forceblk4,1,1,0,1,0,0,1.51,2.1,3.1
85,3,False,0,15,0,12,1,0,49,1,forceblk4,2,2,0,0,1,0,1.47,1.43,2.44
86,3,False,1,15,1,9,1,0,8,0,forceblk4,1,1,0,0,0,0,1.28,2.7,3.7
87,3,False,0,15,0,10,1,0,48,1,forceblk4,2,2,0,0,1,0,1.29,1.31,2.31
88,3,False,1,15,1,13,1,1,20,1,forceblk4,1,1,0,1,1,0,1.29,1.45,2.45
89,3,False,1,15,1,3,1,1,50,1,forceblk4,2,2,0,1,1,0,1.63,1.57,2.57
90,3,False,0,15,0,10,1,0,35,1,forceblk4,1,1,0,0,1,0,1.16,1.37,2.37
91,3,False,1,15,0,1,0,1,50,1,forceblk4,2,2,0,1,1,0,1.46,1.41,2.41
92,3,False,0,15,0,10,1,0,49,1,forceblk4,2,2,0,0,1,0,1.25,2.63,3.63
93,3,False,1,15,1,8,1,1,22,1,forceblk4,1,1,0,1,1,0,1.34,1.25,2.26
94,3,False,0,15,0,26,1,1,50,0,forceblk4,2,2,0,1,0,0,1.44,1.61,2.62
95,3,False,0,15,0,10,1,0,25,1,forceblk4,1,1,0,0,1,0,2.28,1.63,2.64
96,3,False,0,15,0,2,1,0,42,1,forceblk4,2,2,0,0,1,0,1.59,2.65,3.65
97,3,False,1,15,1,12,1,1,1,1,forceblk4,1,1,0,0,0,0,1.36,2.32,3.33
98,3,False,1,15,1,3,1,1,41,1,forceblk4,2,2,0,1,1,0,2.28,2.24,3.24
99,3,False,1,15,1,3,1,1,12,1,forceblk4,1,1,0,1,1,0,2.19,1.31,2.31
100,3,False,1,15,1,2,1,1,42,1,forceblk4,2,2,0,1,1,0,1.36,2.87,3.87
101,3,False,1,15,1,7,1,0,1,0,forceblk4,1,1,0,0,0,0,2.32,3.06,4.07
102,3,False,0,15,0,12,1,0,41,1,forceblk4,2,2,0,0,1,0,1.49,1.38,2.38
103,3,False,0,15,0,5,1,0,24,1,forceblk4,1,1,0,0,1,0,1.05,1.87,2.87
104,3,False,1,15,1,20,1,0,28,0,forceblk4,2,2,0,0,0,0,1.22,4.34,5.34
105,3,False,1,15,1,5,1,1,35,1,forceblk4,2,2,0,1,1,0,2.27,1.44,2.44
106,3,False,1,15,1,13,1,1,26,1,forceblk4,1,1,0,1,1,0,1.49,1.37,2.37
107,3,False,0,15,0,19,1,1,3,0,forceblk4,2,2,0,1,0,0,1.36,3.81,4.81
108,3,False,1,15,0,6,0,1,6,1,forceblk4,1,1,0,1,1,0,2.39,2.21,3.22
109,3,False,0,15,0,9,1,0,42,1,forceblk4,2,2,0,0,1,0,1.8,2.14,3.15
110,3,False,1,15,0,2,0,0,12,0,forceblk4,1,1,0,0,0,0,1.36,1.23,2.23
111,3,False,1,15,0,2,0,1,24,1,forceblk4,2,2,0,1,1,0,1.32,1.98,2.99
112,3,False,0,15,0,4,1,0,11,1,forceblk4,1,1,0,0,1,0,1.34,1.33,2.34
113,3,False,0,15,0,8,1,1,9,0,forceblk4,2,2,0,1,0,0,1.51,5.08,6.08
114,3,False,1,15,1,13,1,1,20,1,forceblk4,1,1,0,1,1,0,1.14,1.93,2.93
115,3,False,1,15,0,12,0,0,12,0,forceblk4,2,2,0,1,1,0,2.11,2.44,3.44
116,3,False,1,15,1,16,1,1,17,1,forceblk4,1,1,0,1,1,0,1.12,1.42,2.42
117,3,False,0,15,0,18,1,0,39,1,forceblk4,2,2,0,0,1,0,1.24,1.79,2.79
118,3,False,1,15,0,21,0,0,6,0,forceblk4,1,1,0,1,1,0,1.27,2.83,3.84
119,3,False,1,15,0,4,0,1,34,1,forceblk4,2,2,0,1,1,0,1.92,1.97,2.98
120,3,False,0,15,0,16,1,0,24,1,forceblk4,1,1,0,0,1,0,1.2,1.23,2.23
121,4,False,0,15,0,2,1,1,18,0,force,2,2,0,1,0,0,1.5,1.74,2.74
122,4,False,0,15,0,5,1,0,35,1,change,2,2,0,0,1,0,1.14,2.31,4.82
123,4,False,0,15,0,11,1,0,34,1,change,2,2,0,0,1,0,1.16,1.14,3.65
124,4,False,1,15,0,6,0,0,22,0,force,1,1,0,0,0,0,1.37,1.78,2.79
125,4,False,0,15,0,19,1,0,35,1,change,2,1,1,0,1,0,1.2,1.24,3.75
126,4,False,0,15,0,3,1,1,9,0,change,2,2,0,1,0,0,1.52,1.72,4.23
127,4,False,0,15,1,16,0,0,2,1,force,1,1,0,0,1,0,1.46,2.8,3.8
128,4,False,0,15,0,9,1,0,19,1,change,2,1,1,0,1,0,1.16,1.21,3.72
129,4,False,1,15,1,12,1,1,28,1,change,2,1,1,1,1,0,1.29,1.7,4.21
130,4,False,1,15,1,3,1,0,15,0,change,2,2,0,0,0,0,1.37,1.27,3.78
131,4,False,1,15,1,16,1,1,34,1,change,2,2,0,1,1,0,1.35,1.44,3.95
132,4,False,1,15,1,7,1,0,3,0,change,2,1,1,0,0,0,1.25,1.23,3.74
133,4,False,0,15,0,11,1,1,23,0,force,1,1,0,1,0,0,3.73,1.95,2.95
134,4,False,1,15,1,16,1,1,34,1,change,2,2,0,1,1,0,1.04,1.28,3.79
135,4,False,1,15,1,12,1,1,23,1,change,2,1,1,1,1,0,1.03,1.07,3.58
136,4,False,1,15,0,3,0,0,11,0,force,2,2,0,0,0,0,2.09,0.98,1.98
137,4,False,1,15,1,14,1,0,2,0,change,2,2,0,0,0,0,1.25,2.19,4.7
138,4,False,0,15,0,7,1,0,12,1,change,2,2,0,1,0,0,1.18,1.39,3.9
139,4,False,1,15,1,16,1,1,30,1,force,2,2,0,1,1,0,1.11,1.36,2.36
140,4,False,1,15,1,2,1,1,18,1,force,1,1,0,1,1,0,1.37,0.94,1.95
141,4,False,1,15,1,11,1,1,23,1,change,2,2,0,1,1,0,1.06,1.16,3.67
142,4,False,0,15,1,2,0,0,2,1,force,2,2,0,0,1,0,1.93,1.12,2.13
