trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,11.36,,
2,1,True,0,15,0,22,1,,,,catch,0,,1,,0,0,8.21,,
3,1,True,1,15,1,26,1,,,,catch,0,,1,,0,0,3.51,,
4,1,True,1,14,0,28,0,,,,catch,0,,1,,0,0,3.72,,
5,1,True,0,15,1,25,0,,,,catch,0,,1,,0,0,2.94,,
6,1,True,0,15,1,29,0,,,,catch,0,,1,,0,0,2.45,,
7,1,True,1,15,1,28,1,,,,catch,0,,1,,0,0,2.32,,
8,1,True,1,15,1,33,1,,,,catch,0,,1,,0,0,2.64,,
9,1,True,1,14,1,31,1,,,,catch,0,,1,,0,0,2.53,,
10,1,True,0,14,1,29,0,,,,catch,0,,1,,0,0,2.54,,
11,1,True,1,15,1,27,1,,,,catch,0,,1,,0,0,2.07,,
12,1,True,1,15,1,28,1,,,,catch,0,,1,,0,0,2.32,,
13,1,True,1,14,0,26,0,,,,catch,0,,1,,0,0,2.6,,
14,1,True,1,15,0,29,0,,,,catch,0,,1,,0,0,2.28,,
15,1,True,1,15,0,25,0,,,,catch,0,,1,,0,0,2.37,,
16,1,True,1,15,0,25,0,,,,catch,0,,1,,0,0,2.23,,
17,1,True,0,15,0,26,1,,,,catch,0,,1,,0,0,2.36,,
18,1,True,0,15,1,29,0,,,,catch,0,,1,,0,0,2.32,,
19,1,True,1,15,1,27,1,,,,catch,0,,1,,0,0,3.54,,
20,1,True,1,15,1,30,1,,,,catch,0,,1,,0,0,1.96,,
21,1,True,1,14,0,25,0,,,,catch,0,,1,,0,0,2.02,,
22,1,True,1,15,1,29,1,,,,catch,0,,1,,0,0,3.42,,
23,1,True,0,15,0,29,1,,,,catch,0,,1,,0,0,1.87,,
24,1,True,1,14,1,29,1,,,,catch,0,,1,,0,0,2.25,,
25,1,True,0,14,0,27,1,,,,catch,0,,1,,0,0,2.25,,
26,1,True,1,13,1,27,1,,,,catch,0,,1,,0,0,2.35,,
27,1,True,1,13,0,28,0,,,,catch,0,,1,,0,0,2.8,,
28,1,True,1,14,1,23,1,,,,catch,0,,1,,0,0,2.57,,
29,1,True,1,14,1,33,1,,,,catch,0,,1,,0,0,2.38,,
30,1,True,0,13,0,11,1,,,,catch,0,,1,,0,0,4.92,,
31,2,True,1,13,0,10,0,,,,catch,0,,1,,0,0,2.32,,
32,2,True,0,14,0,22,1,,,,catch,0,,1,,0,0,2.24,,
33,2,True,0,14,0,26,1,,,,catch,0,,1,,0,0,2.59,,
34,2,True,1,13,1,28,1,,,,catch,0,,1,,0,0,2.36,,
35,2,True,1,13,1,32,1,,,,catch,0,,1,,0,0,2.58,,
36,2,True,1,12,0,27,0,,,,catch,0,,1,,0,0,2.91,,
37,2,True,0,13,0,27,1,,,,catch,0,,1,,0,0,3.03,,
38,2,True,0,13,0,28,1,,,,catch,0,,1,,0,0,2.36,,
39,2,True,1,12,1,31,1,,,,catch,0,,1,,0,0,1.85,,
40,2,True,0,12,0,28,1,,,,catch,0,,1,,0,0,2.14,,
41,2,True,0,11,1,29,0,,,,catch,0,,1,,0,0,2.64,,
42,2,True,0,12,1,32,0,,,,catch,0,,1,,0,0,2.24,,
43,2,True,1,13,1,33,1,,,,catch,0,,1,,0,0,2.23,,
44,2,True,0,13,1,33,0,,,,catch,0,,1,,0,0,2.13,,
45,2,True,0,14,1,24,0,,,,catch,0,,1,,0,0,2.38,,
46,2,True,0,15,1,33,0,,,,catch,0,,1,,0,0,2.12,,
47,2,True,0,15,1,30,0,,,,catch,0,,1,,0,0,2.46,,
48,2,True,1,15,1,32,1,,,,catch,0,,1,,0,0,1.92,,
49,2,True,0,15,0,17,1,,,,catch,0,,1,,0,0,2.42,,
50,2,True,1,14,1,35,1,,,,catch,0,,1,,0,0,1.91,,
51,2,True,0,14,0,34,1,,,,catch,0,,1,,0,0,2.08,,
52,2,True,1,13,1,38,1,,,,catch,0,,1,,0,0,1.63,,
53,2,True,1,13,1,36,1,,,,catch,0,,1,,0,0,1.82,,
54,2,True,0,12,0,30,1,,,,catch,0,,1,,0,0,1.8,,
55,2,True,0,12,1,31,0,,,,catch,0,,1,,0,0,1.99,,
56,2,True,0,13,1,33,0,,,,catch,0,,1,,0,0,1.81,,
57,2,True,0,14,1,40,0,,,,catch,0,,1,,0,0,1.83,,
58,2,True,0,15,0,26,1,,,,catch,0,,1,,0,0,1.76,,
59,2,True,0,15,1,34,0,,,,catch,0,,1,,0,0,1.84,,
60,2,True,0,15,1,33,0,,,,catch,0,,1,,0,0,1.91,,
61,3,False,1,15,1,31,1,1,31,1,forceblk4,2,2,0,1,1,0,3.97,6.8,7.85
62,3,False,0,15,1,30,0,1,42,0,forceblk4,1,1,0,1,0,0,3.59,4.65,5.66
63,3,False,1,15,1,27,1,1,45,1,forceblk4,2,2,0,1,1,0,3.07,2.06,3.08
64,3,False,1,15,0,27,0,0,10,0,forceblk4,1,1,0,1,1,0,2.81,4.28,5.3
65,3,False,1,15,0,26,0,1,31,1,forceblk4,2,2,0,1,1,0,2.5,3.34,4.34
66,3,False,0,15,1,26,0,1,26,0,forceblk4,1,1,0,1,0,0,2.77,2.46,3.47
67,3,False,1,15,1,29,1,1,39,1,forceblk4,2,2,0,1,1,0,3.31,1.98,2.98
68,3,False,0,15,1,34,0,1,37,0,forceblk4,1,1,0,0,1,0,2.41,1.88,2.89
69,3,False,0,15,0,25,1,0,44,1,forceblk4,2,2,0,0,1,0,2.54,1.84,2.86
70,3,False,0,15,0,33,1,0,45,1,forceblk4,2,2,0,0,1,0,1.82,1.89,2.9
71,3,False,1,15,1,29,1,1,29,1,forceblk4,1,1,0,0,0,0,1.99,3.22,4.23
72,3,False,0,15,0,30,1,0,42,1,forceblk4,2,2,0,0,1,0,1.89,1.59,2.62
73,3,False,0,15,0,36,1,0,35,1,forceblk4,1,1,0,0,1,0,1.63,1.75,2.77
74,3,False,0,15,0,38,1,1,30,0,forceblk4,2,2,0,1,0,0,1.92,3.8,4.81
75,3,False,1,15,1,24,1,0,10,0,forceblk4,1,1,0,0,0,0,10.44,2.19,3.2
76,3,False,1,15,0,30,0,0,26,0,forceblk4,1,1,0,1,1,0,1.81,2.81,3.83
77,3,False,0,15,0,27,1,0,34,1,forceblk4,2,2,0,0,1,0,2.25,2.83,3.85
78,3,False,1,15,1,29,1,1,37,1,forceblk4,2,2,0,1,1,0,1.76,2.51,3.52
79,3,False,1,15,0,26,0,0,19,0,forceblk4,1,1,0,1,1,0,2.88,3.52,4.52
80,3,False,1,15,0,30,0,0,27,0,forceblk4,1,1,0,1,1,0,1.58,1.83,2.84
81,3,False,1,15,0,26,0,1,27,1,forceblk4,2,2,0,1,1,0,1.93,2.66,3.68
82,3,False,0,15,0,32,1,0,33,1,forceblk4,1,1,0,0,1,0,1.87,1.82,2.83
83,3,False,0,15,0,35,1,0,49,1,forceblk4,2,2,0,0,1,0,1.9,1.84,2.85
84,3,False,1,15,0,30,0,0,50,0,forceblk4,2,2,0,0,0,0,3.46,1.76,2.78
85,3,False,0,15,0,31,1,0,31,1,forceblk4,1,1,0,0,1,0,1.91,2.58,3.6
86,3,False,1,15,1,34,1,1,38,1,forceblk4,2,2,0,1,1,0,1.66,3.33,4.34
87,3,False,0,15,0,32,1,0,33,1,forceblk4,1,1,0,0,1,0,2.13,1.68,2.7
88,3,False,1,15,1,35,1,1,40,1,forceblk4,2,2,0,1,1,0,1.55,1.59,2.61
89,3,False,1,15,1,30,1,1,32,1,forceblk4,1,1,0,1,1,0,1.73,1.43,2.45
90,3,False,0,15,0,35,1,0,36,1,forceblk4,1,1,0,0,1,0,2.31,1.47,2.48
91,3,False,0,15,0,29,1,0,28,1,forceblk4,2,2,0,0,1,0,2.78,1.83,2.85
92,3,False,1,15,1,24,1,0,7,0,forceblk4,1,1,0,0,0,0,2.9,2.65,3.66
