trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,,1,,0,0,12.3,,
2,1,True,0,15,0,31,1,,,,catch,0,,1,,0,0,6.92,,
3,1,True,1,15,1,28,1,,,,catch,0,,1,,0,0,3.41,,
4,1,True,1,14,0,22,0,,,,catch,0,,1,,0,0,31.04,,
5,1,True,0,15,0,37,1,,,,catch,0,,1,,0,0,3.98,,
6,1,True,0,15,1,25,0,,,,catch,0,,1,,0,0,3.61,,
7,1,True,0,15,0,13,1,,,,catch,0,,1,,0,0,4.12,,
8,1,True,1,15,1,24,1,,,,catch,0,,1,,0,0,4.33,,
9,1,True,1,14,0,11,0,,,,catch,0,,1,,0,0,6.93,,
10,1,True,1,15,1,29,1,,,,catch,0,,1,,0,0,2.9,,
11,1,True,0,15,0,32,1,,,,catch,0,,1,,0,0,4.25,,
12,1,True,0,14,1,29,0,,,,catch,0,,1,,0,0,3.07,,
13,1,True,1,15,1,31,1,,,,catch,0,,1,,0,0,2.88,,
14,1,True,0,15,1,29,0,,,,catch,0,,1,,0,0,2.57,,
15,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,4.04,,
16,1,True,0,15,1,15,0,,,,catch,0,,1,,0,0,3.67,,
17,1,True,1,15,1,23,1,,,,catch,0,,1,,0,0,2.42,,
18,1,True,1,15,1,27,1,,,,catch,0,,1,,0,0,2.37,,
19,1,True,0,14,1,28,0,,,,catch,0,,1,,0,0,2.09,,
20,1,True,0,15,1,29,0,,,,catch,0,,1,,0,0,3.43,,
21,1,True,1,15,1,5,1,,,,catch,0,,1,,0,0,3.57,,
22,1,True,0,15,1,4,0,,,,catch,0,,1,,0,0,2.07,,
23,1,True,0,15,0,25,1,,,,catch,0,,1,,0,0,2.61,,
24,1,True,0,15,1,11,0,,,,catch,0,,1,,0,0,3.1,,
25,1,True,1,15,0,31,0,,,,catch,0,,1,,0,0,2.68,,
26,1,True,1,15,1,24,1,,,,catch,0,,1,,0,0,2.61,,
27,1,True,1,15,1,28,1,,,,catch,0,,1,,0,0,2.38,,
28,1,True,0,14,1,29,0,,,,catch,0,,1,,0,0,2.25,,
29,1,True,1,15,0,18,0,,,,catch,0,,1,,0,0,2.54,,
30,1,True,1,15,1,27,1,,,,catch,0,,1,,0,0,2.65,,
31,2,True,1,15,1,9,1,,,,catch,0,,1,,0,0,2.89,,
32,2,True,0,14,0,20,1,,,,catch,0,,1,,0,0,3.06,,
33,2,True,0,14,1,32,0,,,,catch,0,,1,,0,0,2.73,,
34,2,True,0,15,1,7,0,,,,catch,0,,1,,0,0,3.41,,
