trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,5.67,,
2,1,True,1,15,1,32,1,,,,catch,0,,1,,0,0,2.85,,
3,1,True,1,15,0,32,0,,,,catch,0,,1,,0,0,2.12,,
4,1,True,1,15,1,34,1,,,,catch,0,,1,,0,0,2.32,,
5,1,True,1,15,1,33,1,,,,catch,0,,1,,0,0,1.61,,
6,1,True,1,14,1,46,1,,,,catch,0,,1,,0,0,2.52,,
7,1,True,1,14,1,45,1,,,,catch,0,,1,,0,0,1.59,,
8,1,True,0,13,0,34,1,,,,catch,0,,1,,0,0,2.86,,
9,1,True,0,13,0,50,1,,,,catch,0,,1,,0,0,1.79,,
10,1,True,0,12,0,50,1,,,,catch,0,,1,,0,0,1.48,,
11,1,True,1,12,1,43,1,,,,catch,0,,1,,0,0,2.07,,
12,1,True,1,11,0,10,0,,,,catch,0,,1,,0,0,2.31,,
13,1,True,1,12,1,8,1,,,,catch,0,,1,,0,0,3.18,,
14,1,True,0,12,0,10,1,,,,catch,0,,1,,0,0,3.25,,
15,1,True,1,11,1,46,1,,,,catch,0,,1,,0,0,2.26,,
16,1,True,0,11,0,40,1,,,,catch,0,,1,,0,0,1.77,,
17,1,True,0,10,1,44,0,,,,catch,0,,1,,0,0,1.58,,
18,1,True,1,11,1,7,1,,,,catch,0,,1,,0,0,3.48,,
19,1,True,1,11,0,15,0,,,,catch,0,,1,,0,0,3.15,,
20,1,True,1,12,1,32,1,,,,catch,0,,1,,0,0,1.64,,
21,1,True,0,12,0,48,1,,,,catch,0,,1,,0,0,1.9,,
22,1,True,0,11,1,40,0,,,,catch,0,,1,,0,0,1.58,,
23,1,True,1,12,0,32,0,,,,catch,0,,1,,0,0,3.19,,
24,1,True,0,13,0,44,1,,,,catch,0,,1,,0,0,1.91,,
25,1,True,0,13,0,50,1,,,,catch,0,,1,,0,0,1.5,,
26,1,True,0,12,0,4,1,,,,catch,0,,1,,0,0,4.58,,
27,1,True,0,12,0,44,1,,,,catch,0,,1,,0,0,1.49,,
28,1,True,0,11,1,43,0,,,,catch,0,,1,,0,0,1.78,,
29,1,True,0,12,0,28,1,,,,catch,0,,1,,0,0,2.79,,
30,1,True,0,12,1,33,0,,,,catch,0,,1,,0,0,1.56,,
31,2,True,1,13,1,40,1,,,,catch,0,,1,,0,0,1.75,,
32,2,True,0,13,0,46,1,,,,catch,0,,1,,0,0,1.66,,
33,2,True,0,12,0,47,1,,,,catch,0,,1,,0,0,1.78,,
34,2,True,1,12,1,40,1,,,,catch,0,,1,,0,0,1.33,,
35,2,True,0,11,1,50,0,,,,catch,0,,1,,0,0,1.31,,
36,2,True,0,12,0,48,1,,,,catch,0,,1,,0,0,2.67,,
37,2,True,0,12,1,25,0,,,,catch,0,,1,,0,0,1.39,,
38,2,True,0,13,0,46,1,,,,catch,0,,1,,0,0,1.84,,
39,2,True,1,13,1,14,1,,,,catch,0,,1,,0,0,1.92,,
40,2,True,0,12,0,8,1,,,,catch,0,,1,,0,0,2.68,,
41,2,True,0,12,0,40,1,,,,catch,0,,1,,0,0,1.46,,
42,2,True,1,11,0,44,0,,,,catch,0,,1,,0,0,1.7,,
43,2,True,0,12,1,28,0,,,,catch,0,,1,,0,0,1.52,,
44,2,True,1,13,1,41,1,,,,catch,0,,1,,0,0,1.5,,
45,2,True,1,13,1,22,1,,,,catch,0,,1,,0,0,1.45,,
46,2,True,1,12,1,10,1,,,,catch,0,,1,,0,0,1.62,,
47,2,True,0,12,1,26,0,,,,catch,0,,1,,0,0,1.18,,
48,2,True,1,13,0,42,0,,,,catch,0,,1,,0,0,1.59,,
49,2,True,0,14,0,26,1,,,,catch,0,,1,,0,0,1.28,,
50,2,True,1,14,1,15,1,,,,catch,0,,1,,0,0,1.23,,
51,2,True,1,13,1,37,1,,,,catch,0,,1,,0,0,1.94,,
52,2,True,1,13,1,45,1,,,,catch,0,,1,,0,0,1.69,,
53,2,True,0,12,0,34,1,,,,catch,0,,1,,0,0,1.65,,
54,2,True,1,12,1,46,1,,,,catch,0,,1,,0,0,1.89,,
55,2,True,0,11,0,13,1,,,,catch,0,,1,,0,0,1.81,,
56,2,True,1,11,0,44,0,,,,catch,0,,1,,0,0,2.15,,
57,2,True,0,12,0,49,1,,,,catch,0,,1,,0,0,1.8,,
58,2,True,0,12,0,31,1,,,,catch,0,,1,,0,0,1.14,,
59,2,True,0,11,0,27,1,,,,catch,0,,1,,0,0,1.02,,
60,2,True,0,11,0,47,1,,,,catch,0,,1,,0,0,1.48,,
61,3,False,1,10,0,44,0,0,43,0,forceblk4,1,1,0,1,1,0,2.69,8.29,9.31
62,3,False,1,10,0,34,0,0,34,0,forceblk4,1,1,0,1,1,0,2.75,3.42,4.43
63,3,False,0,10,0,34,1,0,34,1,forceblk4,2,2,0,0,1,0,2.04,2.17,3.18
64,3,False,1,10,1,33,1,1,33,1,forceblk4,1,1,0,0,0,0,1.97,1.92,2.94
65,3,False,0,10,0,17,1,0,17,1,forceblk4,2,2,0,0,1,0,2.71,1.59,2.6
66,3,False,1,10,0,27,0,0,27,0,forceblk4,1,1,0,1,1,0,1.93,1.9,2.9
67,3,False,1,10,1,36,1,1,36,1,forceblk4,2,2,0,0,0,0,1.62,1.53,2.54
68,3,False,1,10,0,40,0,0,40,0,forceblk4,1,1,0,1,1,0,1.59,1.39,2.39
69,3,False,0,10,1,17,0,1,17,0,forceblk4,2,2,0,1,0,0,3.11,1.2,2.21
70,3,False,1,10,0,26,0,0,26,0,forceblk4,1,1,0,1,1,0,2.9,1.26,2.27
71,3,False,1,10,1,40,1,1,40,1,forceblk4,2,2,0,1,1,0,1.81,1.08,2.08
72,3,False,1,10,1,47,1,1,47,1,forceblk4,2,2,0,0,0,0,1.64,1.8,2.81
73,3,False,1,10,1,38,1,1,38,1,forceblk4,1,1,0,0,0,0,2.5,1.06,2.07
74,3,False,1,10,0,33,0,0,33,0,forceblk4,2,2,0,1,1,0,4.6,1.16,2.18
75,3,False,1,10,1,15,1,1,15,1,forceblk4,1,1,0,1,1,0,4.26,1.05,2.06
76,3,False,1,10,0,21,0,0,21,0,forceblk4,2,2,0,1,1,0,1.39,1.15,2.15
77,3,False,1,10,0,34,0,0,34,0,forceblk4,1,1,0,1,1,0,1.7,1.36,2.36
78,3,False,0,10,0,21,1,0,21,1,forceblk4,2,2,0,0,1,0,1.75,1.88,2.89
79,3,False,1,10,0,8,0,0,7,0,forceblk4,1,1,0,1,1,0,1.97,1.05,2.07
80,3,False,0,10,0,46,1,0,46,1,forceblk4,1,1,0,0,1,0,2.09,1.36,2.37
81,3,False,1,10,1,42,1,1,42,1,forceblk4,2,2,0,1,1,0,1.91,1.36,2.37
82,3,False,0,10,0,34,1,0,34,1,forceblk4,2,2,0,0,1,0,1.62,1.42,2.42
83,3,False,1,10,1,44,1,1,44,1,forceblk4,1,1,0,1,1,0,2.54,1.33,2.34
84,3,False,1,10,1,45,1,1,45,1,forceblk4,2,2,0,1,1,0,2.07,1.5,2.51
85,3,False,1,10,1,8,1,1,8,1,forceblk4,1,1,0,1,1,0,2.06,1.26,2.27
86,3,False,0,10,0,34,1,0,34,1,forceblk4,2,2,0,0,1,0,1.88,1.01,2.03
87,3,False,0,10,0,14,1,0,13,1,forceblk4,1,1,0,1,0,0,1.3,1.16,2.18
88,3,False,0,10,0,29,1,0,29,1,forceblk4,2,2,0,0,1,0,1.54,0.84,1.84
89,3,False,0,10,0,35,1,0,35,1,forceblk4,1,1,0,0,1,0,1.57,1.23,2.24
90,3,False,0,10,0,34,1,0,33,1,forceblk4,1,1,0,0,1,0,1.04,0.89,1.91
91,3,False,0,10,0,24,1,0,24,1,forceblk4,2,2,0,1,0,0,1.4,0.77,1.78
92,3,False,0,10,0,44,1,0,44,1,forceblk4,2,2,0,0,1,0,1.32,1.92,2.93
93,3,False,1,10,1,22,1,1,22,1,forceblk4,1,1,0,1,1,0,1.25,1.15,2.16
94,3,False,1,10,1,44,1,1,44,1,forceblk4,1,1,0,1,1,0,1.55,1.2,2.2
95,3,False,1,10,0,4,0,0,4,0,forceblk4,2,2,0,1,1,0,2.07,1.53,2.54
96,3,False,0,10,0,35,1,0,34,1,forceblk4,2,2,0,0,1,0,1.53,1.51,2.52
97,3,False,1,10,1,16,1,1,16,1,forceblk4,1,1,0,0,0,0,2.67,1.69,2.69
98,3,False,0,10,0,20,1,0,19,1,forceblk4,2,2,0,0,1,0,1.62,0.98,1.99
99,3,False,1,10,1,39,1,1,39,1,forceblk4,1,1,0,1,1,0,1.43,1.13,2.13
100,3,False,0,10,0,4,1,0,4,1,forceblk4,1,1,0,1,0,0,1.47,0.76,1.77
