trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,5,0,,,,catch,0,,1,,0,0,6.97,,
2,1,True,1,15,1,11,1,,,,catch,0,,1,,0,0,1.94,,
3,1,True,0,15,1,20,0,,,,catch,0,,1,,0,0,2.05,,
4,1,True,1,15,1,13,1,,,,catch,0,,1,,0,0,1.93,,
5,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,1.86,,
6,1,True,1,14,1,8,1,,,,catch,0,,1,,0,0,1.46,,
7,1,True,0,14,1,7,0,,,,catch,0,,1,,0,0,1.7,,
8,1,True,0,15,0,7,1,,,,catch,0,,1,,0,0,2.43,,
9,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,1.28,,
10,1,True,0,14,1,30,0,,,,catch,0,,1,,0,0,2.09,,
11,1,True,1,15,1,17,1,,,,catch,0,,1,,0,0,1.49,,
12,1,True,1,15,1,16,1,,,,catch,0,,1,,0,0,1.2,,
13,1,True,0,14,0,14,1,,,,catch,0,,1,,0,0,1.26,,
14,1,True,0,14,1,13,0,,,,catch,0,,1,,0,0,1.34,,
15,1,True,0,15,1,13,0,,,,catch,0,,1,,0,0,1.57,,
16,1,True,0,15,1,3,0,,,,catch,0,,1,,0,0,1.92,,
17,1,True,0,15,1,11,0,,,,catch,0,,1,,0,0,1.73,,
18,1,True,0,15,0,11,1,,,,catch,0,,1,,0,0,1.02,,
19,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,1.21,,
20,1,True,0,14,1,27,0,,,,catch,0,,1,,0,0,1.21,,
21,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,1.1,,
22,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,1.17,,
23,1,True,1,14,1,11,1,,,,catch,0,,1,,0,0,0.93,,
24,1,True,1,14,0,10,0,,,,catch,0,,1,,0,0,1.28,,
25,1,True,1,15,1,15,1,,,,catch,0,,1,,0,0,1.72,,
26,1,True,1,15,1,16,1,,,,catch,0,,1,,0,0,1.31,,
27,1,True,0,14,0,10,1,,,,catch,0,,1,,0,0,1.13,,
28,1,True,0,14,1,3,0,,,,catch,0,,1,,0,0,2.08,,
29,1,True,0,15,0,7,1,,,,catch,0,,1,,0,0,1.4,,
30,1,True,0,15,1,7,0,,,,catch,0,,1,,0,0,1.29,,
31,2,True,0,15,0,7,1,,,,catch,0,,1,,0,0,1.18,,
32,2,True,0,15,0,5,1,,,,catch,0,,1,,0,0,1.14,,
33,2,True,0,14,0,4,1,,,,catch,0,,1,,0,0,1.06,,
34,2,True,0,14,0,5,1,,,,catch,0,,1,,0,0,1.04,,
35,2,True,1,13,1,7,1,,,,catch,0,,1,,0,0,1.35,,
36,2,True,0,13,0,5,1,,,,catch,0,,1,,0,0,1.28,,
37,2,True,0,12,1,5,0,,,,catch,0,,1,,0,0,1.35,,
38,2,True,0,13,0,3,1,,,,catch,0,,1,,0,0,1.18,,
39,2,True,0,13,1,7,0,,,,catch,0,,1,,0,0,1.35,,
40,2,True,0,14,0,4,1,,,,catch,0,,1,,0,0,1.35,,
41,2,True,1,14,1,4,1,,,,catch,0,,1,,0,0,1.32,,
42,2,True,0,13,0,5,1,,,,catch,0,,1,,0,0,1.75,,
43,2,True,0,13,1,7,0,,,,catch,0,,1,,0,0,1.55,,
44,2,True,0,14,1,3,0,,,,catch,0,,1,,0,0,7.54,,
45,2,True,0,15,1,6,0,,,,catch,0,,1,,0,0,1.5,,
46,2,True,1,15,0,4,0,,,,catch,0,,1,,0,0,1.68,,
47,2,True,1,15,0,4,0,,,,catch,0,,1,,0,0,1.41,,
