trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,14,0,,,,catch,0,,1,,0,0,4.57,,
2,1,True,1,15,1,19,1,,,,catch,0,,1,,0,0,2.83,,
3,1,True,1,15,1,25,1,,,,catch,0,,1,,0,0,1.7,,
4,1,True,1,14,1,26,1,,,,catch,0,,1,,0,0,2.04,,
5,1,True,0,14,1,35,0,,,,catch,0,,1,,0,0,2.12,,
6,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,3.05,,
7,1,True,0,15,0,13,1,,,,catch,0,,1,,0,0,3.64,,
8,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,2.26,,
9,1,True,1,14,1,22,1,,,,catch,0,,1,,0,0,3.63,,
10,1,True,0,14,1,21,0,,,,catch,0,,1,,0,0,4.14,,
11,1,True,0,15,1,27,0,,,,catch,0,,1,,0,0,2.2,,
12,1,True,0,15,1,27,0,,,,catch,0,,1,,0,0,3.31,,
13,1,True,1,15,1,14,1,,,,catch,0,,1,,0,0,2.39,,
14,1,True,0,15,0,16,1,,,,catch,0,,1,,0,0,2.02,,
15,1,True,1,14,0,29,0,,,,catch,0,,1,,0,0,1.87,,
16,1,True,1,15,1,13,1,,,,catch,0,,1,,0,0,3.83,,
17,1,True,1,15,1,15,1,,,,catch,0,,1,,0,0,4.33,,
18,1,True,1,14,1,24,1,,,,catch,0,,1,,0,0,1.72,,
19,1,True,0,14,0,13,1,,,,catch,0,,1,,0,0,1.92,,
20,1,True,0,13,1,24,0,,,,catch,0,,1,,0,0,1.9,,
21,1,True,1,14,1,21,1,,,,catch,0,,1,,0,0,2.21,,
22,1,True,0,14,1,12,0,,,,catch,0,,1,,0,0,3.52,,
23,1,True,1,15,1,19,1,,,,catch,0,,1,,0,0,2.84,,
24,1,True,0,15,0,20,1,,,,catch,0,,1,,0,0,2.45,,
25,1,True,0,14,0,24,1,,,,catch,0,,1,,0,0,2.88,,
26,1,True,0,14,1,21,0,,,,catch,0,,1,,0,0,1.82,,
27,1,True,0,15,0,17,1,,,,catch,0,,1,,0,0,1.7,,
28,1,True,1,15,1,33,1,,,,catch,0,,1,,0,0,1.92,,
29,1,True,0,14,0,17,1,,,,catch,0,,1,,0,0,3.44,,
30,1,True,0,14,1,32,0,,,,catch,0,,1,,0,0,1.77,,
31,2,True,1,15,1,13,1,,,,catch,0,,1,,0,0,1.57,,
32,2,True,0,15,1,27,0,,,,catch,0,,1,,0,0,1.64,,
33,2,True,0,15,1,25,0,,,,catch,0,,1,,0,0,2.77,,
34,2,True,1,15,1,31,1,,,,catch,0,,1,,0,0,1.61,,
35,2,True,1,15,1,35,1,,,,catch,0,,1,,0,0,2.71,,
36,2,True,0,14,0,24,1,,,,catch,0,,1,,0,0,2.91,,
37,2,True,0,14,1,35,0,,,,catch,0,,1,,0,0,3.75,,
38,2,True,0,15,1,16,0,,,,catch,0,,1,,0,0,6.9,,
39,2,True,0,15,1,17,0,,,,catch,0,,1,,0,0,1.79,,
40,2,True,1,15,1,32,1,,,,catch,0,,1,,0,0,1.45,,
41,2,True,0,15,1,15,0,,,,catch,0,,1,,0,0,5.33,,
42,2,True,1,15,1,30,1,,,,catch,0,,1,,0,0,1.52,,
43,2,True,1,15,1,14,1,,,,catch,0,,1,,0,0,3.41,,
