trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,29.41,,
2,1,True,1,15,1,38,1,,,,catch,0,,1,,0,0,6.78,,
3,1,True,0,15,1,44,0,,,,catch,0,,1,,0,0,4.18,,
4,1,True,1,15,1,45,1,,,,catch,0,,1,,0,0,2.41,,
5,1,True,1,15,0,34,0,,,,catch,0,,1,,0,0,3.01,,
6,1,True,0,15,1,40,0,,,,catch,0,,1,,0,0,2.4,,
7,1,True,1,15,1,43,1,,,,catch,0,,1,,0,0,2.4,,
8,1,True,1,15,0,39,0,,,,catch,0,,1,,0,0,2.88,,
9,1,True,0,15,1,39,0,,,,catch,0,,1,,0,0,2.21,,
10,1,True,0,15,0,43,1,,,,catch,0,,1,,0,0,2.11,,
11,1,True,0,15,1,20,0,,,,catch,0,,1,,0,0,1.97,,
12,1,True,0,15,0,39,1,,,,catch,0,,1,,0,0,1.96,,
13,1,True,1,15,1,27,1,,,,catch,0,,1,,0,0,2.07,,
14,1,True,0,14,1,32,0,,,,catch,0,,1,,0,0,2.53,,
15,1,True,0,15,0,30,1,,,,catch,0,,1,,0,0,1.82,,
16,1,True,1,15,1,38,1,,,,catch,0,,1,,0,0,2.07,,
17,1,True,0,14,0,30,1,,,,catch,0,,1,,0,0,2.1,,
18,1,True,0,14,0,35,1,,,,catch,0,,1,,0,0,1.97,,
19,1,True,1,13,1,32,1,,,,catch,0,,1,,0,0,1.82,,
20,1,True,0,13,0,28,1,,,,catch,0,,1,,0,0,1.88,,
21,1,True,0,12,1,32,0,,,,catch,0,,1,,0,0,1.78,,
22,1,True,0,13,0,32,1,,,,catch,0,,1,,0,0,1.6,,
23,1,True,0,13,0,35,1,,,,catch,0,,1,,0,0,1.71,,
24,1,True,0,12,1,23,0,,,,catch,0,,1,,0,0,1.95,,
25,1,True,0,13,0,27,1,,,,catch,0,,1,,0,0,2.11,,
26,1,True,1,13,0,30,0,,,,catch,0,,1,,0,0,2.29,,
27,1,True,1,14,1,38,1,,,,catch,0,,1,,0,0,1.42,,
28,1,True,0,14,0,33,1,,,,catch,0,,1,,0,0,3.42,,
29,1,True,1,13,1,40,1,,,,catch,0,,1,,0,0,2.87,,
30,1,True,1,13,1,12,1,,,,catch,0,,1,,0,0,2.99,,
31,2,True,1,12,1,32,1,,,,catch,0,,1,,0,0,2.12,,
32,2,True,1,12,1,32,1,,,,catch,0,,1,,0,0,1.77,,
33,2,True,1,11,0,13,0,,,,catch,0,,1,,0,0,2.99,,
34,2,True,0,12,1,29,0,,,,catch,0,,1,,0,0,1.57,,
35,2,True,1,13,0,27,0,,,,catch,0,,1,,0,0,1.66,,
36,2,True,0,14,0,36,1,,,,catch,0,,1,,0,0,1.59,,
37,2,True,0,14,0,36,1,,,,catch,0,,1,,0,0,1.64,,
38,2,True,1,13,1,34,1,,,,catch,0,,1,,0,0,1.8,,
39,2,True,1,13,0,29,0,,,,catch,0,,1,,0,0,1.69,,
40,2,True,0,14,0,34,1,,,,catch,0,,1,,0,0,1.73,,
41,2,True,1,14,1,39,1,,,,catch,0,,1,,0,0,1.74,,
42,2,True,0,13,0,44,1,,,,catch,0,,1,,0,0,1.72,,
43,2,True,1,13,1,38,1,,,,catch,0,,1,,0,0,2.72,,
44,2,True,1,12,0,48,0,,,,catch,0,,1,,0,0,1.77,,
45,2,True,1,13,1,46,1,,,,catch,0,,1,,0,0,1.94,,
46,2,True,1,13,1,50,1,,,,catch,0,,1,,0,0,1.82,,
47,2,True,1,12,0,40,0,,,,catch,0,,1,,0,0,1.84,,
48,2,True,1,13,1,41,1,,,,catch,0,,1,,0,0,2.15,,
49,2,True,0,13,0,44,1,,,,catch,0,,1,,0,0,2.29,,
50,2,True,1,12,0,38,0,,,,catch,0,,1,,0,0,1.65,,
51,2,True,1,13,1,42,1,,,,catch,0,,1,,0,0,1.7,,
52,2,True,1,13,0,19,0,,,,catch,0,,1,,0,0,2.05,,
53,2,True,1,14,0,44,0,,,,catch,0,,1,,0,0,2.12,,
54,2,True,0,15,1,7,0,,,,catch,0,,1,,0,0,2.77,,
55,2,True,1,15,1,47,1,,,,catch,0,,1,,0,0,2.28,,
56,2,True,1,15,0,45,0,,,,catch,0,,1,,0,0,2.27,,
57,2,True,1,15,0,20,0,,,,catch,0,,1,,0,0,1.78,,
58,2,True,0,15,0,40,1,,,,catch,0,,1,,0,0,2.31,,
59,2,True,1,15,1,47,1,,,,catch,0,,1,,0,0,1.93,,
60,2,True,0,14,0,42,1,,,,catch,0,,1,,0,0,1.79,,
61,3,False,1,14,1,40,1,1,40,1,forceblk4,1,1,0,1,1,0,2.32,10.0,11.02
62,3,False,0,14,0,33,1,0,34,1,forceblk4,1,1,0,0,1,0,2.33,2.86,3.87
63,3,False,1,14,1,45,1,1,41,1,forceblk4,2,2,0,1,1,0,2.53,4.04,5.05
64,3,False,1,14,0,37,0,0,33,0,forceblk4,2,2,0,1,1,0,2.01,2.42,3.43
65,3,False,1,14,1,46,1,1,50,1,forceblk4,1,1,0,1,1,0,1.94,2.49,3.49
66,3,False,0,14,0,31,1,0,30,1,forceblk4,2,2,0,0,1,0,2.0,1.9,2.91
67,3,False,0,14,0,37,1,0,39,1,forceblk4,1,1,0,1,0,0,2.53,3.83,4.83
68,3,False,1,14,1,27,1,1,27,1,forceblk4,1,1,0,1,1,0,2.5,3.94,4.95
69,3,False,0,14,1,10,0,1,13,0,forceblk4,2,2,0,1,0,0,3.42,4.79,5.8
70,3,False,0,14,0,41,1,0,43,1,forceblk4,2,2,0,0,1,0,1.84,3.64,4.65
71,3,False,0,14,1,40,0,0,4,1,forceblk4,2,2,0,0,1,0,1.98,5.47,6.48
72,3,False,0,14,0,32,1,0,48,1,forceblk4,1,1,0,0,1,0,2.24,2.2,3.21
73,3,False,1,14,0,9,0,0,1,0,forceblk4,2,2,0,1,1,0,2.82,4.63,5.63
74,3,False,1,14,1,35,1,1,45,1,forceblk4,1,1,0,1,1,0,2.22,2.52,3.53
75,3,False,0,14,0,39,1,0,41,1,forceblk4,2,2,0,0,1,0,1.91,3.91,4.91
76,3,False,1,14,1,38,1,1,42,1,forceblk4,1,1,0,1,1,0,2.0,2.07,3.07
77,3,False,1,14,0,39,0,0,38,0,forceblk4,2,2,0,0,0,0,1.82,1.87,2.88
78,3,False,0,14,1,34,0,1,35,0,forceblk4,1,1,0,0,1,0,2.29,3.16,4.16
79,3,False,0,14,0,38,1,0,40,1,forceblk4,1,1,0,0,1,0,1.87,1.56,2.57
80,3,False,0,14,0,43,1,0,49,1,forceblk4,1,1,0,0,1,0,1.78,2.26,3.27
81,3,False,1,14,0,48,0,0,48,0,forceblk4,2,2,0,1,1,0,2.49,2.01,3.02
82,3,False,0,14,0,39,1,0,40,1,forceblk4,2,2,0,1,0,0,2.09,2.16,3.17
83,3,False,1,14,0,43,0,0,49,0,forceblk4,1,1,0,0,0,0,2.16,2.19,3.2
84,3,False,0,14,0,47,1,0,49,1,forceblk4,2,2,0,0,1,0,1.93,2.46,3.46
85,3,False,0,14,0,37,1,0,38,1,forceblk4,1,1,0,0,1,0,2.53,1.53,2.54
86,3,False,0,14,0,41,1,0,41,1,forceblk4,1,1,0,0,1,0,2.1,2.03,3.04
87,3,False,0,14,0,42,1,0,45,1,forceblk4,2,2,0,0,1,0,2.02,1.61,2.62
88,3,False,0,14,0,39,1,0,44,1,forceblk4,2,2,0,0,1,0,1.92,1.54,2.55
