trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,24,1,,,,catch,0,,1,,0,0,17.06,,
2,1,True,1,15,0,16,0,,,,catch,0,,1,,0,0,5.79,,
3,1,True,0,15,1,20,0,,,,catch,0,,1,,0,0,5.02,,
4,1,True,0,15,0,50,1,,,,catch,0,,1,,0,0,7.91,,
5,1,True,0,15,0,35,1,,,,catch,0,,1,,0,0,2.82,,
6,1,True,1,14,1,14,1,,,,catch,0,,1,,0,0,1.74,,
7,1,True,0,14,1,31,0,,,,catch,0,,1,,0,0,2.2,,
8,1,True,1,15,0,17,0,,,,catch,0,,1,,0,0,8.87,,
9,1,True,1,15,1,21,1,,,,catch,0,,1,,0,0,1.82,,
10,1,True,0,15,1,30,0,,,,catch,0,,1,,0,0,1.7,,
11,1,True,0,15,1,45,0,,,,catch,0,,1,,0,0,1.87,,
12,1,True,1,15,0,45,0,,,,catch,0,,1,,0,0,1.96,,
13,1,True,0,15,0,17,1,,,,catch,0,,1,,0,0,1.71,,
14,1,True,1,15,1,16,1,,,,catch,0,,1,,0,0,1.32,,
15,1,True,0,14,0,22,1,,,,catch,0,,1,,0,0,1.84,,
16,1,True,0,14,0,32,1,,,,catch,0,,1,,0,0,1.41,,
17,1,True,1,13,0,38,0,,,,catch,0,,1,,0,0,1.84,,
18,1,True,1,14,1,26,1,,,,catch,0,,1,,0,0,2.09,,
19,1,True,1,14,1,33,1,,,,catch,0,,1,,0,0,1.81,,
20,1,True,0,13,1,34,0,,,,catch,0,,1,,0,0,1.65,,
21,1,True,0,14,0,33,1,,,,catch,0,,1,,0,0,2.54,,
22,1,True,0,14,0,38,1,,,,catch,0,,1,,0,0,1.51,,
23,1,True,0,13,1,39,0,,,,catch,0,,1,,0,0,1.52,,
24,1,True,1,14,0,34,0,,,,catch,0,,1,,0,0,1.52,,
25,1,True,0,15,1,27,0,,,,catch,0,,1,,0,0,1.25,,
26,1,True,0,15,0,37,1,,,,catch,0,,1,,0,0,2.02,,
27,1,True,0,15,1,19,0,,,,catch,0,,1,,0,0,2.79,,
28,1,True,0,15,0,34,1,,,,catch,0,,1,,0,0,3.37,,
29,1,True,0,15,1,44,0,,,,catch,0,,1,,0,0,3.28,,
30,1,True,0,15,0,40,1,,,,catch,0,,1,,0,0,2.57,,
31,2,True,0,15,1,32,0,,,,catch,0,,1,,0,0,2.89,,
32,2,True,1,15,0,37,0,,,,catch,0,,1,,0,0,1.31,,
33,2,True,0,15,0,40,1,,,,catch,0,,1,,0,0,1.32,,
34,2,True,1,15,0,46,0,,,,catch,0,,1,,0,0,2.64,,
35,2,True,1,15,1,43,1,,,,catch,0,,1,,0,0,2.28,,
36,2,True,0,15,0,40,1,,,,catch,0,,1,,0,0,2.22,,
37,2,True,1,14,1,41,1,,,,catch,0,,1,,0,0,2.16,,
38,2,True,1,14,1,42,1,,,,catch,0,,1,,0,0,1.81,,
39,2,True,1,13,1,50,1,,,,catch,0,,1,,0,0,2.21,,
40,2,True,0,13,0,49,1,,,,catch,0,,1,,0,0,2.29,,
41,2,True,1,12,0,10,0,,,,catch,0,,1,,0,0,2.11,,
42,2,True,1,13,1,47,1,,,,catch,0,,1,,0,0,1.52,,
43,2,True,0,13,1,18,0,,,,catch,0,,1,,0,0,2.45,,
44,2,True,1,14,0,22,0,,,,catch,0,,1,,0,0,2.03,,
45,2,True,1,15,1,41,1,,,,catch,0,,1,,0,0,1.84,,
46,2,True,1,15,1,42,1,,,,catch,0,,1,,0,0,2.29,,
47,2,True,0,14,0,31,1,,,,catch,0,,1,,0,0,2.41,,
48,2,True,0,14,1,31,0,,,,catch,0,,1,,0,0,1.55,,
49,2,True,0,15,0,33,1,,,,catch,0,,1,,0,0,2.04,,
50,2,True,0,15,1,28,0,,,,catch,0,,1,,0,0,1.97,,
51,2,True,0,15,0,17,1,,,,catch,0,,1,,0,0,1.39,,
52,2,True,0,15,0,44,1,,,,catch,0,,1,,0,0,3.09,,
53,2,True,0,14,0,48,1,,,,catch,0,,1,,0,0,3.18,,
54,2,True,1,14,1,14,1,,,,catch,0,,1,,0,0,1.16,,
55,2,True,1,13,0,41,0,,,,catch,0,,1,,0,0,1.49,,
56,2,True,1,14,1,33,1,,,,catch,0,,1,,0,0,1.98,,
57,2,True,1,14,1,47,1,,,,catch,0,,1,,0,0,2.4,,
58,2,True,1,13,0,25,0,,,,catch,0,,1,,0,0,1.6,,
59,2,True,1,14,1,33,1,,,,catch,0,,1,,0,0,1.96,,
60,2,True,0,14,1,44,0,,,,catch,0,,1,,0,0,2.05,,
61,3,False,1,15,1,25,1,1,32,1,forceblk4,1,1,0,1,1,0,16.85,18.66,19.67
62,3,False,0,15,0,22,1,1,20,0,forceblk4,2,2,0,0,1,0,3.99,3.69,4.7
63,3,False,1,15,1,22,1,1,44,1,forceblk4,1,1,0,1,1,0,2.23,3.45,4.45
64,3,False,1,15,1,10,1,0,33,0,forceblk4,2,2,0,1,1,0,2.45,3.06,4.07
65,3,False,1,15,1,38,1,1,50,1,forceblk4,1,1,0,1,1,0,4.97,3.98,4.99
66,3,False,0,15,0,28,1,0,24,1,forceblk4,1,1,0,0,1,0,3.34,4.88,5.89
