trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,5,0,,,,catch,0,,1,,0,0,4.64,,
2,1,True,1,15,1,15,1,,,,catch,0,,1,,0,0,2.01,,
3,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,2.52,,
4,1,True,1,14,1,11,1,,,,catch,0,,1,,0,0,1.88,,
5,1,True,0,14,0,13,1,,,,catch,0,,1,,0,0,2.31,,
6,1,True,0,13,0,14,1,,,,catch,0,,1,,0,0,3.21,,
7,1,True,0,13,0,18,1,,,,catch,0,,1,,0,0,4.29,,
8,1,True,0,12,0,17,1,,,,catch,0,,1,,0,0,2.92,,
9,1,True,0,12,0,15,1,,,,catch,0,,1,,0,0,1.68,,
10,1,True,1,11,0,12,0,,,,catch,0,,1,,0,0,1.97,,
11,1,True,1,12,1,29,1,,,,catch,0,,1,,0,0,3.16,,
12,1,True,1,12,1,25,1,,,,catch,0,,1,,0,0,2.33,,
13,1,True,0,11,1,14,0,,,,catch,0,,1,,0,0,1.85,,
14,1,True,0,12,0,18,1,,,,catch,0,,1,,0,0,2.23,,
15,1,True,0,12,0,7,1,,,,catch,0,,1,,0,0,2.36,,
16,1,True,0,11,1,3,0,,,,catch,0,,1,,0,0,3.31,,
17,1,True,1,12,1,17,1,,,,catch,0,,1,,0,0,3.42,,
18,1,True,0,12,0,17,1,,,,catch,0,,1,,0,0,3.17,,
19,1,True,0,11,0,17,1,,,,catch,0,,1,,0,0,2.22,,
20,1,True,0,11,0,6,1,,,,catch,0,,1,,0,0,2.77,,
21,1,True,1,10,1,27,1,,,,catch,0,,1,,0,0,2.31,,
22,1,True,0,10,0,2,1,,,,catch,0,,1,,0,0,2.53,,
23,1,True,1,9,1,18,1,,,,catch,0,,1,,0,0,3.36,,
24,1,True,1,9,1,34,1,,,,catch,0,,1,,0,0,2.08,,
25,1,True,1,8,1,39,1,,,,catch,0,,1,,0,0,6.13,,
26,1,True,0,8,1,12,0,,,,catch,0,,1,,0,0,2.34,,
27,1,True,1,9,1,37,1,,,,catch,0,,1,,0,0,2.22,,
28,1,True,1,9,1,22,1,,,,catch,0,,1,,0,0,2.17,,
29,1,True,1,8,1,28,1,,,,catch,0,,1,,0,0,3.63,,
30,1,True,1,8,1,29,1,,,,catch,0,,1,,0,0,3.31,,
31,2,True,0,7,1,1,0,,,,catch,0,,1,,0,0,4.31,,
32,2,True,0,8,0,9,1,,,,catch,0,,1,,0,0,1.91,,
33,2,True,1,8,1,8,1,,,,catch,0,,1,,0,0,1.87,,
34,2,True,0,7,0,15,1,,,,catch,0,,1,,0,0,1.32,,
35,2,True,1,7,1,27,1,,,,catch,0,,1,,0,0,2.59,,
36,2,True,0,6,0,3,1,,,,catch,0,,1,,0,0,2.8,,
37,2,True,0,6,1,20,0,,,,catch,0,,1,,0,0,2.23,,
38,2,True,1,7,1,5,1,,,,catch,0,,1,,0,0,2.28,,
39,2,True,1,7,1,5,1,,,,catch,0,,1,,0,0,3.78,,
40,2,True,1,6,1,20,1,,,,catch,0,,1,,0,0,2.79,,
41,2,True,1,6,1,12,1,,,,catch,0,,1,,0,0,3.48,,
42,2,True,1,5,1,13,1,,,,catch,0,,1,,0,0,3.27,,
43,2,True,1,5,1,7,1,,,,catch,0,,1,,0,0,3.96,,
44,2,True,1,4,1,13,1,,,,catch,0,,1,,0,0,1.82,,
45,2,True,0,4,0,5,1,,,,catch,0,,1,,0,0,3.32,,
46,2,True,0,3,1,6,0,,,,catch,0,,1,,0,0,3.16,,
47,2,True,1,4,0,17,0,,,,catch,0,,1,,0,0,2.57,,
48,2,True,0,5,1,13,0,,,,catch,0,,1,,0,0,2.42,,
49,2,True,0,6,0,6,1,,,,catch,0,,1,,0,0,2.78,,
50,2,True,0,6,0,2,1,,,,catch,0,,1,,0,0,2.64,,
51,2,True,1,5,1,17,1,,,,catch,0,,1,,0,0,2.32,,
52,2,True,0,5,0,29,1,,,,catch,0,,1,,0,0,3.16,,
53,2,True,1,4,1,20,1,,,,catch,0,,1,,0,0,2.59,,
54,2,True,1,4,1,10,1,,,,catch,0,,1,,0,0,1.87,,
55,2,True,1,3,1,28,1,,,,catch,0,,1,,0,0,2.03,,
56,2,True,1,3,1,30,1,,,,catch,0,,1,,0,0,1.89,,
57,2,True,0,2,1,20,0,,,,catch,0,,1,,0,0,2.36,,
58,2,True,0,3,0,18,1,,,,catch,0,,1,,0,0,2.06,,
59,2,True,1,3,1,16,1,,,,catch,0,,1,,0,0,2.7,,
60,2,True,0,2,0,12,1,,,,catch,0,,1,,0,0,4.63,,
61,3,False,0,2,0,6,1,0,1,1,forceblk4,1,1,0,1,0,0,3.28,7.53,8.53
62,3,False,0,2,1,6,0,1,12,0,forceblk4,2,2,0,1,0,0,3.0,2.9,3.91
63,3,False,0,2,1,6,0,1,10,0,forceblk4,1,1,0,1,0,0,2.01,4.77,5.78
64,3,False,1,2,1,18,1,1,7,1,forceblk4,2,2,0,0,0,0,1.8,2.68,3.69
65,3,False,1,2,0,12,0,0,3,0,forceblk4,2,2,0,1,1,0,2.74,4.45,5.45
66,3,False,1,2,1,3,1,1,6,1,forceblk4,1,1,0,1,1,0,2.46,1.69,2.69
67,3,False,1,2,0,8,0,1,5,1,forceblk4,2,2,0,1,1,0,1.58,3.64,4.64
68,3,False,1,2,1,9,1,1,12,1,forceblk4,1,1,0,1,1,0,1.26,3.34,4.35
69,3,False,0,2,1,10,0,0,4,1,forceblk4,2,2,0,0,1,0,2.19,4.93,5.93
70,3,False,1,2,1,13,1,1,17,1,forceblk4,1,1,0,1,1,0,2.15,2.73,3.74
71,3,False,1,2,1,12,1,1,16,1,forceblk4,2,2,0,1,1,0,1.79,2.33,3.33
72,3,False,0,2,1,19,0,1,2,0,forceblk4,1,1,0,0,1,0,1.67,3.89,4.89
73,3,False,0,2,0,9,1,0,16,1,forceblk4,1,1,0,0,1,0,2.32,2.25,3.26
74,3,False,0,2,0,1,1,0,11,1,forceblk4,2,2,0,0,1,0,2.38,1.38,2.39
75,3,False,1,2,1,12,1,1,1,1,forceblk4,1,1,0,0,0,0,1.29,2.75,3.75
76,3,False,0,2,1,3,0,0,8,1,forceblk4,2,2,0,0,1,0,3.13,1.48,2.48
77,3,False,0,2,1,10,0,1,15,0,forceblk4,1,1,0,1,0,0,1.73,5.63,6.64
78,3,False,1,2,0,9,0,1,13,1,forceblk4,2,2,0,1,1,0,1.58,1.55,2.56
79,3,False,1,2,0,14,0,0,15,0,forceblk4,1,1,0,0,0,0,3.47,5.68,6.68
80,3,False,0,2,0,13,1,0,24,1,forceblk4,2,2,0,0,1,0,1.84,2.43,3.43
81,3,False,0,2,0,9,1,1,3,0,forceblk4,1,1,0,1,0,0,1.8,2.33,3.33
82,3,False,0,2,1,16,0,0,6,1,forceblk4,2,2,0,0,1,0,1.73,3.11,4.11
83,3,False,0,2,0,19,1,0,37,1,forceblk4,2,2,0,0,1,0,1.55,1.71,2.72
84,3,False,1,2,1,11,1,1,14,1,forceblk4,1,1,0,1,1,0,1.88,2.8,3.8
85,3,False,0,2,1,12,0,0,19,1,forceblk4,2,2,0,0,1,0,1.25,4.03,5.04
86,3,False,0,2,1,11,0,1,11,0,forceblk4,1,1,0,0,1,0,1.96,2.49,3.5
87,3,False,1,2,0,19,0,0,3,0,forceblk4,1,1,0,1,1,0,1.54,1.87,2.87
88,3,False,1,2,0,14,0,1,19,1,forceblk4,2,2,0,1,1,0,1.25,2.26,3.26
89,3,False,0,2,0,23,1,0,41,1,forceblk4,2,2,0,0,1,0,2.05,1.84,2.84
90,3,False,0,2,0,30,1,0,31,1,forceblk4,1,1,0,0,1,0,2.77,1.62,2.63
91,3,False,1,2,0,20,0,1,3,1,forceblk4,2,2,0,1,1,0,2.15,3.65,4.65
92,3,False,1,2,0,19,0,0,1,0,forceblk4,1,1,0,1,1,0,2.53,3.0,4.0
93,3,False,0,2,0,20,1,0,36,1,forceblk4,2,2,0,0,1,0,2.36,1.44,2.44
94,3,False,1,2,1,13,1,1,16,1,forceblk4,1,1,0,1,1,0,1.13,3.16,4.16
95,3,False,1,2,1,21,1,1,23,1,forceblk4,1,1,0,1,1,0,1.52,1.44,2.45
96,3,False,1,2,0,17,0,1,7,1,forceblk4,2,2,0,1,1,0,1.92,4.69,5.69
97,3,False,1,2,1,20,1,1,44,1,forceblk4,2,2,0,1,1,0,1.38,2.3,3.31
98,3,False,0,2,1,14,0,1,18,0,forceblk4,1,1,0,1,0,0,2.11,1.34,2.34
99,3,False,0,2,1,21,0,1,3,0,forceblk4,1,1,0,0,1,0,1.91,4.69,5.69
100,3,False,0,2,0,12,1,0,29,1,forceblk4,2,2,0,0,1,0,1.25,2.31,3.32
101,3,False,1,2,1,17,1,1,22,1,forceblk4,1,1,0,1,1,0,2.54,2.07,3.07
102,3,False,0,2,1,20,0,0,8,1,forceblk4,2,2,0,0,1,0,2.46,2.84,3.85
103,3,False,1,2,1,25,1,1,28,1,forceblk4,1,1,0,1,1,0,2.51,1.21,2.22
104,3,False,0,2,1,25,0,0,6,1,forceblk4,2,2,0,0,1,0,1.87,2.22,3.22
105,3,False,1,2,1,19,1,1,22,1,forceblk4,1,1,0,1,1,0,1.71,1.91,2.91
106,3,False,1,2,1,19,1,1,22,1,forceblk4,2,2,0,1,1,0,1.38,1.58,2.59
107,3,False,0,2,1,21,0,1,25,0,forceblk4,1,1,0,1,0,0,1.07,1.68,2.68
