trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,28,1,,,,catch,0,,1,,0,0,1.52,,
2,1,True,0,15,0,50,1,,,,catch,0,,1,,0,0,1.28,,
3,1,True,1,15,0,35,0,,,,catch,0,,1,,0,0,1.83,,
4,1,True,1,15,1,50,1,,,,catch,0,,1,,0,0,1.35,,
5,1,True,1,15,0,41,0,,,,catch,0,,1,,0,0,1.24,,
6,1,True,0,15,0,50,1,,,,catch,0,,1,,0,0,1.14,,
7,1,True,0,15,0,50,1,,,,catch,0,,1,,0,0,1.17,,
8,1,True,0,14,0,50,1,,,,catch,0,,1,,0,0,1.13,,
9,1,True,0,14,0,50,1,,,,catch,0,,1,,0,0,1.17,,
10,1,True,1,13,1,29,1,,,,catch,0,,1,,0,0,1.2,,
11,1,True,0,13,0,50,1,,,,catch,0,,1,,0,0,1.5,,
12,1,True,1,12,0,35,0,,,,catch,0,,1,,0,0,1.23,,
13,1,True,1,13,1,50,1,,,,catch,0,,1,,0,0,1.36,,
14,1,True,0,13,0,38,1,,,,catch,0,,1,,0,0,1.23,,
15,1,True,0,12,0,50,1,,,,catch,0,,1,,0,0,1.27,,
16,1,True,0,12,0,34,1,,,,catch,0,,1,,0,0,1.0,,
17,1,True,1,11,1,34,1,,,,catch,0,,1,,0,0,1.53,,
18,1,True,1,11,1,40,1,,,,catch,0,,1,,0,0,1.53,,
19,1,True,0,10,1,43,0,,,,catch,0,,1,,0,0,1.1,,
20,1,True,1,11,1,50,1,,,,catch,0,,1,,0,0,1.05,,
21,1,True,1,11,1,50,1,,,,catch,0,,1,,0,0,1.03,,
22,1,True,0,10,0,28,1,,,,catch,0,,1,,0,0,1.39,,
23,1,True,1,10,1,38,1,,,,catch,0,,1,,0,0,1.06,,
24,1,True,1,9,1,50,1,,,,catch,0,,1,,0,0,1.08,,
25,1,True,1,9,1,29,1,,,,catch,0,,1,,0,0,0.94,,
26,1,True,0,8,0,23,1,,,,catch,0,,1,,0,0,1.11,,
27,1,True,0,8,0,29,1,,,,catch,0,,1,,0,0,1.31,,
28,1,True,1,7,1,25,1,,,,catch,0,,1,,0,0,0.9,,
29,1,True,1,7,1,43,1,,,,catch,0,,1,,0,0,1.06,,
30,1,True,0,6,0,26,1,,,,catch,0,,1,,0,0,1.36,,
