trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,50,1,,,,catch,0,,1,,0,0,37.76,,
2,1,True,1,15,0,50,0,,,,catch,0,,1,,0,0,14.24,,
3,1,True,1,15,0,44,0,,,,catch,0,,1,,0,0,27.83,,
4,1,True,0,15,1,4,0,,,,catch,0,,1,,0,0,9.57,,
5,1,True,0,15,0,22,1,,,,catch,0,,1,,0,0,10.9,,
6,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,8.21,,
7,1,True,0,14,0,6,1,,,,catch,0,,1,,0,0,9.28,,
8,1,True,0,14,0,22,1,,,,catch,0,,1,,0,0,6.35,,
9,1,True,1,13,1,12,1,,,,catch,0,,1,,0,0,3.9,,
10,1,True,0,13,1,24,0,,,,catch,0,,1,,0,0,5.12,,
11,1,True,1,14,1,12,1,,,,catch,0,,1,,0,0,5.69,,
12,1,True,1,14,1,20,1,,,,catch,0,,1,,0,0,5.6,,
13,1,True,1,13,1,16,1,,,,catch,0,,1,,0,0,3.74,,
14,1,True,1,13,1,7,1,,,,catch,0,,1,,0,0,3.77,,
15,1,True,0,12,1,5,0,,,,catch,0,,1,,0,0,4.18,,
16,1,True,0,13,0,17,1,,,,catch,0,,1,,0,0,4.47,,
17,1,True,1,13,1,17,1,,,,catch,0,,1,,0,0,4.21,,
18,1,True,1,12,1,27,1,,,,catch,0,,1,,0,0,4.71,,
19,1,True,0,12,0,30,1,,,,catch,0,,1,,0,0,4.26,,
20,1,True,1,11,1,6,1,,,,catch,0,,1,,0,0,3.87,,
21,1,True,1,11,1,9,1,,,,catch,0,,1,,0,0,3.42,,
22,1,True,0,10,0,10,1,,,,catch,0,,1,,0,0,4.15,,
23,1,True,0,10,0,8,1,,,,catch,0,,1,,0,0,3.63,,
24,1,True,1,9,0,7,0,,,,catch,0,,1,,0,0,2.71,,
25,1,True,1,10,1,4,1,,,,catch,0,,1,,0,0,2.52,,
26,1,True,1,10,0,6,0,,,,catch,0,,1,,0,0,3.39,,
27,1,True,1,11,1,3,1,,,,catch,0,,1,,0,0,2.55,,
28,1,True,0,11,0,29,1,,,,catch,0,,1,,0,0,3.42,,
29,1,True,0,10,1,15,0,,,,catch,0,,1,,0,0,2.87,,
30,1,True,0,11,1,2,0,,,,catch,0,,1,,0,0,3.07,,
31,2,True,1,12,0,21,0,,,,catch,0,,1,,0,0,2.22,,
32,2,True,1,13,1,32,1,,,,catch,0,,1,,0,0,2.93,,
33,2,True,0,13,0,35,1,,,,catch,0,,1,,0,0,2.47,,
34,2,True,1,12,1,24,1,,,,catch,0,,1,,0,0,2.42,,
35,2,True,0,12,0,44,1,,,,catch,0,,1,,0,0,2.09,,
36,2,True,1,11,1,39,1,,,,catch,0,,1,,0,0,2.47,,
37,2,True,0,11,0,44,1,,,,catch,0,,1,,0,0,2.54,,
38,2,True,1,10,1,8,1,,,,catch,0,,1,,0,0,2.13,,
39,2,True,1,10,0,41,0,,,,catch,0,,1,,0,0,2.86,,
40,2,True,0,11,0,35,1,,,,catch,0,,1,,0,0,2.25,,
41,2,True,0,11,0,29,1,,,,catch,0,,1,,0,0,3.04,,
42,2,True,0,10,0,28,1,,,,catch,0,,1,,0,0,2.55,,
43,2,True,1,10,1,38,1,,,,catch,0,,1,,0,0,2.05,,
44,2,True,1,9,0,39,0,,,,catch,0,,1,,0,0,2.17,,
45,2,True,1,10,0,42,0,,,,catch,0,,1,,0,0,2.61,,
46,2,True,0,11,0,33,1,,,,catch,0,,1,,0,0,2.29,,
47,2,True,1,11,0,7,0,,,,catch,0,,1,,0,0,2.02,,
48,2,True,1,12,0,11,0,,,,catch,0,,1,,0,0,2.57,,
49,2,True,1,13,1,42,1,,,,catch,0,,1,,0,0,1.95,,
50,2,True,0,13,0,40,1,,,,catch,0,,1,,0,0,2.25,,
51,2,True,1,12,1,13,1,,,,catch,0,,1,,0,0,1.86,,
52,2,True,1,12,1,26,1,,,,catch,0,,1,,0,0,2.05,,
53,2,True,1,11,0,35,0,,,,catch,0,,1,,0,0,1.84,,
54,2,True,1,12,0,7,0,,,,catch,0,,1,,0,0,2.27,,
55,2,True,1,13,1,33,1,,,,catch,0,,1,,0,0,1.62,,
56,2,True,1,13,1,12,1,,,,catch,0,,1,,0,0,2.02,,
57,2,True,1,12,0,37,0,,,,catch,0,,1,,0,0,2.06,,
58,2,True,0,13,0,12,1,,,,catch,0,,1,,0,0,1.7,,
59,2,True,1,13,0,33,0,,,,catch,0,,1,,0,0,2.12,,
60,2,True,0,14,0,29,1,,,,catch,0,,1,,0,0,1.72,,
61,3,False,0,14,1,19,0,0,32,1,forceblk4,1,1,0,0,1,0,5.22,8.8,9.81
62,3,False,1,14,0,23,0,0,43,0,forceblk4,2,2,0,0,0,0,3.07,3.94,4.95
63,3,False,0,14,0,26,1,0,45,1,forceblk4,1,1,0,0,1,0,3.88,3.35,4.35
64,3,False,1,14,1,18,1,1,43,1,forceblk4,1,1,0,1,1,0,2.57,2.95,3.95
65,3,False,0,14,0,33,1,1,21,0,forceblk4,2,2,0,0,1,0,2.58,2.77,3.78
66,3,False,1,14,0,32,0,1,47,1,forceblk4,1,1,0,1,1,0,2.64,2.72,3.72
67,3,False,0,14,0,34,1,0,34,1,forceblk4,2,2,0,0,1,0,3.01,3.61,4.61
68,3,False,1,14,0,15,0,0,23,0,forceblk4,2,2,0,0,0,0,3.33,2.6,3.61
69,3,False,0,14,1,26,0,0,49,1,forceblk4,1,1,0,0,1,0,3.06,2.83,3.84
70,3,False,0,14,0,18,1,1,36,0,forceblk4,2,2,0,1,0,0,3.09,3.5,4.5
71,3,False,1,14,0,13,0,0,50,0,forceblk4,1,1,0,0,0,0,1.91,2.74,3.75
72,3,False,1,14,1,17,1,1,28,1,forceblk4,2,2,0,1,1,0,4.28,1.78,2.79
73,3,False,1,14,1,17,1,1,24,1,forceblk4,1,1,0,1,1,0,2.66,8.06,9.07
74,3,False,0,14,0,21,1,0,35,1,forceblk4,2,2,0,0,1,0,2.08,1.84,2.85
75,3,False,0,14,0,10,1,0,30,1,forceblk4,1,1,0,0,1,0,2.64,2.03,3.04
76,3,False,0,14,0,19,1,0,27,1,forceblk4,2,2,0,0,1,0,2.02,1.73,2.73
77,3,False,0,14,0,14,1,1,34,0,forceblk4,1,1,0,1,0,0,2.53,2.74,3.75
78,3,False,0,14,0,13,1,0,30,1,forceblk4,2,2,0,0,1,0,2.41,1.96,2.96
79,3,False,0,14,0,7,1,0,24,1,forceblk4,1,1,0,0,1,0,2.38,2.56,3.57
80,3,False,1,14,1,25,1,1,38,1,forceblk4,1,1,0,1,1,0,2.2,2.29,3.3
81,3,False,0,14,0,3,1,1,26,0,forceblk4,2,2,0,1,0,0,2.23,2.71,3.71
82,3,False,0,14,0,10,1,1,20,0,forceblk4,1,1,0,1,0,0,2.67,3.14,4.15
83,3,False,0,14,1,6,0,1,23,0,forceblk4,2,2,0,1,0,0,1.98,3.44,4.44
84,3,False,0,14,0,2,1,0,26,1,forceblk4,1,1,0,0,1,0,2.0,3.36,4.37
85,3,False,1,14,1,13,1,1,32,1,forceblk4,2,2,0,1,1,0,1.75,3.09,4.1
86,3,False,1,14,0,17,0,1,30,1,forceblk4,2,2,0,1,1,0,2.46,2.22,3.22
87,3,False,0,14,1,13,0,1,28,0,forceblk4,1,1,0,0,1,0,2.38,2.43,3.44
88,3,False,0,14,0,5,1,0,41,1,forceblk4,2,2,0,0,1,0,2.16,2.42,3.43
89,3,False,1,14,1,40,1,1,50,1,forceblk4,2,2,0,1,1,0,2.64,3.1,4.11
90,3,False,0,14,0,23,1,0,46,1,forceblk4,1,1,0,0,1,0,2.41,2.44,3.44
91,3,False,1,14,1,42,1,1,50,1,forceblk4,1,1,0,1,1,0,2.65,2.07,3.07
92,3,False,0,14,0,39,1,0,50,1,forceblk4,2,2,0,0,1,0,2.32,3.41,4.42
93,3,False,0,14,0,44,1,0,50,1,forceblk4,1,1,0,0,1,0,2.23,2.04,3.04
94,3,False,0,14,0,35,1,0,50,1,forceblk4,2,2,0,0,1,0,2.21,2.22,3.22
95,3,False,0,14,0,45,1,0,50,1,forceblk4,2,2,0,0,1,0,2.0,2.45,3.45
96,3,False,0,14,1,43,0,0,25,1,forceblk4,1,1,0,0,1,0,2.12,3.24,4.24
97,3,False,0,14,0,36,1,0,50,1,forceblk4,1,1,0,0,1,0,2.66,2.01,3.02
98,3,False,0,14,0,16,1,0,50,1,forceblk4,1,1,0,0,1,0,2.01,2.59,3.59
99,3,False,0,14,1,18,0,1,50,0,forceblk4,2,2,0,1,0,0,2.85,3.08,4.08
100,3,False,1,14,1,20,1,1,50,1,forceblk4,1,1,0,1,1,0,2.09,2.7,3.7
101,3,False,1,14,1,19,1,1,50,1,forceblk4,2,2,0,1,1,0,1.79,5.1,6.11
102,3,False,1,14,1,33,1,1,50,1,forceblk4,2,2,0,1,1,0,1.74,2.05,3.06
103,3,False,1,14,1,15,1,1,50,1,forceblk4,1,1,0,1,1,0,1.89,1.91,2.91
104,3,False,1,14,1,14,1,1,50,1,forceblk4,1,1,0,1,1,0,1.86,2.04,3.04
105,3,False,1,14,0,11,0,1,34,1,forceblk4,2,2,0,1,1,0,1.83,1.8,2.8
106,3,False,0,14,0,42,1,0,50,1,forceblk4,2,2,0,0,1,0,2.53,2.25,3.25
107,3,False,0,14,0,12,1,0,50,1,forceblk4,2,2,0,0,1,0,1.88,2.31,3.32
108,3,False,1,14,0,13,0,0,46,0,forceblk4,1,1,0,0,0,0,1.78,2.44,3.44
109,3,False,0,14,0,9,1,0,50,1,forceblk4,2,2,0,0,1,0,1.56,2.52,3.53
110,3,False,1,14,1,38,1,1,47,1,forceblk4,1,1,0,1,1,0,2.64,2.55,3.56
111,3,False,0,14,1,39,0,0,50,1,forceblk4,2,2,0,0,1,0,2.02,2.29,3.3
112,3,False,0,14,0,31,1,1,32,0,forceblk4,1,1,0,1,0,0,2.06,3.14,4.14
113,3,False,0,14,0,16,1,1,50,0,forceblk4,2,2,0,1,0,0,2.12,2.54,3.54
114,3,False,0,14,0,8,1,1,22,0,forceblk4,1,1,0,1,0,0,1.88,2.08,3.08
115,3,False,1,14,1,15,1,1,50,1,forceblk4,2,2,0,1,1,0,2.05,2.26,3.26
116,3,False,0,14,0,33,1,0,50,1,forceblk4,1,1,0,0,1,0,2.08,2.16,3.16
117,3,False,1,14,1,6,1,1,44,1,forceblk4,1,1,0,1,1,0,3.23,2.26,3.26
118,3,False,0,14,0,6,1,1,15,0,forceblk4,2,2,0,1,0,0,1.72,3.39,4.4
119,3,False,1,14,1,15,1,0,12,0,forceblk4,2,2,0,0,0,0,1.61,2.07,3.07
120,3,False,1,14,1,12,1,1,36,1,forceblk4,1,1,0,1,1,0,1.74,2.3,3.31
121,4,False,1,14,0,42,0,0,42,0,change,1,1,0,0,0,0,5.5,3.63,6.13
122,4,False,1,14,1,19,1,1,50,1,force,2,2,0,1,1,0,4.57,2.54,3.54
123,4,False,1,14,1,10,1,1,50,1,change,2,2,0,1,1,0,2.35,2.22,4.73
124,4,False,1,14,1,11,1,0,19,0,force,1,1,0,0,0,0,1.95,3.49,4.5
125,4,False,1,14,0,9,0,1,50,1,force,2,2,0,1,1,0,1.77,2.47,3.48
126,4,False,0,14,0,21,1,0,42,1,change,1,1,0,0,1,0,2.34,2.52,5.03
127,4,False,1,14,0,11,0,0,28,0,force,1,1,0,1,1,0,2.01,2.49,3.5
128,4,False,1,14,0,7,0,1,42,1,change,1,1,0,1,1,0,1.76,2.3,4.8
129,4,False,0,14,0,45,1,0,50,1,change,2,2,0,0,1,0,2.07,2.09,4.6
130,4,False,0,14,0,13,1,0,50,1,force,2,2,0,0,1,0,2.89,2.24,3.24
131,4,False,0,14,0,9,1,0,27,1,change,1,1,0,1,0,0,2.39,3.83,6.33
132,4,False,0,14,0,7,1,0,44,1,force,1,1,0,0,1,0,1.79,2.14,3.15
133,4,False,1,14,1,26,1,1,40,1,change,1,1,0,0,0,0,1.87,3.47,5.97
134,4,False,1,14,1,18,1,1,30,1,change,1,1,0,0,0,0,1.76,2.85,5.36
135,4,False,0,14,0,17,1,0,50,1,force,2,2,0,0,1,0,1.87,2.16,3.16
136,4,False,0,14,0,24,1,0,50,1,change,2,2,0,0,1,0,1.98,1.97,4.48
137,4,False,0,14,0,23,1,0,48,1,change,1,1,0,0,1,0,1.93,2.18,4.69
138,4,False,1,14,1,42,1,1,50,1,force,1,1,0,1,1,0,1.95,1.99,2.99
139,4,False,0,14,1,13,0,1,46,0,force,1,1,0,1,0,0,1.93,2.48,3.49
140,4,False,0,14,0,23,1,1,45,0,change,1,1,0,1,0,0,1.92,2.21,4.71
141,4,False,0,14,0,13,1,0,50,1,change,2,2,0,0,1,0,1.71,2.03,4.53
142,4,False,1,14,1,40,1,1,50,1,force,2,2,0,1,1,0,1.85,1.71,2.72
143,4,False,0,14,0,39,1,0,50,1,change,2,2,0,0,1,0,3.09,2.05,4.56
144,4,False,1,14,0,21,0,0,41,0,force,1,1,0,0,0,0,1.67,1.84,2.85
145,4,False,0,14,0,7,1,0,50,1,change,2,2,0,0,1,0,1.82,1.91,4.41
146,4,False,0,14,0,15,1,0,50,1,change,2,2,0,0,1,0,2.03,1.88,4.39
147,4,False,0,14,0,15,1,1,50,0,force,2,2,0,1,0,0,1.74,1.82,2.82
148,4,False,0,14,0,19,1,0,37,1,change,1,1,0,1,0,0,1.83,2.36,4.87
149,4,False,1,14,0,18,0,1,46,1,change,2,2,0,1,1,0,2.05,2.79,5.3
150,4,False,0,14,1,18,0,1,37,0,force,1,1,0,0,1,0,2.18,2.2,3.21
151,4,False,0,14,0,31,1,0,49,1,change,1,1,0,0,1,0,2.06,2.3,4.82
152,4,False,1,14,1,30,1,1,50,1,change,1,1,0,1,1,0,1.46,2.22,4.73
153,4,False,1,14,1,18,1,0,44,0,force,2,2,0,0,0,0,1.57,3.23,4.24
154,4,False,1,14,1,27,1,1,43,1,change,1,1,0,0,0,0,2.32,5.58,8.09
155,4,False,1,14,0,34,0,1,45,1,change,2,2,0,1,1,0,1.88,2.53,5.04
156,4,False,1,14,1,42,1,1,50,1,force,1,1,0,1,1,0,1.89,2.02,3.03
157,4,False,0,14,0,41,1,0,50,1,change,2,2,0,0,1,0,1.98,2.21,4.71
158,4,False,0,14,0,42,1,0,50,1,change,1,1,0,1,0,0,1.72,1.87,4.38
159,4,False,1,14,0,15,0,1,46,1,change,2,2,0,1,1,0,1.66,2.3,4.8
160,4,False,0,14,0,42,1,0,50,1,change,2,2,0,0,1,0,2.01,2.0,4.51
161,4,False,0,14,0,24,1,0,42,1,change,1,1,0,0,1,0,2.12,1.73,4.24
162,4,False,1,14,0,29,0,0,40,0,change,1,1,0,1,1,0,1.78,1.73,4.24
163,4,False,0,14,1,38,0,0,50,1,change,2,2,0,0,1,0,3.32,1.76,4.26
164,4,False,1,14,0,43,0,1,48,1,change,2,2,0,1,1,0,1.87,2.92,5.42
165,4,False,0,14,0,47,1,0,50,1,change,2,2,0,0,1,0,1.67,2.06,4.57
166,4,False,1,14,1,25,1,1,50,1,change,2,2,0,1,1,0,1.71,2.34,4.85
167,4,False,0,14,0,44,1,0,50,1,change,1,1,0,0,1,0,1.8,1.88,4.39
168,4,False,1,14,1,44,1,1,50,1,change,1,1,0,1,1,0,2.05,2.59,5.1
169,4,False,0,14,0,46,1,0,50,1,change,2,2,0,0,1,0,1.76,2.08,4.59
170,4,False,0,14,0,44,1,0,50,1,change,1,1,0,0,1,0,1.87,2.03,4.55
171,4,False,1,14,0,41,0,0,50,0,force,2,2,0,1,1,0,2.9,2.05,3.06
172,4,False,0,14,0,29,1,0,50,1,force,2,2,0,0,1,0,1.94,1.73,2.73
173,4,False,1,14,1,44,1,0,50,0,change,2,2,0,0,0,0,1.95,2.39,4.89
174,4,False,0,14,0,26,1,1,39,0,change,1,1,0,1,0,0,1.81,3.25,5.76
175,4,False,0,14,0,46,1,0,50,1,change,1,1,0,0,1,0,2.19,1.72,4.23
176,4,False,0,14,0,40,1,0,50,1,change,2,2,0,0,1,0,1.77,1.92,4.43
