trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,8,1,,,,catch,0,,1,,0,0,5.42,,
2,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,10.75,,
3,1,True,0,15,0,2,1,,,,catch,0,,1,,0,0,3.99,,
4,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,3.02,,
5,1,True,1,14,0,4,0,,,,catch,0,,1,,0,0,3.27,,
6,1,True,1,15,0,6,0,,,,catch,0,,1,,0,0,5.87,,
7,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,2.25,,
8,1,True,0,15,1,6,0,,,,catch,0,,1,,0,0,2.49,,
9,1,True,0,15,0,8,1,,,,catch,0,,1,,0,0,2.69,,
10,1,True,0,15,1,9,0,,,,catch,0,,1,,0,0,3.15,,
11,1,True,0,15,0,7,1,,,,catch,0,,1,,0,0,2.69,,
12,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,2.69,,
13,1,True,1,14,1,9,1,,,,catch,0,,1,,0,0,2.89,,
14,1,True,0,14,0,7,1,,,,catch,0,,1,,0,0,3.65,,
15,1,True,0,13,1,7,0,,,,catch,0,,1,,0,0,3.11,,
16,1,True,0,14,1,5,0,,,,catch,0,,1,,0,0,2.93,,
17,1,True,0,15,1,11,0,,,,catch,0,,1,,0,0,3.28,,
18,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,2.39,,
19,1,True,1,15,1,8,1,,,,catch,0,,1,,0,0,2.73,,
20,1,True,1,14,1,9,1,,,,catch,0,,1,,0,0,2.79,,
21,1,True,0,14,1,10,0,,,,catch,0,,1,,0,0,2.54,,
22,1,True,0,15,0,9,1,,,,catch,0,,1,,0,0,2.56,,
23,1,True,1,15,0,9,0,,,,catch,0,,1,,0,0,3.55,,
24,1,True,1,15,1,8,1,,,,catch,0,,1,,0,0,2.84,,
25,1,True,1,15,1,8,1,,,,catch,0,,1,,0,0,2.44,,
26,1,True,0,14,1,7,0,,,,catch,0,,1,,0,0,3.19,,
27,1,True,0,15,1,9,0,,,,catch,0,,1,,0,0,2.61,,
28,1,True,1,15,0,9,0,,,,catch,0,,1,,0,0,6.25,,
29,1,True,1,15,1,12,1,,,,catch,0,,1,,0,0,2.44,,
30,1,True,1,15,1,8,1,,,,catch,0,,1,,0,0,2.27,,
31,2,True,1,14,1,9,1,,,,catch,0,,1,,0,0,4.86,,
