trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,50,1,,,,catch,0,,1,,0,0,21.79,,
2,1,True,0,15,0,34,1,,,,catch,0,,1,,0,0,21.36,,
3,1,True,0,15,0,26,1,,,,catch,0,,1,,0,0,9.3,,
4,1,True,0,14,0,36,1,,,,catch,0,,1,,0,0,5.48,,
5,1,True,1,14,0,21,0,,,,catch,0,,1,,0,0,3.14,,
6,1,True,1,15,0,18,0,,,,catch,0,,1,,0,0,14.07,,
7,1,True,1,15,1,27,1,,,,catch,0,,1,,0,0,2.52,,
8,1,True,1,15,1,18,1,,,,catch,0,,1,,0,0,6.9,,
9,1,True,0,14,1,14,0,,,,catch,0,,1,,0,0,4.81,,
10,1,True,1,15,0,17,0,,,,catch,0,,1,,0,0,2.6,,
11,1,True,1,15,0,26,0,,,,catch,0,,1,,0,0,4.11,,
12,1,True,1,15,1,32,1,,,,catch,0,,1,,0,0,3.97,,
13,1,True,0,15,1,17,0,,,,catch,0,,1,,0,0,7.91,,
14,1,True,1,15,0,8,0,,,,catch,0,,1,,0,0,2.04,,
15,1,True,1,15,0,20,0,,,,catch,0,,1,,0,0,2.3,,
16,1,True,0,15,0,40,1,,,,catch,0,,1,,0,0,2.11,,
17,1,True,0,15,0,38,1,,,,catch,0,,1,,0,0,3.03,,
18,1,True,1,14,0,41,0,,,,catch,0,,1,,0,0,2.93,,
19,1,True,1,15,0,8,0,,,,catch,0,,1,,0,0,4.63,,
20,1,True,0,15,1,19,0,,,,catch,0,,1,,0,0,1.76,,
21,1,True,0,15,1,42,0,,,,catch,0,,1,,0,0,2.03,,
22,1,True,0,15,1,7,0,,,,catch,0,,1,,0,0,1.69,,
23,1,True,1,15,0,4,0,,,,catch,0,,1,,0,0,7.63,,
24,1,True,0,15,0,48,1,,,,catch,0,,1,,0,0,3.69,,
25,1,True,0,15,0,36,1,,,,catch,0,,1,,0,0,6.4,,
26,1,True,1,14,1,28,1,,,,catch,0,,1,,0,0,2.82,,
27,1,True,1,14,1,28,1,,,,catch,0,,1,,0,0,2.99,,
28,1,True,0,13,1,24,0,,,,catch,0,,1,,0,0,2.39,,
29,1,True,0,14,0,14,1,,,,catch,0,,1,,0,0,2.49,,
30,1,True,1,14,0,11,0,,,,catch,0,,1,,0,0,3.96,,
31,2,True,1,15,1,19,1,,,,catch,0,,1,,0,0,2.7,,
32,2,True,0,15,1,22,0,,,,catch,0,,1,,0,0,2.16,,
33,2,True,1,15,0,22,0,,,,catch,0,,1,,0,0,3.72,,
34,2,True,1,15,0,8,0,,,,catch,0,,1,,0,0,2.08,,
35,2,True,1,15,1,12,1,,,,catch,0,,1,,0,0,2.35,,
36,2,True,0,15,1,10,0,,,,catch,0,,1,,0,0,3.02,,
37,2,True,0,15,0,7,1,,,,catch,0,,1,,0,0,1.7,,
38,2,True,0,15,0,10,1,,,,catch,0,,1,,0,0,3.39,,
39,2,True,0,14,0,9,1,,,,catch,0,,1,,0,0,2.75,,
40,2,True,0,14,1,9,0,,,,catch,0,,1,,0,0,2.77,,
41,2,True,1,15,0,6,0,,,,catch,0,,1,,0,0,2.14,,
42,2,True,1,15,0,12,0,,,,catch,0,,1,,0,0,3.3,,
43,2,True,0,15,1,12,0,,,,catch,0,,1,,0,0,2.03,,
44,2,True,0,15,0,10,1,,,,catch,0,,1,,0,0,2.68,,
45,2,True,1,15,1,16,1,,,,catch,0,,1,,0,0,3.59,,
46,2,True,1,14,1,11,1,,,,catch,0,,1,,0,0,2.61,,
47,2,True,1,14,1,10,1,,,,catch,0,,1,,0,0,1.99,,
48,2,True,0,13,1,12,0,,,,catch,0,,1,,0,0,2.59,,
49,2,True,1,14,0,10,0,,,,catch,0,,1,,0,0,2.44,,
50,2,True,1,15,1,12,1,,,,catch,0,,1,,0,0,2.46,,
51,2,True,1,15,1,11,1,,,,catch,0,,1,,0,0,2.47,,
52,2,True,0,14,1,10,0,,,,catch,0,,1,,0,0,2.22,,
53,2,True,1,15,1,8,1,,,,catch,0,,1,,0,0,3.26,,
54,2,True,0,15,1,9,0,,,,catch,0,,1,,0,0,2.73,,
55,2,True,1,15,1,13,1,,,,catch,0,,1,,0,0,2.95,,
56,2,True,1,15,1,12,1,,,,catch,0,,1,,0,0,2.08,,
57,2,True,0,14,1,10,0,,,,catch,0,,1,,0,0,2.68,,
58,2,True,1,15,0,7,0,,,,catch,0,,1,,0,0,2.14,,
59,2,True,1,15,1,8,1,,,,catch,0,,1,,0,0,2.44,,
60,2,True,0,15,1,10,0,,,,catch,0,,1,,0,0,2.28,,
61,3,False,0,15,0,12,1,0,21,1,forceblk4,2,2,0,0,1,0,5.4,14.92,15.93
62,3,False,1,15,1,15,1,1,20,1,forceblk4,2,2,0,1,1,0,3.59,2.86,3.86
63,3,False,1,15,0,15,0,1,12,1,forceblk4,1,1,0,1,1,0,3.42,3.62,4.63
64,3,False,1,15,1,16,1,1,20,1,forceblk4,2,2,0,1,1,0,3.2,2.6,3.61
65,3,False,1,15,1,13,1,0,14,0,forceblk4,1,1,0,0,0,0,3.35,3.5,4.5
66,3,False,0,15,1,13,0,0,28,1,forceblk4,2,2,0,0,1,0,2.62,2.64,3.64
67,3,False,1,15,1,17,1,1,16,1,forceblk4,1,1,0,1,1,0,3.52,4.08,5.09
68,3,False,1,15,0,18,0,0,25,0,forceblk4,2,2,0,0,0,0,4.43,3.2,4.21
69,3,False,0,15,1,17,0,1,19,0,forceblk4,1,1,0,1,0,0,2.25,4.17,5.18
70,3,False,0,15,1,13,0,1,7,0,forceblk4,1,1,0,0,1,0,2.26,3.64,4.64
71,3,False,1,15,0,11,0,1,20,1,forceblk4,2,2,0,1,1,0,2.05,2.37,3.38
72,3,False,1,15,1,13,1,1,14,1,forceblk4,1,1,0,1,1,0,2.78,2.65,3.66
73,3,False,1,15,0,11,0,0,19,0,forceblk4,2,2,0,0,0,0,2.84,2.5,3.5
74,3,False,1,15,1,14,1,1,16,1,forceblk4,2,2,0,1,1,0,2.26,2.24,3.24
75,3,False,0,15,1,9,0,1,10,0,forceblk4,1,1,0,0,1,0,3.25,3.99,5.0
76,3,False,0,15,1,8,0,0,22,1,forceblk4,2,2,0,0,1,0,2.52,3.82,4.82
77,3,False,0,15,0,16,1,0,15,1,forceblk4,1,1,0,0,1,0,2.79,2.63,3.63
78,3,False,0,15,0,9,1,0,10,1,forceblk4,1,1,0,0,1,0,2.52,2.46,3.46
79,3,False,0,15,0,15,1,0,16,1,forceblk4,2,2,0,0,1,0,2.42,2.49,3.5
80,3,False,1,15,1,9,1,1,10,1,forceblk4,2,2,0,1,1,0,2.8,2.04,3.05
