trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,1,0,,,,catch,0,,1,,0,0,48.82,,
2,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,11.33,,
3,1,True,1,15,0,9,0,,,,catch,0,,1,,0,0,12.7,,
4,1,True,1,15,1,11,1,,,,catch,0,,1,,0,0,5.09,,
5,1,True,1,15,1,30,1,,,,catch,0,,1,,0,0,5.48,,
6,1,True,0,14,0,22,1,,,,catch,0,,1,,0,0,6.12,,
7,1,True,0,14,0,31,1,,,,catch,0,,1,,0,0,3.15,,
8,1,True,1,13,1,36,1,,,,catch,0,,1,,0,0,3.62,,
9,1,True,0,13,0,15,1,,,,catch,0,,1,,0,0,13.62,,
10,1,True,1,12,1,36,1,,,,catch,0,,1,,0,0,3.16,,
11,1,True,0,12,0,32,1,,,,catch,0,,1,,0,0,6.25,,
12,1,True,1,11,1,37,1,,,,catch,0,,1,,0,0,3.93,,
13,1,True,0,11,1,9,0,,,,catch,0,,1,,0,0,4.19,,
14,1,True,0,12,0,33,1,,,,catch,0,,1,,0,0,5.34,,
15,1,True,0,12,0,4,1,,,,catch,0,,1,,0,0,5.36,,
16,1,True,1,11,1,42,1,,,,catch,0,,1,,0,0,4.55,,
17,1,True,1,11,1,27,1,,,,catch,0,,1,,0,0,4.91,,
18,1,True,1,10,1,13,1,,,,catch,0,,1,,0,0,3.52,,
19,1,True,1,10,0,18,0,,,,catch,0,,1,,0,0,4.28,,
20,1,True,0,11,1,31,0,,,,catch,0,,1,,0,0,2.94,,
21,1,True,0,12,0,13,1,,,,catch,0,,1,,0,0,2.99,,
22,1,True,0,12,1,7,0,,,,catch,0,,1,,0,0,3.38,,
23,1,True,1,13,1,13,1,,,,catch,0,,1,,0,0,3.04,,
24,1,True,1,13,1,38,1,,,,catch,0,,1,,0,0,3.35,,
25,1,True,0,12,1,12,0,,,,catch,0,,1,,0,0,5.67,,
26,1,True,1,13,1,41,1,,,,catch,0,,1,,0,0,2.46,,
27,1,True,1,13,1,40,1,,,,catch,0,,1,,0,0,3.08,,
28,1,True,1,12,1,13,1,,,,catch,0,,1,,0,0,3.29,,
29,1,True,0,12,1,4,0,,,,catch,0,,1,,0,0,3.55,,
30,1,True,1,13,1,23,1,,,,catch,0,,1,,0,0,2.02,,
31,2,True,0,13,0,7,1,,,,catch,0,,1,,0,0,3.36,,
32,2,True,1,12,1,50,1,,,,catch,0,,1,,0,0,3.8,,
33,2,True,1,12,1,7,1,,,,catch,0,,1,,0,0,2.95,,
34,2,True,0,11,1,12,0,,,,catch,0,,1,,0,0,2.9,,
35,2,True,0,12,0,7,1,,,,catch,0,,1,,0,0,2.78,,
36,2,True,1,12,1,6,1,,,,catch,0,,1,,0,0,2.69,,
37,2,True,0,11,0,14,1,,,,catch,0,,1,,0,0,2.41,,
38,2,True,0,11,0,7,1,,,,catch,0,,1,,0,0,3.06,,
39,2,True,1,10,1,12,1,,,,catch,0,,1,,0,0,2.78,,
40,2,True,1,10,1,20,1,,,,catch,0,,1,,0,0,2.09,,
41,2,True,0,9,0,8,1,,,,catch,0,,1,,0,0,3.16,,
42,2,True,0,9,0,3,1,,,,catch,0,,1,,0,0,3.41,,
43,2,True,1,8,1,25,1,,,,catch,0,,1,,0,0,4.52,,
44,2,True,1,8,1,16,1,,,,catch,0,,1,,0,0,3.05,,
45,2,True,1,7,0,10,0,,,,catch,0,,1,,0,0,3.49,,
46,2,True,0,8,1,31,0,,,,catch,0,,1,,0,0,2.61,,
47,2,True,1,9,1,8,1,,,,catch,0,,1,,0,0,1.79,,
48,2,True,0,9,0,2,1,,,,catch,0,,1,,0,0,4.02,,
