trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,24,0,,,,catch,0,,1,,0,0,41.5,,
2,1,True,1,15,1,9,1,,,,catch,0,,1,,0,0,9.9,,
3,1,True,1,15,1,10,1,,,,catch,0,,1,,0,0,1.61,,
4,1,True,1,14,0,5,0,,,,catch,0,,1,,0,0,1.55,,
5,1,True,0,15,1,10,0,,,,catch,0,,1,,0,0,1.26,,
6,1,True,1,15,1,13,1,,,,catch,0,,1,,0,0,1.23,,
7,1,True,0,15,0,18,1,,,,catch,0,,1,,0,0,1.63,,
8,1,True,1,14,1,17,1,,,,catch,0,,1,,0,0,1.41,,
9,1,True,1,14,1,17,1,,,,catch,0,,1,,0,0,1.61,,
10,1,True,0,13,0,11,1,,,,catch,0,,1,,0,0,1.7,,
11,1,True,1,13,1,10,1,,,,catch,0,,1,,0,0,1.71,,
12,1,True,1,12,1,14,1,,,,catch,0,,1,,0,0,1.51,,
13,1,True,0,12,1,14,0,,,,catch,0,,1,,0,0,1.53,,
14,1,True,0,13,0,12,1,,,,catch,0,,1,,0,0,1.42,,
15,1,True,0,13,0,15,1,,,,catch,0,,1,,0,0,1.36,,
16,1,True,0,12,0,20,1,,,,catch,0,,1,,0,0,1.8,,
17,1,True,1,12,0,24,0,,,,catch,0,,1,,0,0,1.8,,
18,1,True,0,13,1,12,0,,,,catch,0,,1,,0,0,5.71,,
19,1,True,1,14,1,12,1,,,,catch,0,,1,,0,0,1.33,,
20,1,True,1,14,1,14,1,,,,catch,0,,1,,0,0,1.6,,
21,1,True,1,13,0,15,0,,,,catch,0,,1,,0,0,1.67,,
22,1,True,1,14,1,12,1,,,,catch,0,,1,,0,0,1.61,,
23,1,True,0,14,0,11,1,,,,catch,0,,1,,0,0,1.4,,
24,1,True,1,13,1,17,1,,,,catch,0,,1,,0,0,1.54,,
25,1,True,0,13,0,22,1,,,,catch,0,,1,,0,0,1.6,,
26,1,True,0,12,0,36,1,,,,catch,0,,1,,0,0,2.38,,
27,1,True,1,12,1,22,1,,,,catch,0,,1,,0,0,1.67,,
28,1,True,1,11,0,26,0,,,,catch,0,,1,,0,0,1.36,,
29,1,True,0,12,0,20,1,,,,catch,0,,1,,0,0,1.52,,
30,1,True,0,12,0,17,1,,,,catch,0,,1,,0,0,1.31,,
31,2,True,0,11,0,9,1,,,,catch,0,,1,,0,0,1.5,,
32,2,True,1,11,0,14,0,,,,catch,0,,1,,0,0,1.31,,
33,2,True,1,12,1,13,1,,,,catch,0,,1,,0,0,1.19,,
34,2,True,1,12,0,13,0,,,,catch,0,,1,,0,0,1.72,,
35,2,True,1,13,1,15,1,,,,catch,0,,1,,0,0,1.56,,
36,2,True,1,13,0,13,0,,,,catch,0,,1,,0,0,2.21,,
37,2,True,1,14,1,11,1,,,,catch,0,,1,,0,0,1.64,,
38,2,True,1,14,1,14,1,,,,catch,0,,1,,0,0,1.14,,
39,2,True,0,13,0,20,1,,,,catch,0,,1,,0,0,1.2,,
40,2,True,0,13,0,19,1,,,,catch,0,,1,,0,0,1.48,,
41,2,True,1,12,0,14,0,,,,catch,0,,1,,0,0,1.46,,
42,2,True,0,13,0,16,1,,,,catch,0,,1,,0,0,1.2,,
43,2,True,1,13,1,15,1,,,,catch,0,,1,,0,0,1.18,,
44,2,True,0,12,0,17,1,,,,catch,0,,1,,0,0,1.03,,
45,2,True,0,12,0,18,1,,,,catch,0,,1,,0,0,1.12,,
