trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,defaultAdvisor,advisorChanged,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,20,0,,,,catch,0,,1,,0,0,3.39,,
2,1,True,1,15,0,1,0,,,,catch,0,,1,,0,0,7.37,,
3,1,True,0,15,0,14,1,,,,catch,0,,1,,0,0,2.2,,
4,1,True,0,15,0,15,1,,,,catch,0,,1,,0,0,1.85,,
5,1,True,0,14,0,32,1,,,,catch,0,,1,,0,0,2.52,,
6,1,True,0,14,0,6,1,,,,catch,0,,1,,0,0,2.02,,
7,1,True,1,13,1,8,1,,,,catch,0,,1,,0,0,2.37,,
8,1,True,1,13,0,15,0,,,,catch,0,,1,,0,0,3.25,,
9,1,True,0,14,0,19,1,,,,catch,0,,1,,0,0,2.4,,
10,1,True,0,14,0,4,1,,,,catch,0,,1,,0,0,2.2,,
11,1,True,0,13,0,27,1,,,,catch,0,,1,,0,0,1.87,,
12,1,True,1,13,0,1,0,,,,catch,0,,1,,0,0,4.34,,
13,1,True,0,14,0,9,1,,,,catch,0,,1,,0,0,2.2,,
14,1,True,1,14,0,3,0,,,,catch,0,,1,,0,0,2.6,,
15,1,True,0,15,0,12,1,,,,catch,0,,1,,0,0,2.65,,
16,1,True,0,15,0,19,1,,,,catch,0,,1,,0,0,1.73,,
17,1,True,1,14,0,10,0,,,,catch,0,,1,,0,0,4.56,,
18,1,True,0,15,0,15,1,,,,catch,0,,1,,0,0,2.69,,
19,1,True,1,15,0,14,0,,,,catch,0,,1,,0,0,2.02,,
20,1,True,1,15,1,7,1,,,,catch,0,,1,,0,0,1.65,,
21,1,True,0,15,0,11,1,,,,catch,0,,1,,0,0,1.92,,
22,1,True,0,14,0,14,1,,,,catch,0,,1,,0,0,1.9,,
23,1,True,1,14,0,10,0,,,,catch,0,,1,,0,0,2.84,,
24,1,True,0,15,0,15,1,,,,catch,0,,1,,0,0,1.78,,
25,1,True,1,15,0,11,0,,,,catch,0,,1,,0,0,2.07,,
26,1,True,0,15,0,11,1,,,,catch,0,,1,,0,0,1.59,,
27,1,True,1,15,0,21,0,,,,catch,0,,1,,0,0,3.05,,
28,1,True,0,15,0,18,1,,,,catch,0,,1,,0,0,2.72,,
29,1,True,1,15,1,6,1,,,,catch,0,,1,,0,0,2.38,,
30,1,True,0,14,0,23,1,,,,catch,0,,1,,0,0,1.89,,
31,2,True,0,14,0,13,1,,,,catch,0,,1,,0,0,1.32,,
32,2,True,0,13,0,4,1,,,,catch,0,,1,,0,0,2.67,,
33,2,True,1,13,0,4,0,,,,catch,0,,1,,0,0,2.6,,
34,2,True,0,14,0,4,1,,,,catch,0,,1,,0,0,1.68,,
35,2,True,1,14,1,8,1,,,,catch,0,,1,,0,0,1.87,,
36,2,True,0,13,0,6,1,,,,catch,0,,1,,0,0,1.7,,
37,2,True,1,13,0,19,0,,,,catch,0,,1,,0,0,2.32,,
38,2,True,1,14,1,18,1,,,,catch,0,,1,,0,0,1.98,,
39,2,True,1,14,0,9,0,,,,catch,0,,1,,0,0,2.97,,
40,2,True,1,15,0,10,0,,,,catch,0,,1,,0,0,1.95,,
